DOY2,HR2,CO2,H2O,FC,SC,NEE,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,WS,USTAR,W_SIGMA,V_SIGMA,U_SIGMA,PA,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TS_1_1_1,TS_1_2_1,NETRAD,PPFD_IN,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,389.6490179,4.7183948715,0.0835057558161247,0.0199931469300705,0.0863314001730716,-4.6875,-3.087,-3.6827215,-3.1425,-13.6675,1.88926825238336,2.4555015,0.472460821,0.570975,0.68504,0.79092,99.17355,81.6774208548629,82.8414,83.5474,86.8630707762557,-3.078982,-2.81615,-2.996984,-3.4595,2.1786,2.06,-20.337925,0,0,0,0.6630957,273.156,298.989
1,0.75,389.1625971,4.83877892371996,0.180103578410353,0.0227804229673985,0.246896330443192,-4.639,-3.0830215,-3.7025,-3.159,-12.9005,2.73995386421496,2.413408,0.447698077,0.54472,0.67168,0.723975,99.1552178,81.4793315635235,82.93054,83.54671,87.4,-3.174745,-2.783935,-3.1292705,-3.444,2.1987,2.0545,-18.638635,0,0,0,0.6375619,275.081,299.358
1,1.25,389.18177786608,4.75777780590361,0.0177156569828332,0,0.0691711963272185,-4.734,-3.082,-3.665,-3.177,-11.65792753,2.94885980404583,2.43602,0.444825,0.54322,0.693405,0.79757,99.1653,81.4058614794519,82.62947,83.49258,87.4715753424658,-3.413732,-2.813502,-3.30425,-3.521,2.20635,2.052,-19.14618,0,0,0,0.6455918,271.364,299.355
1,1.75,387.740377914043,4.6791135225,0.0227370656622862,0.0481489560817461,0.158419422778512,-4.754,-3.124,-3.667,-3.226,-12.276,2.35770727867499,2.51959,0.48009,0.576793723960308,0.71981,0.83037,99.16110285,83.076725121925,83.47055,84.50867,87.7,-3.59202,-3.04297,-3.65768,-3.81,2.1647,2.056,-20.97106,0,0,0,0.646488,269.9143,298.6205
1,2.25,389.052741675524,4.86974962354669,0.0766241104237966,0.0747339639180108,0.192217357848268,-4.808,-3.143,-3.652,-3.237,-11.806083135,1.59406212890927,2.4185735,0.4558195,0.570755226118242,0.73684,0.81572,99.13535,82.94377,84.08196,85.2324,87.6,-3.7818305,-3.4144265,-3.983875,-3.986,2.1612,2.047,-22.06838,0,0,0,0.6815113,264.4663,296.95635
1,2.75,387.32373205,4.9204828306157,0.0237202329226788,0.0327287607509225,0.08336108262032,-4.836038,-3.136,-3.687,-3.269,-12.01068812,1.58192468014849,2.421327,0.46581,0.544562209485748,0.70644,0.791775,99.184,83.3628237297036,84.6981528767124,85.5928301369863,87.7,-3.9698215,-3.734267,-3.9569845,-4.128,2.143365,2.046,-22.247285,0,0,0,0.74903965,269.14315,296.9386
1,3.25,388.8989686,4.72077996573775,0.139158017407717,0.0467427739637553,0.121449914027641,-4.847,-3.11,-3.769,-3.289,-10.8221,1.86475062198822,2.425313,0.448711837,0.546626014748658,0.650935,0.713175,99.22786539,83.3841523078753,85.42242,86.1266698401826,88,-4.0539045,-3.8021665,-4.064331,-4.195,2.158161,2.038,-22.00429,0,0,0,0.6832454,268.77115,295.9106
1,3.75,388.719350708556,4.91380876889101,0.220846168482587,0.030776037,0.244233373157624,-4.837364,-3.130988,-3.784,-3.235,-12.21712149,2.36156437239628,2.28635,0.42612,0.531321089361226,0.6128,0.70763,99.2234116,83.484479754944,85.67889,86.655105,88.4,-3.9944565,-3.776288,-4.160878,-4.388,2.1805,2.026,-20.808395,0,0,0,0.77689075,267.30315,294.75705
1,4.25,389.489144244325,4.72945632733026,0.190091926468164,0.082914491,0.186999940414855,-4.842,-3.121,-3.92,-3.271,-11.48832486,2.00043386359092,2.3491925,0.4348522885,0.514095,0.63262,0.705925,99.22214768,84.145391,85.939275,86.583025,88.6,-3.994834,-3.7834965,-4.186179,-4.339,2.17975,2.007,-20.65447,0,0,0,0.7105589,267.27585,294.19495
1,4.75,389.6568851,4.831406695,0.15042151741936,0.0559544884462446,0.129819912104137,-4.836062,-3.247,-3.901,-3.294,-14.33885,2.0775352639719,2.4915435,0.4719435,0.572202079858162,0.66523,0.7973,99.18405,83.8739360291409,86.1784146118721,86.68607,88.6504566210046,-4.53543,-3.940784,-4.299873,-4.433,2.17575,2.008,-18.75405,0,0,0,0.5844193,267.845,294.5351
