DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,TS_2_3_1,G_3_1_1,TS_3_1_1,TS_3_2_1
1,5.25,0.296494393,-3.33507,3.414621793,0.55016,0.441436229,0.000393,-16.36479,-0.221540912,2.51999,-0.00349,-9.505,-10.425,0.606,0.745,77.8,97.04991351,391.93912315,1.001835,-54.98,0,0,0,243.767,305.93785,3.9174381795,0.506,-18.143,-2.1444,-2.7815
1,5.75,0.305987879,-2.4099,3.544222231,0.54164,0.344037223,0.000352,-16.7594,-0.183997391,2.24923,0.00039,-9.52,-10.41,0.5915,0.7415,77.9744,97.094020165,390.6739485,0.96,-54.538000115,0,0,0,241.7442,304.54945,3.972,0.5055,-17.803,-2.59715,-3.9041
1,6.25,0.293145757,-2.785903522,3.46175345,0.62123,0.3447589665,0.000671,-14.092,-0.1289605075,2.3647,-0.00125,-9.56,-10.39,0.57,0.733,78.65,97.069,390.738454,0.94112839,-57.260810135,0,0,0,240.8293,303.9901,3.990698785,0.5055,-17.453,-2.1166,-2.8026
1,6.75,0.3056000565,-2.53533,3.47788,0.513911563,0.366478135,0.0007215,-13.08585,-0.129335525,2.71415,-0.00729,-9.57,-10.425,0.5495,0.734,78.93435,97.1048281,390.265819,0.94131623,-58.665,0,0,0,239.8394,301.7033,3.971727701,0.508,-17.443,-1.99495,-2.67405
1,7.25,0.3010922935,-2.834176742,3.3771277815,0.55829,0.368437238,0.000589,-9.80709,0.0665,3.93979,0.0058,-9.57,-10.47,0.538,0.739,79.31262191,97.129,390.8150234,0.92805,-54.971633,0.608885199,0.147,0.3492363905,240.9932,303.4032,3.915,0.509,-18.563,-2.1734,-3.20715
1,7.75,0.318608311,-2.35824,3.550548092,0.523406424,0.3534557025,0.001095,-5.3242,0.192295748,5.5227,0.01375,-9.76,-10.505,0.557,0.752,78.700975,97.153106025,390.79955105,1.0293,-43.638258515,17.54,7.32,0.691944998,241.1347,303.6747,3.91645,0.5375,-18.133,-1.96685,-2.5718
1,8.25,0.332928725,-2.2905,3.75941,0.47274,0.295947926,0.000179,6.74933,0.585903269,9.656285,0.0452,-9.78,-10.51,0.548,0.7675,77.979,97.12889079,391.1593141,1.11778,-12.27,100.1063451,50.4,8.4029,241.81720435,305.22879245,4.162998272,0.5795,-18.543,-1.5558,-2.1996
1,8.75,0.352447211,-1.70359,4.054,0.47785,0.4026073695,-2.21e-05,20.93665,0.968318856,14.01502,0.0637,-9.72,-10.52,0.51,0.775,75.895,97.21,391.0877247,1.308332335,20.04615,250.7,100.4,16.75029118,243.0922,306.5645198,4.2114,0.616,-18.523,-0.9401,-1.6704
1,9.25,0.35918335,-0.92153742,4.124080173,0.44238,0.3952321375,-0.0003025,36.063,1.297698649,16.68,0.06907319,-9.575414621,-10.54,0.497,0.85,73.707,97.14080623,391.04700605,1.55617433,63.2,398.0073031,167.4111784,32.19502576,245.84755,310.1014,4.350881653,0.6345,-18.308,-0.086295,-0.46494
1,9.75,0.3862178345,-0.2125211715,4.289522659,0.24779,0.3250380315,-0.000377,56.5418,1.272592842,19.543,0.087054,-9.46,-10.54,0.4725,0.878,70.55457633,97.177,390.6510196,1.83291879,108.3796149,533.3,238.327873,47.97920505,248.6411,314.22445,4.37811,0.649,-18.513,0.549565,0.655405
1,10.25,0.389752742,0.277769842,4.408771498,0.269275,0.329,-0.001185,74.64846,1.396758393,19.7347,0.041751,-9.278594808,-10.535,0.45275,0.893,67.449,97.16164726,390.6102929,1.98515,148.1,692.8,308.33358,62.63407789,252.42465,317.3332693,4.4466624055,0.6685,-18.513,0.93769,1.1447
1,10.75,0.406,1.059735,4.41023,0.148110446,0.296610249,-0.00185,91.23655,1.284590349,19.7317,0.0331,-9.09,-10.47,0.44,0.9055,64.3845,97.159170505,390.4599542,2.39485,186.75,775,358.933476,72.4583913,254.1789,321.6405,4.4828,0.679,-18.513,2.1404,2.6758
1,11.25,0.401401814,1.49148,4.567717372,0.141375,0.310055,-0.00202,109.254005,1.219104674,20.736475,0.0398,-8.923364611,-10.425,0.4465,0.92,61.88491819,97.09835176,390.4871019,2.80813903,220.18315,833.5009,398.6808745,81.641824295,255.0203,324.40715,4.51612,0.6915,-18.443,2.9783,3.4788
1,11.75,0.404791985,2.21223,4.538224543,0.23578,0.3468111265,-0.00384,104.59962,1.193856113,20.32635,0.02305,-8.855,-10.315,0.4725,0.953,59.137,97.08888571,390.0355606,3.17769756,249.57176635,903.34295,437.083683,92.304,256.69755,326.102,4.506027095,0.7035,-18.383,3.3125,4.1371
1,12.25,0.417316036,2.7384,4.60843995,0.190005,0.316647777,-0.00262,110.62,1.134104849,20.296,0.056046,-7.7139697965,-10.2,0.535,0.949,55.9,97.02076934,389.7673404,3.50912706,258.73452465,936,446.0751785,96.28479925,259.87186385,329.5856,4.611955283,0.704,-18.353,4.1158,4.9791
1,12.75,0.4240178365,3.138433715,4.603901597,0.15104,0.307,-0.000715,129.02,0.9583061265,20.3952,0.0193,-7.04,-10.04,0.56,0.96,53.2585,97.027,389.8532801,3.79414,267.25,966.770385,463.79463,101.48420695,259.8064,330.5976,4.566245,0.7035,-18.353,5.0547,5.8531
1,13.25,0.420489187,3.83409,4.5551348775,0.1618,0.285,-0.000462,112.191,0.796942236,18.8462,0.0154,-6.65,-9.97,0.62,0.974,51.2275,96.93364638,389.6229366,3.86155,250.75,925.9689235,444.000177,96.30111871,261.54375,334.4176,4.653280121,0.695,-17.433,5.5944,6.8582
1,13.75,0.412295,4.01558,4.616524345,0.238835,0.299195935,-0.00175,105.46762,0.617569285,17.51435,0.02635,-6.202,-9.875,0.653,0.994,51.19,96.939973,389.4377085,3.956255,226.7,847.5,422.839058,93.3472969,262.02525,334.0735696,4.578258709,0.69,-17.483,5.4304,6.7203
1,14.25,0.416365498,3.864669564,4.4499795525,0.2981664175,0.348359559,-0.00043,79.24432,0.4152851435,15.0654,0.02195,-5.76,-9.72,0.6845,0.996,50.288493025,96.91181233,389.34980525,3.876251705,191.76125,767.0512359,381.0096,80.40736545,263.3811,336.79118255,4.563297113,0.6875,-16.846,5.3212,6.5074
1,14.75,0.397221268,3.98167,4.3763,0.282,0.36793,-0.00049959,61.087055,0.131110258,13.2075,0.0173,-5.2545,-9.545,0.713,0.9855,50.795536,96.992,389.2858481,3.8032,152.29054345,631.1029035,323.894574,75.445668995,263.046,335.285,4.561991468,0.6785,-17.0565,5.4679,6.8224
1,15.25,0.381918137,3.7835621775,4.229515188,0.37174,0.385854671,-0.000129,34.366405,-0.03905,11.36315,0.0135,-4.498,-9.41,0.75375,0.972,50.94097525,96.9675,389.3817758,3.83435798,108.14608495,498.1566824,255.038991,61.8997023,263.93485,334.9184101,4.507309173,0.667,-17.0215,5.0457,5.9052
1,15.75,0.3602950205,3.6793,3.9636,0.358517101,0.370070394,0.000427,14.841,-0.4288249595,8.76227,0.00377,-4.3815,-9.295,0.806,0.927,52.565,97.004,389.43546215,3.704475,64.43,366.2572,197.22238,48.664622265,261.8911,333.25415565,4.3900772895,0.6505,-16.7525,4.9119,5.9043
1,16.25,0.329915182,2.741099358,3.6439,0.43759,0.3300672915,0.000864,0.00648,-0.5941739575,5.77735,-0.00531,-4.576,-9.085,0.786,0.907,55.257973675,96.987,389.5364185,3.4335,22.755,221.2991516,124.88755015,32.89676243,260.4802,331.6648,4.519723308,0.6215,-16.7315,4.7117,5.6638
1,16.75,0.308,2.5758019015,3.339295283,0.39414,0.310975517,0.000786,-9.5059,-0.828741693,3.594385,-0.006965,-5.09,-8.89,0.803,0.8715,56.91521269,97.008,389.9306227,3.2542,-15.589222005,93.6,57.436045,17.07668033,258.507,325.7424427,4.44823875,0.5945,-16.7175,5.1062,6.14555
1,17.25,0.25593,1.630451556,3.0117177695,0.429215,0.294092979,0.001105,-14.77635,-1.0478268835,1.91428,-0.001825,-5.3035,-8.77,0.86175,0.847,60.193916985,96.996852115,389.6451986,2.9679,-48.345,22.304,15.4305679,8.4487090715,256.9518,324.2968,4.482,0.5795,-16.696,5.0881,5.94775
1,17.75,0.2338101715,1.453625,2.802345876,0.55896,0.3889781615,0.0004215,-17.9775,-0.905488314,1.6993,-0.00545,-5.505,-8.81,0.8555,0.8495,62.284663165,97.017,390.0575855,2.5542,-65.435,1.9349989865,0.4775,1.2354866065,256.2528483,321.4821314,4.39461082,0.5685,-16.801,5.32305,6.18985
1,18.25,0.257651036,1.060711079,2.7244496995,0.533035,0.37159251,0.000197,-15.544,-0.752583574,1.53654,-0.00916,-6.058,-8.895,0.8205,0.861,63.834,97.01907121,389.92684315,2.41059357,-65.685,0,0,0.7514824,254.1297,319.67645,4.408858409,0.5605,-17.603,5.31,6.32955
