DOY2,HR2,CO2,H2O,CH4,FC,SC,FCH4,SCH4,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN_1_1_1,SW_OUT,SW_IN_2_1_1,TS_1_1_1,TS_3_1_1,G_1_1_1,G_3_1_1,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
5,19.75,476.9658,22.77309,2082.92275,13.8995525,7.98849994319687,59.5355017499998,41.9005571402247,23.3154475,6.80976865050274,70.279865,35.2572669531365,98.9150475,92.0319975,30.5026475,29.1013475,24.60119,554.527,615.44445,-4.10031260500001,0.735667499999998,3.30922075,1.46587675,21.9332775,22.4719975,14.291665,20.369615,0.01821947,2.380449,0.865072775,1.14962875,1.638217,8.07176
5,20.25,483.674975,23.222985,2104.88775,13.6770375,17.6141731800134,47.32243,35.2075656638209,11.8938175,7.7980889809,65.2419735,40.1277588116086,98.932355,93.166655,30.14134,27.9104075,22.19956,559.06525,615.085475,-3.92417044999998,0.0709000800000005,3.0920025,0.10536905,21.73977,22.2905625,12.06962,17.8887375,0.0427927775000001,1.98183,0.756347675,1.070495,1.4608765,7.502532
5,20.75,492.385775,23.586015,2089.0775,24.1961025,18.9261413299769,46.9319849999999,45.8552490003848,10.62669,5.75335804629838,78.5587849999999,44.9469127125264,98.9454175,94.4851175,29.806255,27.595825,20.52388,556.653,616.508,-3.663212325,-0.132253375,3.270459,0.10735405,21.539,22.03846,10.6916975,15.706295,0.0463364625000001,2.1626385,0.831906325,1.06533025,1.690057,7.51345575
5,21.25,489.631725,24.0616425,2096.21475,28.8502175000001,15.7475311045382,45.9641375,41.4806096025401,5.49137199999999,8.07458748853162,68.7287839999999,36.2255737795005,98.9566125,96.0248975,29.3319425,27.45701,20.2539275,551.339375,619.1962,-3.40745932500001,-0.0904828050000006,3.35692675,0.13642975,21.324375,21.8057175,9.64008825000001,13.87564,0.0206724425,1.957341,0.730068975,1.0322225,1.486538,7.3420955
5,21.75,487.120625,24.067895,2096.7065,29.6943999999999,12.1143049265713,47.88115,34.9467751772391,4.15726575,6.27159149853723,92.6091175000001,20.7038284858523,98.9565625,96.7578325,29.0500875,27.13027,19.622745,559.3865,619.9261,-4.08382682250003,-0.0482678350000003,3.8324375,0.126969625,21.13686,21.5288325,9.17087025000001,12.105055,0.0295757925,2.105192,0.7947037,1.03607075,1.59114350493901,7.53668175
5,22.25,508.631325,23.767105,2110.407,24.4615825,22.9289026635655,39.796465,42.1409214186906,8.62931150000001,31.0175762946705,94.4689599999999,29.2819012870372,98.95689,96.9425375,28.7907725,26.9131475,19.0545775,575.8231,617.813325,-4.04178367499995,-0.0833682749999996,4.05908475,0.122238625,20.9717,21.2722825,8.54181850000001,10.736,0.030708325,1.891073,0.794009975,0.972910325,1.49923225,7.5913305
5,22.75,507.215025,23.65213,2094.706,17.88952,15.380774038674,48.786045,28.17355399977,8.88699450000001,15.700050191629,86.8528319999999,22.6486921135202,98.9645025,96.8745,28.538735,26.6610575,18.9489075,577.9751,616.696,-3.81079650000003,-0.13819075,4.0369275,0.120353575,20.848725,21.0391575,8.608837,9.725871,0.029068025,2.03841931138114,0.730939975,1.001934925,1.47610946187703,7.5249595
5,23.25,507.202975,23.88572,2103.11725,32.4216075,9.54928314820641,25.585,29.8750604634764,4.4913425,10.0616445066533,86.1980975,26.8687411514554,98.9694175,96.8342575,28.3399925,26.45207,18.4182775,565.406675,630.7779,-4.12780799999999,-0.131775975,3.71135325,0.115888175,20.69625,20.8033,8.59688875,9.86248325000001,0.0289614975,1.9397775,0.882573400000001,1.0524145,1.41984825,7.24836625
5,23.75,533.69455,24.31637,2126.89,16.884239,8.63827721129209,36.86324,41.4261040034034,15.8777775,17.1387798727079,80.7387399999998,31.0104301141556,98.9609625,96.61772,28.1358325,26.2221025,18.21206,570.2694,627.553975,-3.61925152750002,-0.12321935,3.32450175,0.112348875,20.769975,20.925,7.5865265,9.16784575000001,0.020247155,1.9684205,0.84144545,1.09992225,1.49596175,7.5183985
6,0.25,527.745725,24.8328175,2120.7945,18.010525,17.2488894410443,66.2532199999999,34.1489297798596,7.1662515,24.1853066343837,73.4223525,30.1326369395421,98.880225,95.3853075,29.2521425,26.6738375,17.5095475,433.454,475.725,-8.30798450000005,-0.2251565,3.40477,0.0810737525,24.12898,24.425,1.116298115,5.0291405,0.04143361,2.10895225,0.8523167,1.12549275,1.58980272843566,6.91565675
6,0.75,530.826525,24.8791225,2133.595,17.639969,13.6258935447087,50.5187999999999,46.4742818870562,9.77345850000002,11.6214805688701,88.3532754999998,29.2358111138541,98.959925,94.5988775,29.09177,26.47411,18.32722,436.841,475.001,-6.68852149999998,-0.154913,2.9371525,0.108065575,23.97668,24.425,0.767501325000003,4.40097275,0.0180043075,1.859488,0.75957955,0.99283265,1.46827,6.16794725
6,1.25,576.742075,25.166035,2136.0345,25.128459,22.5489513274357,33.341736,83.4218831689873,5.84667225,62.1791619759323,114.4118,43.271713487539,99.021,96.0643925,29.097975,26.1365425,17.8057575,455.009,475.097,-5.28818824999996,-0.03129480575,3.2765375,0.0804783075,23.79332,24.425,0.319357725000004,3.76889599999999,0.01854676,1.80568225,0.760365325,1.004521875,1.5034815,6.15392175
6,1.75,584.149125,25.0354025,2180.1285,23.6757855,26.1077516451726,44.8959167499999,47.2226111721631,9.086094,11.1156425040421,53.46931,30.0556648761305,99.0475575,96.6863625,28.9220075,25.895045,16.504095,451.363,499.25,-5.02269224999999,0.058675825,3.039795,0.0754340025,23.6523,24.425,0.347207700000001,3.03169324999999,0.0227495,1.76473801904901,0.79055355,0.963315025,1.37563205629319,5.7759455
6,2.25,585.971749999999,24.370885,2126.842,34.2388349999999,21.227119307954,32.3773749999999,40.5968324447865,9.35967,33.0434036844678,61.12028,38.8660366560279,98.9176175,96.489095,28.65309,25.4331,16.20259,429.044425,499.027,-4.97126207499999,0.00111878450000021,3.39867925,0.0643694425,23.5353,24.425,0.603097975,2.62749,0.022650395,1.5991685,0.6526113,0.8260801,1.2951165,5.3298995
6,2.75,605.1166,24.33921,2116.402,37.487337,21.881536059307,36.6112825,51.5717848477511,7.60686224999997,10.9845947440704,60.2508799999997,43.4251045873186,99.0359575,96.30895,28.3479375,25.16469,15.9250725,427.975575,497.43,-4.79744185000002,0.0190126400000001,3.1687275,0.06665179,23.385,24.40875,0.786555625000001,2.44423749999999,0.031627595,1.77914009689015,0.623531725,0.800046325,1.35247528106771,5.22151125
6,3.25,620.89485,24.5788625,2142.655,33.1931049999999,27.3341873339231,45.3521432499998,52.7162123957949,7.55708625,47.2272686017319,68.82081,32.9768064428853,99.03632,96.9094325,28.4315575,25.1486025,16.1129175,436.367,489.523,-5.01941200000003,0.107525499999997,3.270915,0.0794198325,23.20298,24.363405,0.928236750000002,2.54749699999999,0.0251869275,1.44238825,0.615096375,0.74516275,1.4211765,4.72212375
