DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
1,0.25,0.09,1.57,-3.18,-1.8425,17.26,-5.53,0.3025,-74.2775,-25.11,-0.255,-0.0125
1,0.75,0.08,1.65,-2.8975,-1.98,16.465,-5.6425,0.2525,-73.885,-18.25,-0.79,0.0025
1,1.25,0.09,1.63,-3.19,-1.9175,16.615,-5.755,0.22,-74.39,-21.4,-0.495,0.02
1,1.75,0.08,1.7175,-3.1225,-1.875,16.3175,-5.595,0.2825,-73.4775,-22.46,-0.3725,-0.005
1,2.25,0.1,1.165,-2.69,-1.975,15.975,-5.76,0.225,-73.155,-19.94,-0.3675,-0.04
1,2.75,0.09,1.27,-2.32,-2.34,15.51,-5.5725,0.1625,-73.705,-23.8425,-0.2675,-0.04
1,3.25,0.1,1.555,-2.38,-2.36,15.205,-5.73,0.0175,-75.55,-25.05,-0.36,-0.0375
1,3.75,0.1,1.625,-2.395,-2.15,15.13,-5.795,0.22,-75.4475,-23.765,-0.7,0.0175
1,4.25,0.0975,1.38,-2.645,-2.1,15.635,-5.8325,0.145,-74.3275,-25.755,-0.33,-0.03
1,4.75,0.09,1.37,-2.56,-2.39,16.435,-5.56,0.225,-74.7025,-15.5,-0.3,0.01
1,5.25,0.09,1.16,-2.48,-2.56,15.23,-5.6,0.125,-75.355,-16.9775,-0.41,-0.03
1,5.75,0.0975,1.28,-2.485,-2.25,15.51,-5.7175,0.0625,-74.675,-14.84,-0.84,-0.025
1,6.25,0.08,1.6175,-2.82,-1.9675,14.42,-5.755,0.005,-75.02,-22.3975,-0.26,0.0025
1,6.75,0.08,1.4225,-2.855,-2.73,14.635,-5.0725,0.2075,-74.4125,-15.46,-0.1025,0.015
1,7.25,0.08,1.3,-2.88,-2.6675,13.87,3.4475,3.29,-68.315,-21.91,-0.4175,-0.025
1,7.75,0.09,1.19,-2.735,-2.32,15.055,32.4525,15.11,-45.785,-16.25,-0.7,0.015
1,8.25,0.14,1.06,-2.63,-2.26,14.03,71.9,33.465,-0.7475,-7.79,-2.1625,-0.04
1,8.75,0.18,0.9,-2.265,-2.1,14.03,109.0675,46,26.1175,0.04,1.62,-0.06
1,9.25,0.23,0.82,-1.78,-1.9,14.27,157.1875,63.2725,57.93,6.6,3.1075,-0.08
1,9.75,0.29,1.04,-1.87,-1.71,15.335,203.5825,80.7625,81.85,38.22,8.725,-0.24
1,10.25,0.32,0.98,-1.39,-0.91,15.59,246.9075,96.56,100.67,51.84,10.5825,0.14
1,10.75,0.37,1.33,-0.77,-0.64,17.525,271.4325,107.96,113.7125,74.7725,15.0975,0.43
1,11.25,0.38,1.44,-0.88,-0.275,17.35,364.565,119.27,139.915,82.905,17.5875,0.25
1,11.75,0.43,1.63,-0.98,0.0125,16.9,332.3,119.4675,146.7475,89.18,13.4175,0.22
1,12.25,0.5,1.8575,-0.965,0.295,18.005,295.5375,117.3475,133.775,96.7425,19.185,0.3075
1,12.75,0.51,2.0075,-0.775,-0.2,18.22,252.855,101.8975,115.7725,96.8025,20.0975,0.18
1,13.25,0.48,1.8925,-0.885,0.175,19.53,252.8925,104.845,107.6825,92.155,19.16,0.3825
1,13.75,0.5,1.9375,-0.89,0.2425,20.13,216.39,88.78,98.8175,77.5,17.3525,0.3825
1,14.25,0.46,1.81,-0.465,-0.0475,20.905,193.175,74.4225,78.86,62.645,11.2425,0.23
1,14.75,0.435,1.9375,-0.56,-0.00749999999999999,20.115,176.3,59.7625,58.495,55.82,14.78,0.27
