DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
1,22.75,410.7479,1.2513725,-17.5696,19.485145,3.1889705,3.727866,0.33929085,76.697865,2.67107525,93.943905,-8.345044,0.129830875,2.22499975,6.38699825,0.403649475,0.937787525,1.11451325,0.43188795
1,23.25,413.1915,1.48942,-16.69472,17.537415,3.151833,3.7373425,0.2759038,77.367235,2.409258,93.984015,-7.6621685,0.1188154,2.18250025,6.0990085,0.3923107,0.881190625,0.999139125,0.437462525
1,23.75,412.3812,1.48942,-11.06309,18.5532,3.129759,3.757148,0.2760305,80.04281,2.69264,93.9799775,-8.57246175,0.11857065,2.006667,6.4050215,0.388121275,0.87782655,1.004942775,0.4325216
2,0.25,412.0249,0.8959935,-6.098587,12.49962,1.8999555,2.5728815,0.313602475,75.8484025,2.38124375,94.1315075,-12.992415,0.1001754,1.9,5.35799,0.3228727,0.814970625,0.85536295,0.342936275
2,0.75,413.0955,0.83015425,-5.82029,11.60333,1.6692935,2.5012795,0.315382375,76.41782,2.345332,94.142555,-11.841035,0.08946445,1.8716665,4.997373,0.3263674,0.8147152,0.902469175,0.353190575
2,1.25,412.3932,0.9406975,-5.49668275,12.135615,1.7990335,2.469826,0.29278855,77.308315,2.2051885,94.137835,-12.209475,0.094831375,1.780833,4.9758795,0.3170293,0.7735642,0.92047145,0.34953735
2,1.75,411.08825,0.891426,-8.8383595,10.65423,1.8787095,2.392402,0.3654183,76.6524775,2.293353,94.164855,-11.45538,0.1024958,1.76500025,5.24869575,0.334917175,0.811428975,0.95985775,0.3578543
2,2.25,410.8672,0.729206,-9.01416625,12.191455,1.759799,2.50259075,0.31915635,77.23495,2.122862,94.14145,-10.54494,0.09252282,1.685,5.06877325,0.326002925,0.798758675,0.93765015,0.36175885
2,2.75,411.86255,0.6833975,-8.19056625,12.585615,1.9214285,2.5485285,0.355447,76.77044,2.067388,94.12058,-9.334879,0.100375465,1.675,5.009889,0.31602715,0.78985975,0.9402268,0.34971355
2,3.25,411.6367,0.920374,-7.68109925,12.903795,1.95025,2.4005205,0.2915081,77.85133,2.25592075,94.136675,-9.0816185,0.101684645,1.63583325,4.926782,0.32233955,0.82140765,0.86258265,0.35823995
2,3.75,411.5333,0.8165655,-11.47326,15.6397075,2.0302895,2.5057495,0.3178631,78.2154875,2.1754385,94.14779,-7.9260975,0.097201435,1.55749975,5.3737205,0.3473171,0.83403485,0.9404756,0.37270075
2,4.25,411.487175,1.02072,-6.153664,15.07382,1.879624,2.2424255,0.2637817,78.599035,2.1898815,94.1458,-7.850329,0.09176236,1.55,5.4942185,0.38654425,0.88166425,0.95240725,0.3917302
2,4.75,411.39585,0.90828,-8.00812425,12.895725,1.587434,2.184942,0.29237335,77.38612,2.21675725,94.105175,-8.7287635,0.092311335,1.53083325,5.5815855,0.36878265,0.8438964,0.930481,0.38965875
2,5.25,412.577025,0.96520075,-6.6098265,14.19527,1.448359,1.88627775,0.270735625,76.2977675,2.1458115,94.09671,-9.1248815,0.097422485,1.50000025,5.73744325,0.3804243,0.8437054,1.0010719,0.400822125
2,5.75,411.71685,0.846315,-7.741531,15.35665,1.075049,1.5464065,0.2895158,75.20381,2.21901925,94.10824,-12.793615,0.10070325,1.48,5.759706,0.33708305,0.866511225,0.94092175,0.385916675
2,6.25,412.6437,0.779759,-6.78728375,13.52057,0.9988974,1.44060575,0.296962,76.248055,2.1071455,94.11859,-10.7042105,0.36444015,1.45500025,5.5430345,0.35270765,0.880072875,0.936163325,0.37442535
2,6.75,412.581825,0.8603335,-6.544514,11.65805,1.1106435,1.55160375,0.27140655,77.092775,2.06107075,94.143425,-13.32287,11.443195,1.43416675,5.3501355,0.351512775,0.824472725,0.9134905,0.379190825
2,7.25,412.34695,0.875983,-5.39349675,15.24588,1.1176435,1.71035375,0.2600083,76.5299,2.05891,94.179695,-3.9855395,64.592925,1.425,5.308636,0.334961475,0.851269875,0.891125,0.373761925
2,7.75,412.653,0.61595,-1.567895,17.073995,1.2702685,1.604408,0.28062755,77.3154525,2.216043,94.177605,12.994935,175.7091,1.44,5.52764075,0.362991625,0.860049375,0.937286875,0.39061185
2,8.25,412.5728,0.690663,17.907165,30.95852,1.759489,2.165404,0.285794125,78.095615,2.0804025,94.190345,52.90687,301.22895,1.45,5.34345175,0.379044675,0.890251675,0.941347625,0.371283775
2,8.75,412.6955,0.44934375,25.1949125,35.6885725,1.4985165,2.21372225,0.2804213,74.84568,2.236377,94.19281,85.41667,453.58235,1.44916675,5.5824985,0.373251125,0.918864375,0.9784623,0.3998935
2,9.25,412.186175,0.47734425,50.22088,48.821005,1.647279,3.0462375,0.34776285,74.3677475,2.664734,94.1831,129.5476,607.04865,1.5041665,5.7072695,0.4106592,0.8770056,0.97642905,0.4115027
2,9.75,411.7865,0.308985,59.64178,52.629595,2.02754075,3.528162,0.3861539,71.72668,3.096119,94.21271,191.1306,743.4182,1.575,5.8138155,0.4004971,0.9988696,1.0318505,0.3936598
2,10.25,410.9508,0.4550425,78.10699,65.9215925,2.741649,3.2039115,0.4810923,70.24076,3.217271,94.1431875,239.299775,837.2299,1.650833,5.4252375,0.4043214,1.004169,1.038586,0.4161567
2,10.75,409.5265,0.322784,96.4330725,80.0351625,3.55970825,4.09573725,0.519268225,69.840565,3.75611125,94.1033775,256.31775,940.595375,1.8658335,5.710017,0.4183539,1.0661975,1.1527505,0.420075375
2,11.25,408.8735,0.364431,97.125595,87.3004325,4.263138,4.63864275,0.513994325,69.6266575,3.79027125,94.11265,252.956025,977.27085,2.096667,5.6962205,0.444331875,1.10306125,1.1842755,0.42662395
