DOY2,HR2,USTAR,H,LE,NEE,FC,SC,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,SW_IN_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_2,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,PPFD_OUT,T_CANOPY_1_1_1,T_CANOPY_1_1_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1
1,0.25,0.213838465,-21.379839735,1.07041724,0.395947425,0.178238508,0.001214262,0.5629195,0.507758,0.239055,0.265029,376.9086978,1.940459,-15.71,-15.995,69.5085,72.4155,94.959944,-3.5217115,-3.3027,0,0,0,0.187737838,226.9050032,245.97406715,-20.046196795,-14.82828654,0,0,-12.84439306,-14.43889538,-2.164864,-1.010748,-0.4812405,0.034091945,0.48101185
1,0.75,0.21075018,-20.169634715,1.2408103435,0.404195981,0.1632999285,0.0016195525,0.5684675,0.4859305,0.237983,0.2588625,377.0242774,1.922152,-15.6,-16.2485,69.631,72.306,94.965296,-3.5187,-3.3027,0,0,0,0.0836876835,225.38634825,245.8497254,-21.224793385,-15.632348065,0,0,-13.09803468,-14.37977791,-2.177023,-1.009567,-0.4863587,0.03678,0.48200245
1,1.25,0.217239376,-16.78538936,1.388882353,0.369387797,0.180053988,-0.000402687,0.558595,0.503248,0.240559,0.2585305,376.9841365,1.931811,-15.565,-15.9675,69.494,72.34,94.975772,-3.5187,-3.3027,0,0,0,0.121138147,224.3106093,245.44587605,-20.45994598,-15.655482775,0,0,-12.82213873,-13.955303915,-2.188302,-1.0072375,-0.4692472,0.04223227,0.4808044
1,1.75,0.206083165,-17.98541191,1.035189812,0.404758397,0.2087990085,0.000261944,0.543201,0.483089,0.225635,0.250897,376.7280285,1.93646,-15.7495,-16.1745,69.485,72.574,94.969112,-3.5504,-3.312837,0,0,0,0.140930618,225.14784445,245.4085304,-21.546975775,-16.39925345,0,0,-12.3966763,-13.371566335,-2.189301,-1.017967,-0.4772439,0.03831894,0.4771034
1,2.25,0.191355668,-17.80198475,1.587305332,0.36309167,0.198931018,0.00359318,0.554955,0.508132,0.221211,0.261213,376.5747971,1.866099,-15.736,-16.1875,69.648,72.175,94.974512,-3.5821,-3.3123465,0,0,0,0.153857297,226.4483367,244.79074935,-21.11947972,-17.79188841,0,0,-12.53299507,-13.833357685,-2.178176,-1.013815,-0.4932775,0.040296385,0.4787356
1,2.75,0.208597724,-15.22893236,1.277670225,0.3395245125,0.187388976,-0.0013189515,0.549027,0.513698,0.228053,0.257459,376.904118,1.926564,-15.8105,-16.141,69.4,72.385,94.979948,-3.6138,-3.3192135,0,0,0,0.117543475,225.05390015,245.02756935,-21.06986458,-15.662958895,0,0,-12.70488439,-14.27548217,-2.166432,-1.0172125,-0.4889687,0.03513031,0.4833
1,3.25,0.213570513,-16.76285344,1.612756888,0.3658176305,0.2163243765,-0.001186876,0.566655,0.485851,0.234583,0.259924,376.6740321,2.012627,-15.8585,-16.133,69.319,72.179,95.001764,-3.6003275,-3.3097305,0,0,0,0.0657154245,226.29368155,244.5072399,-22.21227688,-14.83103751,0,0,-12.97117052,-13.91344243,-2.142023,-1.026147,-0.4956685,0.03703,0.4799365
1,3.75,0.2092056355,-16.64169468,1.053433629,0.375415106,0.186151158,-0.001497243,0.565545,0.495749,0.23288,0.26092,376.4714259,1.9158925,-15.696,-16.109,69.5255,72.8725,94.989416,-3.6120565,-3.27,0,0,0,0.1309683785,224.95319945,243.6770314,-23.289826075,-13.631489725,0,0,-13.32289017,-14.80847458,-2.133354,-1.028784,-0.49019665,0.038480185,0.46965895
1,4.25,0.2159018305,-18.46923058,0.727369928,0.3981475095,0.220552751,-0.000673081,0.584567,0.5427885,0.23552,0.2602475,376.7339199,1.9341365,-15.729,-16.335,69.4745,72.4915,94.972076,-3.6069845,-3.2688555,0,0,0,0.128915212,225.83161375,243.3426258,-22.786534395,-15.319563615,0,0,-13.29218208,-13.96155757,-2.169583,-1.037929,-0.46852365,0.03511567,0.4803292
1,4.75,0.211024484,-17.83066294,1.026340543,0.3531211535,0.224150602,-0.001505058,0.544742,0.454035,0.232722,0.260795,376.4734646,1.914627,-15.777,-16.329,69.4825,72.9435,94.984196,-3.5898665,-3.258228,0,0,0,0.1404876445,225.32718755,242.77772275,-22.58992078,-13.390745515,0,0,-13.244854115,-13.867226765,-2.149793,-1.028664,-0.4840863,0.03493402,0.4685113
