DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
1,5.25,381.186,2.1435,0.14,-1.27,235.85,243,0,0,-17.3,89.45,0,0,0.1,-7.03,-6.6,-0.6,-4.485,-4.33,0.32,93.6,2.155
1,5.75,381.145,2.105,0.14,-1.19,236,243.65,0,0,-17.25,89.5,0,0,0,-2.825,-6.65,-0.4,-4.49,-4.335,0.345,93.6,2.09
1,6.25,381.087,2.3515,0.14,-1.18,237.3,244.2,0,0,-17.2,90.15,0,0,0.15,-3.155,-6.65,-0.05,-4.495,-4.335,0.355,93.6,2.12
1,6.75,381.2925,2.211,0.14,-1.125,237.85,244.8,0,0,-17,90.5,0,0,0.6,-4.22,-6.65,-0.2,-4.495,-4.335,0.34,93.6,2.085
1,7.25,380.989,2.2715,0.14,-1.275,239.7,243.85,0,0,-16.85,90.35,0,0,0.85,-3.5,-6.7,0.6,-4.51,-4.345,0.37,93.6,2.145
1,7.75,380.491,2.3075,0.135,-1.315,239.75,244.85,0,0,-16.9,90.55,0,0,1.2,-2.635,-6.5,0.2,-4.53,-4.365,0.38,93.6,2.215
1,8.25,380.979,2.3095,0.14,-1.265,238.7,245.7,0,0,-16.75,91.1,0,0,1.05,-2.04,-6.5,-0.1,-4.55,-4.38,0.33,93.6,2.125
1,8.75,381.157,2.2575,0.135,-1.065,237.5,245.3,0,0.125,-16.9,90.55,0,0,1.45,-4.06,-6.5,0.4,-4.57,-4.4,0.37,93.7,2.185
1,9.25,380.965,2.363,0.14,0.7,236.7,244.75,3.48,1.355,-16.75,90.45,3.518,1.43,1.4,-0.58,-6.6,0.25,-4.59,-4.42,0.39,93.7,2.04
1,9.75,381.699,2.4305,0.14,6.95,239.55,244.8,13.265,4.81,-16.7,90.2,16.645,6.865,4.2,1.81,-6.65,1.1,-4.585,-4.44,0.3785,93.7,2.04
1,10.25,380.957,2.3935,0.15,15.815,240.55,245.05,29.71,9.9,-16.65,89.5,36.69,16.095,4.35,7.12,-6.7,1.3,-4.58,-4.46,0.365,93.8,2.085
1,10.75,380.8245,2.5425,0.16,28.38,243.1,246.15,48.44,15.595,-16.35,89.85,58.2965,26.875,9.4,18.38,-6.7,2.6,-4.57,-4.455,0.4095,93.8,2.075
1,11.25,380.833,2.475,0.16,42.125,237,248.85,64.9,21.37,-15.55,89.7,77.8495,37.71,8,26.255,-6.6,3.45,-4.57,-4.45,0.39,93.8,2.22
1,11.75,380.803,2.309,0.18,51.135,233.85,250.95,75.75,24.8,-14.95,88.7,104.1,45.14,10.6,35.02,-6.65,3.6,-4.565,-4.445,0.415,93.8,2.28
1,12.25,380.633,2.295,0.2,59.59,240.2,251.85,89.35,27.32,-14.75,88.25,134.06,48.945,10.2,42.415,-6.7,3.05,-4.565,-4.44,0.45,93.7,2.355
1,12.75,380.4195,2.386,0.21,77.325,241.65,251.55,103.55,29.335,-14.8,86.7,145.83,52.12,12.35,52.585,-6.65,3.3,-4.56,-4.425,0.42,93.7,2.355
1,13.25,380.318,2.424,0.21,75.4,239.6,251,113.15,31.805,-14.9,86.4,156.52,58.39,12.55,53.75,-6.5,2.3,-4.535,-4.405,0.42,93.7,2.325
