DOY2,HR2,CO2_1_3_1,CO2_1_4_1,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NEE,NETRAD_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_DIF,TA_1_1_1,RH_1_1_1,WS,PA,TS_1_1_1,TS_1_2_1,VPD
1,0.25,394.1035,393.792,-2.22625,0.479,0.1635,0.548,0.377,0.831,1.46025,0.1805,-3.5,0.17,0.03,248.7925,269.835,0,0,5.121,-9.138,87.104,3.289,95.949,-2.766,-2.62,0.32
1,0.75,394.1035,393.792,-2.24325,0.473,0.1635,0.548,0.3645,-0.286,1.329,0.182,-3.6725,0.18,0.03,248.23,270.685,0,0,5.123,-9.076,87.07,3.31575,95.93625,-2.766,-2.619,0.32
1,1.25,393.90975,393.7865,-2.1955,0.489,0.169,0.466,0.336,-0.2795,2.0195,0.2225,-3.7275,0.16,0.03,247.09,270.4275,0,0,5.128,-9.1175,87.398,3.33,95.94,-2.768,-2.619,0.31
1,1.75,393.95775,393.90525,-2.2335,0.4695,0.17925,0.424,0.358,-0.0055,2.57025,0.228,-4.06,0.18,0.03,246.77,270.0825,0,0,5.13,-9.2585,87.407,3.287,95.923,-2.763,-2.618,0.31
1,2.25,394.14275,393.963,-2.2335,0.485,0.175,0.5185,0.49075,-0.9045,2.8205,0.22925,-4.2225,0.16,0.03,247.67,269.955,0,0,5.123,-9.291,87.351,3.32,95.92,-2.765,-2.619,0.31
1,2.75,394.27075,393.9975,-2.2375,0.486,0.16375,0.6315,0.47,-0.0775,2.396,0.221,-4.1225,0.17,0.03,246.45,270.4575,0,0,5.128,-9.4855,87.391,3.291,95.922,-2.766,-2.62,0.31
1,3.25,394.13125,393.951,-2.31875,0.482,0.161,0.355,0.4535,-1.134,2.376,0.229,-3.835,0.19,0.03,247.49,269.1725,0,0,5.126,-9.7075,87.696,3.301,95.927,-2.769,-2.62,0.31
1,3.75,394.024,393.946,-2.294,0.4895,0.165,0.482,0.4865,-0.07925,2.68475,0.226,-3.36,0.2,0.04,247.87,268.9825,0,0,5.135,-9.7785,87.447,3.293,95.917,-2.775,-2.62,0.315
1,4.25,393.936,393.939,-2.3025,0.503,0.149,0.5185,0.4685,-0.04325,2.454,0.207,-3.44,0.24,0.04,247.3325,269.55,0,0,5.134,-9.6715,87.59725,3.32175,95.91925,-2.78,-2.622,0.3075
1,4.75,394.093,394.038,-2.349,0.51025,0.16,0.334,0.40725,0.33,2.071,0.21425,-3.435,0.23,0.04,248.2375,269.84,0,0,5.13025,-9.52925,87.719,3.25,95.9275,-2.786,-2.622,0.3
