DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,T_SONIC,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,0.25,412.448,-0.27507175,-7.567690625,-32.708325,3.542488093,1.02732325,203.1,273.325,-64.845,98.8819,-0.006,0,78.4820543625,-1.043,0.429,-4.77450674475,-6.20462025,3.48325,1.667,4,2.217,4.854,2.56225,4.71225,4.37925,1.473,2.1825,2.75425,3.325,3.845,4.518,5.086,5.903,6.92075,-0.8395,0.355,1.43925,2.16775,2.83275,3.597,4.303,5.13625,6.61575,0.244217,0.24439284825,1.40091
1,0.75,412.513,-0.327656,-7.99925395825,-34.1232595525,3.334925996,0.81190525,203.3,269.8,-65.97,98.8669,-0.006,0,78.8443022,-0.838,0.394,-5.0339780455,-6.461277,3.5,1.6835,4,2.217,4.8,2.583,4.717,4.317,1.507,2.18275,2.759,3.325,3.845,4.513,5.066,5.90775,6.92075,-0.887,0.35025,1.48775,2.2165,2.87725,3.617,4.303,5.15675,6.6365,0.23787125,0.243024598,1.448075
1,1.25,412.7785,-0.24601975,-8.333782569,-30.8889,3.4485222645,0.22669975,203.8,268.9,-63.3925,98.85085,0,0,77.85158847,-0.952,0.421,-4.4748837675,-6.592553,3.5,1.767,4,2.233,4.817,2.583,4.733,4.3,1.492,2.16775,2.759,3.32025,3.845,4.518,5.081,5.89275,6.905,-0.849,0.336,1.48775,2.2315,2.87725,3.617,4.303,5.15675,6.65725,0.232534,0.247134636,1.4363425
1,1.75,413.1975,-0.236729,-7.953475,-29.057025,3.500434138,0.7557345,204.7,268.6,-59.3525,98.85945,-0.006,0,79.0545658,-0.813,0.432,-4.59954485525,-6.501579,3.5,1.733,4,2.217,4.817,2.583,4.717,4.3,1.4535,2.16325,2.759,3.34,3.845,4.513,5.066,5.89275,6.92075,-0.83,0.331,1.4925,2.2165,2.88225,3.617,4.303,5.15675,6.6415,0.2431835,0.23939858,1.45128
1,2.25,413.0645,-0.2529813715,-8.268921389,-24.84865,3.559110654,0.020052575,205.3,268.9,-56.065,98.789425,-0.012,0,79.60140163,-0.808,0.39975,-4.753790008,-6.227135,3.60825,1.75825,4,2.233,4.808,2.52475,4.7045,4.31275,1.4385,2.168,2.779,3.34,3.845,4.513,5.081,5.877,6.92075,-0.8205,0.32625,1.4925,2.2315,2.86725,3.61225,4.303,5.15675,6.6415,0.2778515,0.24265301,1.59707
1,2.75,413.230006025,-0.108492,-8.1104062495,-26.1539,3.510984055,0.55616825,213.2,268.7,-53.96,98.82342225,-0.006,0,80.6528321175,-0.521,0.304,-4.687399688,-6.2239475,3.6125,1.7,4,2.22475,4.81275,2.5375,4.69175,4.283,1.36125,2.129,2.759,3.34,3.845,4.498,5.066,5.877,6.92075,-0.83,0.331,1.48775,2.22125,2.88225,3.617,4.303,5.15675,6.6415,0.26436175,0.20319179875,1.61626339475
1,3.25,413.47325,-0.190393,-8.35621625,-22.98125,3.653955061,1.49609,200.7,269.6,-54.68,98.7522,-0.006,0,81.1312437925,-0.81525,0.345,-3.269452401,-6.29822,3.65,1.6955,4,2.217,4.85,2.51275,4.708,4.2585,1.342,2.10925,2.779,3.325,3.845,4.498,5.086,5.89275,6.905,-0.849,0.331,1.4925,2.22125,2.86725,3.617,4.303,5.15675,6.6415,0.255033,0.178160958,1.4870325
1,3.75,413.77125,-0.072940975,-8.52943350725,-22.312,3.56052715375,1.751535,200.2,268.4,-54.66,98.80535,0,0,80.835585595,-0.711,0.36,-4.4884275615,-6.363326,3.60825,1.6875,4,2.21275,4.817,2.5,4.6835,4.26275,1.32275,2.10425,2.759,3.325,3.845,4.498,5.086,5.89275,6.92075,-0.849,0.331,1.4925,2.22125,2.88225,3.602,4.318,5.15675,6.6365,0.244072,0.18121841875,1.4701
1,4.25,413.8565052,-0.154481,-8.34227927075,-24.22643563,3.5257995495,0.866615,199.2,268.5,-55.965,98.8036,0,0,81.743337115,-0.69075,0.261,-4.6774851955,-6.261558,3.58775,1.71225,4,2.22475,4.74575,2.5,4.67925,4.26275,1.3135,2.0995,2.75425,3.325,3.845,4.498,5.086,5.89275,6.92075,-0.86325,0.331,1.48775,2.22125,2.887,3.59725,4.303,5.14175,6.6365,0.250101,0.19508760175,1.4783625
1,4.75,413.702,-0.159009,-8.1282482355,-23.916267265,3.48058656625,0.458555209,199.5,268.7,-57.75,98.8192,-0.006,0,81.4490385525,-0.712,0.313,-4.59922074925,-6.2896195,3.62525,1.7085,4,2.233,4.76275,2.5,4.65025,4.24575,1.31825,2.0945,2.76925,3.325,3.845,4.483,5.086,5.877,6.91575,-0.89175,0.331,1.4925,2.22625,2.872,3.597,4.303,5.14175,6.6365,0.24597182375,0.22085868825,1.38953
