DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1
1,0.25,451.603,10.3954,2.9533705,-6.346,-13.59,-6.7643255,9.083554,-1.16205,3.489738,0.6213475,-0.039765,1.19695,0.933005,0.7825775,100.4585,92.65,12.045,4.54405,13.7655,12.815,13.52,12.8,13.15,14.005,-9.3575,0.05475,0.01125,1.25625,2.129,356.85,395.075,2.9533705
1,0.75,451.766,10.4985,3.0300585,-6.4525,-13.71,-6.6418,9.1069335,-0.0630525,3.4531,0.6084475,-0.03798125,1.1925165,0.972445,0.761009,100.44475,93.25,11.96,4.431,14.335,12.74,13.485,12.785,13.145,13.99,-10.2175,0.05475,0.01125,1.25625,2.156,370.175,395.875,3.0300585
1,1.25,452.12925,10.383125,3.28171075,-6.5765,-13.83,-7.82916075,9.606777,-0.21207,3.399475,0.59085475,-0.03973725,1.215575,0.91094575,0.7447955,100.429,93.4,11.64,4.3734,14.187,12.7,13.46,12.73,13.115,13.97,-11.545,0.05675,0.01125,1.25625,2.15575,368.275,394.075,3.28171075
1,1.75,451.92525,10.393175,3.081096,-7.149,-13.91,-7.3425,8.9497295,0.7023675,3.5219,0.5795305,-0.050609,1.1644,0.93313,0.743725,100.429,93.875,11.45,4.305325,14.1015,12.67,13.42,12.645,13.095,13.965,-11.2425,0.05175,0.01125,1.25625,2.1265,348.8,393.3,3.081096
1,2.25,452.20025,10.293,2.782876,-7.9395,-14.62,-7.9444,8.9280635,0.1926075,3.37362275,0.58822,-0.0307115,1.182975,0.9418575,0.741441,100.3915,95.1,11.26,4.056975,13.9285,12.635,13.39,12.6,13.055,13.96,-9.3125,0.05075,0.01125,1.25625,2.1555,341.025,392.55,2.782876
1,2.75,452.7575,10.227775,2.8773745,-8.0795,-15.28,-8.759179,8.14101375,1.786375,3.326825,0.597023,-0.03825625,1.14291675,0.92362,0.72861,100.38325,95.275,11.04,4.078825,13.8175,12.595,13.36,12.595,13.025,13.955,-7.976,0.05275,0.01125,1.20753125,2.156,343.9,392.325,2.8773745
1,3.25,453.49925,9.734825,2.962343,-8.1075,-14.49,-8.1817,7.5648005,0.32822,3.36115,0.55519125,-0.0466065,1.1890305,0.90321875,0.72916,100.3825,95.175,10.84,4.128375,13.864,12.55,13.335,12.585,12.97,13.95,-9.6275,0.0535,0.01125,1.1588125,2.1555,342.2,392.125,2.962343
1,3.75,453.70825,9.752925,2.931981,-8.1465,-14.48,-6.9304105,10.6476,1.2156,3.345775,0.56159175,-0.047995,1.1160695,0.90689,0.715045,100.39625,95.675,10.86,3.878225,13.131,12.51,13.295,12.555,12.92,13.945,-10.07,0.05375,0.01125,1.11009375,2.089,346.2,392.275,2.931981
1,4.25,454.281,9.5018,3.14521275,-8.29,-15.02,-11.02665,8.05721025,-0.073866,3.329575,0.54408425,-0.04677225,1.178189,0.8878625,0.7213785,100.36575,96.05,10.27,3.617125,12.8895,12.48,13.275,12.535,12.845,13.935,-8.875,0.05275,0.01125,1.061375,2.0895,358.3,392.3,3.14521275
1,4.75,453.971,9.450825,3.0287745,-8.9725,-14.6875,-9.2495025,8.42819925,1.4459,3.3805,0.5853065,-0.04528375,1.14255,0.8976225,0.729938,100.35225,96.15,10.16,3.522875,13.1975,12.34,13.2825,12.3775,12.705,13.945,-10.2725,0.0505,0.01125,1.01265625,2.11625,357.725,391.025,3.0287745
