DOY2,HR2,CO2,FC,G,H,LE,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,FCH4
1,12.25,456.98425,0.272167,5.005705,27.727825,27.0845,2.28914,0.2443875,102.2203675,94.569284,8.33031875,139.76,244.57022375,35.594941,336.17774025,353.99,8.3945,5.968005,5.8206425,7.0400275,3.0575
1,12.75,456.917,0.622591,6.45823666675,30.7714,30.192775,2.69544,0.2596035,102.20064975,93.833222,8.5055355,141.409496,226.3499065,32.99367575,334.8225,355.27248775,8.76301921825,5.96,5.84,7.08276675,10.675
1,13.25,453.6905,0.0217776,7.3758465,29.960575,32.2736,2.512275,0.23726125,102.20011025,93.9775,8.74999575,119.83089975,204.3795,27.27025125,334.7695,355.79669125,8.8883654,5.98233,5.8,7.07659225,10.12
1,13.75,454.3975,0.2026965,8.44304966675,21.9028,29.19285,2.46236,0.24702625,102.19939925,93.1725,8.95472525,108.135106,191.1289465,29.4485915,336.04125,356.66977525,9.11537,6.01,5.83,7.09633925,7.91598
1,14.25,454.505,0.09511205,9.2003275,14.704775,23.82185,2.60042,0.251995,102.21477325,92.83619075,8.912165,78.98,150.71,20.52079275,334.397464,356.1665645,9.03351,6.04,5.8334295,7.103499,10.4
1,14.75,456.499,0.474257,9.78113,9.680325,18.7914,2.4065875,0.219038,102.23206525,92.765,9.0252145,65.842975,148.629385,23.4775,334.0881345,355.5714865,9.26531895,6.06961325,5.8411375,7.1232575,9.2575
1,15.25,456.89125,0.0668,9.99629466725,5.36561,14.682125,2.32274,0.209446,102.24858675,92.7375,8.9704025,34.50979325,98.4525,15.9684,333.98,354.426,9.13619,6.11039575,5.8613135,7.11906275,7.38
1,15.75,458.64375,0.284959,9.9187225,0.886939,9.378565,2.11998,0.197171,102.260439,93.19,8.5655185,19.555,56.9,11.56107575,332.3232605,352.290527,8.621321125,6.130885,5.88922725,7.125668,9.565
1,16.25,457.7805,0.238934,9.23536675025,-0.4661075,5.44566,1.75596,0.17490725,102.266684,94.2425,8.33601525,4.2062425,25.502701,6.457249,333.3235,350.7441785,8.3985833,6.16050425,5.91313075,7.12751575,7.58
1,16.75,456.275,0.243615,8.22351349975,-0.5741995,1.6852,1.936945,0.1769405,102.265,94.53724875,7.9554815,-2.378792,6.713869,2.195,332.905,347.326103,8.11803,6.175,5.92625675,7.138608,12.55
1,17.25,462.69575,0.2035175,6.75769949975,-0.3131375,1.6541825,1.5095025,0.1303425,102.275,95.5879075,7.515025,-4.3926675,0.2466525,1.45041975,332.47481875,345.2825,7.7282804,6.2176975,5.9425,7.1295855,6.87
