DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
1,0.25,0.55338175,420.9343,-6.504917,0.302356,3.6881925,3.90888,0.9016165,82.233775,89.5,1.029085,1.92437,-1.97685,-0.0217706825,0.5436708,3.259209,101.205,-2.36225,-3.3065,-1.67475,0,2.4,2.8
1,0.75,0.53500675,421.4019,-6.95679525,0.268191,3.7162935,3.826525,0.61434735,81.053025,89.5,1.04576,1.82044,-1.884,-0.01456806,0.5554839,3.22436025,101.2,-2.3875,-3.488,-1.61225,0,2.4,2.9
1,1.25,0.5577599,420.67725,-4.46648,0.459945,3.603842,4.3709,0.69988975,80.917375,88.9,1.033075,1.27206,-1.6495,-0.01896804,0.50610445,3.136543,101.2,-2.486,-3.797,-1.4195,0,2.4,2.8
1,1.75,0.6162069,421.517,-4.683235,0.333658,3.691167,4.28162,0.719253025,80.99725,88.9,1.0181425,1.78594,-2.311,-0.021246415,0.4808943,3.203178,101.2,-2.6135,-3.94,-1.1895,0,2.4,2.8
1,2.25,0.4609155,420.48165,-5.103543,0.26797935,3.560228,4.07381,0.5997591,82.2285,89.1,0.95567,1.3740625,-2.327,-0.021513865,0.499556675,3.083229,101.2,-2.8745,-4.1,-0.793,0,2.4,2.9
1,2.75,0.566007,420.528,-5.3178975,0.25254425,3.664495,3.4569175,0.652655,82.883425,89.2,0.990744,1.24469,-1.9975,-0.03522427,0.495568075,3.10533425,101.2125,-2.9405,-4.14,-1.03875,0,2.4,2.9
1,3.25,0.515229,420.2946,-5.905834,0.32985535,3.57418,3.68507,0.6088381,82.90955,89.7,0.96999075,1.702175,-2.2028,-0.0206551,0.535171775,3.0972525,101.2,-2.947,-4.24525,-1.0215,0,2.4,2.8
1,3.75,0.4442245,420.768,-5.92249525,0.188862,3.5285975,3.68214,0.614293,82.9877,89.7,0.993324,1.59713,-2.308,-0.01804614,0.4726319,3.314703,101.2,-3.029,-4.195,-0.736,0,2.4,2.825
1,4.25,0.6142625,420.7825,-7.0731665,0.30258975,3.53947975,3.7497625,0.7994522,82.752325,90,0.920341275,1.60004,-2.34355,-0.025726015,0.5627702,3.5084355,101.2,-3.07375,-4.158,-0.5945,0,2.4,2.8
1,4.75,0.460627,420.53,-7.532465,0.198902,3.4827895,3.717035,0.68698125,83.6,90,0.8953076,1.678075,-3.0865,-0.02759949,0.461617175,3.23464975,101.2075,-3.26375,-4.2665,-0.93175,0,2.4,2.8
1,5.25,0.6098405,419.811,-6.49465,0.3050865,3.5194,3.6550125,1.116887,83.43145,90.3,0.9274385,1.63666,-2.474125,-0.02316407,0.4445592,3.072032,101.225,-3.336,-4.214,-0.7085,0,2.4,2.9
