DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_1,NEE,FC,SC_1_1_1,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.022075,-29.93115,0.89525,-0.99285,-0.7054,-0.97195,-51.1314,-28.3024,-3.54545,-10.02125,-5.083275,-1.57675,-1.049875,63.6675,95.137,383.3352,385.0102,0.09,-85.004875,0,0,0,0,116.517075,181.20635,0.3845,0
1,0.75,0.026,-30.081125,0.9652,-0.621425,-0.351925,-0.9326,-61.56915,-27.0636,-2.535375,-7.89895,-5.115275,-1.5739,-1.054825,61.60835,95.089225,384.262825,385.47515,0.09,-84.809525,0,0,0,0,115.7864,180.913575,0.3778,0
1,1.25,0.0231,-30.23785,0.9372,-0.806175,-0.38,-1.060875,-51.12815,-26.2202,-3.740975,-7.00255,-5.13545,-1.57865,-1.0597,61.59375,95.1444,384.7826,385.49965,0.09,-85.236,0,0,0,0,115.698,180.236525,0.36345,0
1,1.75,0.02225,-30.4698,0.7339,-0.47235,-0.4156,-0.75815,-47.3343,-25.0626,-2.5948,-5.5325,-5.1394,-1.5771,-1.058825,62.24445,95.1728,385.009525,385.23815,0.0845,-86.0442,0,0,0,0,115.7604,178.9796,0.3511,0
1,2.25,0.02705,-30.520925,0.7488,-0.7221,-0.6354,-0.75915,-50.94525,-26.5222,-2.7845,-7.2823,-5.0774,-1.5688,-1.058475,61.7761,95.1336,385.03,384.97665,0.09,-85.0832,0,0,0,0,115.6486,177.99425,0.34625,0
1,2.75,0.02205,-30.98115,0.74105,-1.20675,-0.3015,-1.029,-52.14125,-24.952,-2.801275,-6.76105,-5.14925,-1.55635,-1.05855,63.4156,95.1156,385.0425,385.23085,0.09,-85.9554,0,0,0,0,114.8991,177.233,0.3411,0
1,3.25,0.0202,-31.1359,0.816725,-0.551875,-0.836825,-0.692375,-58.003825,-23.8628,-3.192,-6.06025,-5.182175,-1.5352,-1.0598,64.26855,95.0664,383.2065,385.5092,0.08,-83.40545,0,0,0,0,114.656325,176.171225,0.3414,0
1,3.75,0.024225,-31.065725,0.952325,-0.577,-0.3783,-0.675,-58.7791,-25.4508,-4.03825,-6.78885,-5.171575,-1.53125,-1.06325,64.4965,95.0914,383.327,385.77145,0.0845,-79.0717,0,0,0,0,115.4651,175.70425,0.3352,0
1,4.25,0.02305,-31.29915,0.84215,-0.676925,-0.7083,-0.93225,-55.4465,-23.5036,-3.45885,-6.3907,-5.176025,-1.5233,-1.06735,63.56725,95.11,384.0525,385.47245,0.08,-78.2829,0,0,0,0,115.70125,175.972325,0.3348,0
1,4.75,0.019075,-31.585,0.872525,-0.78265,-0.48065,-0.979025,-61.005125,-20.5072,-3.51885,-6.31945,-5.2056,-1.5176,-1.07135,64.66805,95.11425,384.411,385.34465,0.09,-77.039,0,0,0,0,114.9719,175.208025,0.32735,0
1,5.25,0.0221,-31.894925,0.55495,-0.6838,-0.51795,-0.830725,-49.8824,-23.4398,-4.1606,-6.93215,-5.192,-1.5161,-1.0752,64.74185,95.116,384.139325,385.424925,0.0945,-79.6726,0,0,0,0,114.4195,174.673275,0.3189,0
1,5.75,0.021,-32.00515,0.660875,-0.97005,-0.242675,-1.016225,-53.34735,-26.6124,-2.84055,-8.34335,-5.1716,-1.523925,-1.072125,65.31715,95.10985,384.265,385.47485,0.09,-80.1013,0,0,0,0,114.3988,173.98055,0.3127,0
1,6.25,0.019125,-32.20185,0.649625,-0.62325,-0.3136,-1.138575,-49.4035,-25.7362,-3.653075,-8.0004,-5.151,-1.5341,-1.0691,64.73515,95.0988,384.5295,385.73795,0.09,-81.9606,0,0,0,0,113.5082,173.88255,0.30295,0
1,6.75,0.02,-32.47585,0.672225,-0.8305,-0.31565,-1.53895,-47.6692,-27.2256,-2.8779,-7.6152,-5.1374,-1.546875,-1.068,64.09095,95.082175,384.59,385.86565,0.09,-82.3608,0,0,0,0,113.2546,174.70275,0.2928,0
1,7.25,0.0213,-32.792,0.64455,-0.829,-0.359,-0.938625,-56.5445,-25.0698,-2.6846,-6.9569,-5.115,-1.551925,-1.0652,64.42145,95.0824,384.69,386.26045,0.0945,-80.8022,0,0,0,0,114.4234,173.5766,0.2945,0
1,7.75,0.02,-32.7564,0.561225,-0.76,-0.2032,-1.077,-52.4011,-20.8706,-2.153375,-6.4302,-5.194775,-1.569575,-1.068,64.7358,95.069725,383.989,385.8114,0.0945,-80.2026,0,0,0,0,113.837,173.09805,0.2898,0
1,8.25,0.021125,-32.883375,0.512425,-0.8415,-0.33625,-1.1935,-56.4326,-19.2832,-2.8432,-5.5842,-5.2937,-1.57775,-1.07885,64.903,95.0682,383.945,386.0329,0.0945,-76.38735,1.522075,0,0.173225,0,113.824825,172.7221,0.27735,1.36105
1,8.75,0.0281,-33.001225,0.602875,-1.233725,-0.779,-1.154,-44.7022,-16.5876,-3.16275,-6.52075,-5.301525,-1.568075,-1.085125,65.03535,95.07205,383.795,385.765275,0.0945,-53.6749,7.962875,3.698525,1.003525,0,112.31595,174.7031,0.2701,6.50745
1,9.25,0.044,-32.91995,0.4316,-1.45705,-0.473,-1.1655,-49.64275,-15.0134,-3.329125,-5.47305,-5.334425,-1.5653,-1.08635,63.54635,95.1036,382.58,386.308825,0.0945,-13.7077,17.0277,8.1832,2.1028,0.55985,111.97375,178.47505,0.28245,16.0003
1,9.75,0.072,-32.1694,0.37665,-1.276,-0.568325,-1.5025,-38.5569,-10.9488,-2.59515,-3.9343,-5.31065,-1.566,-1.0814,63.19925,95.120625,382.31,386.1374,0.1,6.538825,31.677475,15.262525,3.349,1.32495,111.406775,183.41,0.29555,31.5169
1,10.25,0.10565,-31.1797,0.4727,-1.638,-0.8096,-1.7935,-38.07095,-10.3142,-3.5595,-3.22815,-5.08125,-1.5708,-1.0712,62.9933,95.1348,383.006975,385.7822,0.1145,11.62845,45.048775,20.372425,4.423175,2.155525,112.66435,190.499425,0.3231,43.8067
1,10.75,0.138125,-30.2463,0.532225,-1.315375,-1.3837,-2.70675,-23.89845,-10.0834,-3.5805,-4.0754,-4.573775,-1.571425,-1.071025,62.22555,95.13995,381.61185,385.738325,0.109,16.45605,61.305425,27.2567,5.806175,3.514675,117.01215,194.59065,0.3614,55.726675
1,11.25,0.14195,-28.71385,0.510275,-1.511125,-0.77175,-1.7705,-24.8996,-11.5534,-4.688575,-5.07095,-4.427175,-1.5589,-1.0653,60.18245,95.13625,380.3285,385.6478,0.12425,18.5248,61.017925,30.907575,5.9543,3.7432,119.5966,199.4793,0.401,57.71545
1,11.75,0.133325,-28.3775,0.5166,-1.15165,-1.71,-1.574,-25.777125,-10.8772,-6.4226,-7.1719,-4.3298,-1.54125,-1.0599,60.124625,95.112475,379.9135,385.47675,0.13375,22.2856,69.678275,38.40855,9.93615,5.0856,121.265,202.691475,0.4147,62.680625
1,12.25,0.1384,-27.843,0.59935,-0.876975,-1.1999,-1.26475,-18.6892,-11.3024,-3.3585,-6.788825,-4.29725,-1.54415,-1.050725,58.5312,95.1062,380.0015,385.5875,0.144,23.81375,75.947525,35.978,9.7606,5.6978,123.002725,204.355325,0.4259,68.00245
1,12.75,0.1619,-27.5064,0.708725,-1.058425,-1.63755,-1.1287,-16.7341,-12.0744,-3.494625,-5.6998,-4.252,-1.55575,-1.04175,55.967,95.0953,380.2825,385.51585,0.16,24.97375,85.4533,36.886975,12.51885,6.2116,126.125525,205.4392,0.44225,78.575625
1,13.25,0.116675,-27.0645,0.68935,-1.403725,-1.7058,-0.8559,-19.517725,-10.5694,-3.214,-6.5969,-4.2538,-1.5567,-1.0267,53.4036,95.0896,380.333,385.499025,0.16,26.264925,83.718675,36.2529,11.3557,6.898025,127.03095,206.72255,0.4725,72.913275
1,13.75,0.1472,-26.450525,0.7569,-0.77865,-1.3933,-1.026075,-24.365125,-12.8164,-1.3082,-6.7186,-4.1753,-1.54035,-1.02385,52.450125,95.067875,379.77575,385.24955,0.17,23.206675,78.922175,33.91075,8.834625,5.352375,127.010475,206.878075,0.47365,72.437525
1,14.25,0.1435,-26.1442,0.89995,-0.752875,-1.279125,-0.7712,-18.501,-12.0706,-6.19025,-5.9791,-4.310625,-1.5353,-1.02675,52.751275,95.1082,380.0175,385.27375,0.17425,17.385675,64.81315,28.687075,7.38275,4.1186,126.6208,207.817175,0.48075,57.068475
1,14.75,0.1266,-25.7026,0.7243,-1.000375,-1.71265,-0.809275,-19.5517,-13.8422,-2.7449,-5.64765,-4.4133,-1.5185,-1.0217,53.141275,95.1163,379.32125,385.2093,0.17,10.811125,49.113575,22.61095,5.135,3.139025,126.22155,207.725325,0.4905,45.504575
1,15.25,0.124675,-25.78185,0.643975,-0.53975,-0.9982,-0.731025,-27.508525,-14.6812,-1.9465,-6.81685,-4.3692,-1.5018,-1.02395,52.2829,95.173125,379.0895,385.2752,0.16,4.02665,39.508025,15.959525,4.474475,2.172175,124.8804,207.33195,0.50285,33.9043
1,15.75,0.11345,-25.682,0.738225,-0.9422,-0.66875,-1.1666,-31.39755,-19.6432,-4.776,-6.3821,-4.4785,-1.4839,-0.99785,51.99255,95.182,379.8525,385.104,0.1745,-20.16325,25.321125,11.749125,2.877775,1.0916,120.29915,206.462175,0.51405,22.867725
1,16.25,0.0874,-25.7905,0.7532,-0.9068,-0.959825,-1.043,-38.4635,-24.0764,-3.7035,-7.90625,-4.636375,-1.493875,-0.993625,52.6143,95.2324,380.15,385.3753,0.1645,-54.670175,10.41685,5.021475,1.272475,0.0288,119.44695,204.2651,0.51645,8.998125
1,16.75,0.05225,-25.93585,0.602825,-0.9405,-0.595925,-0.9605,-43.61555,-27.2252,-1.469275,-8.5955,-4.8101,-1.5076,-0.9925,54.1299,95.2302,380.9175,385.133,0.16425,-82.3678,2.501625,0.46945,0.324475,0,120.204725,201.652925,0.5032,2.23715
1,17.25,0.029275,-26.187475,0.659625,-0.726775,-0.8232,-0.8987,-49.948775,-28.1,-2.36775,-7.52515,-4.97805,-1.5182,-0.993,54.68055,95.2304,381.464,385.14025,0.1545,-90.307925,0,0,0,0,119.669,199.030225,0.49975,0
1,17.75,0.023175,-26.3412,0.9006,-0.5138,-0.45275,-0.709875,-52.4383,-26.8222,-1.9025,-6.8845,-5.06385,-1.5188,-1.0135,55.8879,95.253375,382.567,385.349,0.14,-90.021575,0,0,0,0,119.541475,196.863775,0.4899,0
