DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
1,0.25,0.07,0.609,4.4835,5.036,8.3265,-8.068,-2.19925,-93.39425,-85.52425,-13.473,-0.7895,7.658
1,0.75,0.05,0.53,4.222,4.973,8.359,-7.81575,-2.48375,-94.6535,-83.40075,-23.426,-1.294,7.473
1,1.25,0.06,0.3995,4.1115,4.7895,8.6625,-7.79625,-2.28575,-95.56325,-92.5385,-13.1565,-0.6215,7.307
1,1.75,0.07,0.2995,4.0445,4.87,9.1755,-8.3515,-2.271,-94.267,-89.529,-11.7835,-1.012,6.919
1,2.25,0.059,0.356,3.684,4.775,8.959,-7.75525,-2.207,-91.958,-81.36,-11.92925,-0.90175,6.783
1,2.75,0.07,0.4055,3.7575,4.22875,9.0185,-7.823,-1.9115,-92.03625,-79.56025,-20.87,-0.7725,6.674
1,3.25,0.05,0.4285,3.55,4.306,9.0095,-7.60325,-1.7205,-90.5895,-82.62725,-16.77875,-0.65625,6.565
1,3.75,0.05,0.44,3.404,4.35425,8.911,-8.4875,-2.0525,-91.1215,-84.978,-15.0075,-0.334,6.438
1,4.25,0.06,0.337,3.425,4.4285,9.1085,-7.69675,-2.3005,-90.24025,-83.354,-17.55125,-0.57225,6.177
1,4.75,0.05,0.2485,3.4035,4.2855,9.0095,-7.50725,-1.9825,-88.9625,-76.672,-14.3395,-0.55575,5.897
1,5.25,0.06,0.35775,3.3285,4.23125,9.0755,-7.4605,-2.0355,-88.2795,-80.41975,-12.924,-0.352,5.653
1,5.75,0.06925,0.5165,3.0365,4.3655,9.0715,-7.543,-2.0135,-88.62425,-92.4995,-15.1225,-0.5905,5.388
1,6.25,0.05,0.335,2.8445,4.356,9.301,-7.36975,-2.27325,-88.24025,-92.901,-18.19825,-0.62,5.198
1,6.75,0.06,0.219,3.11,4.191,9.248,-5.23275,-1.83025,-85.84025,-80.305,-16.13925,-0.66775,5.082
1,7.25,0.06,0.229,3.215,4.617,9.368,7.50925,1.99275,-70.96875,-74.534,-12.27475,-0.96575,5.008
1,7.75,0.07,0.266,4.313,5.13,9.1645,31.1305,5.998,-20.1525,-70.134,-13.447,-1.177,5.042
1,8.25,0.06,0.179,5.2875,5.947,8.7405,56.74925,12.0265,1.6425,-46.462,-7.47025,-1.6535,5.249
1,8.75,0.07,0.166,6.181,6.67,7.9705,103.2275,21.19825,5.56725,-19.03375,-9.534,-1.936,5.474
1,9.25,0.05,0.14,6.8345,7.18,7.3925,78.16,20.73875,15.25925,2.48375,-9.896,-2.232,5.712
1,9.75,0.06,0.188,6.87,7.393,7.149,121.0785,28.38625,27.95175,1.358,-4.952,-2.515,6.073
1,10.25,0.1,0.207,7.301,7.71,7.27,190.75875,42.75475,51.23375,10.856,-4.75625,-2.75825,6.566
1,10.75,0.09,0.28,7.623,7.976,6.895,193.718,43.1995,91.133,22.137,-15.1035,-2.72975,7.187
1,11.25,0.109,0.277,8.2235,8.287,6.879,176.60325,39.582,90.7265,29.395,-5.06,-2.107,7.905
1,11.75,0.079,0.379,8.8095,8.672,7.168,208.104,42.496,61.78225,37.079,-11.72425,-2.4035,8.683
1,12.25,0.11,0.474,8.812,9.03525,6.8525,211.4995,37.849,79.309,35.9255,-16.2085,-2.614,9.423
1,12.75,0.12,0.2985,9.056,9.4075,6.985,171.339,35.1235,75.27675,28.7395,-20.193,-2.313,9.935
1,13.25,0.12925,0.40925,9.17,9.84875,6.4465,155.1425,32.805,57.70725,25.40425,-13.983,-2.0315,10.575
1,13.75,0.1395,0.34,9.413,10.1015,6.2545,123.7975,31.656,52.21025,28.258,-8.875,-2.15375,11.053
1,14.25,0.10925,0.4325,9.3355,10.30325,6.2715,100.55325,23.453,25.12275,20.87425,-12.687,-2.115,11.31
1,14.75,0.12,0.569,9.4675,10.16,6.43,82.442,17.7955,7.56400000000001,16.696,-12.655,-1.5075,11.478
1,15.25,0.1,0.3295,9.406,9.9635,6.2805,70.21275,12.5565,-9.11025,7.3685,-7.87625,-1.62375,11.672
1,15.75,0.0995,0.358,9.7805,10.007,6.5375,41.52775,9.478,-50.916,-15.3835,-13.125,-1.3185,11.8
1,16.25,0.07,0.2995,9.4875,9.767,7.2655,7.6505,-1.6835,-100.7065,-28.1845,-11.25,-0.76125,11.739
1,16.75,0.04,0.257,9.088,9.344,7.5785,-2.689,-0.781,-103.51325,-41.719,-11.72875,-0.4825,11.557
1,17.25,0.04,0.299,8.521,9.017,8.02,-8.56225,-1.562,-107.83025,-45.9465,-11.56625,-0.46625,11.227
1,17.75,0.0495,0.38,7.9785,8.528,7.8845,-8.772,-1.591,-105.295,-54.7905,-6.15125,-0.2725,10.831
1,18.25,0.04,0.25,7.84,8.3805,8.141,-8.70625,-1.48125,-104.098,-63.86425,-16.24975,-0.93875,10.415
1,18.75,0.05,0.445,7.6595,8.1985,8.2235,-8.82725,-1.641,-102.48175,-65.326,-11.695,-0.6625,10
1,19.25,0.0495,0.348,7.1755,7.4075,8.4635,-8.314,-1.51025,-99.42,-61.4815,-22.37625,-0.74,9.591
1,19.75,0.06,0.3665,6.6875,7.167,8.6285,-8.7365,-1.666,-99.0215,-72.742,-15.4975,-0.5035,9.225
1,20.25,0.05,0.3675,6.064,6.6895,8.454,-8.64775,-1.89275,-95.7575,-69.7115,-19.8535,-1.2205,9.039
1,20.75,0.05,0.555,5.891,6.3865,8.4275,-8.58725,-2.002,-94.28275,-66.0355,-13.6775,-0.6125,8.897
1,21.25,0.06,0.407,5.5705,6.275,8.5685,-7.99575,-1.64125,-95.531,-82.124,-12.32,-0.5325,8.771
1,21.75,0.06,0.4465,5.6755,6.0365,8.5315,-8.3515,-1.975,-92.74175,-75.65,-11.25875,-0.71125,8.642
