DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,-8.1034,-0.737647,0.303602,0.0371,0.0739,-0.00342,-0.01145,392.0935,0.640604335,5.776425,0.046084269,0.500551,0.4690025,0.159555,2.86013,0.1338975,7.10008,0.4362325,5.0575,40.38,85.6,5.414693729,2.4965,1.8435,4.2705,-18.25789,-20.224595,-0.00158147,-0.04189616,-61.177,-9.55e-05,-0.1372
1,0.75,-9.178205,-0.483855,0.375999,0.0432,0.124247,0.0004085,-0.0109,392.224,0.62761878,5.84898,0.049591817,0.5203195,0.4743395,0.1608165,2.81435,0.1417895,6.84851,0.393637,4.892,40.87,85.6,5.389,2.265,1.6255,4.0095,-18.37026,-20.12867,-0.0015703,-0.04164492,-60.3895,-9.55e-05,-0.1395126
1,1.25,-8.380615,-0.856462,0.380236,0.0799,0.0663,-3.925e-05,-0.0152,392.2685,0.684151635,5.857595,0.047341409,0.491501,0.481332,0.151755,2.76795,0.1379725,6.54805,0.41001,4.6415,41.515,85.6,5.020978246,2.0025,1.554,3.8475,-18.128385,-20.686,-0.0015334,-0.04047604,-60.174,-6.22e-05,-0.13482
1,1.75,-6.562674186,-0.6492335,0.496003,0.0217,0.075,-0.005675,-0.0122,392.247,0.6411819,5.82152,0.047988677,0.4983725,0.450895,0.1411185,2.67274,0.1314555,6.32003,0.3939655,4.54,42.1,85.6,5.032,1.783,1.3135,3.6275,-18.645395,-19.688835,-0.001530634,-0.042369,-59.433,-7.88e-05,-0.1312448
1,2.25,-7.98,-0.5016345,0.315363,0.0694,0.113398,0.000404,-0.01015,392.1375,0.644313293,5.940645,0.045029847,0.484398,0.4757055,0.139324,2.708,0.1255725,6.16696,0.407717,4.348,43.26,85.6,5.056144044,1.6285,1.0515,3.4235,-18.628,-19.56449,-0.001586571,-0.042603,-59.1925,-8.12e-05,-0.1336234
1,2.75,-5.6079728385,-0.558769,0.347473993,0.117644,0.0713,-0.0029,-0.0093,391.9315,0.61219587,5.916225,0.0414079595,0.516139,0.456285,0.140535,2.489965655,0.1221635,6.01422,0.383025,4.096,42.13,85.6,4.836635179,1.4165,0.7625,3.241,-18.682205,-19.831425,-0.001538159,-0.042146,-59.19,-8.36e-05,-0.1406892
1,3.25,-6.85474,-0.4224005,0.281818,0.0166,0.0703,-0.00202,-0.0097,391.9885,0.62561742,5.91373,0.0422456575,0.553262,0.512204,0.139811,2.43859,0.1309825,5.94725,0.408158,3.7695,41.49,85.6,4.6730423835,1.255,0.3035,3.0355,-18.101695,-20.12517,-0.001553035,-0.04178294,-58.93,-5.98e-05,-0.13714
1,3.75,-6.76776,-0.531113,0.284439,0.01064,0.0379,0.001,-0.00809,392.0585,0.615000427,5.8849,0.04419378,0.500202,0.502182,0.1315735,2.4419,0.115374,5.61153,0.398718,3.836,42.45,85.6,4.54673424,1,0.077,2.828,-18.35765,-20.158,-0.0015989,-0.04283769,-58.6035,-8.12e-05,-0.1359594
1,4.25,-7.023545,-0.6322795,0.231399928,0.0295,0.0516,-0.004725,-0.00769,392.0495,0.6356519,5.93689,0.044334896,0.556469,0.47929,0.141733,2.20879,0.131646,5.455012,0.396127,3.7815,43.32,85.6,4.4884890345,0.9065,-0.0865,2.7185,-18.003,-20.84423,-0.0015846,-0.041681,-58.061,-7.17e-05,-0.13124
1,4.75,-7.00116,-0.350981,0.1500945,0.0186,0.0338,-0.0027,-0.00615,392.1385,0.65004926,5.920745,0.042781278,0.54216,0.491683,0.13714,2.24723,0.1259985,5.0465,0.3984,3.364,43.71,85.6,4.4854161805,0.6005,-0.2275,2.61,-18.90098,-20.9595,-0.001645904,-0.04273161,-57.7185,-7.63e-05,-0.1371955
