DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1
1,0.25,429.2369,20.051,422.4065,17.100075,1955.1349,430.2328,20.321125,422.454025,17.25695,1953.7417,433.3265,20.14255,423.7115,17.3894,1952.384025,436.7627,20.203,424.2315,16.8913,1944.690375,456.3621,20.115,435.633,16.7535,1916.94995,475.2193,19.906,444.60515,17.00075,1915.857375,5.25955,18.44485,1.1871,421.12035,17.3766,4.6731,2.0625,4.1523,102.1133,25.2138,0.677149999999999,-3.27905,10.0519,1.54605,4.02225,2.33175,1.03075,0.81075,0.7205,17.176075,17.366,16.2877,15.369,12.526325,11.916675,11.620025,83.9025,99.26575,18.65325,13.53075,13.17,13.63075,13.1675,13.3065,2.0075,0.0714999999999999,3.2075,-0.34775,2.9005,395.0075,387.915,12.1895,400.92,388.34,0.88125,0.37,0.18,0.45025,0.17,0.26025,0.11,0.14175,0.06,1.22275,0.758150000000001,0.790624999999995,1.03205
1,0.75,431.7224,20.045125,423.3742,18.15585,1970.54,433.563225,20.435075,422.40125,17.962625,1954.073375,433.944875,20.3381,422.7068,17.39395,1953.5249,436.343725,20.2661,424.346375,16.963925,1948.0871,450.1015,20.240425,435.2027,17.446,1910.14895,474.536,20.05,456.8988,17.1985,1895.71285,5.425,18.9885,2.1181,421.267825,17.396,3.6982,2.636525,3.829125,51.21425,27.562925,0.740799999999999,51.4635749999998,16.9506,1.3663,4.0925,2.46975,1.02125,0.8105,0.6905,17.768,17.5253,16.7428,15.228,12.5449,11.94375,11.655625,83.8947,99.1275,18.84215,13.56025,13.0635,13.661,13.1015,13.283,2.22749999999999,-0.0140000000000003,3.52249999999999,-0.379,2.90675,395.7125,388.1125,11.7225,401.45,387.805,0.9005,0.37,0.18,0.46025,0.1705,0.2605,0.1305,0.15,0.06,1.1985,0.398999999999999,0.500474999999998,0.722399999999993
1,1.25,430.683575,20.381775,421.952,16.952225,1961.0667,432.73695,20.35635,422.166,17.27645,1954.8647,434.4792,20.343825,423.08625,17.195,1952.361375,437.19485,20.3926,422.832,16.9863,1934.5423,456.12385,20.51135,434.52895,16.6754,1922.217875,480.012975,20.34625,449.99295,16.82175,1911,5.47684999999999,19.0651,1.338825,421.441225,17.312875,2.83415,3.139325,6.4736,45.48895,45.9943499999999,0.6744,-1.1778,30.699,1.52915,4.13125,2.48,0.9805,0.8105,0.69,17.760775,17.4902,16.5221,15.188325,12.561075,11.856875,11.6664,83.87415,99.44875,18.7848,13.521,12.86575,13.67175,13.11275,13.2325,2.2025,-0.0190000000000001,3.305,-0.43,2.89125,394.23,387.6125,12.704,401.64,387.54,0.9205,0.36025,0.18,0.46,0.18025,0.27,0.12525,0.15,0.06,1.199,0.226799999999998,-0.0024250000000017,0.689799999999996
1,1.75,431.2883,19.91075,422.89215,17.603375,1955.67225,431.83285,20.258725,422.46325,17.8214,1949.8497,432.652,19.949,422.6957,17.471575,1954.647,440.14145,19.980325,426.162875,16.81945,1943.444125,456.1506,20.154,435.767925,17.4771,1906.4333,488.972225,19.964925,466.562775,17.211675,1904.26905,5.251625,18.96025,0.947125,421.73495,17.5787,3.652375,1.9362,4.34725,67.8962,34.1905,0.693125,-1.29725,16.653625,1.397875,3.94,2.28475,1.01175,0.87075,0.7,18.080425,17.9114,16.7556,15.508875,13.239725,11.9173,11.680775,83.839825,99.4575,19.3835,13.47325,12.9325,13.6915,13.0745,13.1805,2.1025,-0.0877499999999999,3.1025,-0.43925,2.77975,395.31,387.4125,12.9915,401.7,387.94,0.94025,0.37025,0.18,0.45025,0.18,0.26025,0.11,0.15,0.058,1.17475,0.138774999999999,0.0768999999999986,0.495499999999998
1,2.25,429.2284,19.896,420.827925,17.0232,1955.14,425.8895,20.050275,419.961475,17.3153,1949.48345,429.660125,19.962825,420.8251,17.3832,1945.13695,431.2316,19.957,421.61025,16.5761,1940.44265,454.48775,20.0167,445.118375,16.744,1909.0403,479.36175,19.973475,452.532275,16.8984,1890.31725,4.976,18.928,1.069,421.3117,17.6463,3.205625,2.0904,2.386525,149.20215,43.774325,0.638,-4.4755,25.954,1.568,3.9505,2.28,0.971,0.8035,0.6705,18.00275,17.68975,17.1685,15.142,12.88145,11.8727,11.598325,83.816525,99.95625,19.3328,13.53,12.9245,13.454,13.0215,13.01225,2.31,-0.0190000000000001,3.22,-0.387,2.5025,394.075,387.74,12.654,400.5525,386.015,0.9305,0.37,0.18,0.4505,0.1705,0.2505,0.11525,0.14,0.06,1.2,-0.082,-0.273225,-0.018
1,2.75,423.5794,19.882475,422.671725,17.757125,1957.306525,423.7665,19.951125,422.5513,17.9698,1953.8955,424.291875,20.0903,422.87205,17.281,1943.261025,430.664625,20.1154,421.726625,16.60235,1936.96985,446.2747,20.23095,444.69235,17.6225,1903.995125,462.2257,20.104275,455.766,17.243,1890.1193,5.313975,18.853275,1.079425,421.323425,17.3122,3.275425,1.859,3.7211,42.49065,17.1984,0.606775,-2.7181,10.35,1.589025,3.87925,2.35,0.97075,0.83525,0.6615,17.8609,17.813,17.22875,15.5862,13.3647,11.9032,11.701325,83.7962,99.305,19.45155,13.5915,12.91075,13.5535,13.08,13.035,2.1,-0.0455000000000003,3.3,-0.39,3.06125,390.71,388.215,11.398,399.33,386.93,0.92075,0.36075,0.18,0.45225,0.17075,0.25075,0.1155,0.15,0.06,1.25,-0.208775,-0.149299999999999,0.187500000000001
1,3.25,427.2517,19.8392,421.33675,16.8536,1950.9418,428.47355,19.881,420.885,16.745,1949.71025,428.93515,19.86215,422.062,16.879925,1947.86215,439.07745,19.935525,422.281625,16.5299,1931.515025,456.09765,19.90955,440.1784,16.6987,1909.73205,492.6937,19.94345,453.9371,16.846375,1883.7521,5.3904,18.76405,1.15505,421.6824,17.28435,3.19925,2.64245,11.63995,53.81375,31.046825,0.583775,-2.612725,15.3682,1.3013,4.15,2.505,1.0045,0.8515,0.68,18.1477,17.8767,17.46635,15.369475,13.22885,11.89085,11.538475,83.7856,99.5715,19.9137,13.372,12.8845,13.67225,12.9435,12.991,2.205,-0.0490000000000001,3.5,-0.39875,2.90775,390.215,388.1525,10.786,400.45,386.56,0.92,0.37,0.18,0.45,0.18075,0.25075,0.1155,0.14225,0.05825,1.255,-0.1635,-0.403624999999998,0.201075000000001
1,3.75,427.7998,19.7302,422.365875,17.4223,1957.8568,428.4309,19.7453,421.6096,17.52425,1951.7978,431.7545,19.790625,423.401925,16.8145,1946.14375,432.469525,19.722,425.22715,16.50945,1923.79825,457.75855,19.704875,440.97615,17.712375,1912.686,473.27095,19.83275,463.78225,17.381,1890.8512,5.19685,18.619175,1.020575,421.479,17.045,4.16815,2.256,6.49025,85.0592500000001,38.853,0.709125,-2.9698,12.86305,1.79955,4.406,2.48,1.0415,0.7915,0.68075,17.9249,17.6775,17.08215,15.1537,12.70915,12.09105,11.600725,83.7712,99.3475,19.811,13.523,12.8405,13.58225,13.0475,13.023,2.305,-0.0570000000000002,3.6,-0.41375,3.2245,389.63,387.3375,12.076,400.15,386.32,0.92,0.36075,0.18,0.44075,0.18,0.2515,0.11,0.14225,0.06,1.255,-0.265525,-0.258999999999998,0.1414
1,4.25,426.37785,19.63945,421.4165,16.7027,1948.91,426.95255,19.83365,421.67935,16.6505,1957.513175,427.614125,19.552,422.294875,17.2208,1954.47575,433.1483,19.875,424.66505,15.99615,1929.76125,454.571,19.892275,438.3477,16.5374,1913.6693,477.3553,19.8137,444.9784,16.6254,1888.098,5.5495,18.220775,1.2594,423.7082,17.508,3.1082,2.1805,5.7902,58.3724,56.846975,0.688075,43.6629499999999,14.35345,1.53965,4.4505,2.575,1.10375,0.8045,0.70075,17.96235,17.7199,16.48365,14.97715,12.5644,12.04415,11.7056,83.781,99.1125,19.24865,13.563,12.89075,13.3195,13.1415,13.058,2.91,-0.0655000000000003,3.805,-0.42825,3.23975,386.89,387.3525,12.759,400.05,386.58,0.91075,0.36,0.18,0.44225,0.18,0.25075,0.1155,0.15,0.05,1.265,-0.106999999999999,-0.4979,-0.192350000000002
1,4.75,427.273,20.4519,423.2155,18.081975,1957.4493,431.5998,20.71785,423.75775,18.370725,1946.3963,430.567525,20.431,425.21625,18.29585,1952.494725,429.9772,19.9098,423.01575,16.0895,1935.610625,456.979,19.869775,460.01,17.783,1911.212625,499.372,19.818125,457.94065,17.448125,1907.632875,5.6167,18.2797,1.198225,423.116675,17.405875,3.813,1.41365,4.255275,42.131375,27.3234,0.6882,2.4178,12.877,1.414575,4.1605,2.62,1.0345,0.7815,0.7,17.223,17.244875,16.05955,14.7339,12.69545,12.0969,11.844675,83.7894,99.4225,17.5205,13.155,12.9145,13.4445,13.1605,13.1465,2.705,0.0104999999999994,3.53,-0.35875,2.7645,387.245,386.53,12.3765,399.095,386.865,0.9005,0.37,0.18,0.4515,0.17,0.2505,0.11,0.14,0.06,1.275,-0.4274,-0.4815,-0.4096
