DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
1,0.25,0.554,2.9615,2.639,1.471,1.07075,0.431,-6.2635,2.805,-4.444,5.23075,86.325,102,413.065,2.0525,-13.305,0.01125,0,2.2,302.3,317.6
1,0.75,0.579,2.9525,2.66225,1.475,1.2675,0.34175,-6.767,2.682,-4.46675,5.2225,87.6,102,413.3895,2.0125,-12.5975,0.00575,0,2.1,302.4,317.3
1,1.25,0.54175,2.9175,2.48125,1.371,1.113,0.3445,-7.4055,2.428,-4.5315,5.2005,88.65,102,412.991,1.97,-13.585,0.00375,0,2.1,302.35,317.85
1,1.75,0.521,2.81875,2.5375,1.51325,1.065,0.43425,-6.74875,1.844,-4.516,5.18,88.9,102,412.884,1.9575,-12.1325,0.00425,0,2.1,304.675,318.55
1,2.25,0.4975,2.82775,2.4815,1.42,1.166,0.338,-7.286,2.2775,-4.4865,5.161,89.425,102,412.771,1.975,-11.9925,0.0095,0,2.075,301.95,318.2
1,2.75,0.512,2.741,2.502,1.519,1.178,0.41125,-9.0015,2.0895,-4.51475,5.10775,89.6,102,412.9785,1.94,-11.4375,0.006,0,2.1,302.15,318.05
1,3.25,0.515,2.7545,2.44025,1.55875,1.12325,0.44025,-6.662,2.28,-4.6065,5.0225,89.1,102,413.617,1.8625,-11.74,0.01225,0,2.1,302.075,317.925
1,3.75,0.5295,2.72975,2.42975,1.5,1.11,0.42075,-6.572,2.318,-4.6545,4.97,89.5,102,413.688,1.89,-12.645,0.011,0,2,300.525,317.275
1,4.25,0.537,2.4855,2.52725,1.467,1.139,0.41325,-5.653,1.70825,-4.6945,4.885,89.45,102,413.922,1.9225,-13.5675,0.0045,0,1.972,300.175,316.975
1,4.75,0.536,2.431,2.466,1.356,1.21,0.3275,-6.748,2.015,-4.698,4.8225,88.9,102,413.01375,1.8225,-12.4375,0.01425,0,1.966,299.975,316.025
1,5.25,0.51825,2.42325,2.5,1.388,1.1125,0.421,-7.524,1.9225,-4.76725,4.7975,89.75,102,414.074,1.8175,-12.075,0.013,0,2,297.85,314.9
1,5.75,0.5075,2.32425,2.55275,1.416,1.1385,0.4055,-6.45475,2.044,-4.81025,4.765,90.3,102,414.19,1.8175,-12.585,0.015,0,1.93475,299.85,314.1
1,6.25,0.49225,2.41875,2.47275,1.62,1.3215,0.455,-6.557,1.5485,-4.82075,4.7125,90.375,102,413.6385,1.7825,-12.0525,0.01825,0,1.9925,301.65,314.175
1,6.75,0.523,2.305,2.52425,1.625,1.357,0.5405,-5.901,1.81425,-4.8055,4.6545,90.9,102.1,413.5665,1.7525,-10.8275,0.24925,0.1,2.0605,301.725,314.1
1,7.25,0.533,2.13125,2.4535,1.605,1.343,0.579,-4.573,2.085,-4.79,4.66,90.8,102.1,413.356,1.71,-12.2675,11.825,6.1085,3.50525,297.65,314.175
1,7.75,0.571,2.01125,2.508,1.85375,1.608,0.41625,0.641,4.622,-4.794,4.695,91.3,102.101,414.4345,1.76,-3.2485,81.725,45.0125,14.3275,298.725,314.325
1,8.25,0.66825,2.4745,2.7735,1.64875,1.966,0.1525,23.1795,9.089,-4.7525,4.81,90.875,102.2,415.074,1.8125,22.9825,220.325,123.8,26.2875,297.425,317.5
1,8.75,0.76125,3.42325,3.04725,1.6345,2.246,-0.1025,63.5825,15.838,-4.72575,4.9025,89.7,102.17525,414.337,2.01,68.5975,363.025,196.2,34.165,297.4,320.575
1,9.25,0.7735,4.2805,3.12225,1.4645,1.93025,-0.16475,104.39625,22.413,-4.50175,5.025,88.725,102.17525,412.629,2.3325,118.3,508.05,265.625,41.4,297.175,323.85
1,9.75,0.8315,4.96275,3.2985,1.43175,2.083,-0.121,138.053,32.449,-4.2895,5.0775,87.075,102.2,411.24,2.675,165.725,645.425,332.5,48.9,299.95,329.35
1,10.25,0.859,5.75675,3.559,1.4165,1.848,-0.1445,163.377,36.344,-4.0635,5.25775,82.975,102.10075,409.193,3.0825,207.425,755.725,384.925,55.2075,301.875,333.175
1,10.75,0.8715,6.2765,3.56125,1.4275,2.0345,-0.153,199.79275,39.0605,-3.61575,5.4175,82.4,102.1,407.856,3.485,239.1,844.2,427.925,60.25,301.7,339.45
1,11.25,0.89375,6.96375,3.586,1.51,1.80675,-0.067,207.4935,43.465,-3.03825,5.5385,78.775,102,407.46475,3.955,263.975,909.025,461.325,64.7,304.4,342
1,11.75,0.89875,7.275,3.72875,1.266,1.769,-0.0805,207.627,48.49,-2.2345,5.708,75.075,102,407.0215,4.19,274,934.225,470.05,66.4,304.55,345.55
1,12.25,0.917,7.61,3.80075,1.244,1.512,-0.0375,211.7505,44.277,-1.4775,5.8455,73.5,101.9,406.22125,4.415,274.25,940.15,471.175,65.67,305.525,345.975
1,12.75,0.921,7.6425,3.87125,1.5165,1.7455,0.1295,202.8155,47.296,-0.899,5.97175,70.375,101.9,406.13,4.655,265.925,911.05,465.8,65,304,347.65
1,13.25,0.88975,7.89,3.84125,1.4755,1.60325,0.08275,192.48425,40.5755,-0.16375,6.019,68.6175,101.9,405.196,4.94,243.5,859.9,438.7,61.05,300.45,348.85
