DOY2,HR2,WS,T_SONIC,H2O_1_1_1,LE_1_1_1,FC_1_1_1,CO2_1_1_1,TAU,USTAR,SC,H,NETRAD,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_DIF,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TS_1_1_A,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_1_2,TS_6_2_1,TS_6_3_1,PA,FC_1_1_2,CO2_1_1_2,H2O_1_1_2,LE_1_1_2
1,0.5,0.7,-18.3,0.7,-5.7563327477125,-0.5,368.42,-2.05085,0.07591075,-1.3,-80.2375,-75.55,0,-1.6325,10,46.24,44.4675,45.8175,47.8475,56.5,-18.1133333333333,-19.17,-19.0975,-20.05,-20.7225,-2.2525,1.1,0.6,-0.145,0.6,1.4,2.4,-0.345,1.6,3,-0.65,-0.3,2.2,2.755,96.665125,-0.57334,411.1,1.04765,-2.06076038538995
1,1.5,0.8,-18.76,0.7,-6.325832614665,-0.78,368.775,-2.093825,0.09069625,-1.46,-92.22,-75,0,-1.7,9,46.56,45.995,47.965,46.01,56.335,-17.7207692307692,-19.6725,-19.6,-20.52,-20.9225,-2.2,1.1,0.6,-0.1425,0.6,1.4,2.4575,-0.3425,1.6,3,-0.7,-0.3,2.2,2.7575,96.7153,-0.261605,410.045,0.76161,-7.0610152395895
1,2.5,0.77,-18.9775,0.7,-7.57764618225,-0.6,368.5875,-1.9241,0.0741575,-1.4,-89.2275,-76,0,-1.42,9,48.02,47.14,48.22,46.6675,55.78,-17.7543181818182,-19.8325,-20.0425,-20.725,-21.3788636363637,-2.25,1.1,0.6,-0.2,0.6,1.3575,2.4,-0.4,1.6,3,-0.7,-0.3,2.2,2.7575,96.78415,-0.7283725,410.115,0.91402,-11.534630595076
1,3.5,0.7,-19.375,0.7,-6.5573417087388,-0.895,368.03,-1.987375,0.07033775,-1.3,-97.0625,-76,0,-1.6175,10,49.255,47.965,50.025,50.0275,57.43,-17.563125,-19.9775,-19.895,-20.715,-21.6225,-2.2,1.1,0.6,-0.2,0.6,1.3575,2.4575,-0.4,1.6,3,-0.7,-0.3,2.2,2.7575,96.815225,-0.435055,410.015,0.9319,-7.984164028773
1,4.5,0.6,-19.59,0.7,-5.883637506005,-0.3,368.3,-2.0991,0.07,-1.595,-89.845,-79,0,-1.61,9,50.97,49.7,52.495,51.6625,58.2,-17.7680769230769,-20.2740384615385,-20.1182692307692,-21.1575,-21.9225,-2.22,1.1,0.6,-0.2,0.6,1.315,2.4575,-0.4,1.6,3,-0.7,-0.3,2.2,2.7,96.768125,-0.2579625,409.9125,0.9460375,-6.3937881168715
1,5.5,0.6185,-19.5,0.7,-6.44803862226775,-0.3,368.2,-2.202,0.064,-1.11,-92.2475,-78,0,-1.5,9.575,51.925,51,51.925,52.4625,58.31,-18.0725,-20.3,-20.1525,-21.0777272727273,-22.1,-2.3,1.095,0.6,-0.2,0.6,1.2575,2.4575,-0.4,1.6,3,-0.745,-0.3525,2.2,2.7,96.7245,-0.511635,409.775,0.848525,-9.490821576935
1,6.5,0.59725,-19.7,0.7,-6.471292799586,-0.4,368.09,-2.2952,0.0668435,-1.3975,-94.54,-77,0,-1.6525,9.575,52.0225,51.115,52.6125,54.17,59.76,-18.1620833333333,-19.9825,-20.2625,-21.2,-21.9675,-2.375,1.1,0.6,-0.2425,0.6,1.315,2.4575,-0.4,1.6,3,-0.8,-0.3525,2.2,2.7,96.7682,-0.0562475,409.845,0.824325,-7.480355981912
1,7.5,0.5,-19.49,0.7,-7.186917544026,-0.6,368.7,-2.1942,0.057008,-1.3,-83.04,-56,2.7651,0,11,50.68,50.5,52.0025,53.7975,59.0925,-18.5228846153846,-20.05,-19.9,-21.3025,-22.1225,-2.5,1.0875,0.6,-0.2425,0.6,1.3,2.4575,-0.4425,1.6,3,-0.9,-0.3525,2.2,2.7,96.818725,-0.5209325,409.71,0.7931275,-11.266686592685
1,8.5,0.6,-19.2325,0.7,-6.1581346369425,-0.6,369.0075,-2.35135,0.07915,-1.6,-70.2125,-20,14.144,4.14,20,48.2375,47.8,49.62,48.4625,56.26,-17.8409090909091,-19.5475,-19.165,-20.2125,-20.85,-2.3,1.085,0.6,-0.2425,0.6,1.3575,2.455,-0.4425,1.6,3,-0.845,-0.3525,2.2,2.7,96.7844,-0.38085,410.17,0.77452,-2.6404974459741
1,9.5,0.8,-18.805,0.7,-4.9339115224724,-0.5,368.4,-2.399975,0.150025,-1.6,-38.7375,-9.7,39.005,12.6675,37.1,42.945,42.8625,43.9375,39.385,50.07,-16.8077083333333,-18.21,-18.1041666666667,-17.98,-19.025,-2.32,1.1,0.6,-0.3,0.6,1.3575,2.455,-0.4425,1.6,3,-0.8,-0.3525,2.2,2.7,96.747625,-0.7292175,409.895,0.57502,-0.62718496183625
