DOY2,HR2,USTAR,TA_1,WS,FC,H,LE,G_1_2_1,RH_1,PA,VPD,NETRAD,PPFD_IN,H2O_1
1,0.25,0.125,3.085,1.3125,0.1625,-10.918,0.268,-4.1665,64.6135,86.89,4.005,-34.844,0,5.52
1,0.75,0.135,3.264,1.35,0.322,-14.292,0.621,-4.1675,63.514,86.879,4.12,-34.114,0,5.4655
1,1.25,0.148,3.2615,1.4085,0.398,-14.688,0.417,-4.167,62.751,86.875,4.14,-34.829,0,5.371
1,1.75,0.152,3.3965,1.386,0.277,-14.692,0.4565,-4.1665,63.3865,86.885,3.87,-37.941,0,5.4075
1,2.25,0.1425,3.3725,1.3165,0.312,-13.0015,0.344,-4.168,62.448,86.909,3.73,-33.48,0,5.349
1,2.75,0.154,3.3305,1.3405,0.2755,-17.7215,0.602,-4.1785,61.0355,86.899,3.75,-39.671,0,5.2665
1,3.25,0.154,3.2715,1.3585,0.315,-17.3425,0.648,-4.2315,61.0295,86.888,3.885,-38.989,0,5.2425
1,3.75,0.1465,3.1475,1.3735,0.318,-14.375,0.498,-4.2345,62.229,86.875,3.92,-38.24,0,5.204
1,4.25,0.144,3.0665,1.426,0.27,-14.556,0.6505,-4.285,62.0795,86.864,3.77,-40.488,0,5.2445
1,4.75,0.173,3.0215,1.374,0.344,-16.357,0.611,-4.3,60.376,86.863,3.825,-39.462,0,5.221
1,5.25,0.143,3.0355,1.4045,0.258,-15.531,1.03,-4.305,60.3305,86.861,3.87,-37.4,0,5.2845
1,5.75,0.152,2.945,1.307,0.2835,-14.376,0.4665,-4.327,61.856,86.863,3.92,-37.797,0,5.344
1,6.25,0.144,3.0895,1.399,0.328,-14.3535,0.813,-4.361,61.9355,86.887,3.77,-36.358,0,5.3365
1,6.75,0.147,2.9235,1.34,0.295,-14.665,0.775,-4.37,62.232,86.897,4.1,-37.368,0.029,5.247
1,7.25,0.1445,3.0385,1.3305,0.359,-13.513,0.47,-4.381,62.2515,86.902,4.13,-34.103,8.131,5.079
1,7.75,0.151,3.195,1.355,0.149,-13.794,0.561,-4.3775,61.5765,86.921,4.16,-13.406,52.554,5.062
1,8.25,0.18,3.643,1.4855,-0.015,-14.377,2.419,-4.3955,60.0615,86.928,4.455,15.057,184.655,5.111
1,8.75,0.2205,4.24,1.3455,-0.459,-9.857,9.032,-4.395,59.85,86.959,4.72,60.179,342.215,5.3665
1,9.25,0.256,4.9825,1.297,-1.333,0.614,21.589,-4.3915,52.879,86.983,5.11,105.64,491.515,5.6435
1,9.75,0.291,5.8385,1.4085,-2.966,24.447,41.796,-4.3745,53.596,87.006,5.65,153.24,621.35,5.655
1,10.25,0.308,6.283,1.541,-4.19,48.988,44.812,-4.231,50.77,87.0305,6.09,200.65,747.52,5.761
1,10.75,0.336,6.55,1.676,-4.3005,72.89,47.1335,-4.182,48.642,87.0285,6.38,228.34,855.15,5.777
1,11.25,0.349,6.824,1.635,-4.551,84.1495,53.1895,-4.121,48.935,87.002,6.37,238.835,892.81,5.877
1,11.75,0.364,7.426,1.777,-5.068,95.408,53.3855,-3.973,48.323,86.9765,6.485,247.395,876.54,5.974
1,12.25,0.36,7.206,1.763,-5.462,95.534,53.267,-3.924,49.217,86.967,6.67,238.975,888.185,6.071
1,12.75,0.362,7.5135,1.794,-5.472,95.3765,52.987,-3.819,50.1215,86.938,6.52,247.72,860.375,6.184
1,13.25,0.3675,7.467,1.865,-5.356,91.348,55.386,-3.763,52.126,86.917,5.845,229.22,786.19,6.345
1,13.75,0.373,7.716,1.8565,-4.7135,84.483,45.9275,-3.7275,52.649,86.914,6.1,206.69,753.52,6.329
1,14.25,0.344,7.313,1.718,-4.537,70.3255,45.047,-3.681,54.799,86.9,5.845,167.7,623.29,6.5835
1,14.75,0.347,7.0705,1.665,-4.2125,55.723,37.488,-3.666,57.3455,86.899,5.515,133.78,500.365,6.599
1,15.25,0.315,7.211,1.6195,-3.312,34.067,32.086,-3.615,59.188,86.9015,5.24,80.4775,370.67,6.771
1,15.75,0.259,6.619,1.3815,-2.087,9.085,17.6465,-3.62,62.8,86.91,4.92,31.6815,222.12,6.894
1,16.25,0.2245,6.2695,1.27,-0.736,-1.371,8.158,-3.6135,66.728,86.897,4.615,2.562,114.235,7.079
1,16.75,0.135,5.424,1.035,-0.0285,-4.538,1.861,-3.63,69.6485,86.9,4.16,-35.017,31.882,7.163
1,17.25,0.1125,4.6925,1.005,0.103,-5.072,0.183,-3.628,73.689,86.891,3.61,-46.264,2.645,7.118
1,17.75,0.111,4.3275,0.983,0.177,-4.9565,0.117,-3.6795,75.382,86.891,3.29,-43.61,0,6.939
1,18.25,0.12,4.1565,1.043,0.209,-6.0075,0.2895,-3.688,77.699,86.887,3.01,-41.316,-0.013,6.816
1,18.75,0.113,3.8365,1.1175,0.167,-7.737,0.369,-3.682,77.2875,86.888,2.98,-40.784,-0.0075,6.576
1,19.25,0.121,3.7715,1.136,0.283,-7.097,0.194,-3.6845,76.4385,86.89,3.05,-36.69,-0.006,6.513
1,19.75,0.1315,3.646,1.0865,0.193,-7.299,0.1335,-3.724,73.688,86.886,3.06,-37.249,-0.002,6.343
1,20.25,0.1215,3.541,1.07,0.243,-7.175,0.452,-3.776,73.5605,86.894,3.37,-38.236,-0.001,6.3185
1,20.75,0.135,3.4975,1.139,0.384,-9.0935,0.628,-3.895,72.091,86.887,3.575,-41.699,-0.001,6.2525
1,21.25,0.141,3.6325,1.208,0.235,-11.182,0.381,-3.9095,70.966,86.916,3.575,-39.55,0,6.0985
1,21.75,0.142,3.528,1.217,0.2625,-10.6215,0.56,-3.955,68.82,86.947,3.735,-37.01,0,5.8795
1,22.25,0.141,3.256,1.181,0.267,-10.967,0.354,-3.9895,67.698,86.952,3.89,-39.015,0,5.847
1,22.75,0.132,3.174,1.253,0.267,-10.6845,0.5455,-4.0215,66.469,86.941,3.885,-40.191,0,5.8265
1,23.25,0.136,3.359,1.305,0.187,-9.685,0.444,-4.062,65.9795,86.935,4.15,-38.075,0,5.7115
1,23.75,0.131,3.056,1.2695,0.2385,-11.169,0.433,-4.0565,64.852,86.927,4.125,-39.314,0,5.593
