DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,426.55075,5.606,422.426,5.8845,2005.334,426.865,5.737,422.5575,5.7715,2001.947,425.865,5.15225,421.647,5.599,2009.297,428.064,5.882,423.672,5.8925,2000.51125,2.9845,1.064,0.8185,425.103,5.2785,0.29925,0.05,0.40025,1.83125,0.41725,0.221,-3.948,1.3195,0.7365,2.335,1.6675,0.49,0.857,0.309,-0.066,-0.3225,-0.96925,84.009,83.13,1.881,-0.5175,0.3525,-0.03,2,-1.3825,3.8,-0.96,0.8,285.75,312.175,-22.23,299.7,309.9,0.15,0.25,0.115,0.14,0.12,-0.02,0.07,0.14,-0.102,-0.5235,0.307,1.028,2.4175,5.359,8.36775,9.05225,9.49475,0.085,0.0665,0.34775,0.795,1.904,5.70625,9.1485,9.9035,10.48275,-0.06325,0.5,0.662,1.079,2.784,5.5825,8.37325,9.51925,10.596,0.17,0.20575,0.258,0.97875,2.47225,5.47025,8.99725,10.08525,10.1625,0.07625,0.09575,0.457,0.85875,2.502,-1.14225,-1.022,-2.333
1,0.75,426.542,5.7255,422.292,5.9295,2002.328,427.1235,5.759,422.7775,6.001,2002.402,425.0135,5.2405,420.3945,5.7005,2004.8,427.371,5.81975,423.3625,5.586,2001.51925,2.853,1.03,0.924,424.9665,5.399,0.275,0.053,0.237,1.8565,0.61775,0.203,-3.744,2.6495,0.908,2.355,1.645,0.49,0.50075,0.154,-0.044,-0.166,-0.786,84.00525,82.94,1.838,-0.415,0.1175,-0.16,2,-1.46,3.8,-0.9825,0.8,288.375,312.1,-20.87,300.8,310.6,0.15,0.25,0.12,0.15,0.12,-0.02,0.07,0.14,-0.121,-0.5255,0.2965,1.033,2.416,5.359,8.36675,9.05125,9.49375,0.0775,0.06625,0.346,0.7945,1.899,5.709,9.14675,9.90225,10.482,-0.081,0.50275,0.66075,1.083,2.78125,5.58275,8.37225,9.5165,10.62825,0.163,0.20075,0.25725,0.97725,2.48175,5.476,8.99625,10.084,10.1615,0.0765,0.09075,0.454,0.85875,2.4975,-1.3705,-1.2995,-2.4045
1,1.25,426.842,5.68825,423.04175,6.0135,2004.1915,427.037,5.7175,423.4325,6.197,2004.4425,425.1485,5.274,420.271,5.5765,2004.486,427.71375,5.7455,423.69925,5.897,2003.46325,2.707,0.949,0.681,425.09175,5.707,0.21825,0.0535,0.215,1.1315,0.422,0.21,-2.718,2.54,0.787,2.22,1.6,0.5,0.68625,0.4,0.046,-0.353,-1.077,83.987,84.7325,1.7835,-0.4775,0.1325,-0.18,1.9,-1.4725,3.75,-0.99,0.88,284.6,310.875,-22.66,298.6,309.6,0.1425,0.26,0.12,0.14,0.1125,-0.02,0.07,0.14,-0.135,-0.53025,0.29125,1.033,2.41375,5.357,8.365,9.0505,9.4925,0.05975,0.066,0.342,0.79275,1.905,5.708,9.1455,9.9015,10.48125,-0.10875,0.482,0.6605,1.085,2.7775,5.5815,8.3705,9.51575,10.625,0.15,0.191,0.25625,0.9765,2.48625,5.473,8.99525,10.08175,10.16,0.07,0.08275,0.44175,0.861,2.4915,-1.4675,-1.385,-2.423
1,1.75,426.283,5.684,423.042,5.96,2003.1695,426.7855,5.69475,423.446,5.925,2004.50175,424.95225,5.5405,420.19325,5.6705,2004.238,427.89,5.74,423.541,5.84975,2000.8605,2.71125,1.17925,0.7745,425.209,5.82925,0.225,0.078,0.3285,2.86175,0.47,0.19,-0.83225,2.3545,0.7575,2.29,1.675,0.475,0.732,0.164,-0.14175,-0.5755,-1.42275,83.996,84.72,1.85775,-0.59,-0.02,-0.39,2.1,-1.6325,3.8,-1.02,0.9525,283.45,310,-23.3425,300,310.7,0.15,0.2575,0.11,0.1475,0.11,-0.02,0.07,0.14,-0.148,-0.53225,0.27775,1.033,2.4115,5.356,8.36375,9.04775,9.4915,0.04675,0.0635,0.339,0.789,1.905,5.706,9.1435,9.9005,10.48125,-0.12325,0.486,0.65575,1.0645,2.77175,5.5815,8.3695,9.51375,10.6035,0.13975,0.19075,0.256,0.97475,2.4875,5.47075,8.99425,10.0805,10.1585,0.0645,0.0735,0.44175,0.85775,2.4855,-1.504,-1.359,-2.585
1,2.25,426.29575,5.6135,423.19175,5.921,2008.2955,426.794,5.66225,423.24275,5.906,2005.534,424.857,5.39425,420.962,5.641,2008.3425,427.56,5.786,423.43925,5.8105,2003.9545,2.467,0.902,0.862,425.244,5.499,0.264,0.081,0.219,1.993,0.51075,0.195,-2.552,2.165,0.776,2.23,1.635,0.5025,0.72575,0.21,-0.21125,-0.73925,-1.50525,84.012,85.69,1.8485,-0.73,0.0375,-0.4,1.9,-1.48,3.7,-1.01,0.8,282.625,309.85,-22.87,298.6,310,0.1425,0.2575,0.12,0.14,0.1125,-0.02,0.07,0.14,-0.175,-0.53625,0.26575,1.03125,2.40925,5.356,8.36275,9.04725,9.49025,0.031,0.058,0.335,0.7895,1.90275,5.705,9.1415,9.8985,10.48075,-0.142,0.483,0.64275,1.06075,2.7655,5.5815,8.36825,9.51775,10.5915,0.1165,0.18325,0.255,0.97375,2.48675,5.4705,8.99225,10.07925,10.1575,0.06275,0.05975,0.4405,0.8555,2.478,-1.434,-1.3495,-2.5995
1,2.75,425.80075,5.54625,422.6415,5.91225,2002.91,426.083,5.573,423.72525,5.933,2003.861,425.314,5.3145,420.9445,5.70875,2006.5,427.12775,5.45575,423.6115,5.7875,2000.1235,2.58175,0.35075,0.868,425.035,5.43725,0.2575,0.048,0.24525,2.7605,0.556,0.199,-2.24825,2.148,0.79875,2.17,1.61,0.47,0.183,-0.011,-0.25475,-0.84875,-1.901,84.017,84.73,1.7415,-0.7825,-0.4425,-0.5,2.05,-1.5125,3.8,-0.98,0.7225,285.175,309.375,-21.36,298.5,309.2,0.15,0.25,0.12,0.15,0.11,-0.02,0.07,0.14,-0.22,-0.54025,0.23475,1.0305,2.40625,5.355,8.361,9.0455,9.4885,0.01175,0.056,0.3305,0.786,1.90025,5.703,9.1405,9.89775,10.4805,-0.1645,0.479,0.63875,1.05675,2.7595,5.58225,8.36675,9.517,10.5875,0.1085,0.1785,0.25425,0.9695,2.48525,5.4715,8.99125,10.0785,10.1565,0.05675,0.0545,0.43975,0.853,2.4705,-1.5955,-1.538,-2.624
1,3.25,426.54625,5.462,423.39,5.778,2005.142,427.0115,5.4455,424.079,5.841,2004.25,425.15025,5.12675,421.595,5.526,2003.44875,427.3775,5.498,423.846,5.82775,2000.851,2.682,0.317,0.736,425.136,5.4615,0.28675,0.06,0.26525,2.978,0.8345,0.179,-2.8705,3.404,0.771,2.1325,1.58,0.505,0.268,-0.004,-0.218,-0.669,-1.699,84.015,85.42,1.8215,-0.96,-0.435,-0.67,2,-1.395,3.8,-0.935,0.955,284.075,308.025,-19.7,297.2,307.4,0.14,0.25,0.11,0.14,0.11,-0.02,0.07,0.14,-0.239,-0.53925,0.23075,1.0305,2.404,5.355,8.35975,9.04525,9.48725,-0.002,0.05425,0.32625,0.78375,1.8995,5.701,9.1395,9.8965,10.48,-0.20175,0.476,0.631,1.056,2.7525,5.58225,8.366,9.513,10.60225,0.10025,0.175,0.25425,0.9625,2.483,5.4705,8.99025,10.077,10.156,0.05,0.0495,0.43475,0.85225,2.45725,-1.67575,-1.95175,-2.744
1,3.75,427.01175,5.48,423.431,5.69825,2006.288,426.7875,5.44,424.314,5.6855,2006.483,425.009,5.18475,421.3855,5.67875,2006.048,427.3005,5.51125,423.595,5.682,2004.928,2.65375,0.46775,0.7125,425.02125,5.423,0.226,0.0475,0.3055,3.1475,0.622,0.1855,-2.5005,4.014,0.79925,2.0425,1.56,0.495,0.34625,0.188,-0.36075,-0.7665,-1.842,84.0035,85.745,1.797,-0.88,-0.1925,-0.56,1.95,-1.3175,3.8,-0.94,0.92,285.325,308.875,-16.7,297.6,307.9,0.15,0.25,0.12,0.14,0.11,-0.02,0.07,0.14,-0.233,-0.538,0.2265,1.02975,2.4025,5.354,8.35875,9.0555,9.486,-0.00825,0.0505,0.32325,0.78225,1.90275,5.699,9.1385,9.8955,10.4785,-0.19075,0.47375,0.629,1.054,2.75875,5.58225,8.36475,9.514,10.584,0.08525,0.1695,0.25225,0.95825,2.47975,5.469,8.989,10.078,10.1545,0.0385,0.04825,0.43375,0.84925,2.4485,-1.499,-1.7185,-2.657
1,4.25,427.1165,5.405,424.00875,5.75,2002.465,427.1565,5.3845,424.15325,5.761,2000.832,425.372,5.12125,420.69625,5.60475,2006.24975,427.663,5.521,424.32525,5.643,2000.56725,2.44075,1.001,0.73325,424.852,5.441,0.236,0.059,0.366,3.903,0.7085,0.17775,-1.397,2.643,0.765,2.18,1.665,0.48,0.4835,0.315,-0.1705,-0.9385,-1.589,83.995,84.275,1.77275,-0.8125,-0.27,-0.46,1.9,-1.3325,3.75,-0.94,0.95,285.55,309.075,-16.28,298.4,307.6,0.1525,0.25,0.12,0.14,0.11,-0.02,0.07,0.14,-0.241,-0.5425,0.22425,1.02875,2.40125,5.353,8.35775,9.05375,9.48425,-0.007,0.04725,0.31725,0.78,1.906,5.6985,9.1375,9.8945,10.4785,-0.1925,0.47225,0.622,1.051,2.765,5.58225,8.364,9.511,10.5845,0.079,0.15575,0.24575,0.95575,2.475,5.468,8.98825,10.077,10.1555,0.03575,0.044,0.43375,0.8455,2.43825,-1.72525,-1.71525,-2.668
1,4.75,426.849,5.43175,423.316,5.89,2001.95925,427.268,5.4225,423.1975,5.867,1999.84325,425.632,5.1765,420.72,5.656,2005.33525,427.771,5.4245,424.213,5.72575,2002.652,2.644,0.80975,0.69725,424.697,5.3505,0.315,0.059,0.31825,1.82025,0.96625,0.178,-2.4465,2.764,0.799,2.26,1.615,0.5,0.2755,0.235,-0.151,-0.682,-1.664,83.986,83.975,1.668,-0.625,-0.21,-0.31,1.95,-1.3725,3.7,-0.91,0.8475,283.725,308.1,-17.78,300.1,308.4,0.15,0.26,0.12,0.1475,0.11,-0.02,0.07,0.14,-0.238,-0.54375,0.22075,1.02775,2.39875,5.352,8.35575,9.04075,9.48325,-0.0125,0.04575,0.31,0.78025,1.90875,5.7,9.13575,9.8935,10.47725,-0.20925,0.466,0.61775,1.049,2.77175,5.58225,8.36225,9.51025,10.62275,0.068,0.1545,0.24525,0.9495,2.47025,5.46475,8.98675,10.076,10.1545,0.03075,0.0415,0.425,0.8455,2.428,-1.73225,-1.8575,-2.66925
