DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,16.25,1.03865,18.3155,4.4902,2.5869,2.662575,1.3788,40.2344999999999,16.2822,7.709325,10.498375,95.2225,103.41005,417.06425,10.75375,14.88125,128.4675,20.55925
1,16.75,1.036275,17.47075,4.3758,2.612175,1.9453,1.17605,15.3635,12.8526,6.889325,10.4945,95.3225,103.4,417.98,8.76574999999999,0.0850749999999758,46.3227499999999,8.66099999999999
1,17.25,1.02925,16.45975,4.566,2.488525,2.14155,1.77575,0.240375,12.75735,6.144,10.480125,95.325,103.485,418.54115,7.31949999999998,-1.34175,5.358425,-0.328000000000001
1,17.75,1.063,16.352475,4.3638,2.489,2.39125,1.418,-0.905200000000001,9.37227499999999,5.429475,10.488625,94.745,103.485,419.85695,8.043,-1.7327,0.0952749999999999,-0.28645
1,18.25,1.06725,16.34225,4.7652,2.290125,2.784,1.2734,0.889375,6.477775,5.0147,10.520875,94.845,103.4775,421.1625,7.60375,-1.60305,0,-0.344650000000001
1,18.75,1.02875,16.1135,4.8078,3.654875,2.495625,1.6975,1.016,13.1098,4.573075,10.4775,95.04,103.47,422.5623,6.9905,-1.5324,0,-0.343475
1,19.25,1.04185,15.702,4.5592,3.46925,2.48355,1.38205,9.406625,10.2826,4.08529999999999,10.39125,95.3325,103.5609,422.91365,6.39275,-1.13695,0,-0.187900000000001
1,19.75,1.0099,15.055,4.8038,3.115575,2.7183,1.2454,15.43325,8.2352,3.72027499999999,10.29,95.335,103.5609,424.187825,5.979,-0.766850000000004,0,-0.226850000000001
1,20.25,1.02465,14.65875,4.253,2.76545,2.7453,1.68275,17.3550999999999,15.11755,3.844725,10.178875,95.725,103.5609,424.954175,5.61199999999999,-0.152150000000002,0,-0.337075
1,20.75,1.0788,14.2825,4.381,3.59509999999999,2.5298,1.1924,20.0964,10.46015,3.93905,10.062875,96.3075,103.5609,424.2338,5.18974999999999,-0.072250000000002,0,-0.375700000000001
1,21.25,1.0266,13.90175,4.6806,4.530225,3.30494999999999,1.26245,14.1958999999999,6.3844,4.0086,9.95624999999999,96.3025,103.5509,426.2388,4.90699999999999,0.0673749999999999,0,-0.43825
1,21.75,1.002,13.53625,4.4094,3.447,2.347625,2.3328,14.1834,11.1975,4.37567499999999,9.84424999999999,96.0125,103.5509,425.634375,4.804,-0.366975000000006,0,-0.2358
1,22.25,1.1028,13.467,4.5204,2.957325,3.1876,1.41475,24.1878,8.18795,4.62099999999999,9.75199999999999,96.3025,103.551,426.560075,4.7025,-0.0971500000000044,0,-0.366475000000001
1,22.75,1.006625,13.7355,5.0458,3.1833,3.03135,1.862825,9.77599999999997,8.96545,4.82594999999999,9.67299999999999,96.3025,103.551,425.032525,4.8055,-0.591400000000001,0,-0.379025
1,23.25,0.9366,14.03125,4.5162,2.87595,2.70955,2.16262499999999,18.605975,6.8352,5.01395,9.53274999999999,96.2,103.4625,423.820825,4.633,-1.181275,0,-0.160850000000002
1,23.75,1.0138,14.5745,5.0538,3.360975,2.94635,0.99155,8.4277,12.76985,5.238525,9.38824999999999,95.91,103.4625,423.14155,4.172,-1.739175,0,-0.159000000000004
2,0.25,1.21375,11.05625,4.887975,3.2306,2.827,1.7396,21.6019499999999,9.978,5.13075,6.76125,95.5125,102.695,426.508275,3.95375,-0.185125,0.002,0.0336749999999997
2,0.75,1.001475,11.405,4.8592,2.5775,2.528575,1.4336,14.936175,12.8,5.025375,6.68625,95.6,102.695,426.00875,3.83375,3.157375,0.00225,0.0613249999999996
2,1.25,1.03025,11.4075,4.8112,2.5518,2.4392,1.1194,24.917825,13.323,5.15425,6.6165,95.46,102.69505,425.58645,3.729,-0.733550000000005,0.00214999999999999,0.2645
2,1.75,1.087,11.507,4.5809,2.7648,2.7202,1.5368,28.7953749999999,10.094,5.93745,6.554,95.315,102.7,426.196775,3.542,-0.5705,0.00214999999999999,0.0889249999999991
2,2.25,1.097425,11.439,5.0175,3.04525,2.837225,3.04619999999999,12.90775,10.28025,5.67679999999999,6.49,95.43,102.7,426.9806,3.5275,-0.631500000000003,0.001,0.134074999999999
2,2.75,0.994125,10.231,4.8392,2.857675,2.790125,1.680375,9.154175,14.2635,5.48289999999999,6.426,95.6,102.695,432.68375,3.4715,-0.998150000000008,0.00114999999999999,0.147349999999998
2,3.25,1.022825,10.2655,4.2658,2.7289,2.4495,1.78775,4.04854999999997,11.1911,4.89659999999999,6.3535,95.53,102.695,432.14775,3.395,-0.813050000000007,0.001,0.156325
2,3.75,1.00825,9.69199999999999,4.4866,2.73635,2.6005,1.247625,7.41124999999994,10.7884,3.95499999999999,6.3745,95.53,102.695,430.97025,3.3845,-0.889450000000007,0.001,0.0865999999999995
