DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_3_1,CH4_1_4_1
1,0.25,3.62113898721812,2.61195323730055,0.239204201441621,0.209416773028792,0.0253928331551093,0.187677016556441,0.994597020501878,-0.024185477960473,0.169255149999492,-15.2585331757643,-1.11467722368321,0.514668892610226,2.84,2.17,0.85,2.59455,2.658,2.20065,1.96095,0.5142,95.84508,69.275,2.14975,1.055,1.875,1.305,0.85,-3.445,2.4,-0.02,256.9,321.9,257,320.3,0.14,0.03,0.02,0.11,0.19,-0.14,-0.07,-0.1,3.1205,4.1805,5.843,6.921,7.443,3.466,4.143,5.965,6.599,7.159,3.273,4.4905,5.8745,6.71,7.177,2.676,3.8785,5.9005,6.482,7.1335,3.009,4.227,5.9405,6.6785,6.987,-15.904,-18.887,-17.258,-67.055,4.90002619203307,4.57528500653164,6.06018713360842,4.65954392668334,4.61056875979598,419.437655139083,425.484610075659,420.348425317032,424.458041879613,420.421979018874,425.617341063152,420.152375275779,425.922661808784,420.155781019535,2148.48169385449,2161.96454352591,2159.24532015602
1,0.75,3.56824663293496,2.19616951827288,0.235742625241892,0.205501436544395,0.0375545129218164,0.202262748695814,0.430684322732844,-0.625929463843889,0.175146999417487,-10.5828133250399,-1.10371813025359,0.481820584445179,2.925,2.33,0.89,2.0793,2.2565,1.72115,1.63495,0.4791,95.82794,70.9,2.0132,1.185,1.845,1.48,0.85,-3.545,2.2,-0.005,256.35,321.2,256.8,318.9,0.14,0.03,0.02,0.11,0.19,-0.14,-0.07,-0.1,3.051,4.1305,5.8025,6.9175,7.454,3.3885,4.06,5.9085,6.579,7.161,3.156,4.347,5.8445,6.698,7.1745,2.6125,3.744,5.8275,6.4485,7.1305,2.921,4.1025,5.89,6.6755,6.993,-16.66,-20.112,-18.187,-66.965,4.96522269787582,4.47725399170591,6.07988294303592,4.47439894121269,4.48145619225201,419.957409879033,425.557969776622,420.131900583793,423.620239091411,420.086420738496,425.549696526794,420.342058241632,425.92472465926,420.333446837413,2191.73745969009,2203.40076010672,2162.23890676151
1,1.25,3.54584824845851,1.96370268884823,0.240700765444917,0.204277528442951,-0.0102638210299288,0.184506279563312,0.474628339575623,-0.179804244175734,0.17667956018257,-10.5416095326282,-1.03305096661305,0.445332621461891,2.8,2.28,0.87,1.98465,2.0175,1.5148,1.33635,0.4736,95.8052,71.175,1.92465,0.965,1.61,1.2,0.75,-3.33,2.25,0.01,255.7,320.15,256.05,319.4,0.14,0.03,0.02,0.11,0.18,-0.14,-0.07,-0.1,2.977,4.0575,5.7475,6.916,7.4575,3.298,4.009,5.879,6.578,7.172,3.099,4.222,5.8145,6.6905,7.183,2.39,3.59,5.766,6.4135,7.13,2.775,3.991,5.8375,6.6515,7.001,-17.036,-19.995,-18.484,-66.02,4.933422874694,4.40716030323169,6.08127394230627,4.41877911307591,4.45320232770288,420.086959812673,426.163637343842,419.844509587062,423.542219723549,419.970418903886,426.163690338721,420.110437318418,426.589746899117,420.084607883559,2166.23913144906,2163.5073320596,2207.76606900162
1,1.75,3.42637671301018,2.0224212961003,0.245032042946819,0.243969705822025,0.0596764177652882,0.216265441615125,0.821089915237143,-0.818863925644463,0.161468981798832,-12.0586781907179,-1.54760723452339,0.513514783287044,2.8,2.18,0.905,1.6531,1.908,1.2794,1.1898,-0.02,95.815235,71.635,1.9415,0.825,1.465,1.1,0.8,-3.305,2.3,0.055,256.7,320.2,256.2,318.35,0.14,0.03,0.02,0.11,0.19,-0.14,-0.07,-0.1,2.99,4.0095,5.699,6.8995,7.464,3.227,3.958,5.845,6.564,7.174,2.9575,4.1315,5.778,6.682,7.182,2.2595,3.4795,5.7065,6.393,7.1235,2.7225,3.8595,5.785,6.617,7.013,-16.946,-20.1645,-18.757,-67.995,4.93127297964798,4.4414061418087,6.08757402105714,4.45904635294576,4.44615627750193,420.030329680957,426.105435029954,420.085698679879,424.824103148683,420.058538724486,426.38557259004,419.923230788904,426.727635047716,420.142826407575,2187.45501898735,2198.06684087713,2158.4455766318
1,2.25,3.48172660641584,1.98092966810151,0.245338185977263,0.214850984033461,0.0397350586846017,0.185763726964301,0.41212012110519,-0.540352783586323,0.181863842960205,-13.9712471757307,-0.393763685976054,0.457228477515519,2.805,2.14,0.865,1.56395,1.6545,1.2228,1.087,-0.2401,95.82626,70.605,1.8021,0.945,1.36,1.27,0.8,-3.18,2.2,0.08,254.05,320.15,255.8,318.85,0.14,0.03,0.02,0.11,0.18,-0.14,-0.07,-0.1,2.818,3.9455,5.6555,6.8795,7.467,3.176,3.959,5.81,6.546,7.175,2.8385,4.016,5.7365,6.6665,7.175,2.0865,3.375,5.6645,6.3715,7.123,2.6025,3.7265,5.738,6.605,7.0205,-16.943,-20.072,-18.959,-66.325,4.82042557708327,4.42776939829673,6.13007474592842,4.48797399996173,4.47400305379434,420.15728509475,426.414294606928,420.029222338016,425.267495331619,419.74829245537,426.608924507456,420.169494930848,426.584542494717,420.036760505148,2234.54192518762,2235.97758225207,2228.87657191869
1,2.75,3.50764963070172,1.46132032757987,0.259079706174864,0.178896867832244,0.0190120533270643,0.243107669623834,0.551375656460262,0.0085891825151281,0.17845986915966,-15.6177470786916,-1.01709395317337,0.46172889029112,2.695,2.15,0.9,1.3992,1.417,1.11355,0.9231,-0.2119,95.833365,69.03,1.7848,0.795,1.415,1.065,0.9,-3.315,2.3,0.07,255.25,319.5,255.2,318.5,0.14,0.03,0.02,0.11,0.19,-0.14,-0.07,-0.1,2.736,3.899,5.629,6.877,7.4645,3.104,3.884,5.769,6.528,7.175,2.72,3.926,5.673,6.6455,7.174,2.0295,3.246,5.5905,6.3405,7.1195,2.4895,3.645,5.6965,6.573,7.0145,-17.729,-20.706,-19.291,-65.52,4.76925827733078,4.52782173865471,6.06505526416614,4.52840741987493,4.44200920390386,420.148667420881,426.217710137897,419.903640945384,425.354781802933,420.046705672216,426.216543923072,420.107159374386,426.667245963006,420.01456581355,2186.13736378061,2209.73943216494,2207.49196698561
1,3.25,3.60836494514912,1.51442840514068,0.249182239389059,0.213693381190943,0.025234078713996,0.242652966239596,0.662438329331068,-0.0399442392592372,0.187702449726252,-12.6881721226523,-0.987899446092378,0.484122336368287,2.905,2.27,0.91,1.26845,1.3635,0.99965,0.7941,-0.3872,95.825805,70.365,1.73445,0.74,1.275,1.14,0.9,-3.18,2.35,0.1,255.55,319.85,255.6,318.2,0.14,0.03,0.02,0.11,0.18,-0.14,-0.07,-0.1,2.727,3.897,5.5775,6.861,7.469,2.993,3.782,5.725,6.51,7.174,2.656,3.8635,5.6085,6.6245,7.175,1.968,3.2065,5.4925,6.305,7.117,2.44,3.5975,5.6535,6.547,7.0035,-16.491,-20.0405,-18.6145,-63.66,4.80745029281976,4.37599094328774,6.01878772610629,4.45895354141333,4.48282988116325,420.315589497218,427.090933659032,419.697894772585,425.713485734051,419.991026740412,427.030594525906,419.95914162743,427.461133804931,419.6923070942,2178.72003477744,2169.99246985547,2178.44080032858
1,3.75,3.36906662991985,1.20301946075239,0.256651950245918,0.204311040188918,-0.00960970795594393,0.175920376799852,0.470291949844923,-0.341010522253508,0.157910875162845,-13.5056271475261,-1.01283211173227,0.479618340461447,2.68,2.08,0.885,0.95165,1.058,0.5069,0.28055,-0.685,95.84733,70.205,1.7956,0.585,0.89,0.66,0.8,-3.26,2.3,0.05,253.65,317.35,254.35,317.05,0.14,0.03,0.015,0.11,0.18,-0.14,-0.07,-0.1,2.654,3.887,5.517,6.841,7.4735,2.865,3.717,5.688,6.503,7.173,2.616,3.799,5.5415,6.601,7.1775,1.9045,3.143,5.449,6.287,7.107,2.3335,3.526,5.606,6.5215,7,-18.1665,-21.2735,-19.801,-63.835,4.91969527767644,4.51661980311092,6.02281904916838,4.48391250847739,4.50156597607093,420.421132005585,426.838653800982,419.841116125668,426.384534343164,419.777550575741,427.030411064538,419.4927903374,426.981971984791,419.908996339264,2195.69327857866,2191.04222564567,2168.32753219383
1,4.25,3.45177888217719,0.934935536128989,0.244382307467585,0.194203844550236,-0.0063307881649851,0.182022083327509,1.15309425161936,-0.781669583943185,0.17308792879211,-11.2107934313855,-1.03012424341581,0.473878502711167,2.96,2.2,0.86,0.93145,1.1075,0.35675,0.1936,-0.7213,95.833125,70.33,1.7293,0.55,0.81,0.65,0.8,-3.26,2.3,0.085,252.75,318.1,254.9,316.2,0.14,0.03,0.01,0.11,0.18,-0.145,-0.07,-0.1,2.5985,3.823,5.471,6.8235,7.477,2.8395,3.695,5.643,6.499,7.172,2.4725,3.7435,5.4555,6.5715,7.1745,1.785,3.0525,5.418,6.234,7.089,2.2575,3.4805,5.5565,6.497,6.995,-18.2825,-21.413,-20.514,-65.2,4.85489850337651,4.57274583973246,5.96636669097926,4.54990931333536,4.45142223020885,420.641691977536,426.739113541024,419.633331102656,425.760930293187,419.670644644693,426.968059942503,419.816499844523,427.113480338074,419.569817738618,2204.9376708697,2215.36219700051,2201.97300329876
1,4.75,3.70385119088463,1.12871419473856,0.256266864705685,0.230332925985893,0.00326817107341506,0.198344125278934,0.637778323962741,-0.23782846762698,0.171616614212434,-11.0089927078755,-0.479606442172979,0.501341214979552,2.795,2.3,0.89,0.80975,0.7255,0.3875,-0.03645,-0.7628,95.82454,72.89,1.67755,0.365,0.775,0.47,0.8,-3.215,2.2,0.155,253.15,317.25,253.4,315.35,0.14,0.03,0.01,0.11,0.18,-0.15,-0.07,-0.1,2.526,3.728,5.43,6.8055,7.4795,2.7345,3.644,5.6175,6.474,7.155,2.4025,3.685,5.3965,6.542,7.1785,1.6605,2.976,5.3285,6.203,7.078,2.212,3.395,5.5015,6.4815,6.9835,-18.668,-21.874,-21.0915,-66.735,4.86482725956795,4.53350935351234,5.92137399768319,4.51631198013284,4.40097556719873,420.260627440996,426.810137151619,420.144277393129,425.953052335888,419.966054378084,427.053748339733,419.894695824515,427.371913834523,420.035019684937,2176.41702798853,2224.65687232288,2223.96387389376
