DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,372.7575,2.37,-0.055,-17.4,-42.51925,0.188,0.8475,0.0905,0.28725,0.31275,0.117,99.697,49.7915,-1.73,0.58,-1.2825,0.212,0,-1.958,0.734,235.6,305.8
1,0.75,372.92,2.3975,-0.0365,-18.225,-39.112,-0.3195,0.8015,0.0705,0.277,0.31375,0.10375,99.66925,50.48375,-1.81,0.65,-1.46425,0.229,0,-2.05,0.735,234.595,304.9425
1,1.25,373.115,2.519,-0.132,-17.86,-35.65,-0.12,0.83825,0.075,0.27425,0.30925,0.109,99.644,52.358,-2.01,0.59,-1.447,0.19825,0,-2.167,0.76,230.11,302.9325
1,1.75,373.41,2.571,-0.053,-17.433,-35.8415,-0.036,0.75625,0.078,0.267,0.28,0.101,99.656,53.706,-2.1565,0.54,-1.3785,0.192,0,-1.919,0.678,229.4625,302.28
1,2.25,373.82,2.35975,-0.009,-18.4375,-37.2,-0.50875,0.777,0.074,0.276,0.303,0.096,99.651,53.868,-2.38225,0.49,-1.654,0.22,0,-1.913,0.667,230.145,302.4825
1,2.75,372.415,2.436,-0.065,-18.0925,-36.45875,0.0075,0.7625,0.074,0.29275,0.31675,0.101,99.661,55.99,-2.7205,0.5,-1.96475,0.194,0,-2.037,0.619,230.82,301.7875
1,3.25,372.45,2.412,-0.1785,-18.393,-32.473,-0.612,0.751,0.09,0.265,0.343,0.112,99.629,56.458,-2.833,0.47,-2.2655,0.211,0,-1.993,0.729,233.75,302
1,3.75,372.715,2.345,-0.015,-18.5775,-35.835,-0.97125,0.78175,0.078,0.277,0.351,0.103,99.627,56.023,-3.087,0.45,-2.56325,0.196,0,-2.001,0.666,234.4475,301.7575
1,4.25,373.8675,2.397,-0.01275,-19.595,-34.847,-0.65625,0.849,0.0825,0.274,0.3665,0.1125,99.625,57.291,-3.081,0.45,-2.47075,0.197,0,-1.827,0.666,233.58,302.0875
1,4.75,373.3725,2.455,-0.219,-19.5175,-30.9905,-0.771,0.80925,0.08425,0.301,0.332,0.116,99.61,57.751,-2.84,0.49,-2.328,0.197,0,-1.98,0.715,231.7225,302.6625
1,5.25,372.97,2.44125,-0.107,-18.94,-31.76225,-0.241,0.822,0.07525,0.268,0.337,0.093,99.619,58.016,-2.721,0.42,-2.311,0.186,0,-1.851,0.665,232.1425,301.585
1,5.75,371.14,2.4785,-0.22,-18.5525,-30.248,-0.3575,0.862,0.083,0.26375,0.3555,0.0955,99.633,57.429,-3.108,0.42,-2.46925,0.21125,0,-1.747,0.596,232.1375,300.2825
1,6.25,373.8175,2.503,-0.234,-19.3725,-31.19,-0.17825,0.784,0.084,0.298,0.365,0.101,99.636,59.46375,-3.196,0.4075,-2.9115,0.21,0,-1.813,0.559,231.4325,297.9075
1,6.75,374.56,2.507,-0.4345,-19.245,-30.437,-0.268,0.7365,0.08175,0.288,0.345,0.1,99.6745,59.38875,-3.35925,0.3825,-3.05,0.1905,0,-1.899,0.59,231.1175,295.895
1,7.25,372.28,2.51,-0.1985,-18.833,-30.94,-0.1965,0.713,0.077,0.27,0.318,0.084,99.6915,60.368,-3.326,0.3,-2.89975,0.187,0,0.249,0.692,232.9475,296.7875
1,7.75,372.77,2.509,-0.247,-19.0275,-24.224,-0.202,0.703,0.082,0.2875,0.3295,0.099,99.719,60.202,-3.24,0.275,-2.551,0.179,19,9.902,2.45,230.51,297.7475
1,8.25,375.14,2.67875,-0.463,-16.0225,-19.02625,2.46,0.705,0.089,0.30025,0.37325,0.134,99.724,57.202,-2.62,0.28,-2.292,0.2005,60.8885,33,6.53,232.235,305.7275
