DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,0.25,417.08495,0.68524,1.88895,-1.5702,-1.852075,0.3231,-1.391225,-1.63695,0.5056525,0.25236,0.197525,4.841475,0.172931,-2.10875,-2.92755,0.24026,1.40005,0.385835,0.22915,-0.060535,0.095885,-18.303925,-14.4325,-10.2055,92.3,88.58475,3.671725,98.7,1.058775,2.591325,1.9861,2.0923,0.610375,0.96918,1.31575,1.6351,0.385835
1,0.75,416.2493,0.716405,1.89735,-1.5695,-1.851975,0.28524,-1.08895,-1.6393,0.5251,0.209145,0.33099,4.28545,0.1518,-1.31921,-2.694175,0.58567,1.6127,0.349435,0.22575,-0.0536025,0.0902275,-18.4614,-14.25,-10.29625,91.9,88.66075,3.69885,98.7,1.056425,2.590375,1.98825,2.09355,0.61355,0.968195,1.31595,1.63415,0.349435
1,1.25,415.2272,0.690975,1.888725,-1.5694,-1.84975,0.33894,-0.8254275,-1.666025,0.472835,0.004270675,0.238095,4.6883,0.1153135,-2.4752,-2.82625,0.74236,2.9599,0.294125,0.267115,-0.058215,0.0868075,-17.993325,-14.42,-10.3825,92.3,88.63925,3.782525,98.7,1.055075,2.5893,1.9887,2.09355,0.612815,0.965505,1.31645,1.632575,0.294125
1,1.75,416.9799,0.651695,1.769425,-1.5698,-1.851025,0.25529,-0.7395075,-1.673075,0.47165,0.07517,0.15149,4.9147,0.50295,-1.8656,-0.27594,0.63446,2.1212,0.318365,0.258895,-0.049165,0.0729,-17.29645,-14.2525,-10.674,92.4,88.5475,3.5998,98.7,1.054275,2.586875,1.9863,2.0903,0.61374,0.96529,1.316675,1.63195,0.318365
1,2.25,417.1428,0.645175,1.80015,-1.5702,-1.84965,0.44261,-0.8936675,-1.579625,0.469585,-0.0443125,0.19096,7.3368,0.11618,-1.4814,-1.227225,0.62626,1.5858,0.319225,0.24784,-0.0494175,0.0796525,-17.016775,-14.215,-10.716,92.3,88.4185,3.665675,98.7,1.0543,2.584775,1.9911,2.08975,0.61437,0.96409,1.3137,1.631025,0.319225
1,2.75,416.7381,0.65024,1.84005,-1.5701,-1.846825,0.538655,-1.052425,-1.604325,0.477385,0.026578,0.37797,4.0472,0.16879,-3.38035,-1.575525,0.41714,1.0713,0.373705,0.224205,-0.0255175,0.0657725,-18.30665,-14.36,-10.85375,92.4,88.80925,3.67645,98.7,1.054975,2.58445,1.9915,2.0905,0.614335,0.963765,1.311925,1.630625,0.373705
1,3.25,416.3967,0.67302,1.861775,-1.5709,-1.843975,0.3270425,-1.136625,-1.65475,0.491695,0.15379,0.275,6.28975,3.38,-1.9067,-1.04786,0.31296,1.0931,0.312425,0.23205,-0.0382,0.0629475,-18.33395,-14.6225,-10.88,92.3,88.988,3.733675,98.7,1.0528,2.586575,1.9877,2.09135,0.61332,0.963065,1.309725,1.6314,0.312425
1,3.75,418.2041,0.707755,1.896575,-1.5708,-1.8399,0.446,-1.0922325,-1.63625,0.4893275,0.030138,0.36617,3.718,-0.12727,-1.50125,-1.05011,0.43019,2.0498,0.332255,0.25268,-0.04648,0.0636875,-18.45935,-14.8875,-10.847,92.5,88.961,3.8814,98.7,1.0519,2.5866,1.9874,2.0909,0.613935,0.96278,1.3095,1.632075,0.332255
1,4.25,417.916,0.6784375,1.9156,-1.568275,-1.8378,0.5651225,-0.9358575,-1.6249,0.4381025,0.37561,0.59631,3.8101,0.014691,-1.82125,-1.4402,0.58609,2.4543,0.31642,0.2359525,-0.0324075,0.035705,-18.494,-14.6375,-10.9455,92.5,88.6525,3.65245,98.7,1.04965,2.584825,1.98285,2.084075,0.611375,0.9585025,1.3096,1.632325,0.31642
1,4.75,418.0207,0.7119275,1.877025,-1.5702,-1.835525,0.387545,-0.7392575,-1.5847,0.4560875,0.094533,0.47271,3.91385,0.15518,-3.8871,-1.88365,0.73837,2.0173,0.298,0.26189,-0.01819,0.0555975,-18.4662,-14.095,-11.1075,92.7,88.47925,3.59705,98.7,1.048475,2.582725,1.9819,2.084075,0.6113025,0.9576225,1.308725,1.6302,0.298
