DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1
1,0.25,2.107234537,7.7535127404,20.88073181625,1.38454443755,419.8325698675,5.17026914,5.973205,5.79876,99.7916711719,3.481848376625,5.21169,2.25064,1.13112,3.0384,8.8094,1.50806,0.556087,3.12619499999999,3.35675125,1.895095,2.38642
1,0.75,2.266260900025,18.14212277275,9.1323144047,1.338888125,419.7504675,5.54154246805,5.6561375,5.431,99.8503520045,3.3362151717,5.60964,2.33656,1.13268,3.039855,8.9731,1.495905,0.553612,6.0227905,3.34583125,1.89343,2.373655
1,1.25,2.4764168682,10.95730189495,12.83887654725,1.4658598,418.972975,5.01117017125,5.27602,5.19346,99.9260602904,3.53098240596,5.37896,2.39346,1.13084,3.0384,8.800825,1.504915,0.55274,6.273572,3.364335,1.8929625,2.3676925
1,1.75,2.085611618,19.59149619675,16.49663537625,1.3420552,419.39454,5.48589075,4.9526475,4.7425,99.94679788115,3.53405847614999,5.87463,2.38204,1.13266,3.0380375,9.44605,1.48169,0.55762825,5.42036799999998,3.378405,1.893355,2.35597
1,2.25,1.9595780095,11.93308919875,21.39102965,1.2401012,419.57239355,4.6439001432,4.6845175,4.54514,99.94386917235,3.7366933834275,5.03031,2.42998,1.12668,3.0380375,8.851975,1.4952075,0.552055,4.162363,3.3720775,1.8918225,2.3463625
1,2.75,2.27277435235,14.178536392225,16.9644551705,1.273557675,419.692099025,4.816442975,4.526475,4.33482,99.996483742075,3.5678538758575,5.10816,2.37782,1.12968,3.0384,8.913325,1.4946125,0.53981925,4.60281200000001,3.37633125,1.8906825,2.33975
1,3.25,3.585484295,18.9382113,25.1909092245,1.34029054215,421.5396,5.17268712875,4.9819725,4.7633,100,3.433012028045,5.46372,2.42046,1.13012,3.0406375,9.229275,1.5032025,0.54968625,5.01277100000001,3.3788925,1.8911825,2.3333875
1,3.75,1.83317998625,21.1318060175,14.72942282,1.31579175,421.200676735,4.636002625,4.4025,4.6648,100,3.3337309376,5.01953,2.43396,1.1316,3.0370375,10.73925,1.49676,0.55540725,5.93538000000001,3.36726875,1.8914425,2.332185
1,4.25,1.6551430194,20.1702164,13.1169384135,1.3018445888,421.221279965,5.10894339375,4.77268999999999,4.38288,100,3.319666652075,5.46417,2.3698,1.1314,3.0369,9.224375,1.48368,0.53828525,5.33432974999998,3.35851125,1.8955975,2.3364575
1,4.75,1.6291799832,10.2000935892,20.925721947,1.29833628,421.16065699,4.8196636232,4.33248,4.08188,100,3.38860183095,5.15152,2.36424,1.1331,3.038675,9.7162,1.513325,0.54990575,4.50550499999999,3.37488375,1.894335,2.3319675
1,5.25,2.62362889979999,8.79634284825001,14.726788007,1.36638285,421.46412162,5.10004389155,4.48778,4.18616,100,3.30705134036,5.13682,2.41288,1.13298,3.036465,9.034925,1.5015325,0.54990875,4.87853949999999,3.3852125,1.8914975,2.328025
1,5.75,2.088338088775,4.60367419499998,23.4653640194999,1.277472575,421.1639837,4.782878640625,4.5091,4.33304,100,3.48439321106,4.872,2.38716,1.13282,3.0369,9.46475,1.51019,0.5505595,5.42970499999999,3.386365,1.8909475,2.32073
1,6.25,2.0774121618,9.81311030789999,15.52280740375,1.3117107192,421.254715145,5.32919802825,4.66605,4.3925,100,3.46868968348,5.25927,2.39188,1.13298,3.032095,9.580175,1.523965,0.546217,4.82380249999999,3.3711325,1.8910925,2.31507
1,6.75,1.313431824375,11.1182608655,18.3913219315,1.3457517,421.11850214,5.220669,4.18328999999999,3.80607999999999,100,3.30139860128,5.55942,2.70784,1.13482,3.0395925,9.166375,1.56477,0.55454975,5.1316045,3.3894625,1.889905,2.309355
1,7.25,1.8521446507,16.0426702035,13.0645470895,1.4434837866,421.50482122,4.9946387,4.11656000000001,3.77265999999999,100,3.17816697816,5.31399,25.4294,4.20964,12.429575,9.749775,20.321125,16.0238,6.49265625,8.8256775,1.8904725,2.3043425
1,7.75,1.8067337035,40.3641077,30.1693540425,1.476568225,421.874025,5.431470775,4.6946,4.31702,100,3.0780234262,5.66665,86.2892,14.4978,47.314925,14.4975,74.15615,68.8014,17.4125,28.0328625,1.8896125,2.2968775
1,8.25,1.96444851615,46.86689305075,17.775730752,1.38237099565,421.12084265,5.438887175,5.03280000000001,4.70808,100,3.33240979936,5.57725,257.154,32.4054,156.28125,31.68175,247.53525,145.2765,76.7520999999999,56.1818125,1.8867375,2.28482
1,8.75,2.482521371475,81.313381395,27.9261098275,1.303859904125,420.99220469,5.11721788924999,5.34952000000001,5.12648,100,3.57593245905,5.48674,426.288,48.9478,255.4145,46.06,436.02275,214.31475,147.42,85.4782125,1.8820975,2.25589
1,9.25,3.026852340075,150.7707068325,25.18065854075,1.349277636875,420.94140028,5.377762975,5.6644725,5.53378,100,3.76956815488,5.89537,563.406,65.2162,329.5705,54.554,603.23275,268.99525,199.447,118.624125,1.87648,2.23654
1,9.75,2.917534267,177.6622868,28.993472465,1.45900175,421.71398008,5.694974310825,5.96969999999999,5.58025999999999,100,3.72126931175,6.10295,693.728,85.7508,405.8965,67.7995,740.611,341.91525,261.703825,149.7235,1.8744725,2.2127075
1,10.25,2.6540494406,203.69826614,35.12542119375,1.36823956795,420.162718085,5.5028165,6.1642,6.51366,99.922784084425,3.867227265895,5.77897,794.306,100.646,461.76675,73.5805,845.91525,400.30975,288.0797,174.90475,1.8691825,2.1929025
1,10.75,4.0499027076,225.56118454,24.60734079875,1.406282675,419.723340225,5.4368065,7.70537749999999,7.31598,99.909328799125,3.9857650027075,5.37412,874.026,118.524,507.134,80.04925,947.0175,435.46375,324.926275,224.61,1.8696675,2.1759275
1,11.25,2.31396143,252.615120305,30.86320998625,1.3676821923,417.221595,5.17514225,8.276635,7.59693999999999,99.8652450706,4.19492614301,5.38275,928.796,123.972,537.1975,85.87675,1010.435,467.74475,338.678,300.35375,1.866695,2.175385
1,11.75,3.209174092,281.3132853825,43.86073457975,1.3130454,416.92936,4.8375292425,8.93214000000001,8.5099,99.85643286355,4.5290882242975,5.76027,960.136,132.304,551.22525,90.81775,1049.32,459.1055,338.591925,295.868625,1.8554575,2.163825
1,12.25,2.41687327195,260.3344557025,40.4279390995,1.267830527375,418.9061694225,5.252873583525,8.71406249999999,8.43668,99.77911268955,5.03739513838,5.69701,963.372,132.524,549.2105,89.99825,1018.6,451.631,345.39435,330.23925,1.850875,2.1512475
1,12.75,2.796300936375,259.496548285,41.3615035495,1.282376675,417.7206,5.18511472499999,9.05545749999999,8.65081999999999,99.4910682517,5.5829062256575,5.44631,946.894,124.306,531.5175,86.17025,987.995,434,334.687075,292.9365,1.8457325,2.15412
1,13.25,3.69024208935,262.1647130825,28.54177359,1.360640609,417.87813,5.3112211315,9.688015,9.37512,99.3287710905,5.64918753561,5.70563,888.95,113.096,499.89925,81.93225,916.7115,401.7945,302.74425,231.19725,1.847345,2.1735625
1,13.75,2.0747964323,216.03136029,36.4341050019998,1.3284316674,418.36844064,5.508621838275,9.46160749999999,9.20502,99.6077576646,5.7853993687375,5.65508,793.632,98.871,450.8115,74.937,793.941,380.24925,260.07125,228.3845,1.85695,2.2182925
1,14.25,2.31015355545,191.1417936,26.78547836875,1.3871761239,418.40071,5.6901613202,9.75897,9.4112,99.4063059247,5.8767681212275,5.57045,683.484,80.712,388.31625,66.8815,682.63425,322.9285,216.801775,148.0515,1.8636,2.245595
1,14.75,1.669029419,148.849419055,25.784380466,1.3986373,418.5139133775,5.565132,10.2013,9.9300875,99.556209372,6.00738695167,5.45543,549.36325,62.383,314.97375,58.229,551.76525,263.815,160.873975,109.290375,1.871255,2.2605675
1,15.25,1.698789908,107.7095810975,31.81501021,1.3700235,417.9613259625,5.6072502,9.60770499999999,9.4824725,99.58496682,5.461139313575,5.5637425,408.60625,42.7104,230.306,47.1745,380.8625,191.686,94.2631499999999,79.4183,1.874695,2.28146
1,15.75,2.07777189705,57.1230161789999,22.673205966,1.41441225,418.8455,4.95579979775,9.10148,8.9186025,99.697531931,5.290587004,5.2037525,221.8465,24.6048,122.765,30.01625,196.73075,118.70125,29.694379,48.78985,1.8697875,2.2917175
1,16.25,2.0676783084,17.36359740675,20.4420181975,1.35322075,419.647775,4.9583419124,8.50151,8.3245525,99.74007250325,4.53877264195,4.995545,67.716725,9.6731,34.43745,12.55425,60.15165,55.09145,7.4341255,24.8278875,1.8685325,2.3015875
1,16.75,2.489021088,15.6151594715,27.07346699,1.3635380209,419.7263455475,5.31105485,7.61238,7.5489175,99.70311818275,4.378104575125,5.0684175,18.334325,2.45804,6.5953275,8.89745,13.93465,10.31095,2.20333725,7.55751,1.86755,2.2987975
1,17.25,1.71973546012499,8.83229609815002,18.04979182525,1.4163364,419.88708617,5.1683362258,7.56819499999999,7.3685275,99.802019073,4.111477691,5.3065075,2.5955,1.13276,3.00442,9.1186,1.4473,0.57653925,1.90829524999999,3.27650375,1.8672525,2.2989275
1,17.75,1.997440522,15.2467978534999,17.79966055275,1.3014386033,419.918677065,5.10823748075,6.948025,6.8100325,99.8143469558,4.1160733478,5.267125,2.4028625,1.1288,3.0311,9.145675,1.4628225,0.56640325,1.65290424999998,3.32130625,1.8725525,2.304795
1,18.25,1.55943604445,32.0472709665,17.1869358125,1.4485886,420.55275015,5.4135516,6.66658,6.549895,99.8434299272,3.99007843388,5.7230075,2.378175,1.1323,3.036465,9.139025,1.462845,0.548706,1.73884374999998,3.3168175,1.877445,2.3152575
1,18.75,1.836214503,9.141765613,12.32650139125,1.38087575,420.41142,5.996548025,6.407925,6.199395,99.9409382458,3.74171729482,5.4910825,2.441235,1.13042,3.0369275,8.4123,1.45003,0.565529,1.99047099999999,3.3312375,1.8733975,2.3242325
1,19.25,2.371544602,25.35555346875,22.30317197,1.32036685,420.27844,5.43286915,6.08944,5.88632,100,3.52088647586,5.4145375,2.3763025,1.13288,3.0372475,8.793075,1.4629,0.584474,2.72846675,3.32656375,1.8683875,2.3346375
1,19.75,2.20764938135,12.683819793,36.376926394,1.384886708375,420.81874933,5.4601544,6.1588125,5.8915425,100,3.64533485102,5.4636325,2.3601625,1.13068,3.0379,8.5724,1.46986,0.56982825,3.2701525,3.3228325,1.87088,2.33626
1,20.25,3.144986701,9.25478600462498,24.1559449914999,1.339071896,420.91087209,5.26627299139999,6.4315775,6.184,100,3.6397311377,5.27786,2.413655,1.1298,3.0314625,9.72095,1.4787825,0.573521,3.1637515,3.35074375,1.8713575,2.3325675
1,20.75,1.9426164636,6.6400231657,28.588832668,1.436294259975,421.8722589975,5.6308944,5.8965625,5.7002025,100,3.89185383998,5.4517275,2.41109,1.13128,3.0369,8.7968,1.4737175,0.5723075,3.09472625,3.35721625,1.8731275,2.323315
1,21.25,1.9876588706,27.2816625175,17.473053042,1.5508895735,421.3208435,5.57387325,5.6579125,5.540265,100,3.58653368232,5.6628975,2.334455,1.13112,3.0385375,8.81205,1.476655,0.57807375,2.67675899999999,3.3431875,1.875305,2.3136275
1,21.75,2.1011046285,7.54483101325,13.617045585,1.26763575,421.13144271,5.29832984017499,5.96305249999999,5.696195,100,3.68896628602,5.182305,2.3440675,1.13294,3.04066,8.725475,1.481485,0.5722285,3.2074015,3.34867875,1.8767425,2.3062875
1,22.25,3.554890439,14.09094000025,16.76730118475,1.2866950262,421.1925962,4.7944984043,5.9752375,5.8014675,100,3.79922925148,5.179675,2.3910975,1.13098,3.0371475,8.908925,1.48783,0.5707605,3.06760975,3.35241375,1.8760275,2.298535
1,22.75,3.004110528,17.953557076,55.36176471,1.38596215785,420.9146625,5.1691535,5.72975499999997,5.45208250000001,100,3.6538381934,5.37377,2.291495,1.133,3.0386025,8.832725,1.4999,0.55916275,4.07207149999999,3.3541575,1.8756,2.2971225
1,23.25,2.543266515,12.62327516025,19.38985328375,1.4697167676,420.93359267,5.59736057175,6.0678325,5.8301725,100,3.56183787738,5.57721,2.3494575,1.13132,3.03884,8.982675,1.5019225,0.555489,3.13571249999999,3.35928625,1.87518,2.29437
1,23.75,1.64431023375,11.096528303,23.3087230725,1.335016,420.7536880825,5.03855243575,5.8874125,5.805785,100,3.6194591705025,5.140275,2.41801,1.13296,3.0384,8.82335,1.4982425,0.56370875,4.66947375,3.37381375,1.8768225,2.29251
2,0.25,2.03654993845,25.14037072,35.75884091275,1.3974625,415.64283397,5.11337628375,4.42775,4.2530425,100,3.3569741981,5.4414925,2.6329675,1.24485,2.956605,8.84088,1.46646,0.55987725,2.54919200000001,3.3134725,1.44629,1.79167
2,0.75,1.8388813976,10.6459429735,31.7054380732499,1.458481773675,416.9695673525,5.091967034875,4.15651,4.0713425,99.899823924375,3.5887335888325,5.62608,2.6002525,1.18367,3.030255,9.07846,1.4788025,0.5772165,1.59569,3.30838375,1.44408,1.78772
2,1.25,1.8820411755,11.535378579,26.45132599875,1.322140875,417.42004317,5.4404998,3.7005125,3.7154675,100,3.37926962332,5.7082425,2.4725375,1.14862,3.0374825,8.7105,1.49612,0.5550655,2.255085,3.3216125,1.4437,1.7855
2,1.75,1.967721224175,11.24490923325,25.5357601525,1.363858,418.5089803075,4.832100834875,3.64127,3.4864025,100,3.25837746708,5.17099,2.659725,1.15578,3.036355,8.10847999999999,1.4852975,0.57478175,2.24008000000001,3.33353,1.44391,1.7857
2,2.25,1.487895974625,8.61742913647499,22.34951500475,1.2479405904,418.0164803025,4.7662281698,3.2613175,3.1451975,100,3.22850837783,5.26591749999999,2.49988,1.20751,3.036865,8.45881999999999,1.4743825,0.56574325,1.97856075,3.33469375,1.44374,1.78381
2,2.75,1.7839120212,15.8072208355,15.083590502,1.2787318,418.68167262,4.75977397099999,3.27253,3.07081,100,3.01028273114,5.187515,2.677045,1.18053,3.0374825,8.73653999999999,1.46746,0.5664295,2.5086455,3.34057875,1.45326,1.78337
2,3.25,1.990070955975,17.278483274,12.6396119395,1.285639875,418.57858441,4.69001495,3.3348125,3.051825,100,2.92146406466,5.186245,2.617315,1.15458,3.030935,8.14063999999998,1.46294,0.55798925,2.939576,3.3575925,1.4594,1.78584
2,3.75,1.6278509455,17.01347784475,12.8476726939999,1.29021725,418.56513286,4.8447334,3.336325,2.995275,99.989886323875,2.9713707976675,5.489185,2.64534,1.21391,3.02368,8.49833999999999,1.46995,0.55601,3.68048,3.36084375,1.45877,1.78482
2,4.25,1.835874516,32.8252936805001,17.55273391475,1.2583168,418.388810815,4.8179138,3.11651,2.8959725,100,3.150309707855,5.331725,2.67979,1.29249,3.0235025,8.60958,1.46825,0.55444125,3.878482,3.34007,1.45546,1.78586
2,4.75,1.87812696295,34.3349146809999,30.02635470975,1.41123683,418.17329659,5.36251824999999,3.1856,2.899855,100,3.0734735344525,5.6899275,2.7143425,1.3367,3.0373275,8.5558,1.48304,0.565748,5.36601200000001,3.34518375,1.45304,1.77763
2,5.25,1.9540473068,20.4455952665,14.573955242,1.37340835,418.7917289975,5.20690725,2.9313675,2.699055,99.99185056635,3.1257709431725,5.4903275,2.80698,1.29025,3.0369825,8.28399999999999,1.4976125,0.56433225,4.20357,3.364065,1.44774,1.77004
2,5.75,1.96865391625,20.364321568,13.59230322,1.4163402,418.37126912,4.940637,3.00829999999999,2.5333925,99.95732322265,3.05027754289,5.3651725,2.673415,1.35268,3.03652,8.52576,1.4773925,0.566047,4.19888,3.3626275,1.44082,1.76716
