DOY2,HR2,TA,RH,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2,H2O,FC,LE,H
1,0.25,-15.435,84.483,0.0126365,0,3.1637,0.1983025,-0.805525,-2.3444,-22.2135,-3.5558,-8.6384,399.183425,0.8843825,0.24493,0.528305,1.95385
1,0.75,-15.607,84.979,0.0136365,0,3.1637,0.1983025,-0.80192,-2.2106,-22.2135,-3.35205,-8.31655,399.183425,0.8843825,0.24493,0.528305,1.95385
1,1.25,-14.827,84.976,0.0113925,-0.00032194,3.1637,0.1983025,-0.8038275,-2.142975,-22.2135,-3.406275,-8.03335,399.183425,0.8843825,0.24493,0.528305,1.95385
1,1.75,-15.122,84.987,0.010673,0,3.24338,0.1983025,-0.809255,-2.277175,-22.2135,-3.5599,-9.643925,399.183425,0.8843825,0.24493,0.528305,1.95385
1,2.25,-15.558,84.951,0.01070125,0,3.32306,0.1983025,-0.8135975,-2.2089,-22.2135,-3.73065,-9.54975,399.183425,0.8843825,0.24493,0.528305,1.95385
1,2.75,-15.989,85.013,0.009405225,0,3.40274,0.1983025,-0.81743,-2.3337,-22.2135,-3.9521,-9.5466,399.183425,0.8843825,0.24493,0.528305,1.95385
1,3.25,-15.974,85.224,0.008845225,0,3.48242,0.1983025,-0.817045,-2.1773,-22.2135,-4.1401,-7.523,399.183425,0.8843825,0.24493,0.528305,1.95385
1,3.75,-15.81,85.059,0.007157225,0,3.5621,0.1983025,-0.8029425,-2.23425,-22.2135,-4.25245,-7.5984,399.183425,0.8843825,0.24493,0.528305,1.95385
1,4.25,-15.561,85.044,0.0109835,0,3.64178,0.1983025,-0.79996,-2.3182,-22.2135,-4.3478,-7.4992,399.183425,0.8843825,0.24493,0.528305,1.95385
1,4.75,-15.201,85.017,0.01085025,0,3.72146,0.1983025,-0.8105625,-2.22585,-22.2135,-4.3748,-6.5038,399.183425,0.8843825,0.24493,0.528305,1.95385
1,5.25,-14.954,84.616,0.01313625,0,3.80114,0.1983025,-0.8236025,-2.21735,-22.2135,-4.4497,-6.3732,399.183425,0.8843825,0.24493,0.528305,1.95385
1,5.75,-14.997,84.849,0.010215075,0,3.88082,0.1983025,-0.8284225,-2.16465,-22.2135,-4.40385,-5.932725,399.183425,0.8843825,0.24493,0.528305,1.95385
1,6.25,-15.103,84.767,0.0090873,0,3.9605,0.1983025,-0.82309,-2.252025,-22.2135,-4.86555,-6.6824,399.183425,0.8843825,0.24493,0.528305,1.95385
1,6.75,-15.124,84.849,0.009040525,0.019311455,4.04018,0.1983025,-0.8145525,-2.250425,-22.2135,-5.011875,-6.44285,399.183425,0.8843825,0.24493,0.528305,1.95385
1,7.25,-15.133,85.046,0.01106125,2.823,4.11986,0.1983025,-0.8084525,-2.2484,-22.2135,-5.152775,-6.47565,399.183425,0.8843825,0.24493,0.528305,1.95385
1,7.75,-15.127,85.371,0.265485,0.1242995,4.19954,0.1983025,-0.81466,-2.1805,-22.2135,-4.66895,-5.9273,399.183425,0.8843825,0.24493,0.528305,1.95385
1,8.25,-15.014,85.452,8.115725,6.636475,4.27922,0.1983025,-0.8124875,-2.189425,-22.2135,-4.764275,-5.5851,399.183425,0.8843825,0.24493,0.528305,1.95385
1,8.75,-14.813,84.856,52.223,61.0395,4.3589,0.1983025,-0.8060025,-2.2177,-22.2135,-5.28695,-6.29395,399.183425,0.8843825,0.24493,0.528305,1.95385
1,9.25,-14.531,83.602,132.26,129.7275,4.153975,0.1983025,-0.795735,-2.22625,-22.2135,-5.856175,-6.39595,399.183425,0.8843825,0.24493,0.528305,1.95385
1,9.75,-14.382,83.228,240.36,250.18,5.074525,0.1983025,-0.7822375,-2.2186,-22.2135,-6.4156,-5.8552,399.183425,0.8843825,0.24493,0.528305,1.95385
1,10.25,-13.689,83.389,371.9425,302.065,5.0065,0.24425,-0.7805,-2.2024,-18.4265,-5.5846,-5.07135,399.3779,0.98765,0.24493,0.528305,6.7319
