DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,TS_1_3_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1
1,0.25,-0.0051145175,-1.24968,4.391705,2.38727,1.928695,0.170905,10.409725,469.173,9.903225,0.584818,0.53520975,0.221543,0.42846675,102,10.86465,95.0241,-1.23467,-1.46521,-0.306155,0.3855175,-0.24231,342.2225,2.324725,357.369,-0.018612075,-0.0145345,11.08845,10.19655,10.5569,-13.58235
1,0.75,-0.007461965,-1.8282625,7.958395,2.451575,2.09373,0.20191575,10.382725,463.8615,9.953415,0.64814825,0.49521775,0.23451125,0.417087,102,11.3005,94.9125,-1.468615,-1.574465,-0.561217,0.2237,-0.508867,338.628,2.298985,356.5565,-0.0174333,-0.014,11.09035,10.17665,10.547,-13.2734
1,1.25,-0.0057964975,-1.06765025,7.762455,2.101085,2.27187,0.2325795,10.4986,464.3745,10.108125,0.667425,0.584615,0.262364,0.412384,102,11.32235,94.4658,-1.6193,-1.87837,-0.7251835,0.1649335,-0.59,334.6715,2.19422,356.4015,-0.0171333,-0.01295,11.09265,10.16315,10.5347,-14.6939
1,1.75,-0.0059815175,-0.500567,8.38709,2.2419,2.294325,0.211165,10.3061,463.311,10.1951,0.632177,0.5623335,0.248437,0.40333625,102,11.41815,94.800025,-1.80747,-2.1061,-0.851783,0.000383350000000001,-0.4691,336.363,2.15065,356.2615,-0.0187667,-0.01456665,11.09685,10.1607,10.5198,-13.09345
1,2.25,-0.007747745,-1.228905,6.012365,2.353,2.29124,0.206565,10.299075,466.53475,9.921855,0.6560635,0.60546025,0.265594,0.39482325,102,11.353,95.21165,-2.03283,-2.29643,-0.892083,-0.03295,-0.2864,341.2435,2.239965,355.6165,-0.0176667,-0.01423335,11.0985,10.15815,10.50435,-12.20625
1,2.75,-0.00850355,-2.26279,6.942595,2.1274,2.365685,0.231663,10.2585,462.1605,9.933255,0.73520775,0.6052315,0.27456975,0.382786,102,11.425,95.205,-2.193315,-2.401365,-1.308785,-0.185967,-0.3624,343.217,2.2965,355.848,-0.0186,-0.0139667,11.10065,10.15715,10.4865,-10.634475
1,3.25,-0.00759802,-1.79314,6.883935,2.18982,2.5552,0.233095,10.265,465.4545,10.0408425,0.74241,0.622412,0.300744,0.385464,102,11.38565,95.15165,-2.3048,-2.495265,-1.732585,-0.2795665,-0.293167,345.3635,2.0239,356.285,-0.0174333,-0.01305,11.1023,10.1565,10.47435,-7.881035
1,3.75,-0.00796604,-1.4527225,8.944515,1.98214,2.71617,0.283251,10.3509,461.2715,10.0498,0.806996,0.703065,0.319392,0.414829,102,11.79885,95.0757,-2.447085,-2.6904,-1.7761,-0.3290665,-0.3801,346.375,2.315815,356.1765,-0.0182,-0.01411665,11.10535,10.13615,10.4665,-8.461035
1,4.25,-0.0136133,-2.42867,10.43233,2.259335,2.7750075,0.2730835,10.310175,459.151,10.077625,0.859137,0.6311825,0.3373585,0.38562725,102,11.24215,95.2025,-2.617635,-2.896215,-1.72795,-0.3363665,-0.3924,346.1035,2.357935,356.523,-0.0191,-0.01418335,11.1083,10.1265,10.4462,-7.748535
1,4.75,-0.01047855,-1.863565,13.7919,2.621205,2.9074825,0.2827195,10.551825,460.482,9.8720925,0.846379,0.62010175,0.34788475,0.3789075,102,11.41785,95.20915,-2.76905,-3.18825,-1.876235,-0.5378,-0.307733,346.538,2.293835,356.5765,-0.0166667,-0.01181665,11.1085,10.1243,10.4237,-7.7292825
