DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,8.3763,1.0525,0.1315,0.00665,56.7614,102.962275,-13.1863,0.1057,542.7172,2.232575,0.13235,0.13235,0,0.0444,0.334625,0.80595,226.657,234.02175,0,0.000325,-6.42805,-7.02645,-3.217325,-5.8828,-8.3773,-8.4342,-8.8045,-8.558775,-11.0489,-7.6062,-12.8261,-9.9051,-8.63395,-9.4509,-10.2412,-10.3433,-6.84775,-10.58545,-9.20485,-7.9393,-8.498,-8.84075
1,0.75,8.133475,0.9825,0.080275,0.0057,54.59055,102.9398,-12.8704,0.0897,540.87005,2.227275,0.08365,0.08365,0,0.0021,0.3518,0.848825,227.4015,233.89925,0,0.0013,-6.53635,-7.0582,-3.21375,-5.92045,-8.376275,-8.432325,-8.82165,-8.56455,-11.04985,-7.6176,-12.8409,-9.90375,-8.63675,-9.44625,-10.23915,-10.3502,-6.8522,-10.5913,-9.20215,-7.9439,-8.5035,-8.84445
1,1.25,8.514375,1.021025,0.12105,0.00335,53.8718,102.963875,-12.844,0.11485,540.489175,2.00575,0.2844,0.2844,0,0.89155,0.36975,0.87775,227.0805,234.27925,0,0.0013,-6.5216,-7.109625,-3.126925,-5.940875,-8.375125,-8.432025,-8.83065,-8.5672,-11.0479,-7.6205,-12.84695,-9.89475,-8.63365,-9.44695,-10.23865,-10.35415,-6.8548,-10.5955,-9.2103,-7.946,-8.5122,-8.8458
1,1.75,8.6501,0.939575,0.105175,0.01095,53.72095,102.97245,-12.889125,0.0615,543.81755,1.90995,0.4997,0.4997,0,0.75425,0.3021,0.483175,228.0625,234.61325,0,0.0013,-6.41095,-7.23965,-3.171225,-6.02555,-8.368125,-8.431075,-8.828725,-8.56865,-11.0369,-7.6252,-12.8632,-9.9058,-8.63875,-9.44865,-10.23795,-10.35465,-6.8603,-10.60005,-9.21675,-7.9519,-8.5158,-8.8491
1,2.25,8.19755,1.0591,0.12965,0.0126,53.880175,102.925975,-12.2733,0.1306,541.1902,1.06515,-0.0023,-0.0023,0,0.7913,0.335775,0.768175,227.967,234.22025,0,0.0022,-6.5499,-7.0635,-3.165275,-6.001225,-8.360825,-8.44825,-8.8454,-8.576325,-11.0385,-7.6335,-12.86975,-9.9155,-8.6338,-9.4446,-10.23455,-10.35335,-6.85675,-10.6126,-9.21815,-7.9483,-8.5238,-8.84875
1,2.75,8.0333,0.98555,0.1282,0.0145,53.226525,102.919,-14.15895,0.10425,545.748725,2.08125,0.11425,0.11425,0,0.139125,0.2867,0.63575,228.6945,233.91625,0,0.0026,-6.432975,-7.020575,-3.297325,-6.03695,-8.355175,-8.449425,-8.8438,-8.5685,-11.02725,-7.633,-12.8894,-9.92315,-8.6331,-9.44195,-10.233,-10.3628,-6.8622,-10.616,-9.21585,-7.9528,-8.5263,-8.84965
1,3.25,7.896825,1.1063,0.1507,0.034625,53.10855,102.90715,-14.4448,0.0728,539.7955,2.23495,0.072175,0.072175,0,-0.02805,0.374,0.6349,227.444,233.99125,0,0.0022,-6.554175,-7.168175,-3.145875,-6.080025,-8.350675,-8.43215,-8.8381,-8.5664,-11.02485,-7.6315,-12.8801,-9.9224,-8.62975,-9.44885,-10.233,-10.3525,-6.864,-10.62735,-9.2246,-7.9433,-8.5301,-8.8502
1,3.75,8.2313,1.0367,0.11815,0.0342,53.6542,102.88555,-14.5987,0.10285,537.7492,2.4451,-0.06655,-0.06655,0,0.0072,0.36465,0.5109,228.194,234.04825,0,0.0022,-6.47755,-7.04555,-3.037675,-6.036725,-8.3483,-8.43575,-8.84335,-8.5769,-11.0059,-7.6392,-12.8803,-9.9378,-8.6313,-9.4461,-10.23335,-10.347,-6.86735,-10.6404,-9.2333,-7.9456,-8.5278,-8.8491
1,4.25,7.6365,0.9275,0.11205,0.01025,58.37895,102.875075,-14.6388,0.075625,536.35965,1.9576,0.2099,0.2099,0,0.0895,0.31855,0.82515,229.327,234.219,0,0.0022,-6.5392,-7.124825,-3.167325,-6.095625,-8.346475,-8.4623,-8.8453,-8.581,-11.00765,-7.63445,-12.8684,-9.9502,-8.63165,-9.4446,-10.23115,-10.35035,-6.87285,-10.64995,-9.24125,-7.9435,-8.5319,-8.8481
1,4.75,7.7586,0.9172,0.0949,0.0232,59.5679,102.8814,-13.978425,0.0898,537.75225,0.806175,-0.0856,-0.0856,0,-0.006075,0.319225,0.7428,229.492,234.24925,0,0.0022,-6.529825,-7.0996,-3.111725,-6.121175,-8.3498,-8.45995,-8.84455,-8.5831,-11.00335,-7.64025,-12.858,-9.9598,-8.6316,-9.44455,-10.23465,-10.3614,-6.8747,-10.6643,-9.23565,-7.9604,-8.5377,-8.849
