DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
7,17.25,-2.955854,134.250944,30.052267,77.5771,377.542,18.6925505,1937.2135,0.2022545,1.454184,25.501805,24.155,56.53,96.049311,16.55,590.55,66.431,81.2595,2018.994,2015.027,285.35,15.375,13.82,13.335,12.8,8.865,6.153,45.785,373.81651135,434.61484315,172.8
7,17.75,-2.390496,103.069945,19.7485575,74.897,377.205513,18.975191,1944.635,0.180069,1.28337,25.112198,23.705,59.19,96.042734,16.55,418.64457,66.071,87.246,2027.194,2017.08,232.5,15.37,13.82,13.33,12.795,8.865,6.159,42.29,376.5567301,431.6068281,117.65
7,18.25,-1.8988115,75.2816165,8.9665065,76.568,379.0594755,19.515838,1949.258,0.152286,1.052116,24.597,23.365,62.52,96.048084,16.56,271.9,63.717,76.093,2025.538,2024.186,175,15.365,13.815,13.33,12.795,8.865,6.161,33.47,374.2622176,429.21132005,71.115
7,18.75,-1.1561245,46.68376,2.3701235,73.828,382.793947,20.535602,1984.65,0.122876,0.737411,24.04058,22.73,67.2,96.03487,16.57,138.9,56.0765,82.166,2062.9265,2055.89,102.7,15.36,13.82,13.335,12.795,8.865,6.162,22.945,374.8270213,424.70133735,20.17
7,19.25,-0.098382,23.3665155,-5.0019585,69.494,389.102388,21.210562,2013.83,0.0859195,0.4658465,23.105446,21.935,75.16,96.03781,16.57,80.3225948,51.5985,73.609,2107.5315,2110.7835,46.4,15.36,13.82,13.335,12.8,8.875,6.1595,12.15,373.45449015,419.38546245,-14.575
7,19.75,0.9786185,6.896952,-9.1872835,56.196,401.791102,21.132969,2067.1385,0.076475,0.320888,21.668381,20.455,83.3,96.04642,16.57,30.035939975,59.066,95.55,2141.053,2191.712,9.67,15.355,13.82,13.335,12.8,8.875,6.161,1.748,372.0636843,414.4595083,-37.285
7,20.25,2.053451,7.415033,-12.027811,58.5345,413.835063,21.0505,2121.398,0.0769,0.257676,20.443795,18.98,88.4,96.053287,16.57,5.057,46.9355,55.682,2192.839,2246.535,-1.2025,15.355,13.825,13.33,12.8,8.875,6.1615,0.818,371.16873515,409.31929135,-45
7,20.75,2.226021,4.144618,-11.481837,67.061,418.88,20.328606,2149.708,0.084175,0.248456,19.491374,17.97,91.4,96.075988,16.58,0.312,62.609,68.5645,2186.3995,2220.639,-2.195,15.36,13.82,13.33,12.805,8.875,6.164,1.083,373.30988125,405.98937995,-42
7,21.25,2.043496,4.718457,-13.557463,86.483,422.690935,19.645925,2146.9875,0.087882,0.262325,19.049464,17.42,92.9,96.083868,16.58,0,66.972,63.6605,2206.833,2265.689,-1.638,15.355,13.815,13.335,12.805,8.88,6.166,1.379,370.8597159,404.78199135,-37.37
7,21.75,2.412539,4.616408,-13.137668,62.135,419.117,19.040659,2177.9865,0.089933,0.25274,18.404718,16.925,94.6,96.091186,16.59,0,50.34,88.267,2191.241,2192.862,-1.23,15.35,13.815,13.335,12.8,8.875,6.166,1.4545,371.58799565,403.4924766,-32.61
7,22.25,2.195103,2.1736805,-16.73749,68.7915,415.9787145,18.568697,2178.1055,0.091788,0.252551,18.128875,16.565,95.8,96.091674,16.59,0,57.2335,72.14,2214.536,2199.9805,-0.8155,15.345,13.82,13.33,12.8,8.88,6.1675,1.5515,371.3407871,400.9926146,-26.535
7,22.75,2.102916,2.57412,-15.382016,66.576,420.017219,18.714984,2178.606,0.092714,0.26214,17.85648,16.155,96.3,96.08595,16.62,0,59.3965,79.848,2207.844,2198.113,-0.8125,15.34,13.82,13.335,12.805,8.88,6.1705,1.4685,371.10648055,396.515333,-22.14
7,23.25,2.164856,1.3197235,-15.131946,68.8815,420.1120185,18.4553,2209.976,0.098329,0.286676,17.593426,15.81,97,96.087502,16.62,0,50.398,81.533,2212.607,2143.738,-0.6545,15.33,13.825,13.34,12.81,8.88,6.1685,1.58,371.6166324,393.62339725,-18.375
