DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
1,0.25,0,0,0,0.080334858,231.8375694,287,-77.0789565,-5.9775,60.3702375,394.1609685,2.2608925,2.28526975,0.1839415,1.32740675,-10.87697375,-11,-9.51935575,98.22138375,0,-0.185993,-0.73416125,-1.991418,-26.396915,-0.909319,0.2448785
1,0.75,0,0,0,0.064412797,232.7354277,286,-76.130584,-6.06509075,61.276845,393.883645,2.26739725,2.218348,0.173953,1.315301,-11.17245,-11.3647075,-9.8853125,98.20350625,-0.00053575,-0.20162825,-0.48843075,-1.80507425,-27.56967125,-0.6337885,0.204907
1,1.25,0,0,0,0.086385466,230,285,-77.061232,-6.136487,61.855795,393.76806625,2.236006,2.2712205,0.171899,1.28437525,-11.7913215,-11.61983,-10,98.19835,0.0029895,-0.1690935,-0.456505,-1.531081,-26.6191445,-0.4607785,0.179622
1,1.75,0,0,0,0.0774872365,228.8464125,284.86869865,-76.890134515,-6.305922,62.716255,393.91111025,2.1977325,2.274421,0.177596,1.26329175,-12,-11.810885,-10,98.189585,-0.003846,-0.209174,-0.630381,-1.675129,-25.26514275,-0.1663165,0.26130525
1,2.25,0,0,0,0.07154725,228.8244405,284,-75.9494065,-6.5465,62.733685,393.78391875,2.21389125,2.193069,0.1779165,1.244883,-12,-11.97115,-10.147295,98.2,-0.02322075,-0.139535,-0.739148,-1.50799425,-24.0282715,-0.179141,0.2016735
1,2.75,0,0,0,0.062622,229,283.281466025,-76.01928025,-6.688,63.72,393.514714,2.233788,2.194027,0.160764,1.242981,-12,-12,-10.213785,98.20965,0,-0.150949,-0.6298405,-1.866153,-24.765444,-0.603686,0.15770375
1,3.25,0,0,0,0.06423475,227.7088615,282.640015,-75.648798,-6.93803525,64.3073175,393.519374,2.224442,2.18090225,0.17277675,1.255251,-11.9667,-12.03554,-10.20707,98.20456,-0.018607,-0.2022645,-0.5512475,-1.632931,-26.083155,-0.985993,0.205844
1,3.75,0,0,0,0.049422,227,282,-75,-6.8804175,65.28191,394.323921,2.19883,2.17,0.1659675,1.2255395,-12,-12.1303925,-10.337115,98.19993,-0.02171,-0.1405895,-0.59109025,-1.394503,-24.177274,-0.8713635,0.178493
1,4.25,0,0,0,0.031498295,228,281.4266502,-72.9604685,-7.2468005,65.6980575,393.9331915,2.246733,2.210705,0.168662,1.22186475,-12,-12.1574375,-10.594685,98.2,-0.0143595,-0.1328775,-0.7090345,-1.45533575,-22.280473,-0.635586,0.234669
1,4.75,0,0,0,0,226.82149865,281,-73,-7.18,66.4524975,393.824251,2.23161475,2.199836,0.174033,1.22555,-12,-12.32537,-10.62135,98.2,-0.0143535,-0.19619025,-0.6019015,-1.805149,-23.91975975,-0.4005255,0.239533
1,5.25,0,0,0,0.010805028,228.949065725,280,-72.2831617875,-7.3275,67.458405,393.9070475,2.190665,2.145,0.161499,1.22345,-12,-12.3318375,-10.72527,98.1996625,0.005421,-0.204434,-0.9635695,-2.0407325,-25.221282,-0.168113,0.2084065
1,5.75,0,0,0,0.0320578285,228.523253525,279.28005675,-71.5594555,-7.33975,67.7211975,393.8754665,2.2457285,2.099789,0.163034,1.21680975,-12,-12.3552425,-10.86212,98.2373225,-0.024001,-0.191384,-0.63507275,-1.328788,-23.835521,-0.0432475,0.20834425
1,6.25,0,0,0,0.0196306265,227,279.23041125,-71.8592289975,-7.46,68.814065,394.090814,2.260747,2.0722555,0.16773925,1.2082145,-12,-12.487325,-10.7977275,98.24019,-0.035811,-0.231873,-0.931006,-1.3388065,-22.967447,-0.04199,0.217368
