DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,5.42143,-3.11337,2.23612,-0.338536,0.358447,-3.19649999999996,98.1548,98.7165,0,2.6435175,0.814125773501539,0.633821232125622,0.453596228577025
1,0.75,4.75037,-10.9456,0.370006,-0.322612,0.281033,-3.43024999999996,98.13505,99.38605,0,2.40429,0.73097048946022,0.656876103505593,0.468547756370682
1,1.25,5.07859,-6.21204,3.5967025,-0.325806,0.328274,-3.71499999999997,98.145975,98.32545,0,2.50016,0.703437166224316,0.685972839751167,0.468640587230769
1,1.75,5.4145775,-8.810785,3.041155,-0.3409045,0.334344,-3.80499999999995,98.0443,96.7078,0,2.401035,0.802887289723782,0.62924651305441,0.463550428756139
1,2.25,3.7919325,-2.5210875,3.50798,-0.326682,0.321951,-4.01599999999996,98.0165,98.134375,0,2.16035,0.748493152941294,0.638737817887747,0.420838448813794
1,2.75,3.978495,-4.03328,2.128815,-0.35626775,0.32034625,-4.17499999999995,97.9978,98.24915,0,1.9809975,0.780976312060744,0.649514295151645,0.43680497436354
1,3.25,3.02727,-4.4127225,2.5502,-0.323372,0.327506,-4.185,97.997,98.4859,0,2.241545,0.780403107186424,0.574776593891168,0.438694870635665
1,3.75,3.5048575,-21.0874625,2.8179575,-0.35101175,0.332437,-4.18099999999998,97.9876,98.68995,0,2.26105,0.744095077287633,0.667144474580112,0.419844729747267
1,4.25,3.615855,-4.032015,2.856095,-0.340186,0.30682825,-4.15199999999999,97.9755,100,0,2.02797,0.787281608504459,0.637765020436847,0.435792239360213
1,4.75,5.549975,-2.47104,2.951085,-0.397112,0.3209345,-4.07299999999998,97.9881,99.805375,0,2.2619675,0.757797000041306,0.630052070996988,0.430087017488622
1,5.25,4.189065,-3.5455375,2.4062375,-0.3677065,0.334773,-3.85699999999997,97.991,100,0,2.376935,0.817682939784788,0.59614769170434,0.441169101354317
1,5.75,4.72465,-2.3824025,2.784555,-0.3870685,0.3057925,-3.755,97.9169,100,0,2.284855,0.700034893329178,0.549780721488685,0.371736755065664
1,6.25,9.13297,-10.93461,2.638135,-0.33482325,0.318857,-4.22874999999996,98.0572,100,0,2.045735,0.718659717890246,0.614982926592275,0.414756128760954
1,6.75,6.88002,-4.65318,2.91266,-0.4108125,0.286703,-3.78899999999999,97.9544,100,0,2.19677,0.702126854179775,0.63097877677648,0.411547917091593
1,7.25,7.64695,-3.0394875,2.65357,-0.343442,0.2840555,-3.88999999999999,98.0034,100,0,2.0437925,0.709876059904201,0.612266106233737,0.37382079117623
1,7.75,14.0174,4.0436825,3.03322,-0.3293755,0.312836,-4.202,98.0274,100,0,2.046205,0.673729174075162,0.60475118850648,0.413544354692474
