DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1,CH4_1_1_1
1,0.25,409.75200075,11.201440575,1.97351725,0.5075077555,-2.98908333325,-5.3369645,10.013962,2.13066,0.3738195515,102.00162,93.957580755,8.281975,2.6261615,10.0075,11.5875,-10.42196,-0.11410075,1.9820475,331.36,348.737,-0.041371,8.809108,434.30416675,0.1995945,-4.33725,-3.7935,1.785863,-0.003762,0.647485,0.510477,0.481656,2.2798565,444.27499975,457.879167,462.4375,462.4,0.76021975,0.7808185,5.539,2121.5225
1,0.75,409.965571,10.86,2.27,0.55314738025,-3.0465,-5.009596,9.378481,2.1238285,0.404550163,102.007,93.97082469,8.474603,2.540121848,9.96,11.58,-9.5574995,-0.1192055,1.940351,332.37185,348.93045,-0.04209175,8.6177645,434.066667,0.493681,-4.645,-3.6815,2.090279,-0.005821,0.63325775,0.53353875,0.468105,2.91554725,443.783333,459.29999975,464.7708335,464.5041665,0.769705,1.537895,4.0265,2123.8475
1,1.25,409.925301,10.69,2.0713779815,0.537529,-3.071,-5.211411,10.63845,2.197771,0.3909651845,102.0005,94.30248,8.29516,2.45540438375,9.895,11.565,-9.9,-0.21365975,1.979672,332.194625,348.6981,-0.0387555,8.48266175,433.733333,0.364858,-4.37575,-3.993,1.5595395,-0.0048685,0.64646925,0.53416725,0.4482315,2.380416,447.9791665,466.058333,468.6666665,468.8833335,0.36431975,2.201312,4.71,2115.765
1,1.75,410.04108075,10.51679649,1.947468,0.49137,-3.289083333,-5.97269197,9.5823255,2.2010065,0.409630797,102.00055275,94.26501225,8.100459,2.37749420175,9.8625,11.51,-8.86475025,-0.15966425,1.946145,332.03575,348.85445,-0.0407275,8.32404825,434.366667,0.5356435,-4.3875,-4.012,1.585308,-0.005665,0.638855,0.572612,0.522489,2.141083,448.90833325,466.05,475.2375,474.5708335,0.34858,3.799251,4.38175,2117.11
1,2.25,409.63874775,10.38845,2.04924176975,0.4958105,-3.3545,-6.40108,12.14650525,2.180987,0.399934709,102.01475,94.8725415075,8.163711,2.3950620245,9.8675,11.4975,-8.44352425,-0.17443325,1.968288,331.7078,348.962725,-0.0390085,8.123285,434.5,0.8413185,-4.463,-3.98475,1.86886,-0.005211,0.664637,0.569393,0.523034,2.660245,449.325,466.0833335,471.558333,471.4583335,0.4678195,1.21002525,3.409,2122.54
1,2.75,410.445,10.21678425,1.74,0.4723075355,-3.427,-4.48807155,9.820785,2.12586,0.3904445,102.01225,94.76753,8.28582275,2.32810428325,9.815,11.4875,-8.6876275,-0.2330345,1.978509,330.5945,348.22825,-0.043156,8.303234,436.14166675,0.237724,-4.32925,-3.8955,1.72864,-0.004961,0.658548,0.53599,0.528157,2.34753825,449.4791665,475.54999975,483.775,483.158333,0.78381675,3.389441,4.644,2113.46
1,3.25,410.6675375,10.09,1.65,0.5084634485,-3.48175,-4.509403,10.724426,2.1847265,0.40266114625,102.01,94.6253432175,8.172457,2.26213786525,9.7725,11.49,-7.9468585,-0.245197,1.94621725,330.32175,347.75525,-0.0432695,8.4143145,436.6,0.448036,-4.34625,-3.727,1.35074,-0.004499,0.6768745,0.539282,0.5240995,1.873366,450.125,472.95416675,479.82916675,465.583333,0.7379795,5.77421475,3.92,2119.3
1,3.75,410.098298,10.04,1.8,0.31,-3.38125,-4.236403055,7.45911825,2.159542,0.370526,101.9954,95.1161275,7.8841925,2.2492153765,9.7275,11.4875,-8.330132,-0.1031895,1.9691865,329.22975,346.94085,-0.043492,8.06407625,437.158333,0.6253725,-4.3325,-3.4725,2.39034675,-0.005016,0.6312195,0.53688,0.4722445,2.3246235,454.0583335,470.8,476.7,476.05,0.731257,4.55349375,3.23375,2120.425
1,4.25,410.07281,10.00588075,1.7449412495,0.400097,-3.54025,-4.6384585,10.7777865,2.16787525,0.37797825,101.956,95.34229838,7.815215,2.190902,9.7225,11.4775,-8.12063425,-0.2392895,1.93796475,329.2475,346.977175,-0.045812,8.3520295,436.529167,0.482822,-4.38825,-3.78925,3.166618,-0.0045765,0.6714035,0.5400885,0.5051365,1.970411,454.866667,473.5916665,473.775,474.2666665,0.4442755,3.67767175,4.27625,2132.435
1,4.75,410.359,10,1.65694125,0.393431,-3.60925000025,-3.67347702,9.5548325,2.170485,0.417544541,101.98825,95.33,7.566095,2.163317139,9.6675,11.4625,-7.25988,-0.192149,1.885909,328.43805,346.12775,-0.0443835,7.98462475,436.1,0.2005075,-4.6275,-3.9145,1.481711,-0.0050155,0.663556,0.549719,0.51417775,1.9923265,455.5958335,477.06249975,477.579167,477.11666675,0.5427405,4.701729,3.81,2124.67
