DOY2,HR2,VPD,CO2,H2O,LW_IN,SW_IN,NETRAD_1_1_1,LW_OUT,SW_OUT,USTAR,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_3_1_1,SH,TS_1_1_1,TS_1_2_1,PA,WS
1,0.25,0.16,370.001,1.93,194.675,-1.55,-36.9425,212.675,0,0.15,-24.625,76.1,0,0,-0.925,-10.68,-5.07,-2.375,-5.8075,-5.75,94.4,1.32
1,0.75,0.16,369.925,1.927,196.075,-1.53,-27.195,213.225,0,0.1475,-24.525,75.975,0,0,-0.7,-8.2925,-5.035,-2.2,-5.8075,-5.755,94.4,1.3575
1,1.25,0.1675,370.072,1.872,197.025,-1.48,-42.9775,212.125,0,0.1475,-24.825,75.675,0,0,-1,-13.34,-5.085,-2.1,-5.815,-5.76,94.4,1.3675
1,1.75,0.15,370.192,1.88025,196.6,-1.52,-30.415,211.95,0,0.165,-25.15,75.55,0,0,-1.1,-18.45,-5.135,-2.6,-5.8425,-5.7825,94.375,1.4875
1,2.25,0.15,370.22625,1.8615,198.75,-1.265,-29.215,213.45,0,0.175,-24.7,75.475,0,0,-0.9,-12.65,-5.155,-2.3,-5.8775,-5.825,94.375,1.44
1,2.75,0.15,370.283,1.876,199,-1.57,-30.82,212.45,0,0.16,-24.675,76.825,0,0,-1.05,-13.495,-5.175,-2.125,-5.9075,-5.8625,94.4,1.3575
1,3.25,0.15,370.20425,1.948,199.9,-1.3825,-19.7075,212.275,0,0.13,-24.575,77.275,0,0,-0.8,-13.535,-5.155,-1.5,-5.955,-5.9075,94.4,1.4775
1,3.75,0.1575,370.4475,2.008,198.875,-1.5125,-26.97,211.575,0,0.14,-24.825,76.7,0,0,-2.55,-14.89,-5.17,-1.075,-5.9925,-5.9475,94.4,1.4875
1,4.25,0.16,370.345,1.9815,196.475,-1.57,-25.03,208.775,0,0.155,-25.05,76.75,0,0,-1.3,-17.2675,-5.17,-1.4,-6.0375,-5.985,94.4,1.4
1,4.75,0.15,370.306,1.9585,193.05,-1.615,-27.775,208.8,0,0.16,-25.525,77.075,0,0,-1.6,-13.09,-5.17,-2.05,-6.075,-6.0225,94.4,1.3575
1,5.25,0.16,371.30825,2.02175,194.475,-1.5925,-24.745,205.725,0,0.135,-25.775,76.85,0,0,-1.625,-15.975,-5.175,-3.225,-6.115,-6.0625,94.475,1.5675
1,5.75,0.16,371.889,1.988,195.275,-1.815,-26.995,206.175,0,0.1625,-25.95,76.75,0,0,-1.5,-13.65,-5.155,-2.3,-6.1375,-6.085,94.475,1.375
1,6.25,0.1575,371.7885,2.0065,193.4,-1.525,-33.4525,205.225,0,0.197,-26.3,76.925,0,0,-3,-16.88,-5.18,-2.05,-6.1625,-6.11,94.475,1.4175
1,6.75,0.16,371.7355,2.04475,199.95,-1.43,-18.4275,203.95,0,0.155,-26.625,77.125,0,0,-1.5,-20.1225,-5.2325,-1.1,-6.1625,-6.105,94.475,1.42
1,7.25,0.155,371.55325,2.0485,193.975,-1.5625,-15.11,204.875,0,0.19,-27.1,76.85,0,0,-2.15,-17.415,-5.15,-0.8,-6.06,-6,94.475,1.51
1,7.75,0.15,371.742,2.11,194.275,-1.63,-17.095,207.05,0,0.18,-26.7,77.2,0,0,-1.05,-17.815,-5.165,-0.7,-6.1425,-6.085,94.475,1.4175
1,8.25,0.1575,371.9035,2.1635,197.425,-1.42,-18.825,206.625,0,0.2375,-26.525,76.45,0,0,-2.2,-10.28,-5.17,-1.75,-6.145,-6.095,94.4,1.46
1,8.75,0.1575,371.54975,2.1305,202.55,-0.95,-18.4525,206.025,0,0.21,-26.325,76.675,0,0,-1.075,-9.39,-5.14,-1.3,-6.175,-6.1275,94.4,1.345
1,9.25,0.15,371.453,2.181,193.85,1.5,-16.71,207.225,0.3,0.244,-25.725,76.45,1.295,1.02,-2.95,-12.82,-5.145,-1.575,-6.205,-6.15,94.4,1.3025
1,9.75,0.16,371.703,2.141,196.35,9.6025,-0.61,209.525,3.5125,0.2875,-25.625,76.5,18.005,8.0925,-1,-9.55,-5.125,-0.9,-6.2375,-6.1825,94.4,1.2575
1,10.25,0.17,371.7405,1.991,192.425,20.14,5.24,211.95,8.595,0.32,-24.95,76.4,39.68,19.105,-0.475,-1.805,-5.06,-0.25,-6.24,-6.195,94.4,1.37
