DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.762,0.7635,3.747,-3.1435,0.469,0.036,412.9,4.78725,-8.003,0,0,0.5835,93.15,2.9395,99.8,0.25425,0.64975,0.85075,1.2575,2.84325,4.506,0.254,1.022,0.991,1.697,3.047,4.7675,-1.019,-1.754,0.67925,1.148325
1,0.75,0.904,0.856,4.46,-2.932,0.4795,0.0495,412.5055,4.634,-7.7885,0,0,0.5285,93,2.903,99.8,0.23025,0.647,0.99275,1.289,2.901,4.521,0.278,0.98675,0.943,1.69075,3.029,4.73075,-0.956,-1.8025,0.6557,1.1852
1,1.25,0.8255,0.833,4.262,-3.1705,0.47,0.043,412.467,4.6665,-7.4675,0,0,0.5395,92.95,2.974,99.758,0.22825,0.65875,0.983,1.1905,2.954,4.499,0.274,0.966,1.041,1.635,3.034,4.816,-0.911,-1.805,0.6642,1.12605
1,1.75,0.8045,0.833,3.802,-3.0865,0.464,0.0455,412.465,4.655,-7.359,0,0,0.4285,92.9,2.9425,99.75675,0.2055,0.642,0.97575,1.26275,2.961,4.513,0.31775,0.967,0.9715,1.68225,3.0345,4.81,-0.976,-1.805,0.6405,1.0907
1,2.25,0.808,0.8015,3.525,-3.246,0.467,0.04275,412.6115,4.575,-7.398,0,0,0.328,92.9,2.8895,99.74825,0.2145,0.666,0.89375,1.23425,2.9515,4.507,0.3285,0.95725,0.94375,1.614,3.06925,4.76175,-1.076,-1.805,0.6327,1.0863
1,2.75,0.76475,0.8095,3.5385,-2.914,0.4605,0.036,412.8025,4.60575,-7.599,0,0,0.409,92.75,2.8595,99.75375,0.21575,0.69,0.848,1.27575,2.95225,4.49,0.27925,0.97225,0.9105,1.732,2.994,4.75125,-1.084,-1.805,0.6401,1.1405
1,3.25,0.788,0.83425,3.5625,-2.80125,0.463,0.051,412.753,4.572,-8.2,0,0,0.3115,93.1,2.9495,99.73675,0.21625,0.649,0.91875,1.171,2.948,4.492,0.366,0.969,0.94775,1.632,3.0095,4.72675,-1.085,-1.805,0.6552,1.1089
1,3.75,0.7825,0.806,3.71,-2.713,0.463,0.052,413.349,4.4645,-8.325,0,0,0.275,93.45,2.958,99.72925,0.2305,0.652,1.02025,1.1855,2.909,4.481,0.27825,0.989,0.9745,1.621,3.0375,4.72675,-1.168,-1.805,0.633,1.1088
1,4.25,0.792,0.818,3.4765,-1.778,0.47075,0.052,412.982,4.419,-7.453,0,0,0.2525,93.525,2.9795,99.74725,0.25425,0.665,0.8795,1.1635,2.928,4.4795,0.29,1.00725,1.0345,1.67575,3.0225,4.7885,-1.178,-1.805,0.64405,1.1298
1,4.75,0.841,0.8225,3.63725,-2.294,0.473,0.043,413.12,4.3355,-7.6175,0,0,0.193,93.6,3.012,99.766,0.2405,0.6345,0.8655,1.14,2.9295,4.4875,0.26,1.002,1.0775,1.638,3.019,4.77475,-1.259,-1.805,0.6651,1.1447
1,5.25,0.755,0.78375,3.321,-2.4445,0.472,0.047,413.154,4.324,-8.155,0,0,0.1785,93.55,2.978,99.8,0.235,0.634,0.8065,1.07825,2.862,4.4835,0.31,0.97625,0.889,1.68575,3.04525,4.77025,-1.265,-1.805,0.6523,1.1771
1,5.75,0.7885,0.8175,4.034,-3.355,0.486,0.046,413.293,4.30825,-7.9145,0,0,0.136,93.45,3.007,99.8,0.2345,0.66,0.75425,1.04325,2.9055,4.469,0.2865,0.9815,0.9085,1.653,3.04325,4.7345,-1.265,-1.805,0.6448,1.1433
1,6.25,0.859,0.892,3.793,-2.98125,0.4835,0.0415,413.41875,4.297,-7.8205,0,0,0.206,93.2,3.073,99.8,0.25,0.666,0.848,1.11625,2.9125,4.4415,0.3025,0.94375,0.993,1.68,3.027,4.77975,-1.265,-1.80675,0.6677,1.1674
1,6.75,0.79775,0.7955,3.6395,-2.631,0.497,0.051,413.66625,4.312,-7.43,0,0,0.0335,93.25,3.056,99.8,0.27,0.68,0.832,1.08875,2.86225,4.4815,0.31125,0.907,0.912,1.65125,2.9915,4.733,-1.297,-1.80675,0.691475,1.22045
1,7.25,0.789,0.84175,3.7455,-2.47525,0.50075,0.039,413.599,4.414,-7.6315,0,0,0.05,93.5,2.9815,99.8,0.25,0.688,0.73875,1.04725,2.878,4.45725,0.33325,0.92425,0.885,1.62375,3.03275,4.7745,-1.436,-1.806,0.682,1.201925
1,7.75,0.786,0.846,3.801,-2.421,0.5095,0.053,413.2205,4.282,-6.9295,7.77,7.73,0.059,93.5,3.11,99.80225,0.223,0.684,0.78825,1.056,2.837,4.4585,0.3015,0.91625,0.8975,1.62925,3.02625,4.78825,-1.437,-1.806,0.69275,1.19815
1,8.25,0.83475,0.831,4.014,-0.717,0.494,0.05125,413.39575,4.28225,-2.535,59.19,23.068,0.029,92.9415,3.143,99.8415,0.2175,0.622,0.774,1.02575,2.88225,4.3905,0.27325,0.87125,0.8745,1.59325,2.94175,4.77125,-1.438,-1.80675,0.66295,1.16185
