DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
1,0.25,44.705,-34.76575,0.083175,0.080375,160.55,181.895,-0.07473110625,5.1775e-05
1,0.75,43.44,-34.592,0.083175,0.044,161.6,182.51,-0.07218568875,0.006730693
1,1.25,41.23,-34.76925,0.083175,0.0512,165.145,181.6425,-0.061139789,0.002797547
1,1.75,43.2875,-34.29775,0.083175,0.0578,163.9425,183.02,-0.06661868925,0.0067217802
1,2.25,40.88,-33.8385,0.083175,0.09675,162.3725,184.205,-0.0869910155,0.0020796603
1,2.75,41.3575,-34.13,0.083175,0.08345,161.595,182.97,-0.0858208205,0.0066886851
1,3.25,45.2725,-33.90075,0.046475,0.0295,161.575,184.28,-0.0598832815,0.00914946905
1,3.75,50.28,-33.47525,0.009775,0.015625,162.675,185.7175,-0.0599602385,2.83179e-05
1,4.25,45.91,-33.32825,0.0271675,0.045125,162.3325,185.505,-0.05997697375,0.0021414731
1,4.75,49.1275,-33.66225,0.04456,0.0338,165.245,184.1925,-0.0666781885,0.013628747
1,5.25,45.8575,-34.00475,0.0619525,0.003,161.61,182.5,-0.07785451825,0.002363314225
1,5.75,45.6575,-34.513,0.079345,0.05545,162.4875,181.54,-0.06107304975,2.4349e-07
1,6.25,43.52,-33.8635,0.0967375,0.051,162.2825,182.245,-0.0642568545,0.0068047996
1,6.75,44.995,-33.79125,0.11413,0.0324,163.285,184.6175,-0.065481958,0.009723127125
1,7.25,43.92,-33.8865,0.1315225,0.003925,164.51,182.9625,-0.05191947575,3.777e-05
1,7.75,46.1025,-34.2415,0.148915,0.056875,164.5225,181.075,-0.073485764,0.0066448818
1,8.25,34.6625,-33.99825,0.1663075,0.03725,167.38,183.04,-0.0666468665,0.0001132205
1,8.75,43.67,-33.942,0.1837,0.0238,165.5425,184.1175,-0.0667404075,3.75016e-05
1,9.25,46.4525,-34.1145,0.2374,0.00365,165.3525,182.6975,-0.04620445475,0.00290366145
1,9.75,48.48,-34.394,0.402025,0.0375,162.3,181.2675,-0.084626829,0.0028430896
1,10.25,41.595,-33.866,0.834875,0.006875,162.605,181.8775,-0.0543444985,0.0005521386
1,10.75,42.7875,-33.97625,0.049675,0.15235,163.4,181.6775,-0.03128446575,0.007263506
1,11.25,44.8725,-34.4645,0.134375,0.061875,163.535,180.7875,0.09577670925,0.09333559725
1,11.75,49.075,-34.34875,0.193125,0.362775,163.2025,181.425,0.5303804,0.5913843025
1,12.25,46.675,-34.04425,0.1811,1.142275,163.8525,182.1675,1.661735275,1.7264431
1,12.75,45.045,-34.36175,0.606875,1.7609,163.5575,181.92,3.262975875,3.369313375
1,13.25,43.5975,-34.605,1.043775,2.346675,163.3525,181.5775,4.262605625,4.483146325
1,13.75,40.57,-34.711,0.9273,2.442775,163.405,181.2425,4.74729275,4.8679136
1,14.25,37.2425,-34.2785,0.987225,2.1536,165.495,182.705,3.86886445,4.00582105
1,14.75,37.7075,-34.27225,0.083525,1.62865,160.38,182.87,2.4424596,2.542891525
1,15.25,35.6875,-34.37325,0.0806,0.53425,160.12,182.1875,1.041079875,1.09024275
1,15.75,36.93,-34.64425,0.34565,0.28425,161.8075,181.1625,0.2809709775,0.3285197625
1,16.25,34.325,-34.79275,0.1698,0.2431,162.6375,180.5275,0.026402123,0.0490971145
1,16.75,39.985,-34.72,0.28875,0.185575,163.2225,180.8275,-0.04846367375,0.0127466731
