DOY2,HR2,LE_1_1_A,LE_1_1_1,LE_1_1_2,H_1_1_1,PA,RH,SW_IN,LW_IN,USTAR,WS,TA,TAU,T_SONIC,T_SONIC_SIGMA,VPD,FC,CO2
1,0.25,268.471407257704,212.844483160686,347.48780231309,296.15110908995,100.42315,95.7488983785836,0.00601533880000001,318.00593,0.76580988,18.974328,2.81837645,-0.01585966,3.5952383,0.6145729,1.99361897951966,0.593457507557551,413.86711325204
1,0.75,228.275398042663,214.203944724438,340.585993532295,305.331238484408,100.42855,96.6453604164161,0.00629432525,319.67923,0.78733639,18.836753,2.54078565,-0.027010935,3.6082594,0.65551209,1.94326442917788,1.07523519402154,413.532226429321
1,1.25,221.282043467169,203.863859951451,300.161240778619,281.352965270307,100.4408775,96.7392745059324,0.006021893225,319.38461,0.79833339,18.220772,2.6613247,-0.013728715,3.7206214,0.66860548,1.93653798709672,0.681757981742301,413.503622452762
1,1.75,234.91292518733,222.991978100365,348.811223262401,324.86201160653,100.4146875,97.0534532464048,0.005917842225,320.609505,0.73946814,18.001251,2.6920178,-0.01450774025,3.6951194,0.65604094,1.93628668941822,0.658420962270619,413.297967741435
1,2.25,205.081607023582,191.647915199985,340.274267081853,322.264681340338,100.39035,96.8990925880164,0.00607123125,319.547855,0.84921164,17.912102,2.71467225,-0.0174917355,3.6609454,0.682708459999999,1.85773749971329,0.361916448776101,413.878868091908
1,2.75,223.545682948961,202.346454036695,318.83703021333,279.530317105507,100.4422175,95.5988226626092,0.0059358386,320.06085,0.732678375,18.109215,2.7674952,-0.01480408875,3.7393885,0.6250107,1.86710254363048,0.747366827293462,413.272400699002
1,3.25,260.973640545671,204.25468075094,327.137477955302,296.470385727627,100.46755,95.602525215757,0.006139066425,317.026995,0.766265375,17.924036,2.81763865,-0.021223986,3.70541125,0.648110425,1.89997250207244,1.24562086822369,413.415747810976
1,3.75,229.159782032977,204.830436353176,362.577643922127,309.110879454667,100.46319,95.4034592631498,0.006087318925,316.553955,0.7964862175,17.580028,2.78288625,-0.014764957,3.77239515,0.6393225075,1.91233492674787,1.02785833366281,414.090667137855
1,4.25,208.685347301341,201.424206763741,385.352023699178,278.249663452045,100.45446,95.6262809766437,0.005803563,316.686785,0.7789473,17.910082,2.73000595,-0.0125848595,3.79088425,0.675495875,1.88806819002294,0.509598220413733,413.949974921825
1,4.75,211.64119401349,184.008216169101,300.041871321599,305.69840254288,100.45226,95.4735172890498,0.0057365056,315.115575,0.785230509999999,18.017241,2.7770446,-0.01309905075,3.6258171,0.673540414999999,1.80944033317981,0.637279078373038,413.513255661891
1,5.25,202.018302191844,196.19213221117,311.310535465777,294.153244198074,100.46805,95.2871174196537,0.00555828125,317.27872,0.71976682,17.940089,2.66601565,-0.01757915,3.7366602,0.67358918,1.75666589647882,0.87171709175,413.958174439398
1,5.75,227.917458531418,193.666752546506,279.953213928754,271.525712073578,100.478925,94.6440518594455,0.005607423225,316.954125,0.73995007,17.698319,2.6249321,-0.012764473,3.48334745,0.676208845,1.80240318192635,1.26472977451426,415.164505346504
1,6.25,235.888682333811,211.791843721923,321.889914812759,286.858607255638,100.50856,94.8813471455431,0.0057483753,314.379735,0.6990925375,17.840251,2.4806847,-0.01291363075,3.267943125,0.6580583425,1.80791989568974,1.3726052620599,414.72985071671
1,6.75,187.335051652454,181.624911687235,285.976340730107,268.05242028833,100.475285,94.9310590564225,0.0058884662,314.64387,0.708586222499999,17.78025,2.4603527,-0.014653964,3.323836275,0.661558695,1.82460984015609,0.453549665706911,414.062623483496
1,7.25,214.010428685202,205.605751037632,325.389770502042,298.197883063733,100.49476,95.8261844072664,0.0056720019,315.0266,0.759581575,17.88193725,2.3428594,-0.023157777,3.5749635,0.6814512,1.74464040289671,1.15165431232167,414.006223126586
1,7.75,213.158555854765,188.718401924076,314.740261697648,267.669522021557,100.50341,95.7860088106286,0.046134807,315.0612,0.73738292,17.99347,2.269383,-0.022317255,3.52461642499999,0.708543015,1.81387870442336,0.775200065076256,413.921208169202
1,8.25,213.992663739646,204.827546916769,293.897263907703,291.033171115366,100.52662,95.9409373882833,2.340177,315.269,0.751826735,18.3925825,2.378864,-0.0175238035,3.342105275,0.6695761325,1.81731476311372,0.648531176682436,414.251552899745
1,8.75,220.853354823168,209.011785908433,301.213064190785,282.703346159169,100.5414375,96.069045388078,18.5674975,315.137215,0.7624463025,18.23482675,2.35881094999999,-0.02204307,2.971324625,0.68062852,1.87393524691081,2.23470040268285,414.208834920046
1,9.25,194.448458527145,190.704225777012,318.598208845532,256.082577613408,100.5469525,95.762786129907,63.86759675,314.9044675,0.73505265,18.01221625,2.16915815,-0.0148360805,2.97979525,0.676764225,1.78187782885151,0.421205565487551,414.503308421793
1,9.75,210.318775967797,185.136359153607,244.800209256423,273.490670433739,100.5607975,95.9246932323606,127.97837,315.17698,0.77301764,17.757828,2.1866682,-0.0092997255,3.1765357,0.66854964,1.8430105857907,1.69415228429833,414.102323838992
1,10.25,202.525746419608,200.631156880087,289.233956846448,269.786719173299,100.664255,95.7757343781555,190.238045,316.578295,0.725934765,17.844284,2.21828555,-0.013070358,3.289098775,0.6471364475,1.83134785382709,0.802961996826665,414.717455252807
1,10.75,227.150685728961,199.769582529355,277.516559531656,264.789238338702,100.66215,96.0546931049134,234.93248,317.061625,0.7625051575,17.806246,2.2882243,-0.008004552875,3.4317013,0.664875885,1.78277544277753,0.625643267116483,414.796862384725
1,11.25,193.727840261765,182.568485771576,256.746218782128,253.649969771297,100.7260625,96.2292112511642,284.638135,318.16826,0.755075415,17.8704215,2.318531275,-0.0175239035,3.27419235,0.658139105,1.7385100204035,0.842205442711238,414.707042878478
1,11.75,204.569053475806,194.121237744042,265.119542042399,293.39588015396,100.77996,96.6869916168072,316.5780125,317.8716025,0.73013136,17.60816925,2.144596925,-0.00988328285000001,3.44015895,0.695932124999999,1.80174510747393,1.05525027756698,414.709224667783
1,12.25,214.583036594137,201.229556277477,279.666226106542,299.190967658174,100.7848,96.7973720833435,335.265575,318.3269275,0.717113655,17.25393225,2.22851335,-0.01312919,4.62536295,0.647358555,1.76400120388976,1.36319183721197,414.600725193388
1,12.75,226.541424844997,195.375161464582,293.595984957341,323.884390259652,100.76027,96.695053502678,347.1769725,316.4212,0.71554433,17.41932225,2.2146379,-0.01399799675,4.5096899,0.659168645,1.76514139319552,1.15783764892115,414.770035782886
1,13.25,248.778676432576,210.819625439638,295.391527541397,292.378455349454,100.72801,96.8703203820054,350.97939,316.871785,0.761651832499999,17.436003,2.282386725,-0.016471764,4.47753127499999,0.643963065,1.80256991246766,0.632053962323694,414.760424879722
1,13.75,256.490126505708,200.846911291064,308.550078610064,291.373288425312,100.69355,97.3129589814689,345.65887,317.139825,0.799303225,17.0191215,2.288327575,-0.014913229,3.75895625,0.61368552,2.00303346037771,0.775419294570229,414.679492786767
1,14.25,229.644064520837,199.131190371164,273.203280785771,322.9960536399,100.7096975,96.6972437865299,316.5407175,316.330555,0.76284184,17.27955875,2.397714775,-0.01602024,3.97805525,0.640282345,2.02210088916094,0.704740172776651,414.385763568819
1,14.75,258.170160544216,208.940516925975,341.70281862622,331.890051141826,100.6526925,95.9909372255625,282.444905,317.232205,0.67475556,17.11012,2.6601542,-0.0116217,3.750021825,0.6302327225,2.09463117236307,1.84563363803585,414.349830772252
1,15.25,246.644398063799,197.546193710883,318.911452470847,307.82875554779,100.651985,95.9713474674398,251.64871,315.94957,0.72161911,17.804849,2.7087821,-0.016829461,3.879931225,0.63246046,2.17448377216131,0.651878404818554,414.375107410157
1,15.75,240.825855287399,189.173434991726,287.304568224877,307.333256710623,100.6732,96.1331443547848,209.98152,316.21001,0.6983134625,17.560267,2.8933525,-0.021465634,4.161234375,0.6359084125,2.17492519397771,0.635224956932591,414.172280353543
1,16.25,241.559531634577,208.728035741437,320.031780426562,317.160876540172,100.6806625,96.3137964696899,146.323735,318.164895,0.69190354,17.761218,2.77067985,-0.01943396,4.2917632,0.62825328,2.26143526573631,0.955119736868117,414.519219283577
1,16.75,220.614827924622,194.201098771414,326.26277146713,302.519984558511,100.68613,96.5698685106131,90.798003,317.738295,0.739850275,18.409742,2.86299835,-0.01170495875,4.103634,0.6278277,2.38270600245922,0.787548521284493,414.866160471046
1,17.25,266.651650535108,213.838400080344,291.132406808887,318.071956921748,100.6954225,96.2280086358124,31.488773,317.133915,0.71847196,18.243928,2.8853648,-0.016233082,4.13617177499999,0.633022175,2.33339764535816,0.734287062492673,414.354026314059
1,17.75,238.392078217815,203.192076999358,280.510538906631,314.95406521152,100.673085,94.3593008085382,4.90884004999999,317.266,0.832609865,18.51406,2.87312865,-0.016027664,3.88093207499999,0.638898495,2.35092805515988,0.296047566512537,414.698253721792
1,18.25,298.322330533764,200.466615770431,376.548993986619,320.750372000661,100.6431325,95.3648903491167,0.19232906,316.120895,0.709803805,18.877105,3.1233589,-0.01718979625,3.753732975,0.606599715,2.25827116587135,1.39172177052043,414.308166751974
1,18.75,249.658602995098,206.616795698761,334.458699927136,305.206628729184,100.60093,95.6211967510041,0.0060284931,315.48498,0.7138961675,18.542225,3.16568025,-0.01463602375,3.97618912499999,0.641102025,2.3263082870614,0.886078424463323,414.370458933777
1,19.25,236.95722477235,205.119239892001,356.25966251606,321.323760666659,100.56612,95.6723216286038,0.00569663375,317.45456,0.699505457499999,18.034138,2.87282025,-0.018852375,4.25433322499999,0.65561589,2.30327320166686,0.824537731510711,414.386458724307
1,19.75,257.283074802441,215.534393929139,342.597198619922,317.7908004484,100.50968,95.095311246005,0.0060558241,317.5861,0.692667765,17.97516,3.04122945,-0.011164595,4.308206075,0.630431025,2.2040529802253,0.499775866139043,413.931179990045
1,20.25,234.335864783188,186.804273075444,309.897937382544,322.696180938924,100.44101,94.9766332866977,0.0056709062,318.24687,0.7448778275,18.262997,3.05203595,-0.02067835675,4.36577059999999,0.6371748,2.3110570919501,0.789954629684137,413.426300816178
