DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,9.75,0.4835,0.7025,1.915,0.179,0.4665,-0.1095,76.3575,15.52,10.437,1.1575,-2.576,-0.054,0.238,46.49,78.15,387.557,3.335,218.7,757.5,384.7,167.3,83.2,223.4,311.3,3.331,168.3
1,10.25,0.5645,1.54,2.003,0.132,0.41,-0.126,110.863,13.348,15.785,0.499,-2.965,-0.0265,0.2395,44.545,78.18,387.1795,3.76,284.6,963,477.1,174.45,101.5,226.1,317,3.373,180.9
1,10.75,0.638,2.291,2.35,0.005,0.36,-0.0945,138.9935,11.493,19.848,0.285,-2.999,0.027,0.236,40.45,78.18,386.673,4.18,336.85,1085,548.85,209.5,119.7,226,319.45,3.359,195.25
1,11.25,0.6475,2.843,2.27,0.098,0.249,-0.053,156.653,9.747,21.4495,0.888,-3.026,0.061,0.25,37.41,78.1805,386.395,4.495,379.55,1205,603.5,232.3,124.1,227.7,322.45,3.46,205.8
1,11.75,0.65,3.3155,2.3455,-0.134,0.2165,-0.0815,172.5,6.718,27.5075,0.132,-3.03,0.071,0.264,34.56,78.14,386.096,4.835,404.6,1273.5,643.1,258.5,130.65,229.4,325.55,3.4735,217.2
1,12.25,0.6645,3.623,2.473,-0.086,0.2755,-0.1055,181.3755,5.899,25.6615,0.053,-3.047,0.1075,0.275,33.43,78.1,386.026,5.2,418.7,1293,661.2,261.4,138.4,231.2,328.2,3.421,220.9
1,12.75,0.6745,4.0425,2.5825,0.137,0.245,-0.058,171.499,2.0515,27.5735,0.1355,-2.219,0.163,0.29,32.52,78.08,385.4455,5.34,420.05,1294,658.55,253.3,131.3,233.5,329.55,3.403,222.4
1,13.25,0.675,4.42,2.5315,0.058,0.119,-0.0545,171.6215,3.507,28.301,0.0575,-2.572,0.1655,0.302,32.665,78.05,385.2025,5.43,405.7,1256,629.8,210.95,123.2,235.85,330.8,3.429,219.6
1,13.75,0.655,4.5,2.64,0.0235,0.102,-0.0455,163.251,1.491,23.763,0.029,-2.729,0.1675,0.3005,31.8255,78.03,385.448,5.57,387.6,1209,603.65,175.35,117,235.8,331.3,3.431,205.05
1,14.25,0.652,4.595,2.711,0.08,0.203,-0.049,158.142,-3.646,22.305,0.779,-2.7965,0.1625,0.2965,32.37,78.03,385.303,5.67,344.6,1117.5,555.7,174.3,107.2,235.3,330.8,3.472,195.5
1,14.75,0.6795,4.5515,2.648,0.112,0.2385,-0.037,147.096,-2.185,25.0215,0.897,-2.836,0.09,0.294,33.54,78.02,385.221,5.55,301.3,1017,489.6,174.2,89.4,236.8,330.1,3.6005,192
1,15.25,0.632,4.228,2.3925,0.157,0.226,-0.023,109.516,-4.06,18.697,0.387,-2.83,0.1315,0.298,35.035,78.03,385.2635,5.37,237,848,406.8,133.65,70.48,235.75,328,3.7185,188.8
1,15.75,0.6165,3.948,2.3095,0.311,0.225,0.039,82.815,-5.965,15.766,0.386,-1.938,0.123,0.306,35.9,78.04,385.537,5.23,160,643.4,311.5,66.82,50.95,232.3,324.8,3.699,171.3
1,16.25,0.559,3.332,2.133,0.325,0.259,0.0115,45.9905,-6.156,11.318,0.442,-2.244,0.097,0.3095,36.9,78.051,385.596,4.99,73.51,413.1,206.8,2.179,31.7,230.6,321.9,3.7135,136.7
1,16.75,0.4805,2.732,2.0315,0.389,0.298,0.05,14.802,-9.429,6.935,0.4375,-2.58,0.0955,0.316,39.6,78.07,385.601,4.78,4.956,194.9,103.8,0,19.95,228.8,317.9,3.7,98.5
1,17.25,0.3865,1.967,1.545,0.4455,0.25,0.0965,-10.762,-12.602,1.906,0.1505,-2.64,0.078,0.315,42.055,78.06,385.747,4.36,-62.78,41.55,15.53,0,4.479,227.6,314.9,3.743,39.96
1,17.75,0.265,1.04,1.3965,0.586,0.2675,0.1725,-13.32,-13.15,0.736,0.251,-2.698,0.0685,0.31,45.77,78.051,385.8785,3.87,-92.8,4.739,-0.74,0,2.013,226.1,310.4,3.827,3.674
1,18.25,0.198,0.322,1.4205,0.5965,0.2215,0.1645,-13.964,-9.753,0.5915,-0.115,-2.721,0.0515,0.3225,48.22,78.04,386.488,3.52,-90.7,1.535,-2.968,0,2.008,224.1,307.3,3.806,0.673
1,18.75,0.203,-0.095,1.472,0.715,0.312,0.1555,-13.471,-7.1335,0.271,-0.152,-1.9845,0.0535,0.323,49.33,78.04,386.9345,3.435,-89.7,1.514,-2.583,0,2.191,223.3,304.1,3.736,0.673
1,19.25,0.2155,-0.498,1.4275,0.7225,0.392,0.143,-15.3245,-4.729,0.293,-0.19,-2.396,0.0145,0.3245,51.48,78.06,387.309,3.23,-88.5,1.52,-2.461,0,2.327,220.1,301.3,3.635,0.673
1,19.75,0.153,-0.797,1.3695,0.5545,0.2245,0.0585,-10.171,-3.365,0.297,-0.323,-2.701,0.0065,0.317,51.55,78.07,387.207,3.12,-88.4,1.524,-2.367,0,2.346,218.4,299.6,3.6035,0.673
1,20.25,0.199,-0.83,1.522,0.497,0.2975,0.057,-11.3895,-2.962,0.202,-0.289,-2.802,-0.0175,0.3175,51.91,78.06,387.499,3.14,-87.2,1.527,-2.253,0,2.343,217.8,299,3.4935,0.673
1,20.75,0.211,-0.902,1.626,0.41,0.248,0.033,-12.6525,-0.7585,0.214,-0.572,-2.85,-0.018,0.3175,52.48,78.06,387.83,3.01,-86.3,1.531,-2.157,0,2.41,217.1,297.4,3.503,0.673
1,21.25,0.169,-0.821,1.622,0.422,0.285,0.019,-11.801,-1.6785,0.473,-0.17,-2.901,-0.033,0.32,50.905,78.0555,387.756,3.18,-85.2,1.542,-2.14,0,2.34,218.5,297.2,3.4415,0.673
