DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,TS_1,RH_1_1_1,CO2_1_1_1,PPFD_IN_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,VPD_1_1_1,TA_1_1_2,PPFD_OUT_2_1_1,PPFD_IN_2_1_1,PPFD_IN_2_3_1,NETRAD_2_1_1,SW_OUT_2_1_1,SW_IN_2_1_1,LW_OUT_2_1_1,LW_IN_2_1_1,TA_2_2_1,RH_2_2_1,TA_2_3_1,RH_2_3_1,TA_2_4_1,WS_2_1_1,CO2_2_1_1,H2O_2_1_1,WS_2_2_1,USTAR_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,T_SONIC_2_1_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,PPFD_IN_2_2_1,PA_2_1_1,TA_2_1_2,SC_2_1_1,CO2_3_1_1,CO2_3_2_1,CO2_3_3_1,CO2_3_4_1,CO2_3_5_1,CO2_3_6_1,CO2_3_7_1,CO2_3_8_1
1,0.25,0.0875,-18.8,0.6785,-0.42,-74.76025,-3.985,0.106,46.7985,387.5,0,0.8,-18.32,0,-17.9225,-0.70225,-0.302,-0.303,-107.7325,-0.121,-4.6,235.874,146,-19.337,51.29,-19.0385,53.595,-16.94,0.393,408.835,0.85,0.8705,0.10115,-97.6705,-5.20065,-0.5541925,-18.63,-18.951,48.9,0,-0.6415,95.13925,-11.8125,-0.4325,423.89,423.6225,423.0875,422.8875,423.06,423.9875,423.9875,424.5175
1,0.75,0.09975,-19.24,0.68875,-0.2,-78.875,-4.64,0.2,47.986,387.4525,0,0.8,-18.315,0,-18.01,-0.7325,-0.5,-0.4,-106.855,-0.2,-4.6455,236.8095,146.725,-19.10075,50.895,-18.80575,53.99,-17.03,0,409.2925,0.8685,0.8095,0.07894275,-92.58,-7.320675,-0.38661,-18.335,-18.477,50.69,0,-0.61375,95.24575,-11.4325,-0.96,426,426.08,424.995,424.795,424.975,426.42,426.16,426.58
1,1.25,0.1,-19.3,0.7165,-0.3,-84.79925,-5.2125,0.2,49.144,387.3,0,0.8,-18.63,0,-17.85,-0.665,-0.5275,-0.4,-105.775,-0.2,-4.69275,238.06625,147,-18.91,50.8875,-18.365,53.87,-16.5405,0,409.1925,0.867,0.69,0.07639,-86.62525,-6.9122,-0.427555,-18.1,-18.226,49.4175,0,-0.62825,95.15875,-11.725,-1.625,426.04,426,424.685,424.84,424.82,426.38,426.32,426.58
1,1.75,0.08,-19.56,0.61025,-0.32426,-77.5155,-5.8,0.3,49.49725,387.4,0,0.78575,-18.905,0,-18.154,-0.6,-0.4,-0.31925,-105.925,-0.2055,-4.50275,238.26925,147,-18.91,52.44,-18.4375,55.1,-16.63,0,409.095,0.8595,0.576,0.081226,-83.51775,-8.91805,-0.42176,-18.1,-18.197,49.1175,0,-0.611,95.14975,-11.3525,-1.625,426.2125,425.98,424.975,424.665,425.13,426.4,426.48,426.48
1,2.25,0.0305,-19.7375,0.412,-0.37875,-76.134,-3.78,0.13,50.0025,387.21,0,0.73675,-18.625,0,-18.154,-0.7,-0.4,-0.3,-105.73,-0.2,-4.54825,237.8415,147,-19.005,51.685,-18.8825,55.9725,-16.4615,0,409.4,0.86,0.68125,0.10188,-87.738,-6.076025,-0.36598,-18.1875,-18.368,47.9,0,-0.66,95.12975,-11.3075,-1,426,425.88,424.85,424.685,425.15,426.5,426.28,426.58
1,2.75,0.06,-19.8775,0.52,-0.715,-78.61125,-3.6475,0.27,51.5315,386.925,0,0.73675,-18.54,0,-18.105,-0.535,-0.4,-0.3,-105.855,-0.20825,-4.4985,238.45,148,-18.9,53.675,-18.5825,57.99,-16.795,0,410.17,0.908,0.842,0.08027,-88.02675,-4.4067,-0.5508,-18.34,-18.51,52.5975,0,-0.65275,95.00525,-11.465,-0.96,425.92,425.64,425.125,425.025,425.18,426.28,426.08,426.4
1,3.25,0,-20.025,0.5,-0.436,-81.386,-5.55,0.19825,52.185,387.2575,0,0.7315,-18.5225,0,-17.956,-0.7,-0.4,-0.3275,-105.375,-0.2,-4.52475,236.725,147.516,-19,56.09,-18.955,59.17,-17.2375,0,410.005,0.84975,0.745,0.061433,-102.64,-8.23,-0.46649,-18.3,-18.307,53.48,0,-0.611,95.00975,-11.6725,-1,425.98,425.7,425.19,424.88,425.445,426.14,426.1,426.44
1,3.75,0,-19.864,0.55825,-0.506,-85.4025,-5.9,0.19825,52.389,387.1675,0,0.7,-18.9525,0,-17.966,-0.7,-0.4275,-0.4,-105.53,-0.16375,-4.51375,238.175,146.88725,-18.9075,56.025,-18.855,60.145,-16.835,0,410,0.81875,0.58,0.0974355,-87.548,-7.83315,-0.85815,-18.2375,-18.22,53.32,0,-0.60825,94.98,-12.2325,-2,426.1,425.84,425.545,425.245,425.545,426.38,426.2,426.64
1,4.25,0.0095,-19.7865,0.619,-0.409,-85.8625,-3.2275,0.19825,52.3225,387.1,0,0.7,-19.2125,0,-18.055,-0.8625,-0.5,-0.4,-104.41,-0.16375,-4.25775,237.725,146.6865,-18.91,58.345,-19.065,61.92,-16.7675,0,409.785,0.803,0.594,0.083608,-89.32675,-6.401,-0.54234,-18.425,-18.3375,57.48,0,-0.62275,94.9975,-12.325,-1.6,425.8,425.68,425.6,425.4,425.39,426.2,426.04,426.62
1,4.75,0,-20.1975,0.519,-0.5335,-91.2752,-7.8975,0.1985,52.919,387.6,0,0.718,-18.98,0,-18.005,-0.651,-0.5,-0.4,-103.775,-0.1,-4.3,237,145.88175,-18.805,59.6125,-18.81,62.315,-17.079,0,410.01,0.952,0.77125,0.09423825,-87.504,-7.056,-0.3537625,-18.6375,-18.6275,56.725,0,-0.611,94.9975,-12.335,-1.56,425.38,425.3,425.135,424.945,425.2,425.84,425.92,426.26
1,5.25,0,-20.18,0.48,-0.5135,-87.6625,-4.39,0.1985,55.505,387.6525,0,0.7615,-19.0525,0,-18.736,-0.56,-0.4275,-0.4,-104.13,-0.13275,-4.33275,236,147,-19.005,59.8475,-18.8275,63.4725,-16.72025,0,410.04,0.8155,0.8745,0.07638575,-87.86625,-8.737625,-0.273085,-18.605,-18.8275,56.225,0,-0.63275,95.0225,-12.3875,-1,425.18,424.88,424.705,424.505,424.66,425.48,425.32,425.64
1,5.75,0,-20.164,0.498,-0.208594,-88.87905,-4.4425,0.18875,55.98125,387.5,0,0.7615,-19.115,0,-18.958,-0.63,-0.4,-0.4,-104.02,-0.171,-4.251,236,147.87625,-19.115,56.4,-19.3,62.125,-17.1675,0,410.175,0.79825,0.7845,0.09643975,-86.854,-7.1608,-0.3814425,-18.72,-18.9,56.78,0,-0.7,95.04,-13.085,-0.76,425.14,424.88,424.67,424.415,424.77,425.4,425.16,425.94
1,6.25,0.06975,-20.23,0.53975,-0.483,-91.875,-4.095,0.17925,57.27625,387.55,0,0.7135,-19.115,0,-19.079,-0.6595,-0.4275,-0.4,-104.055,-0.2,-4.22825,234.9,147.12325,-20.1,60.19,-19.375,63.8075,-17.2025,0,409.49,0.80925,0.71,0.0972335,-80.726,-7.273875,-0.65502,-19.3625,-19.2475,55.8725,0,-0.6855,95.06,-13.06,-2,425,424.72,424.38,424.325,424.5,425.28,425.14,425.58
1,6.75,0.038,-20.29125,0.5955,-0.4175,-79.7011,-5.575,0.15975,55.56125,387.45,0,0.709,-19.0225,0,-18.502,-0.87,-0.3,-0.3,-103.95,-0.211,-4.142,234.175,146.725,-20.2,60.33,-19.5025,63.72,-17.6025,0,409.27,0.807,0.7445,0.0887935,-86.24375,-5.431,-0.437955,-18.875,-19.1275,56.66,0,-0.6275,95.065,-12.9225,-1.6,424.62,424.34,424.26,424.19,424.375,425.08,425.26,425.68
1,7.25,0,-20.1495,0.499,-0.419932,-76.9175,-4.995,0.1,55.2505,387.22,0,0.7615,-19.1,0,-19.6,-0.3,0.88625,0,-95.895,0,-0.00497749999999999,233.725,147.45,-19.9125,58.6875,-19.4825,62.7025,-17.8675,0,409.24,0.81325,0.83,0.05382725,-85.17275,-5.63575,-0.35895,-19.45,-19.455,56.2975,0,0.26525,95.07275,-13.0575,-2,424.52,424.2,423.985,423.93,424.005,424.74,424.62,425.2
1,7.75,0.05925,-19.6,0.4985,-0.3925,-69.287,-6.2,0.0977500000000001,54.9755,387.6425,4.0711,0.756,-19,0,-19.279,0.2,6.39,0.5,-60.44,0.345675,3.27,234,147.45,-19.8125,58.095,-19.6275,63.325,-17.335,0,409.4,0.823,0.829,0.12819,-84.607,-3.71715,-0.542555,-19.32,-19.5275,55.9,0,1.845,95.117,-13.34,-1.56,424.9,424.44,424.17,423.915,424.27,425,424.96,425.26
1,8.25,0.1,-19.175,0.569,-0.6225,-48.41,-3.193505,0.0977500000000001,52.7925,387.05,13,0.778,-18.81,0,-18.404,0.47,14.1875,1.1,-25.13,0.789,7.203,236.725,149,-19.315,57.9525,-19.4825,61.745,-16.83075,0,409.485,0.845,0.806,0.09549975,-62.752,-3.147,-0.3035,-18.98,-19.065,55.6175,0,3.9725,95.11675,-13.265,-0.88,424.86,424.44,424.37,424.205,424.325,425.12,424.96,425.32
