DOY2,HR2,TAU,H,LE,FC,SC,SH,SLE,WS,USTAR,T_SONIC,CO2,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,VPD,PA
1,8.75,-0.6570336281,-27.0898184605,-25.65529582,-7.33163764105,-3.486711656325,-1.4907958075,-2.6037338178,0.450201741575,0.063686548925,9.00905086500003,371.318523655,7.5290002394,42.662,5.5212,259.66,364.0025,9.35375,9.53925,10.208,61.21975,66.86075,14.084,14.75275,2.006554856,101.1467353675
1,9.25,-0.720678118525,-23.02510072,-23.95209028625,-8.655967149925,-1.61492278035,-1.6642160412,-4.1058150129,0.46488843265,0.0493866627,9.47276084000003,373.30129767,7.522500913625,72.0325,8.9125,261.7375,371.245,10.19325,10.493,11.242,56.434,64.88225,13.91775,14.4455,2.356456108875,101.24158349
1,9.75,-0.7959045734,-28.6874913585,-12.143718262,-10.13154953625,-1.5216877545,-2.98455622935,-4.3139348776,0.5204993298,0.0519503863,9.96608121000004,374.013688195,7.1318938352,113.2625,14.06175,265.36,375.35,10.75425,11.1795,11.756,52.1885,59.32775,13.8755,14.215,2.2964604586,101.18566919
1,10.25,-0.74800577875,-20.10173542225,-3.4387230873,-11.4814994875,-1.43626960755,-2.248368654,-5.3884587784,0.75296157255,0.06115447305,10.67177476,374.19360645,6.744338204,122.475,14.56,266.7025,380.56,11.33275,11.75275,12.48,48.18025,56.28925,13.8475,14.08975,3.0513760078,101.182891555
1,10.75,-0.72358717845,-15.965022598,-3.53974120835,-9.724197393,-1.234206656775,-2.453517320975,-5.4397789644,0.71799344265,0.06464321215,11.361181695,374.74526595,6.9242458128,197.96,23.65225,269.57,385.515,12.243,12.4665,12.872,46.679,50.90425,13.878,14.05875,3.89154532855,101.19332311
1,11.25,-0.726557093,-22.274822575,-0.0827609380000001,-9.21065409335,-0.9163082438,-2.915033017375,-3.65634538955,0.7225470024,0.0699073328,11.85863376,373.736451125,7.0413907401,167.5125,20.26125,272.5925,392.605,12.5845,12.80475,13.671,43.3225,49.1895,13.9885,14.0945,4.0000041034,101.1659578
1,11.75,-0.680647018725,-25.35616441,-0.699446587499999,-8.7325910623,-2.081152105,-3.652990689,-4.5769774761,0.572727012125,0.0558304343,12.5032761875,374.2901518875,7.4128907677,124.395,14.883,276.98,396.9125,13.146,13.65,14.302,42.43375,45.35875,14.1795,14.16875,4.29452848375,101.20580683
1,12.25,-0.7553271806,-25.164766884,-1.56893950975,-10.88300100775,-0.748135213,-3.1877366102,-3.551291669675,0.42545780885,0.05430930115,13.1490549,372.4206003075,7.230633269125,193.8775,19.7885,281.8925,400.1675,13.7365,14.15425,15.036,40.79825,45.7345,14.3695,14.32225,4.22564647,101.205000425
1,12.75,-0.6932449952,-16.052106138,-3.81332589325,-12.52955037825,-0.7247927336,-2.685173660825,-5.53611311745,0.4519258583,0.0502553559,13.146008715,372.84565062,7.199753400625,195.665,18.5135,284.3375,404.735,14.959,15.4695,16.25,38.6035,44.2315,14.49325,14.50475,4.0913564045,101.23480293
1,13.25,-0.7590173216,-11.018831618,3.267718056,-10.246677536575,-1.402113133725,-2.8485980998,-5.42628246985,0.7413405968,0.0772639079,13.687465505,374.385568915,7.1226733483,222.5625,23.31775,287.6225,408.245,15.19525,15.78275,16.38,34.61875,40.70675,14.627,14.68475,5.52189606285,101.21974345
