DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
1,0.25,0.0526,-0.9589815,-11.2947697,0,-29.312025,-0.60355625,66.21955,0.042,98.4269,0.10328325,-6.746675,0,-0.82572375,0.32229375,-9.59876,-9.16765,-14.0409,-9.10222,-7.27104125,-12.081595,413.61135,204.55,214.09,0.16224
1,0.75,0.068675,-0.7332645,-11.99025,0,-29.4078,-0.638602,66.9418,0.0438,98.429825,0.0656426,-6.49841,0,-0.875314,0.32164,-9.6551175,-9.9381575,-14.2941,-9.1519,-7.41994,-11.83428,413.67705,207.34,213.085,0.1614875
1,1.25,0.04695,-0.64048325,-11.56825,0,-29.25755,-0.6490585,66.04805,0.0417,98.4205,0.08762085,-6.212235,0,-0.8874215,0.327755,-9.707975,-10.0269675,-14.4432,-9.42772,-7.47776,-12.076535,413.53,207.245,214.165,0.1661975
1,1.75,0.072925,-0.5273712065,-11.295389615,0,-29.01065,-0.6444055,66.2368,0.0397,98.43635,0.0849346,-5.98523,0,-0.891919,0.3189215,-9.802255,-10.00425,-14.5707,-9.54259,-7.517565,-12.217325,415.002675,205.31,214.5225,0.1673425
1,2.25,0.1028547505,-0.7652841365,-9.90478,0,-29.1425,-0.6385845,66.50935,0.03775,98.465,0.0784954,-5.8849175,0,-0.9026035,0.3253035,-9.8926325,-10.13,-14.541,-9.54181,-7.55424375,-12.322655,414.6927,205.075,212.7275,0.1649875
1,2.75,0.021975,-1.30463,-9.9646923,0,-29.193,-0.648004,66.3425,0.043,98.45605,0.09490495,-6.164435,0,-0.90138,0.31894275,-9.976975,-10.10125,-14.4994,-9.54201,-7.58737375,-12.316505,413.794,203.83,212.5775,0.15689
1,3.25,0.0699,-0.75242775,-9.66441,0,-29.395,-0.65236275,66.4594,0.0404,98.459525,0.090259075,-5.68932,0,-0.90768175,0.3210045,-10.05655,-10.308,-14.587575,-9.563545,-7.6159225,-12.4325575,414.1913,205.1125,211.235,0.1618025
1,3.75,0.07415,-0.79949925,-9.6096,0,-29.21005,-0.637412,66.271525,0.0418,98.51,0.056659675,-6.26503,0,-0.911935,0.30902775,-9.999175,-10.27975,-14.649125,-9.5504025,-7.64528,-12.4182396025,413.984875,203.5625,211.29,0.1620975
1,4.25,0.0654,-0.91802,-9.10279605,0,-29.507225,-0.640284,66.307425,0.0448,98.4507,0.046646375,-5.7137525,0,-0.92175825,0.316576,-9.973475,-10.261,-14.7174,-9.5431175,-7.67304125,-12.3425786975,414.24,203.8675,215.4425,0.159115
1,4.75,0.02045,-0.54462,-10.42585,0,-29.4207,-0.665213,66.2077,0.0448,98.4455,0.051827725,-5.16436,0,-0.920061,0.31017,-9.990425,-10.58,-14.752025,-9.52824,-7.69682125,-12.4949975,413.4475,203.02,215.13,0.16551
1,5.25,0.04525,-0.7697875,-9.0873914615,0,-29.94265,-0.64795475,66.0244,0.0394,98.4492,0.027008275,-5.6876625,0,-0.912433,0.3241625,-10.0676,-10.79275,-14.719725,-9.51857,-7.71832875,-12.47171875,414.88,203.795,216.025,0.1583075
1,5.75,0.030275,-0.6368825,-7.384355,0,-29.538175,-0.6417715,65.882075,0.04015,98.417,0.04908305,-6.0714275,0,-0.879272,0.31506325,-10.13525,-10.1964,-14.6294,-9.521195,-7.73823625,-12.51718875,414.80285,204.16,216.665,0.1615525
1,6.25,0.07105,-0.589654592,-10.453,0,-29.716225,-0.65329575,66.35345,0.0419,98.4173,0.047707125,-5.34885,0,-0.89636825,0.2999795,-10.21475,-10.8495,-14.652725,-9.580675,-7.7554225,-12.500255,413.41275,202.98,218.205,0.1665775
1,6.75,0.09225,-0.6789053765,-11.49415,0,-29.726625,-0.6586115,66.1437,0.043,98.3972,0.080232875,-5.59627,0,-0.89642675,0.3148905,-10.2875,-10.290925,-14.680825,-9.610975,-7.7701775,-12.468795,413.47075,205.635,218.2475,0.16158
1,7.25,0.0648,-0.485986,-10.0474,0,-29.7958,-0.65082325,66.259225,0.0404,98.396075,0.06226965,-5.90235,0,-0.891979,0.31739,-10.37075,-10.58025,-14.70815,-9.584285,-7.7839825,-12.41998625,412.863725,204.315,219.1625,0.1631275
1,7.75,0.08045,-0.6407376635,-11.00725,0,-30.096525,-0.657547,66.18005,0.0402025,98.4166,0.03113185,-5.5573175,0,-0.88844975,0.3186875,-10.4565,-9.920225,-14.747375,-9.52913,-7.76071,-12.38491,411.935,203.5325,216.99,0.1677775
1,8.25,0.061075,-0.5984622995,-11.3895,0,-30.115875,-0.65799575,66.0676,0.04095,98.3973,0.04621395,-5.765995,0,-0.88329925,0.32012,-10.57125,-9.957225,-14.78725,-9.5211725,-7.68449125,-12.42684375,412.058,204.2025,214.2825,0.174245
1,8.75,0.09345,-0.594866178,-10.51405,0,-29.954575,-0.65149375,65.61575,0.0427,98.396275,0.067343225,-5.8435,0.001198245,-0.9172835,0.311758,-10.622375,-9.822325,-14.803375,-9.52314,-7.60999,-12.395275,412.41,204.7975,217.3825,0.1633475
1,9.25,0.0995,-0.62954,-10.3846,0,-29.5682,-0.65782225,65.908525,0.039625,98.3827,0.15116275,-5.1103275,0.030982075,-0.916179,0.31829625,-10.651625,-9.796975,-14.925925,-9.51266,-7.53834,-12.3504325,412.93715,204.33,215.8975,0.1544
