DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,G_1_1_2,G_1_1_3,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_1_1_1,NEE_1_1_1
1,0.25,385.4153957,6.649341601,1.467127847,0.004920643,-13.50646667,-13.51287086,-6.038807105,1.39472,0.163687031,101.682,85.60975175,2.84257,1.120545144,8.83667,8.25066,-36.6523,-3.6732447285,-0.9650315,1.39221,291.025,320.795,-10.32,-8.83,-0.058015,0.5218045,0.418811,0.2775505,4.5070015,1.4785057355
1,0.75,385.847395,6.6494838935,1.256361781,0.010639984,-14.16,-13.48170681,-6.6446356,1.43382,0.1885071345,101.663,86.815895,2.58662,1.041881117,8.795295,8.23,-41.9518,-3.688936347,-0.974588,1.28437,292.53,320.081,-10.48,-7.9,-0.0479035,0.5273685,0.4655425,0.2693135,4.254237,1.1410975355
1,1.25,385.4756067,6.6411611625,1.164791392,0.030973466,-14.21,-16.82351089,-24.79961405,1.44238,0.170181,101.665,86.69532015,2.76869,0.973111811,8.733065,8.19,-43.7879,-3.70182366,-1.11133,1.38155,287.413,319.236,-10.53,-8.27,-0.037449,0.486789,0.388275,0.238465,3.8514545,1.0106342275
1,1.75,386.2348631,6.635449186,1.220668942,0.004137552,-14.25,-16.94617708,-42.9545925,1.421245,0.178848408,101.652,86.4946047,2.70222,1.050057876,8.72985,8.16,-41.5168,-3.68139546,-1.12151,1.42123,295.21,319.39,-10.5,-8.34,-0.037045,0.4770125,0.454277,0.247207,3.738508,1.152546665
1,2.25,386.178929,6.44692406,1.145982767,-0.000291575,-14.772,-16.31915414,-45.6795394,1.41278,0.1804536585,101.671,86.7787632,2.662135,0.955568826,8.71425,8.13,-41.0949,-3.68729008,-1.24548,1.42797,289.406,318.938,-10.67,-7.97,-0.0360005,0.5206945,0.432218,0.2487135,3.9294835,0.92096394
1,2.75,386.165,6.533540169,1.184419908,0.039479852,-14.73,-15.139701505,-43.4355269,1.454375,0.162449,101.672,87.465943,2.522455,0.989021879,8.699105,8.11,-46.2474,-3.704520533,-1.29857,1.34899,290.401,317.991,-9.98,-10.13,-0.040184,0.4769275,0.4370415,0.2405565,3.7546675,0.855111001
1,3.25,386.5062481,6.295361241,1.076505701,0.041259186,-14.23,-16.403973005,-27.97168875,1.38213,0.183707607,101.662,86.9354166,2.47025,0.958964387,8.671195,8.08,-40.0376,-3.682803841,-1.22019,1.38521,290.236,317.176,-10.04,-9.68,-0.0343665,0.4825505,0.459137,0.217361,3.205555,0.946023763
1,3.75,386.747076,6.457259988,1.168121886,0.0162996785,-14.27,-13.93368152,-36.4036732,1.36228,0.178502926,101.682,87.7373689,1.874775,0.876358153,8.606615,8.05998,-38.0421,-3.691013855,-1.23879,1.41142,290.484,317.156,-10.79,-10.75,-0.0294675,0.4381655,0.4324515,0.2042895,3.272772,0.948468822
1,4.25,386.1486735,6.2559897675,1.1879876855,0.064775228,-14.91333333,-12.34553983,-29.35793285,1.337597,0.1689456445,101.687,88.2593204,1.70789,0.807927108,8.560075,8.01113,-31.7365,-3.690148187,-1.13701,1.31382,293.85,316.226,-11.04,-11.76,-0.0404315,0.4820155,0.360537,0.218382,3.140617,1.270107528
1,4.75,386.22612495,6.3320802855,1.150172247,0.0219640795,-14.69563333,-12.331503085,-24.1836956,1.39641,0.184293505,101.683,88.480662,1.53302,0.750225155,8.51,8,-29.4855,-3.689474505,-1.19479,1.35757,297.167,316.671,-10.98,-12.16,-0.0423015,0.435813,0.405348,0.206642,3.0252425,0.98772265
1,5.25,385.83345555,6.29,1.272164003,0.027538492,-14.95,-10.75188925,-25.34214615,1.249934,0.164466695,101.7025,88.45378205,1.44925,0.738135227,8.45,7.96,-31.95935,-3.702322745,-1.21518,1.362575,295.6455,315.682,-11.06,-12.19,-0.0278895,0.3832255,0.370337,0.1906425,2.430276,0.853660806
1,5.75,385.6883591,6.016879133,1.256027109,0.009758982,-15.23,-9.83910733,-11.820946,1.3596,0.146102,101.7145,88.5545091,1.30602,0.722413143,8.38,7.935,-26.1158,-3.703308614,-1.062415,1.34996,295.617,315.46,-11.23,-13.22,-0.0276435,0.414659,0.4150115,0.203426,2.686269,0.920073788
1,6.25,386.5788508,5.94,1.2880409695,0.023585841,-15.43,-11.33977814,-18.72444579,1.3325845,0.1631781055,101.7185,89.59359485,1.12382,0.6860783285,8.3,7.905,-25.4866,-3.709716432,-1.17446,1.31453,297.1935,315.315,-11.71,-14.7,-0.0326825,0.4332635,0.3571415,0.211521,2.4958995,1.103466836
1,6.75,386.848403,5.83,1.092376147,0.029884564,-15.5,-9.776198855,-18.03418125,1.26787,0.156828337,101.746,89.3196886,0.943851,0.6686848225,8.23,7.875,-21.7867,-3.687132687,-1.126815,1.444805,294.725,315.352,-12.38,-14.45,-0.033676,0.4145305,0.3528235,0.20466,2.0138175,1.1060479395
1,7.25,386.9559936,5.82,1.086961073,0.0487170515,-15.41,-8.407021055,-26.68433482,1.25516,0.1419174435,101.762,89.5883907,1.15064,0.621516528,8.15588,7.835,-17.8387,1.709075131,0.4986355,1.968815,295.003,314.8415,-12.73,-14.11,-0.0178835,0.3778775,0.4173125,0.1571585,1.7210395,0.917044887
1,7.75,386.9234538,5.775403159,0.967057448,0.0279659735,-15.25,-8.25935091,0.456583,1.304175,0.141733215,101.779,89.5673802,1.283255,0.6300657,8.106545,7.76,-4.1015,55.3813,19.6513,8.19279,297.199,315.913,-12.44,-13.64,-0.025919,0.376191,0.3976505,0.186647,1.903045,0.835933061
1,8.25,388.1670335,5.801904263,0.9040756845,-0.024388662,-14.93,-4.55912572,3.725669465,1.3733,0.196592007,101.801,87.9278311,2.23891,0.850374999,8.11406,7.73,13.1475,151.5678475,67.3383,19.8696,301.389,320.868,-11.39,-12.06,-0.0452455,0.470093,0.379428,0.224562,2.6019795,0.7605445965
1,8.75,387.4953513,5.9284297465,0.4389114715,-0.162187342,-13.63,10.45837831,18.84759,1.65329,0.275785,101.8155,84.0394877,3.13492,1.220660235,8.142125,7.72,57.1675,298.1935827,152.808,31.1048,292.375,327.659,-10.34,-9.39,-0.0956875,0.5758995,0.5219905,0.341526,4.028216,0.046972101
1,9.25,386.359375,6.2824264605,-0.09,-0.2552026205,-11.39,34.258177605,33.77197055,1.9463205,0.337790747,101.841,78.482574,4.32199,1.9837380205,8.16215,7.67887,120.549,448.046139,220.209,37.6263,292.64,333.75,-9.43,-6.257,-0.165498,0.7723015,0.6456975,0.4404815,5.4519265,-1.02163398
1,9.75,386.0376697,6.265090004,-0.5609399935,-0.192665958,-9.87,61.05863045,42.9692081,2.128824,0.384767,101.845,73.7587211,5.76626,2.5764616035,8.324095,7.66611,168.041,619.9701264,295.776,47.3596,286.58,341.328,-7.41,-3.228,-0.237183,0.8971945,0.811245,0.506782,6.445635,-3.192247536
1,10.25,385.4531866,6.559894693,-0.8640576095,-0.163766914,-5.77,93.86693062,47.2633232,2.366694,0.400915655,101.8535,66.574621,6.6809,3.1251245965,8.354285,7.67333,219.102,743.9373734,373.128,53.6525,281.714,348.963,-5.862,-0.348,-0.21859,0.9100845,0.851342,0.509846,7.3406655,-4.832271218
1,10.75,384.31818935,6.882003282,-1.405432441,-0.173757944,-3.036666667,120.8894771,55.33797,2.4405,0.4257472345,101.85,62.5016419,7.28809,3.8204630065,8.40942,7.68298,254.968,826.665859,411.191,57.5426,279.579,355.074,-2.574,1.998,-0.265804,0.9280025,0.9132915,0.530924,8.361764,-6.277154479
1,11.25,382.87235485,7.081572824,-1.725120398,-0.141254093,-0.2941031,146.61454,57.89296565,2.530965,0.428061393,101.836,59.5078474,7.989575,4.2832273545,8.62,7.69388,278.435,970.108058,446.768,62.6273,282.984,361.197,-0.367,4.103,-0.299846,1.025354,0.97221,0.577556,8.4919595,-6.6704265345
1,11.75,382.2200909,7.197392866,-1.923068209,-0.08234418,1.828,153.3255622,60.6938213,2.66815,0.457242248,101.7475,56.324911,8.54836,4.689919376,8.668725,7.70571,296.583,1019.2835615,466.222,64.4944,281.516,364.996,0.382,5.239,-0.3431515,1.1218505,0.989587,0.6244105,8.5161705,-7.287117003
1,12.25,381.4552013,7.2254176945,-2.0515084955,-0.07301757,4.787,159.3071368,60.93879,2.59531,0.453928,101.7035,54.017336,9.00992,5.1223950185,8.679295,7.72122,305.64,1026.2,462.721,66.5278,283.107,368.813,1.673,5.554,-0.3148345,1.0773945,1.041044,0.6004965,8.856031,-8.7229282
1,12.75,380.9901828,7.3138329555,-1.8819027295,-0.054593624,6.441,158.4329987,60.7907231,2.5932315,0.454889505,101.6595,51.494973,9.6068,5.5855371535,8.74133,7.731055,295.327,982.8861742,459.091,64.9969,287.732,370.803,3.6825,6.052,-0.3469375,1.122431,1.0995195,0.6185385,9.302695,-8.2619593755
1,13.25,380.6332515,7.160650416,-1.857277213,-0.053310478,6.1847708335,144.7444858,63.19298215,2.59032,0.4622183795,101.619,49.7399653,9.864695,5.8687828125,8.880765,7.76,276.088,981.8335146,435.16,61.8544,286.121,370.131,3.808,6.833,-0.3278225,1.139537,1.077281,0.613018,9.9189135,-7.693752515
1,13.75,380.3676432,7.3674286245,-1.970737811,-0.0456781795,6.418,134.57416545,58.75418,2.635335,0.450221773,101.575,49.0245161,9.86661,5.898060996,9.06856,7.824645,240.8965,898.9589413,416.202,57.18675,286.744,371.024,4.815,7.705,-0.3239055,1.195425,1.08407,0.6489135,10.37775,-7.717285031
1,14.25,379.9731284,7.215764957,-2.043811949,-0.024492948,6.17,125.4143931,55.91650165,2.57655,0.454390365,101.559,48.2586397,10.1306,6.161266323,9.06015,7.93,205.858,791.8610792,366.2055,50.1771,282.7165,369.313,4.7,7.49,-0.3516185,1.1419995,1.0739085,0.636856,10.312883,-7.667100909
1,14.75,380.1067333,7.2802099815,-1.690200009,-0.037144058,4.691,97.90746801,45.73903005,2.639486,0.434649939,101.527,47.9673,10.1431,6.195148881,9.131595,7.92,151.1525,693.1452995,317.2735,43.15985,282.0325,366.805,3.546,6.219,-0.3261705,1.1631925,1.0672785,0.633132,10.11928,-7.035739876
1,15.25,379.6599199,7.261697088,-1.669196582,-0.017995797,2.982,69.77521855,40.00369025,2.634696,0.425235069,101.513,48.324042,10.0502,6.234214863,9.162885,7.94021,112.549,562.7782818,258.209,38.19255,278.956,364.1825,2.285,4.933,-0.287167,1.0823805,0.9820005,0.5861445,10.011792,-6.245173271
