DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,-1.988,-3.951,-50.4725,0.23675,387.68,387.63,387.53,387.73,-24.7615,-24.935,-24.423,-8.1385,-13.6635,-12.3975,97.016,0,0,0,0,116.228,196.6,-91.419,0,0,0,1.76,-28.01625,-26.457625,-26.4835,-26.55825,-26.74175,-26.398,-26.28225,57.83485,58.398375,63.643,65.78775,66.76495,-2.3107,-1.7466,-0.9234,-0.03,1.497,1.551
1,0.75,-1.688,-1.155,-69.99,0.21675,387.72,387.82,387.77,387.82,-24.94,-25.164,-24.65025,-8.109,-13.7125,-12.5085,97.014,0,0,0,0,118.347,196.488,-93.628,0,0,0,1.63675,-28.064875,-26.489825,-26.549,-26.62425,-26.80675,-26.44825,-26.323,59.153825,59.78,64.772075,66.930725,67.821425,-2.2739,-1.7285,-1.0151,-0.039,1.5782,1.6032
1,1.25,-1.74325,-1.812,-60.96875,0.21975,390.2855,390.438,390.2855,390.3855,-25.03275,-25.218,-24.7055,-8.078,-13.8235,-12.5305,97.01,0,0,0,0,118.185,196.104,-92.311,0,0,0,2.0275,-28.1576,-26.482475,-26.6835,-26.782,-26.9125,-26.56875,-26.43875,59.913975,60.576,65.422825,67.5887,68.430525,-2.3315,-1.7524,-0.9386,-0.0224,1.503,1.572
1,1.75,-2.331,-0.165,-70.358,0.25,389.87525,390.03275,389.87525,390.21775,-25.15375,-25.2795,-24.7585,-8.1385,-13.8945,-12.619,97.0145,0,0,0,0,115.737,195.72,-92.662,0,0,0,1.925,-28.220225,-26.5743,-26.868,-26.93275,-27.0475,-26.70325,-26.5685,52.102375,52.394925,58.736275,60.8233,62.17305,-2.3954,-1.7466,-1.011,-0.1104,1.53,1.612
1,2.25,-2.256,-0.319,-47.97675,0.18325,388.94425,388.90175,389.04425,389.33425,-25.2845,-25.40975,-24.88875,-8.137,-13.9405,-12.6675,97.03225,0,0,0,0,115.1865,195.01575,-93.49925,0,0,0,1.97495,-28.3948,-26.758125,-27.1915,-27.223,-27.3555,-27.015,-26.88075,52.171225,52.46705,58.79515,60.882375,62.228025,-2.2655,-1.79565,-0.959975,-0.10475,1.53,1.58375
1,2.75,-1.57225,-0.506,-50.81225,0.251,389.0465,389.0465,389.0415,389.3315,-25.425,-25.5495,-25.0285,-8.158,-14.016,-12.766,97.04,0,0,0,0,115.759,194.6305,-92.1315,0,0,0,1.9235,-28.5716,-26.915375,-27.3635,-27.41975,-27.597,-27.27275,-27.12375,52.228975,52.52795,58.845025,60.932775,62.27475,-2.26925,-1.841,-0.99875,0.051,1.6,1.5515
1,3.25,-1.3345,-1.21825,-43.51075,0.13325,391.772,391.817,391.817,391.927,-25.566,-25.689,-25.16775,-8.1925,-14.12,-12.816,97.056,0,0,0,0,117.2055,194.239,-91.6685,0,0,0,1.03725,-28.701875,-27.0577,-27.41725,-27.462,-27.681,-27.34675,-27.1935,51.654325,51.9253,58.3528,60.43495,61.81365,-2.37405,-1.76305,-0.997,-0.0264,1.4055,1.63
1,3.75,-1.6275,-0.4065,-44.7875,0.2175,391.7575,391.7925,391.9575,392.313,-25.707,-25.82825,-25.307,-8.223,-14.1895,-12.887,97.07,0,0,0,0,117.096,193.8735,-94.411,0,0,0,1.654,-28.76465,-27.101675,-27.4935,-27.5125,-27.6915,-27.3715,-27.23675,51.741475,52.01665,58.42735,60.510025,61.883475,-2.4215,-1.78,-0.79045,0.0505,1.44535,1.58525
1,4.25,-1.5,-1.4255,-43.6825,0.2475,391.4505,391.508,391.5655,391.593,-25.83825,-25.967,-24.2,-8.281,-14.2155,-12.9765,97.062,0,0,0,0,117.214,193.938,-88.745,0,0,0,1.62775,-28.697,-27.1409,-27.72725,-27.76675,-27.87375,-27.53325,-27.39375,51.82705,52.10695,58.50085,60.584575,61.95225,-2.4282,-1.7646,-0.87465,0.00249999999999999,1.5015,1.57905
1,4.75,-1.484,-0.65125,-45.095,0.1525,391.7685,391.7835,391.741,391.6985,-25.96925,-26.09575,-25.4595,-8.3595,-14.2495,-13.021,97.0335,0,0,0,0,112.9155,194.28225,-97.80675,0,0,0,1.132,-28.67865,-27.13995,-28.06025,-28.08075,-28.144,-27.80975,-27.66975,51.332025,51.58805,58.076825,60.15595,61.555375,-2.424275,-1.749775,-0.729575,0.11075,1.44225,1.53125
1,5.25,-2.2865,-0.5595,-55.538,0.2455,391.953,391.818,391.863,391.863,-26.11975,-26.2335,-25.7025,-8.3645,-14.309,-13.144,97.0005,0,0,0,0,115.64225,193.41675,-101.04925,0,0,0,1.669,-28.969775,-27.3984,-28.34225,-28.3575,-28.44125,-28.09125,-27.96175,51.31035,51.5655,58.05815,60.1369,61.538425,-2.424925,-1.858375,-0.8245,0.06075,1.4305,1.63025
1,5.75,-1.847,-0.653,-52.64075,0.16875,391.6875,391.6525,391.5425,391.6525,-26.28025,-26.3815,-25.8505,-8.3965,-14.336,-13.34,96.974,0,0,0,0,118.66425,193.12225,-100.1405,0,0,0,1.0055,-29.217975,-27.636075,-28.559,-28.58475,-28.6695,-28.32425,-28.19475,50.745525,50.97375,57.57495,59.64805,61.0859,-2.3582,-1.808275,-0.871875,0.145625,1.53125,1.501325
1,6.25,-2.454,-0.88625,-48.3675,0.115,391.503,391.503,391.613,391.613,-26.4505,-26.5485,-25.95,-8.4555,-14.353,-13.5425,96.95925,0,0,0,0,117.234,192.50475,-98.5745,0,0,0,1.35775,-29.4481,-27.877925,-28.7985,-28.8185,-28.90475,-28.55475,-28.411,50.751225,50.979725,57.579925,59.65265,61.0905,-2.36725,-1.7491,-0.87625,0.022425,1.47155,1.581
1,6.75,-1.65,-0.93125,-48.86,0.0875,391.288,391.378,391.443,391.388,-26.64025,-26.66,-26.09125,-8.479,-14.3885,-13.7235,96.99875,0,0,0,0,117.15025,192.286,-96.6595,0,0,0,1.25575,-29.5978,-28.0667,-29.02275,-29.03275,-29.138,-28.79325,-28.658,50.763825,50.99285,57.59095,59.663675,61.100475,-2.397025,-1.8792,-1.005125,-0.01925,1.51325,1.591
1,7.25,-1.9265,-1.676,-58.8715,0.07,391.1245,391.0735,391.282,391.331,-26.83025,-26.85,-26.281,-8.5265,-14.4065,-14.071,97.02525,0,0,0,0,116.97625,191.931,-95.69075,0,0,0,0.9385,-29.9132,-28.257825,-29.15175,-29.17175,-29.2955,-28.95125,-28.81175,51.69675,51.970275,58.389425,60.47185,61.848175,-2.622525,-1.871875,-0.848975,-0.12475,1.5205,1.631225
1,7.75,-2.343,-1.112,-48.3935,0.0635,390.95025,390.89275,390.95025,391.10775,-27.02,-27.05,-26.4805,-8.581,-14.406,-14.5365,97.05175,0,0,0,0,116.92075,191.93275,-95.638,0,0,0,1.11975,-29.963925,-28.32155,-28.78625,-28.89375,-29.24375,-28.93375,-28.79425,51.756075,52.032225,58.439825,60.522775,61.895425,-2.595725,-1.939725,-0.977925,-0.019,1.5613,1.551
1,8.25,-1.5925,-1.292,-44.9865,0.07175,390.7675,390.8675,390.81,390.81,-27.19975,-27.24,-27.95775,-8.6395,-14.46,-15.0335,97.0335,0.0375000000000005,0.00950000000000014,0,0,117.6165,191.92325,-87.325,0,0,0,1.21,-30.057325,-28.3803,-28.44325,-28.64025,-28.88625,-28.591,-28.471,51.7293,52.0044,58.41725,60.499675,61.874425,-2.495175,-1.85835,-0.95565,0.01025,1.56075,1.558325
1,8.75,-1.75125,-0.16,-42.314,0.039,390.6775,390.5925,390.6925,390.735,-27.3395,-27.41,-26.83,-8.6915,-14.5045,-15.5315,97.0035,11.1045,9.5675,5.441,0,115.965,191.90925,-61.65875,18.4975,0.26225,0.0967500000000002,0.35885,-29.972425,-28.246375,-27.85575,-28.14625,-28.636,-28.328,-28.21375,48.178125,48.2855,55.377675,57.424225,59.02965,-2.411475,-1.971775,-0.895475,0.092925,1.542775,1.5545
1,9.25,-1.57325,-0.036,-37.64325,0.05725,390.71575,390.73075,390.63075,390.77325,-27.399,-27.509,-26.929,-8.774,-14.546,-16.0115,96.98025,26.0925,24.405,14.31625,0.00825000000000002,116.58525,193.65425,-43.916,39.7845,0.45225,2.28175,0.59,-29.425325,-27.7598,-26.7995,-27.12275,-27.7655,-27.3955,-27.28875,47.749975,47.836925,55.011225,57.0535,58.686475,-2.462925,-1.93135,-0.893,-0.0125,1.483,1.540825
