DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,0.25,394.38,394.735,394.93,395.35,394.995,395.72,397.03,399.64,0.287,0.024,-0.929,-52.785,-62.88,12.545,-1.56,-0.626,-0.114,0,0.01,-1.94,1.08,203.085,280.17,-62.53,0,-0.031,69.86,-6.11,59.82,1.36,-7.44,60.47,1.195,-7.73,69.56,0.905,6.24,1.01,-6.025,-5.91,-5.725,-1.42,-0.318
1,0.75,396.98,397.39,397.99,398.395,398.05,399.25,400.78,401.425,0.314,0.009,-0.9065,-51.89,-61.985,11.61,-1.565,-0.659,-0.175,0,0,-2,1.04,202.525,280.785,-63.59,0,-0.0295,69.84,-6.2,60.73,1.34,-7.31,61.68,1.15,-7.89,69.37,0.905,6.37,1,-6.16,-5.94,-5.765,-1.425,-0.317
1,1.25,394.19,394.56,394.875,395.03,394.72,395.28,396.76,399.355,0.284,-5e-04,-0.959,-49.94,-62.13,12.15,-1.565,-0.401,-0.074,0,0,-1.95,1.05,200.825,280.625,-63.47,0,-0.0285,69.82,-6.28,60.93,1.325,-7.24,62.24,1.175,-7.695,69.505,0.898,6.35,1.04,-6.16,-6.015,-5.87,-1.425,-0.317
1,1.75,396.985,397.365,397.84,398.11,397.91,399.215,400.76,401.34,0.306,0.001,-0.952,-52.93,-64.25,11.79,-1.565,-0.325,-0.112,0,0,-1.91,1.04,203.15,281.035,-62.84,0,-0.0285,69.82,-6.26,60.61,1.32,-7.33,62.27,1.16,-7.655,69.49,0.911,6.54,1.04,-6.18,-6.19,-5.92,-1.425,-0.316
1,2.25,394.115,394.55,394.83,395.03,394.79,395.275,396.8,398.79,0.3345,0.0205,-0.93,-51.73,-67.35,12.96,-1.56,-0.5085,-0.15,0,0,-1.96,1.03,203.765,280.96,-64.61,0,-0.027,69.82,-6.25,60.14,1.325,-7.27,62.63,1.14,-7.65,69.515,0.8895,6.52,1.01,-6.26,-6.33,-5.93,-1.41,-0.314
1,2.75,396.95,397.46,397.67,397.9,397.66,398.905,400.68,401.3,0.295,0.013,-0.919,-50.12,-65.59,11.11,-1.56,-0.482,-0.053,0,0,-1.99,1.06,203.65,280.73,-65.16,0,-0.027,69.805,-6.24,59.625,1.31,-7.41,61.785,1.16,-7.695,69.73,0.907,6.755,1.01,-6.34,-6.36,-6,-1.41,-0.314
1,3.25,394.02,394.605,394.66,394.92,394.715,395.53,396.82,398.805,0.272,0.0025,-0.988,-48.76,-67.02,10.455,-1.56,-0.3215,-0.09,0,0,-2,1.07,204.08,280.25,-63.095,0,-0.029,69.8,-6.37,60.55,1.335,-7.53,62.16,1.18,-7.73,69.61,0.892,6.49,1.05,-6.42,-6.36,-5.93,-1.41,-0.3135
1,3.75,396.86,397.27,397.75,397.91,397.75,399.14,400.8,401.32,0.315,-0.0385,-0.985,-49.27,-66.795,12.89,-1.56,-0.3045,-0.1245,0,0.005,-1.99,1.06,203.775,280.11,-62.855,0,-0.027,69.79,-6.335,59.99,1.4,-7.53,61.33,1.19,-7.795,69.035,0.9015,6.42,1.03,-6.54,-6.42,-5.975,-1.41,-0.313
1,4.25,394.135,394.6,394.66,394.73,394.73,395.465,396.81,399.11,0.295,0.009,-1.04,-49.595,-66.31,11.04,-1.555,-0.297,-0.071,0,0,-1.95,1.04,205.7,280.445,-61.945,0,-0.02,69.79,-6.385,59.49,1.4,-7.45,62.05,1.17,-7.84,69.5,0.9135,6.45,1.06,-6.68,-6.46,-6.1,-1.405,-0.3145
1,4.75,396.815,397.35,397.97,398.2,397.745,399.02,400.53,401.29,0.277,0.028,-1.06,-50.765,-68.705,10.39,-1.56,-0.458,-0.057,0,0,-1.99,1.07,203.885,280.35,-63.415,0,-0.0205,69.79,-6.54,59.935,1.39,-7.47,61.71,1.2,-7.71,69.6,0.928,6.905,1.09,-6.71,-6.505,-6.135,-1.41,-0.3145
