DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,0.179151,0.179133,-20.2626,0,-19.935,-5.711,71.07,0.1367,90,0.1185,-26.41,0.509225,0.60479,-5.651,1.716,-6.743,-5.056,-5.729,-6.35,-6.076,-4.167,393.45
1,0.75,0.18860295,0.250753949,-13.83207253,0,-19.76,-5.792,70.84,0.13008,89.95,0.0515,-27.55,0,0.00772375,-5.672,1.72,-6.5985,-5.0515,-5.674,-6.259,-6.04,-4.157,393.4
1,1.25,0.1703285825,0.51227,-16.5359,0,-20.03,-5.836,70.835,0.13544,90,0.023,-27.91,0,0.00474565,-5.631,1.812,-6.5385,-5.05375,-5.742,-6.41,-6.082,-4.198,393.7
1,1.75,0.19,0.421945,-20.82708218,0,-19.79,-5.8235,70.93,0.115013363,89.9,0.03,-27.64,0,0.0083595,-5.665,1.756,-6.67375,-5.07625,-5.757,-6.4385,-6.092,-4.178,393.4
1,2.25,0.184971872,0.47682,-18.8002,0,-19.96,-5.7715,70.62,0.114705,89.9,0.048,-25.55,0,0.0079852,-5.686,1.733,-6.6895,-5.141,-5.779,-6.499,-6.1205,-4.169,393.65
1,2.75,0.18122173,0.1800105,-18.2388,0,-19.755,-5.741,70.715,0.12412,89.9,0.033,-26.26,0,0.00916775,-5.676,1.727,-6.648,-5.16825,-5.7865,-6.5115,-6.156,-4.1815,393.6
1,3.25,0.1449786385,0.44706916,-18.94573384,0,-19.51,-5.749,70.82,0.134735,89.9,0.03,-24.365,0,0.0088889,-5.713,1.796,-6.69975,-5.17475,-5.773,-6.556,-6.1815,-4.197,394.1
1,3.75,0.158930013,0.2953572915,-20.004374165,0,-19.555,-5.791,70.53,0.1257864195,89.9,0.041,-23.33,0,0.010497,-5.711,1.606,-6.73225,-5.13975,-5.739,-6.562,-6.159,-4.2125,394.05
1,4.25,0.1282629665,0.541251624,-20.8875,0,-19.74,-5.782,70.865,0.13793,89.9,0.028,-22.2,0,0.0068556,-5.69,1.668,-6.74725,-5.1255,-5.7045,-6.5645,-6.1715,-4.1955,393.45
1,4.75,0.160564,0.69316144,-17.2366,0,-19.69,-5.8405,70.97,0.1254245,89.9,0.046,-23.57,0,0.00702255,-5.625,1.617,-6.739,-5.083,-5.665,-6.552,-6.179,-4.1625,393.2
1,5.25,0.170057,0.843318218,-20.5873,0,-19.93,-5.7925,70.93,0.137555,89.9,0.022,-21.775,0,0.006931,-5.716,1.644,-6.6785,-5.04625,-5.6845,-6.58,-6.1855,-4.1365,393.6
1,5.75,0.190084759,0.50989,-18.638,0,-19.58,-5.817,70.855,0.130166793,89.9,0.054,-23.57,0,0.0066891,-5.642,1.648,-6.67875,-5.0295,-5.662,-6.5805,-6.148,-4.1465,393.7
1,6.25,0.19373613,0.42545,-21.26145,0,-19.57,-5.8125,70.83,0.134457245,89.9,0.062,-22.03,0,0.00454895,-5.659,1.691,-6.67875,-5.00175,-5.6795,-6.577,-6.117,-4.14,393.75
1,6.75,0.169745419,0.4831795,-20.47507946,0,-19.49,-5.798,70.74,0.1289575,89.95,0.032,-21.72,0,0.00605056,-5.7735,1.7145,-6.71175,-5.004,-5.6995,-6.58,-6.1275,-4.1465,393.7
1,7.25,0.1740686025,0.2891770905,-21.4106016,0,-19.46,-5.741,70.425,0.134571547,90,0.056,-24.825,0,0.00378515,-5.699,1.566,-6.6845,-4.992,-5.711,-6.599,-6.127,-4.124,393.65
