DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,TS_2_3_1,G_3_1_1,TS_3_1_1,TS_3_2_1
1,0.25,0.16263697675,-7.0944,2.15179881625,0.14406657725,0.017415,-0.0075025,-38.724,-0.840418444,-0.3946175,-0.1846339575,-12.07,-10.915,-0.025,0.3045,62.474393785,96.463322705,385.469250875,0.665235,-71.61359012,0,0,0,221.5134,281.5383343,2.766771784,0.267,-19.093,-3.2715,-3.9025
1,0.75,0.16834034725,-7.085725,2.25298620825,0.18834,0.06965,-0.0129,-36.68405,-0.783605222,-0.220935,-0.18195884725,-12.23,-10.9475,-0.07275,0.306,63.33072332,96.4855,385.451522175,0.6459,-70.3718783525,0,0,0,224.12288825,280.83,2.77148839625,0.267,-19.233,-3.1437,-4.3766
1,1.25,0.1652236935,-7.153795,2.18241957375,0.14869294725,0.01023,-0.0166675,-36.16354,-0.7095141075,-0.2977725,-0.192099108,-12.099316165,-11.1475,-0.1,0.31325,63.2025,96.5175,385.748799,0.58445,-70.4719126175,0,0,0,222.048235525,281.035525,2.753781782,0.265,-19.258,-3.2611,-3.733
1,1.75,0.1736766575,-7.5264475,2.1909357525,0.1869325,0.0248,-0.0104,-39.169235,-0.69968589625,-0.6507437,-0.13481214075,-12.38450733,-11.3375,-0.106,0.30375,63.408075,96.5155,385.894965675,0.62204487,-78.4,0,0,0,222.859475,281.20005,2.701022241,0.262,-19.5505,-3.7665,-4.6412
1,2.25,0.1644300425,-7.41201,2.261367337,0.099855,0.011395,-0.0147,-35.396205,-0.713661249,-0.24282,-0.223941515,-12.49,-11.595,-0.10475,0.306,63.833925,96.48882002,385.76877335,0.58175,-82.9006635,0,0,0,218.72195,277.5507,2.7835753015,0.25075,-19.588,-4.0089,-5.7106
1,2.75,0.165313364,-7.4204471795,2.23311,0.131070902,0.040915,-0.014,-36.167,-0.7181895465,-0.21169,-0.169973815,-12.43,-11.675,-0.102,0.288,64.05485802,96.472,385.75104435,0.576,-71.38466548,0,0,0,221.6809,280.38215,2.735,0.252,-19.6355,-4.6834,-5.7816
1,3.25,0.172958664,-8.036285,2.24913877875,0.12966,-5.00000000000001e-06,-0.007,-34.87972,-0.7297890585,-0.41625,-0.162429091,-12.3625,-11.755,-0.099,0.308,64.24140257,96.452604105,385.601449875,0.5400975,-80.56708062,0,0,0,218.22,276.66029345,2.64048377175,0.251,-20.038,-4.8014,-6.6226
1,3.75,0.1746623145,-7.9660775,2.283614447,0.0932,0.0293,-0.011,-37.017875,-0.653806848,-0.496195,-0.1174833575,-12.45,-11.855,-0.107,0.3,65.4292,96.45975,385.5428871,0.533213565,-72.501487625,0,0,0,220.8118,278.24085,2.62408906375,0.252,-19.7705,-5.0147,-6.1094
1,4.25,0.170415001,-7.9732875,2.2198254695,0.107840161,0.048635,-0.0191,-35.0972225,-0.66282,-0.355775,-0.191018893,-12.48,-11.8275,-0.104,0.309,65.79472346,96.438,385.56211405,0.5191,-71.9848296175,0,0,0,220.123825,277.5763,2.66889042325,0.2535,-20.233,-4.7433,-5.9411
1,4.75,0.18054492425,-7.76395,2.228122674,0.0919,0.02785,-0.0109,-34.41983,-0.6443875,-0.38845,-0.1271620095,-12.5806161675,-11.8125,-0.091,0.294,66.7893,96.41767614,385.6107261,0.47598,-70.3666076175,0,0,0,221.4406,278.38285,2.659537759,0.25475,-20.318,-4.9298,-6.2925
1,5.25,0.18236129675,-8.73874159625,2.18846836,0.12916,0.089425,-0.0157,-34.7532125,-0.664991133,-0.26679626325,-0.195155,-12.6025,-11.7825,-0.10525,0.3,66.71304674,96.41774539,386.873395475,0.4531325,-69.54,0,0,0,218.7912,275.667525,2.46239201375,0.2565,-19.748,-4.9316,-6.5486
1,5.75,0.1818681645,-8.221896924,2.397,0.1606,0.04,-0.0129,-33.465325,-0.757851688,-0.32748,-0.10603671,-12.7,-11.7375,-0.096,0.3,67.437,96.463232915,385.8465221,0.48189,-70.7,0,0,0,220.685993675,278.1096018,2.549478262,0.259,-19.523,-5.1377,-6.279225
1,6.25,0.18946076,-8.057759489,2.185266235,0.22725883,0.0438425,-0.0127,-33.143099255,-0.69707991325,-0.538615,-0.14319,-12.55,-11.7,-0.092,0.285,67.5589264275,96.453180685,386.0090266,0.42314,-81.225,0,0,0,218.9242,275.18205,2.696109205,0.261,-19.293,-5.124475,-6.4613
1,6.75,0.18175148975,-7.8919299455,2.215206696,0.14527,0.0596,-0.009244175,-32.1170375,-0.58025949275,-0.673149476,-0.16459889,-12.49,-11.69,-0.10025,0.29,68.53425,96.47460653,386.05766485,0.46692,-83.068610495,0,0,0,221.5929,279.310175,2.627117635,0.263,-19.093,-5.321525,-6.297575
1,7.25,0.189563654,-8.312593761,2.28411660275,0.195331465,0.0456175,-0.0156,-27.8105,-0.47991699775,0.10397,-0.1032039155,-12.48,-11.7075,-0.0985,0.2775,69.03,96.48419205,386.33794065,0.412945,-74.70894525,0.171867549,0,0,218.2154,275.819910375,2.633108774,0.26625,-20.128,-5.141575,-6.45105
1,7.75,0.1961947745,-7.8410351405,2.298128418,0.07025,0.034125,-0.00889,-23.3353,-0.23101940975,1.319645,-0.089751,-12.54,-11.7025,-0.097,0.268,68.8725,96.5049499025,386.311565825,0.4629725,-62.3997675,9.47803832,2.50065882,0.351847504,219.6797,278.586895,2.59218021375,0.2725,-20.043,-4.7922,-6.19995
1,8.25,0.21682,-7.4028593225,2.412058743,0.048275,-0.01576,-0.01522,-8.23021,0.003043275,4.767475,-0.0239465,-12.7,-11.6625,-0.075,0.28325,68.354,96.4668317875,386.7998883,0.5974,-34.75477775,61.08,19.015146565,3.0716482905,219.16765,278.05121075,2.6994022595,0.28125,-19.973,-4.917775,-6.035025
1,8.75,0.24632,-6.88951974325,2.679406682,0.0131,-0.017575,-0.0181345,3.8549079455,0.30493136,7.05705,0.002,-12.79,-11.7425,-0.119,0.318,65.915,96.49495817,386.4129093,0.70985193,2.6814138965,143.4,45.24919395,6.3261275145,223.76305,284.208467975,2.680197736,0.29525,-19.913,-3.709175,-4.919775
