DOY2,HR2,CO2,H2O,FC,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,14.25,366.51,2.595,-8.182,40.748,26.0805,1.36625,0.4265,0.7195,0.8635,0.503,99.4115,29.74475,4.25575,4.1275,4.481,0.2645,6.0295,7.777,426.23,195.98,20.714,227.91,341.1
1,14.75,367.16,2.56675,-7.993,19.657,29.837,1.327,0.418,0.708,0.8575,0.484,99.41825,29.14475,4.4555,4.1975,4.9465,0.2195,6.0555,7.764,296.1,156.48,15.382,229.33,340.01
1,15.25,367.16,2.64025,-6.3835,6.969,22.0145,1.1925,0.39825,0.64625,0.7915,0.4515,99.42175,29.386,4.3315,4.065,5.40425,0.187,6.0635,7.764,297,138.19,13.619,230.42,339.73
1,15.75,365.945,2.6135,-5.48675,-13.5495,20.5185,1.1615,0.38,0.62325,0.75925,0.43275,99.428,29.5105,4.25,4.16,5.3635,0.16125,6.1105,7.754,221.7,102.4325,10.49925,227.2475,337.28
1,16.25,366.9375,2.52625,-3.331,-28.8215,17.52,1.101,0.327,0.5615,0.633,0.38825,99.443,29.88675,4.0065,3.975,5.16025,0.14,6.1375,7.747,128,58.785,6.781,226.02,330.34
1,16.75,366.6375,2.694,-1.915,-44.03075,9.086,0.878,0.247,0.42,0.527,0.30875,99.473,31.2405,3.56175,3.705,4.77125,0.164,6.162,7.74,59.917,26.935,4.29075,223.7725,328.5175
1,17.25,368.07,2.753,-0.51375,-41.41,2.28375,0.771,0.14975,0.296,0.345,0.176,99.481,33.087,2.92725,3.13,4.295,0.196,6.187,7.75,0,3.45675,2.022,223.885,322.535
1,17.75,366.695,2.79,-0.14225,-43.1335,0.896,0.66175,0.10125,0.2445,0.278,0.13,99.4885,35.58175,1.69575,2.355,3.563,0.2315,6.206,7.76,0,-2.712,1.55475,221.3625,317.685
1,18.25,366.785,2.754,-0.185,-41.3855,0.35325,0.582,0.087,0.2285,0.24475,0.12025,99.493,37.373,1.16275,2.14,2.942,0.23375,6.1955,7.75,0,-3.2145,1.427,216.565,314.9325
1,18.75,367.5275,2.679,-0.222,-35.482,0.015,0.58975,0.087,0.212,0.25875,0.11075,99.514,40.369,0.43725,1.785,2.7065,0.224,6.1795,7.78,0,-3.06625,1.521,216.065,312.57
1,19.25,367.94,2.779,-0.207,-41.3085,0.19,0.644,0.0885,0.22275,0.3075,0.113,99.5405,41.082,0.21375,1.53,2.16825,0.2335,6.162,7.787,0,-2.928,1.5595,215.5725,312.4925
1,19.75,367.68,2.74275,-0.1895,-40.22275,0.1865,0.59,0.102,0.252,0.308,0.134,99.566,41.862,-0.0015,1.375,1.83175,0.248,6.151,7.787,0,-2.857,1.53225,214.015,310.7825
1,20.25,368.175,2.7625,-0.27725,-42.092,0.06325,0.60225,0.092,0.2515,0.3045,0.1255,99.5785,43.472,-0.333,1.225,1.403,0.236,6.1525,7.79,0,-2.62075,1.57425,217.7075,311.3675
1,20.75,368.44,2.8395,-0.295,-47.136,-0.0765,0.59025,0.10675,0.25625,0.29575,0.12975,99.581,44.4655,-0.39125,1.095,1.0195,0.212,6.196,7.79,0,-2.65525,1.498,215.1125,309.935
1,21.25,368.76,2.85025,-0.23175,-45.617,0.22525,0.641,0.0845,0.2325,0.292,0.124,99.574,45.419,-0.61,0.98,0.7555,0.23,6.1925,7.79,0,-2.6465,1.4335,213.1375,309.55
1,21.75,367.91,2.8565,-0.2225,-47.0055,0.244,0.66425,0.09975,0.2535,0.313,0.1425,99.5685,46.8345,-0.5625,0.9,0.687,0.221,6.189,7.797,0,-2.6855,1.3375,213.7525,308.6375
1,22.25,370.305,2.82575,-0.254,-44.782,0.07125,0.63725,0.106,0.25725,0.33625,0.13075,99.587,47.581,-0.731,0.775,0.466,0.214,6.1785,7.79,0,-2.57975,1.48675,209.9875,308.655
1,22.75,370.41,2.713,-0.41625,-45.4135,-0.145,0.71225,0.10875,0.26575,0.30975,0.1455,99.5745,48.523,-0.93325,0.695,0.434,0.21225,6.1545,7.77,0,-2.58875,1.4825,211.9125,307.38
1,23.25,370.25,2.56,-0.347,-46.55325,0.1705,0.688,0.118,0.283,0.348,0.161,99.58225,50.0135,-1.2285,0.655,0.153,0.199,6.1345,7.694,0,-2.5875,1.3345,212.9175,307.5625
1,23.75,370.46,2.68075,-0.378,-47.53875,0.12825,0.67,0.133,0.2765,0.3515,0.172,99.56725,49.577,-1.371,0.63,0.00175,0.21,6.1105,7.734,0,-2.601,1.23575,209.965,306.905
2,0.25,371.515,2.93525,-0.33275,-41.29175,0.2565,0.64025,0.10875,0.264,0.29675,0.1485,99.5155,48.7875,-0.4795,0.525,0.99525,0.18925,5.71,6.446,0,-2.666,1.254,214.56,307.18
2,0.75,372.395,3.04675,-0.318,-37.8555,0.186,0.64475,0.1235,0.2775,0.307,0.16275,99.5025,50.084,-0.604,0.495,0.5525,0.17775,5.703,6.4455,0,-2.605,1.258,213.18,306.41
2,1.25,372.6175,2.844,-0.247,-39.1495,-0.15,0.6455,0.1015,0.251,0.2885,0.142,99.507,51.6565,-0.602,0.435,0.505,0.1805,5.716,6.443,0,-2.625,1.319,209.3,305.68
2,1.75,371.25,2.942,-0.199,-40.169,0.323,0.64625,0.11575,0.281,0.32,0.152,99.5015,54.309,-0.9895,0.41,0.452,0.196,5.712,6.4385,0,-2.514,1.245,208.87,303.81
2,2.25,372.81,3.0395,-0.3195,-40.97975,0.0565,0.7225,0.13025,0.27925,0.34725,0.173,99.51,52.348,-1.196,0.39,0.381,0.167,5.694,6.4345,0,-2.516,1.236,209.02,304.26
2,2.75,372.1275,2.891,-0.24475,-35.18125,-0.03225,0.69725,0.11975,0.246,0.3105,0.149,99.501,54.915,-0.96,0.335,0.1345,0.158,5.698,6.43,0,-2.377,1.344,209.54,304.69
2,3.25,371.155,3.01,-0.375,-36.267,0.0595,0.7175,0.1165,0.2835,0.3425,0.1495,99.498,55.142,-1.195,0.32,0.35075,0.1705,5.694,6.4245,0,-2.423,1.222,209.46,303.36
2,3.75,371.35,2.94025,-0.319,-35.7665,0.0635,0.71,0.136,0.294,0.3305,0.1615,99.5025,55.64025,-1.246,0.29,0.2835,0.158,5.693,6.4175,0,-2.461,1.009,208.21,302.7
2,4.25,372.79,2.9285,-0.2625,-35.034,-0.029,0.701,0.13,0.30725,0.3515,0.16575,99.51,56.101,-1.317,0.28,-0.343,0.17125,5.692,6.411,0,-2.557,1.083,209.25,301.86
2,4.75,372.645,2.7405,-0.2495,-32.57425,0.068,0.6995,0.112,0.30225,0.3365,0.15675,99.495,57.61375,-1.4625,0.2725,-0.3955,0.176,5.69,6.403,0,-2.485,1.214,207.57,301.5
2,5.25,373.3125,3.01925,-0.287,-34.355,-0.049,0.72825,0.11675,0.28025,0.31725,0.16,99.5225,58.618,-1.5165,0.2725,-0.098,0.16825,5.689,6.3925,0,-2.482,1.238,205.01,300.98
2,5.75,372.9575,2.969,-0.30225,-33.82075,-0.07,0.7085,0.114,0.285,0.3015,0.151,99.5305,59.641,-1.646,0.2525,-0.2765,0.1645,5.681,6.383,0,-2.422,1.142,203.94,300.2
2,6.25,373.75,2.999,-0.378,-34.077,0.059,0.708,0.1195,0.29875,0.34525,0.15625,99.557,59.075,-1.7445,0.2325,-0.327,0.1805,5.657,6.373,0,-2.402,1.216,204.8,300.4
2,6.75,373.37,2.99475,-0.42875,-34.391,0.1145,0.697,0.11,0.2615,0.31575,0.14475,99.587,60.848,-1.8985,0.2,-0.27525,0.1675,5.633,6.362,0,-1.647,1.276,202.61,300.58
2,7.25,373.7625,2.973,-0.58375,-33.746,0.126,0.695,0.117,0.2875,0.32675,0.156,99.609,61.183,-1.973,0.18,-0.2975,0.17325,5.606,6.349,7.805,4.822,1.908,202.8,299.68
2,7.75,374.675,3.153,-1.53225,-22.9405,0.8865,0.7085,0.1605,0.2845,0.34675,0.1775,99.6115,59.525,-1.534,0.19,-0.20975,0.1475,5.591,6.338,41.0425,27.97,4.047,203.7,303.62
2,8.25,373.565,3.062,-3.22575,-10.629,4.649,0.8155,0.21575,0.3425,0.404,0.2355,99.6085,55.553,-0.704,0.29,0.29725,0.1575,5.599,6.3265,85.875,56.846,6.87,205.42,308.26
2,8.75,374.1675,3.09725,-4.76825,4.32775,8.418,0.956,0.265,0.4575,0.5035,0.31,99.6085,50.293,0.1085,0.54,1.0195,0.1875,5.596,6.3145,167.025,108.97,12.774,205.65,313.35
2,9.25,374.51,3.06175,-7.3055,19.9475,14.224,1.044,0.346,0.5385,0.5925,0.3895,99.581,45.346,1.193,1.06,1.67225,0.22,5.582,6.3045,246.1,134.71,15.372,208.83,317.73
2,9.75,375.84,2.8105,-8.8825,26.305,19.0245,1.1825,0.39,0.609,0.668,0.433,99.6015,41.61,1.98,2.04,2.76375,0.24725,5.565,6.293,306.7675,166.01,18.105,211.44,323.96
2,10.25,374.59,2.8955,-10.041,51.2645,25.205,1.26375,0.4145,0.657,0.728,0.478,99.59125,37.636,2.8015,2.29,3.358,0.278,5.553,6.2825,398.55,239.8,26.203,214.01,326.97
2,10.75,373.7325,2.832,-11.00925,55.227,30.89,1.341,0.413,0.707,0.85,0.497,99.57025,34.37,3.4415,3.16,3.995,0.321,5.53275,6.25025,481.925,303.7,31.877,219.84,331.93
2,11.25,373.04,2.758,-12.4435,86.3265,38.364,1.255,0.416,0.717,0.846,0.514,99.558,32.75425,4.011,3.18,4.664,0.374,5.523,6.24225,537,336.86,36.533,221.93,335.89
2,11.75,371.475,2.7845,-12.617,88.191,37.265,1.305,0.41175,0.739,0.855,0.504,99.52775,30.87625,4.4985,3.815,4.794,0.375,5.53375,6.23575,588.875,356.5,38.847,224.09,338.62
2,12.25,370.1,2.7205,-13.02825,91.2305,44.66675,1.323,0.3975,0.733,0.836,0.489,99.4935,29.71,4.7685,4.165,5.3505,0.383,5.54875,6.231,582.775,305.73,33.359,226.32,341.33
2,12.75,370.145,2.763,-12.544,76.114,45.199,1.319,0.414,0.809,0.888,0.517,99.4245,28.7815,5.3335,4.53,5.7405,0.338,5.56575,6.22925,572.475,330.88,34.666,230.67,343.95
2,13.25,369.5725,2.7885,-12.4595,74.305,43.6865,1.3325,0.38725,0.75725,0.857,0.499,99.377,28.09825,6.05275,4.775,5.946,0.36125,5.581,6.23075,549.6525,346.655,35.94975,233.2025,345.0975
2,13.75,369.2,2.797,-11.3675,74.0535,42.40175,1.402,0.38875,0.736,0.853,0.478,99.334,27.2335,6.23725,4.9625,6.38425,0.332,5.6055,6.23325,511.09,282.85,31.786,234.1875,345.5675
2,14.25,368.73,2.7525,-11.578,55.562,47.22,1.33025,0.388,0.7265,0.8715,0.4875,99.343,26.95425,6.14575,5.0875,6.533,0.3045,5.624,6.23925,428.8375,271.43,30.4975,233.68,345.93
2,14.75,367.8375,2.813,-10.809,34.714,44.533,1.264,0.386,0.694,0.83425,0.47175,99.301,26.81525,6.1725,4.98,6.501,0.25175,5.64175,6.2625,362.2,212.4175,23.208,232.975,342.945
2,15.25,369.2425,2.85,-9.755,21.681,42.548,1.238,0.364,0.695,0.7845,0.4625,99.277,27.08125,6.176,5.0575,6.5925,0.2125,5.66775,6.29025,346.775,191.2225,21.308,235.505,342.6825
2,15.75,369.2825,2.91375,-7.81,7.76925,36.568,1.177,0.33875,0.653,0.7455,0.41975,99.27775,27.36125,6.1725,4.9225,6.716,0.18175,5.70225,6.31625,267.2,136.2825,15.72075,234.3225,340.54
2,16.25,369.535,3.0425,-6.1715,-8.277,34.514,1.0445,0.33375,0.591,0.68075,0.38825,99.25475,27.167,5.9865,4.8675,6.7955,0.15225,5.71925,6.346,188.125,102.735,12.3975,229.2175,339.1575
2,16.75,368.92,3.093,-4.122,-25.052,23.4355,0.9665,0.302,0.4985,0.607,0.3365,99.29575,27.51725,5.7715,4.675,6.282,0.143,5.726,6.37525,120.325,68.966,8.83275,226.2875,336.07
2,17.25,369.745,3.10175,-2.045,-41.668,14.7805,0.94075,0.25475,0.436,0.4825,0.286,99.3505,28.877,5.24025,4.3475,6.0185,0.1765,5.719,6.4015,52.52,29.3715,4.4935,223.33,331.2525
2,17.75,369.65,3.14375,-0.457,-47.211,5.1415,0.827,0.144,0.30425,0.3505,0.19,99.368,31.1655,4.57175,3.6425,5.746,0.2205,5.73275,6.4095,0,3.131,2.24075,221.005,327.58
2,18.25,369.645,3.129,-0.122,-41.627,1.073,0.716,0.09325,0.24375,0.2815,0.1295,99.402,33.92675,3.34125,2.4325,5.011,0.2185,5.72575,6.41675,0,-3.0335,1.42925,218.57,321.86
2,18.75,369.69,2.919,-0.124,-43.505,0.75875,0.684,0.087,0.24125,0.2635,0.12575,99.463,36.40325,2.9955,2.05,4.3815,0.21825,5.7215,6.42425,0,-3.332,1.55875,220.4175,319.6425
2,19.25,369.5725,3.1475,-0.1895,-38.2435,0.03975,0.65425,0.08175,0.23,0.2625,0.1065,99.468,37.885,2.48075,1.785,4.131,0.206,5.721,6.43025,0,-3.23075,1.466,218.48,316.635
2,19.75,370.17,3.20125,-0.241,-38.58075,0.24975,0.6585,0.0875,0.24,0.2755,0.1175,99.498,39.578,2.10725,1.64,3.818,0.213,5.72025,6.43475,0,-3.05975,1.45725,217.5775,316.4125
2,20.25,370.045,3.232,-0.2945,-41.199,0.023,0.671,0.096,0.242,0.312,0.137,99.501,40.91875,1.46525,1.4025,3.224,0.211,5.7335,6.43725,0,-2.86625,1.46475,216.545,315.87
2,20.75,370.0575,3.0805,-0.13375,-39.69225,0.2785,0.667,0.1015,0.26575,0.30575,0.14225,99.496,41.174,1.29275,1.275,2.837,0.19975,5.7425,6.434,0,-2.7705,1.341,214.795,315.29
2,21.25,371.1825,3.178,-0.218,-41.806,0.2275,0.6905,0.098,0.2605,0.3235,0.14625,99.501,43.52,0.95925,1.0275,2.68,0.211,5.758,6.42925,0,-2.79725,1.42925,215.15,314.33
2,21.75,372.185,3.083,-0.3295,-42.56525,0.332,0.6715,0.1095,0.28625,0.3295,0.1465,99.518,43.61825,0.7135,1.0225,2.328,0.22125,5.7685,6.42025,0,-2.7505,1.451,216.0925,312.4525
2,22.25,371.985,3.04,-0.237,-39.791,0.02075,0.68775,0.10875,0.273,0.32325,0.16325,99.523,44.57325,0.45125,0.95,1.8255,0.20325,5.77975,6.412,0,-2.59975,1.22625,212.8825,311.775
2,22.75,371.335,3.03575,-0.3125,-39.463,0.117,0.689,0.1195,0.282,0.322,0.166,99.544,44.9625,0.37125,0.905,1.531,0.208,5.771,6.40325,0,-2.57425,1.29225,215.7225,311.4125
2,23.25,371.1125,2.88875,-0.238,-39.681,-0.083,0.73,0.12,0.286,0.326,0.169,99.539,45.86875,0.079,0.71,1.39,0.191,5.769,6.39375,0,-2.617,1.44875,215.2225,311.02
2,23.75,370.74,2.9035,-0.30975,-42.9315,0.1015,0.7025,0.1095,0.2845,0.31875,0.15875,99.521,47.816,-0.0535,0.595,1.074,0.1985,5.781,6.38575,0,-2.66,1.16,216.37,309.4875
3,0.25,367.72,3.898,0.0085,-50.766,0.2105,0.8455,0.161,0.33225,0.3785,0.2045,99.40325,55.087,3.82875,0.6825,5.332,0.227,8.25,8.8005,0,-2.794,1.623,231.81,326.775
3,0.75,366.015,3.729,-0.07475,-52.6015,0.011,0.80325,0.161,0.3495,0.3695,0.1965,99.4155,54.54625,3.49325,0.6275,4.7365,0.2155,8.23,8.8005,0,-2.768,1.6,228.14,325.53
3,1.25,367.1,3.97125,-0.0785,-50.4315,0.336,0.795,0.1585,0.3295,0.3835,0.205,99.41225,56.64225,3.24525,0.5325,4.3975,0.209,8.23,8.792,0,-2.655,1.579,227.87,324.49
3,1.75,367.43,3.979,-0.141,-47.4305,0.112,0.796,0.1315,0.3205,0.3495,0.168,99.38825,58.62625,3.037,0.515,4.6475,0.213,8.21,8.782,0,-2.754,1.52,226.97,323.6725
3,2.25,367.16,3.86025,-0.136,-44.60075,0.24025,0.76325,0.13675,0.30625,0.337,0.1705,99.35275,60.357,2.432,0.4775,3.97975,0.197,8.198,8.772,0,-2.704,1.354,226.14,322.545
3,2.75,366.4175,3.70375,-0.055,-47.34525,0.60525,0.7725,0.13575,0.28425,0.3365,0.1665,99.34,61.19325,2.3215,0.4575,3.765,0.20325,8.198,8.777,0,-2.686,1.423,222.91,321.2175
3,3.25,366.53,3.7445,-0.205,-39.7135,0.263,0.767,0.1195,0.2755,0.3395,0.1625,99.33625,62.647,2.221,0.4525,3.553,0.195,8.193,8.7735,0,-2.59175,1.36325,222.315,318.345
3,3.75,365.8675,3.714,-0.1095,-42.198,0.5295,0.7915,0.129,0.29975,0.33525,0.16675,99.306,65.07725,1.895,0.3725,3.324,0.18275,8.168,8.7635,0,-2.492,1.37575,223.06,317.125
3,4.25,367.54,3.58575,-0.1905,-40.28575,-0.01,0.76425,0.121,0.277,0.304,0.163,99.314,64.45,1.71075,0.35,3.1455,0.196,8.14,8.7635,0,-2.50725,1.4815,219.995,317.6925
3,4.75,367.855,3.78225,-0.094,-42.566,0.12925,0.704,0.128,0.313,0.323,0.1685,99.35,64.82275,1.36575,0.2325,2.787,0.189,8.118,8.7535,0,-2.41975,1.383,220.24,316.2675
3,5.25,367.7825,3.60275,-0.242,-38.318,-0.0375,0.75175,0.12175,0.3245,0.337,0.165,99.369,65.5075,0.95325,0.1675,2.499,0.178,8.09,8.7485,0,-2.454,1.239,222.54,315.295
3,5.75,369.24,3.597,-0.1975,-39.1445,-0.004,0.7095,0.12325,0.2985,0.334,0.171,99.393,69.035,0.60375,0.1,2.30625,0.1795,8.077,8.7385,0,-2.352,1.166,219.48,314.8125
3,6.25,372.8975,3.62775,-0.1605,-36.99,-0.334,0.7165,0.111,0.277,0.324,0.154,99.383,70.247,0.61375,0.1,2.101,0.1795,8.05,8.7285,0,-1.065,1.315,221.09,313.6975
3,6.75,370.845,3.653,-0.694,-35.15075,0.3625,0.7845,0.116,0.31125,0.35175,0.1785,99.451,70.78375,0.744,0.075,1.976,0.1665,8.027,8.7235,14,8.1565,2.9085,220.4925,314.765
3,7.25,369,3.67,-2.115,-24.05,2.41,0.773,0.15,0.334,0.37,0.208,99.462,67.628,1.32575,0.0925,2.434,0.1645,8.063,8.732,69.22,45.697,6.727,223.19,319.905
3,7.75,369.48,3.8625,-4.529,-12.0765,8.4975,0.82425,0.23225,0.40625,0.47125,0.2735,99.484,61.427,2.449,0.18,3.0465,0.1685,8.04,8.722,142.525,80.29125,10.511,225.4025,330.1225
3,8.25,369.8225,3.97575,-7.3205,-1.781,14.50625,0.968,0.3045,0.4905,0.5365,0.3545,99.501,55.26775,3.5735,0.45,4.03675,0.1965,8.02,8.712,197.6,141.7525,16.18625,225.02,335.125
3,8.75,369.9175,3.95325,-9.821,14.971,24.352,1.103,0.344,0.5755,0.676,0.4085,99.531,50.73725,4.51975,1.18,4.938,0.23175,8.03,8.712,298.725,196.4525,24.13425,226.7725,338.8
3,9.25,368.31,3.712,-12.02,27.478,36.3575,1.176,0.366,0.646,0.731,0.4585,99.534,44.72775,5.54525,1.98,5.725,0.29625,8.05,8.697,408.375,268.975,31.9135,231.95,342.2025
3,9.75,367.38,3.6095,-13.569,62.103,39.087,1.233,0.395,0.67725,0.78875,0.4935,99.533,40.8695,6.1245,2.86,6.51,0.352,8.07,8.6805,508.575,359.22,39.5835,235.4875,347.0925
3,10.25,366.985,3.5055,-16.2775,77.97225,49.884,1.372,0.419,0.737,0.8585,0.527,99.522,38.05075,6.9355,3.37,7.24775,0.3995,8.093,8.677,586.4375,460.5975,49.4065,238.85,352.9975
3,10.75,365.705,3.504,-16.459,88.091,56.18825,1.39025,0.43,0.74575,0.86475,0.52575,99.501,35.85875,7.62475,3.8675,7.8695,0.39975,8.11,8.6785,716.75,479.58,51.53025,242.39,356.4325
3,11.25,364.97,3.66775,-17.0995,99.983,65.42125,1.4895,0.45475,0.8065,0.861,0.5295,99.502,34.3395,7.969,4.25,8.35,0.461,8.12,8.677,786.25,503.89,55.3785,245.4975,361.0925
3,11.75,363.9375,3.689,-16.7415,137.0575,82.2095,1.483,0.45025,0.8035,0.9585,0.536,99.4885,32.93375,8.51125,4.5875,8.997,0.43175,8.09,8.677,787.3675,557.115,59.01175,248.095,364.1425
3,12.25,364.075,3.58,-17.6175,123.2325,79.532,1.52575,0.47075,0.86175,0.9275,0.5405,99.475,31.74275,8.897,4.9125,9.43625,0.46075,8.128,8.6885,829.5,536.06,57.2,250.98,367.4725
3,12.75,363.155,3.712,-17.48625,132.83,79.538,1.494,0.478,0.822,0.9505,0.549,99.44225,30.7825,9.307,4.985,10.07,0.473,8.158,8.702,858.5,504.1825,54.053,250.9175,369.465
3,13.25,363.035,3.4775,-16.286,101.6615,85.4715,1.509,0.44975,0.852,0.908,0.537,99.41725,29.42,9.8625,5.785,10.479,0.43,8.165,8.712,718.845,445.0075,47.51625,251.6,371.645
