DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,3.60035,0.302525,0,0,16.16205,101.1992,-22.642725,0.017675,433.1901,0.012575,1860.63535,-0.363175,-0.363175,-7.76605,-0.1365,0,161.641,196.107,0,0,-10.8162,-7.3821,-11.973,-9.9134,-17.7206,-17.7738,-18.442,-18.0084,-13.7587,-18.2156,-16.2854,-14.7277,-14.7678,-15.7545,-15.5528,-12.9926,-16.3779,-14.9432,-13.6186,-14.1253,-14.0446,-14.3275
1,0.75,3.918025,0.313525,0,0,14.1879,101.1888,-22.524225,0.017675,443.6046,0.012575,1865.2108,-0.318,-0.318,-13.757975,-0.0854,0,163.691,196.989,0,0,-10.7748,-7.591,-12.057,-9.9267,-17.7477,-17.7946,-18.4354,-18.0246,-13.7463,-18.2071,-16.2676,-14.737,-14.7718,-15.7513,-15.5666,-12.9754,-16.3817,-14.9296,-13.6324,-14.124,-14.0529,-14.3227
1,1.25,3.5883,0.28535,0,0,16.4647,101.196,-22.0653,0.0117,445.05455,0.01245,1865.5318,-0.9959,-0.9959,-5.5449,-0.09645,0,162.993,197.248,0,0,-10.9957,-7.3582,-12.0571,-10.1614,-17.7566,-17.821,-18.435,-18.0479,-13.7607,-18.198,-16.2569,-14.7512,-14.7835,-15.741,-15.5498,-12.9682,-16.3732,-14.9347,-13.626,-14.1188,-14.0597,-14.327
1,1.75,3.933625,0.400425,0,0,13.05705,101.198175,-21.8171,0.0246,442.164325,0.011825,1863.35715,-1.10835,-1.10835,-5.755225,-0.049325,0,162.685,197.337,0,0,-10.931,-7.5347,-12.2581,-10.2478,-17.7874,-17.811,-18.4191,-18.0469,-13.7545,-18.1963,-16.2821,-14.7537,-14.8005,-15.7718,-15.539,-12.9678,-16.4046,-14.9511,-13.6456,-14.1291,-14.0567,-14.3294
1,2.25,3.3601,0.3582,0,0,17.467275,101.1436,-22.347,0.019675,445.6739,0.011825,1866.3707,-1.47845,-1.47845,-7.2606,-0.6411,0,162.174,197.814,0,0,-11.1574,-7.5543,-12.453,-10.3478,-17.8003,-17.8107,-18.3702,-18.0449,-13.7556,-18.1809,-16.3079,-14.7601,-14.809,-15.7775,-15.5213,-12.9738,-16.3973,-14.9475,-13.6475,-14.1071,-14.0633,-14.332
1,2.75,3.3752,0.40665,0,0,19.6682,101.1585,-22.858,0.0129,446.6032,0.012025,1867.80465,-0.45175,-0.45175,-6.9528,-0.0573,0,163.149,197.988,0,0,-11.1694,-7.6667,-12.4491,-10.475,-17.7987,-17.804,-18.3603,-18.0496,-13.7417,-18.1576,-16.3372,-14.7532,-14.8392,-15.7959,-15.5036,-12.9694,-16.4262,-14.9046,-13.6462,-14.1215,-14.0768,-14.3351
1,3.25,3.13675,0.3896,0,0,13.7513,101.1263,-22.9156,0.01565,444.74535,0.0119,1847.047075,-0.5107125,-0.5107125,-0.6968,-0.054375,0,163.154,197.649,0,0,-11.2765,-7.5974,-12.6127,-10.5106,-17.8023,-17.7982,-18.3808,-18.0533,-13.723,-18.1332,-16.3267,-14.7403,-14.8624,-15.7938,-15.5064,-12.9656,-16.4309,-14.8958,-13.6459,-14.1132,-14.0902,-14.3309
1,3.75,3.421775,0.332425,0,0,16.5683,101.1131,-22.638475,0.0166,442.64975,0.0125,1835.35925,-0.569675,-0.569675,-2.92925,-0.0616,0,164.48,199.887,0,0,-11.4381,-7.5724,-12.2436,-10.369,-17.7987,-17.8263,-18.3872,-18.0594,-13.7205,-18.0889,-16.3093,-14.7348,-14.8643,-15.7991,-15.5299,-12.95,-16.416,-14.8757,-13.6579,-14.1046,-14.0768,-14.3335
1,4.25,3.0835,0.4634,0,0,17.8928,101.1321,-21.8119,0.012925,434.7803,0.0126,1841.486675,-0.376325,-0.376325,-2.721,-0.85415,0,162.406,200.007,0,0,-11.4284,-7.5326,-12.0185,-10.5174,-17.8033,-17.8285,-18.4176,-18.0561,-13.7098,-18.1451,-16.3024,-14.7297,-14.8876,-15.8028,-15.5386,-12.9558,-16.3858,-14.8825,-13.6721,-14.1058,-14.0851,-14.3315
1,4.75,3.032,0.4448,0,0,18.8015,101.1937,-22.0503,0.00855,434.318325,0.012275,1834.831125,-0.84005,-0.84005,-1.926125,-0.0487,0,159.938,199.714,0,0,-11.0385,-7.6337,-11.851,-10.1413,-17.8079,-17.8135,-18.4086,-18.0412,-13.7248,-18.1963,-16.3068,-14.7376,-14.8932,-15.8028,-15.5467,-12.959,-16.3883,-14.8679,-13.6593,-14.1145,-14.096,-14.3268
1,5.25,3.297625,0.36955,0,0,6.6475,101.1398,-22.53395,0.01105,441.707875,0.0124,1837.4968,-2.0213,-2.0213,-7.114225,-0.028425,0,162.478,199.373,0,0,-10.8449,-7.5106,-12.2235,-10.0617,-17.8081,-17.7792,-18.4076,-18.0296,-13.7368,-18.2638,-16.3309,-14.7204,-14.9107,-15.8211,-15.554,-12.9487,-16.3698,-14.8616,-13.6698,-14.0996,-14.0986,-14.3197
1,5.75,3.008225,0.3337,0,0,28.874075,101.13925,-22.056875,0.00845,432.9734,0.012575,1837.5488,-1.2965,-1.2965,-3.05895,-0.43005,0,163.619,200.008,0,0,-10.6394,-7.3488,-12.3986,-10.0468,-17.8053,-17.7686,-18.4066,-18.015,-13.7351,-18.282275,-16.360625,-14.732075,-14.929825,-15.829825,-15.58995,-12.9683,-16.38035,-14.860275,-13.67125,-14.108825,-14.10015,-14.31705
1,6.25,2.85185,0.3025,0,0,3.739275,101.115925,-21.94055,0.02125,434.1866,0.012875,1439.54695,-1.4692,-1.4692,-4.4986,-0.3549,0,164.436,200.105,0,0,-10.3773,-7.5455,-12.1152,-9.993,-17.8162,-17.7732,-18.4041,-18.0077,-13.7256,-18.2616,-16.3706,-14.72265,-14.90945,-15.8254,-15.606575,-12.9748,-16.38675,-14.862325,-13.667575,-14.110025,-14.10895,-14.315225
1,6.75,2.685125,0.399675,0,0,22.76695,101.0905,-21.9416,0.018175,438.49435,0.012575,1436.3655,-0.271525,-0.271525,-5.8199,-0.07205,0,166.696,199.411,0,0,-10.2817,-7.5036,-12.0017,-9.9398,-17.8201,-17.7503,-18.4114,-18.0236,-13.73305,-18.259975,-16.36175,-14.721275,-14.911975,-15.819775,-15.616375,-12.9765,-16.386475,-14.862825,-13.6649,-14.12245,-14.10535,-14.3212
1,7.25,3.20015,0.35545,0,0,19.551075,101.1102,-21.725,0.01295,443.7252,0.0124,296.08865,-0.6209,-0.6209,-0.1608,-0.028125,0,165.07725,199.74275,0,0,-10.3109,-7.446,-11.874,-9.9419,-17.827525,-17.720875,-18.40755,-18.0105,-13.728825,-18.24685,-16.3429,-14.721325,-14.929275,-15.814925,-15.62795,-12.985975,-16.39695,-14.863725,-13.66245,-14.1198,-14.111325,-14.331475
1,7.75,2.80395,0.426375,0,0,17.94285,101.116825,-21.6136,0.01405,447.592375,0.01225,297.8094,-1.1162,-1.1162,-1.21245,-0.072275,0,166.40925,200.854,0,0,-10.165925,-7.253425,-11.637975,-9.72005,-17.833325,-17.714225,-18.428925,-17.995425,-13.724125,-18.249475,-16.309275,-14.7194,-14.927725,-15.81855,-15.64095,-12.985025,-16.397075,-14.8681,-13.6632,-14.134225,-14.125575,-14.343375
1,8.25,3.6438,0.3333,0,0,32.1686,101.1484,-21.463975,0.013725,437.50145,0.012475,297.4136,-2.80195,-2.80195,-8.9802,-0.06025,0,163.13775,201.05525,0,0,-10.112425,-7.261775,-11.562625,-9.545975,-17.833175,-17.729075,-18.442675,-17.9941,-13.724725,-18.2726,-16.289275,-14.718875,-14.9271,-15.812625,-15.647375,-12.99415,-16.41505,-14.870925,-13.664975,-14.13705,-14.1216,-14.35525
