DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3
1,0.25,10.6386518106257,6.06802937348715,1.24266450791585,1.28245416647826,0.150198037934315,1.8943006778431,5.88547338928757,3.30932206982311,0.599543136740859,7.76106524482662,8.70229177520981,1.39673927007928,10.32,8.57299999999998,3.676,5.10856,4.86689999999999,4.8762725,4.31556,3.5570275,87.38343175,95.285,5.1100625,2.3005,3.051,1.9855,2.8925,-0.48175,4.655,1.1585,313.5375,338.0925,316.4825,323.885,0.28,0.13275,0.19,0.19,0.22275,0.20275,0.14275,-0.02,0.671875,0.553925000000001,1.59955,2.2822,3.07875,6.3297,7.541175,9.1172,11.0462,0.623599999999996,0.625549999999999,1.364675,1.555225,2.800225,4.797725,6.16185,7.804,10.8123,0.688350000000001,0.5411,0.928750000000001,1.52685,1.91415,5.05155,6.6991,8.744825,11.1449,1.121375,1.134525,1.50875,2.043175,3.270825,4.031325,6.404825,8.079225,10.374925,0.697875000000004,0.892775000000001,1.877775,2.36075,1.929,4.7039,6.18025,8.11575,10.67955,1.69515,3.4889,2.5854,-5.615,6.3634841751672,6.493435666119,6.49374515184044,6.11269894751534,6.48295154841129,434.741890896158,439.528800302459,434.002069092437,439.128807398772,439.013605221552,436.539666289528,438.945774367484,438.749724816341,433.188770570096
1,0.75,11.0470045766587,6.05118410016227,0.998343953856065,0.529799411530346,0.22919252777428,1.8943006778431,5.14987069300251,3.62734705749325,0.649436614232225,5.12695502134062,8.3999784647839,1.58643963895636,10.433,8.23099999999999,4.332,5.03649,5.11419999999999,4.92739999999999,4.38303749999999,3.438245,87.3590615,94.713,4.4508725,2.7165,3.34699999999999,2.3455,2.7,-0.44175,4.2,0.9865,309.24,336.5875,315.8825,324.4725,0.28,0.12275,0.18275,0.18,0.23,0.2,0.15,-0.02,0.623525,0.62105,1.55685,2.262275,3.07875,6.323425,7.538175,9.1181,11.044925,0.597224999999997,0.594325,1.35395,1.5373,2.800225,4.795075,6.15425,7.797825,10.810625,0.634525000000003,0.561350000000001,0.918025,1.513025,1.919825,5.04895,6.6961,8.74255,11.143175,1.1653,1.124675,1.50675,2.03665,3.270275,4.0246,6.40155,8.076225,10.372925,0.783625000000005,0.833550000000001,1.825825,2.337825,1.926,4.7015,6.177975,8.11275,10.678275,1.61825,3.5408,4.045875,-5.75199999999999,6.07698553467115,6.47124154281791,6.47674483403646,5.88169878853309,6.45645634946936,437.106035357231,440.879844987338,440.909500443371,441.369216788856,433.186510254879,441.804496123772,437.949254176049,440.468958535938,442.163218912689
1,1.25,10.3259121918488,5.72024406763951,1.16235905459559,0.327570610386483,0.181906824095476,1.8943006778431,5.71303698125767,1.97860655995045,0.610517123561407,6.72036587218625,11.567513814624,1.53720761892331,9.95499999999998,7.80099999999999,4.104,5.161,4.8953,4.93068,4.2131125,3.41035,87.345975,95.565,4.471775,2.85875,3.446,2.0985,2.6,-0.38175,4.5,1.4755,308.06,332.4625,314.06,323.7875,0.28,0.12275,0.18275,0.18,0.233,0.2,0.14275,-0.02,0.57165,0.61865,1.514425,2.235275,3.07775,6.320875,7.535625,9.1154,11.0432,0.609224999999997,0.58895,1.3432,1.51165,2.7999,4.7921,6.1558,7.795175,10.808625,0.742075000000001,0.565750000000001,0.9062,1.5122,1.92505,5.0469,6.693275,8.740275,11.1419,1.1799,1.119625,1.5052,2.03575,3.27,4.0186,6.398275,8.073225,10.370925,1.032475,0.828675,1.7435,2.30295,1.924,4.699675,6.1747,8.11075,10.67655,1.335,3.443425,2.706925,-4.8,5.76081362287999,6.56435261885077,6.5623069897346,6.11138636926307,6.52127544937018,439.249249630603,442.352864975266,436.66807333555,442.718983388982,434.327758957904,442.765202175231,438.861656155148,441.516622641076,431.255530027733
1,1.75,9.99066056490545,5.54556077699511,1.15375938520741,1.00284627806493,0.198839230533708,1.8943006778431,4.10420337483098,1.6077417215185,0.571287349429315,1.09096932648436,8.32869506512383,1.36285193067297,9.55499999999999,7.52,4.068,4.9593625,4.7904,4.616145,4.1986225,3.64685,87.343593,95.19775,4.61835,2.82575,3.3405,2.162,2.5275,-0.171499999999999,4.21,1.25375,307.8925,333.83,316.1225,323.375,0.29,0.13,0.19,0.18,0.23,0.2,0.14,-0.03,0.706250000000001,0.57415,1.46215,2.2063,3.07675,6.3213,7.53235,9.1131,11.0412,0.55845,0.587975,1.334,1.4945,2.799575,4.78945,6.1518,7.792175,10.80695,0.672175000000001,0.586525000000001,0.88805,1.51165,1.929725,5.0451,6.69,8.73755,11.140175,1.186075,1.114625,1.502375,2.0353,3.26855,4.01215,6.395725,8.07095,10.368925,1.1698,0.875800000000001,1.651675,2.254625,1.926,4.698575,6.1717,8.10775,10.67455,0.201,3.1204,1.343575,-3.0695,5.63632405169148,6.4482028133069,6.47465647211516,6.29554020455792,6.41523161456435,444.201663564052,442.111782421062,441.613989740312,442.859178290032,437.608976603533,442.591346207199,445.336759324267,441.368782802545,433.483614880524
1,2.25,10.460777114658,4.94601552803676,0.981079666501828,1.64574972320722,0.176207562005058,0.997074510193564,3.37940879440213,1.30937337726112,0.62164798395075,5.3740817745976,10.8445513499971,1.51146927411182,9.93799999999999,7.834,4.204,4.5699,4.42669999999999,4.03875,3.788635,3.43945,87.337439,94.72825,4.3738175,2.0035,2.92075,1.86825,2.655,-0.20175,4.6,0.93825,307.97,333.9975,315.11,323.33,0.29,0.13,0.19,0.18275,0.23,0.2,0.14,-0.02,0.8132,0.480125,1.392975,2.1838,3.07675,6.3187,7.529075,9.106925,11.0392,0.514624999999999,0.58565,1.29645,1.478325,2.80025,4.7858,6.14845,7.789175,10.80495,0.686675000000001,0.605375,0.8895,1.51155,1.92875,5.044925,6.68745,8.735275,11.1389,1.166025,1.11185,1.5,2.0353,3.2681,4.005425,6.39245,8.06795,10.3672,1.1853,0.876125000000002,1.63935,2.20005,1.93,4.69775,6.168425,8.10475,10.673275,0.370874999999998,3.0351,1.4634,-3.978,5.58654786448027,6.57958602155458,6.58906967687239,6.32437299694329,6.5658534581106,441.58074401056,441.776487882472,442.658483050351,441.34471525153,444.178315703379,444.111492974067,433.940028819902,442.3013478728,443.367082221657
1,2.75,10.359015673482,4.39167821429963,0.98225050672265,2.09156721379879,0.203221879003588,0.965565960909089,9.82089471415494,2.97648361636614,0.649449894840643,7.29638172986874,11.4448192045518,1.47199419794291,9.985,8.165,4.402,3.71924,3.6037,3.630125,3.421235,3.1422825,87.343187,94.13525,4.22945,2.05675,2.9265,1.836,2.9275,-0.129749999999999,4.6,1.04825,305.03,334.085,311.1975,323.32,0.28,0.13,0.18,0.18,0.23,0.2,0.14275,-0.02,0.704975000000002,0.386225000000001,1.331325,2.1588,3.07575,6.3165,7.526525,9.10465,11.0372,0.535574999999998,0.58125,1.28565,1.47495,2.799925,4.78155,6.141625,7.7865,10.803625,0.712825,0.544475,0.891225,1.511,1.927775,5.0463,6.684175,8.733,11.137175,1.137625,1.072875,1.495825,2.0353,3.267375,3.99915,6.38945,8.065225,10.3652,0.968875000000001,0.793050000000002,1.6032,2.1443,1.933,4.695925,6.16615,8.102475,10.67155,1.3802,2.42265,2.2706,-3.5735,5.54798912733221,6.51635483709248,6.60176248230569,6.25741120368572,6.56478366564849,439.814809921659,442.75016502835,440.409805547908,443.122750876518,426.730567773936,443.777441116964,443.679929928011,442.614403332021,443.245415342588
1,3.25,9.87310952294987,3.93398535665569,0.830362798501485,3.15797699118179,0.194547593524861,0.913162900299837,4.76044622144429,1.58417774893161,0.591285850310646,5.83517461685498,7.36923070736024,1.51859971429083,9.471,7.694,4.406,3.3184125,3.2572,2.9332,2.530795,2.1696875,87.32438125,93.79575,4.016325,1.722,2.221,1.77,2.5,-0.352499999999999,4.1,1.06925,304.91,333.0725,311.2175,321.0475,0.28,0.12275,0.18275,0.18,0.22,0.2,0.14,-0.02,0.573575000000003,0.249925000000002,1.30645,2.1337,3.0753,6.3142,7.523525,9.101925,11.0352,0.561199999999997,0.580625,1.286,1.4719,2.800275,4.779225,6.1383,7.784175,10.801625,0.636675000000001,0.5251,0.892675,1.508825,1.9278,5.046,6.6819,8.730275,11.1359,1.08695,1.01965,1.49265,2.03485,3.265925,3.992425,6.386175,8.062225,10.363925,0.92235,0.709075000000002,1.565975,2.097975,1.935,4.6951,6.16315,8.09975,10.66955,0.579175000000002,2.3265,2.1114,-3.70975,5.43323759820161,6.3754538145662,6.36139664624228,6.05638207822818,6.35108072607909,437.906856603085,443.446123253139,435.966700039142,444.066585426704,435.807254464386,443.697498930704,439.113342903093,442.639050703057,426.802450882214
1,3.75,10.1545916275173,4.04731910946335,0.95981391888979,0.891345197521789,0.145592024561167,0.860759839690585,6.82543598248529,2.05231409018838,0.58431733639108,4.18022552115237,9.76841407930871,1.20483146283642,9.49199999999999,7.5765,4.048,3.479525,3.296575,3.3313,2.7513,2.08593,87.3026025,94.41075,4.11787,1.7555,1.98675,1.7875,2.5,-0.291499999999999,4.21,1.07925,303.1675,332.7225,311.92,321.3,0.28,0.12,0.18,0.18275,0.23,0.2,0.14275,-0.02,0.586125000000004,0.232500000000001,1.290375,2.1233,3.07575,6.3126,7.52125,9.09965,11.033925,0.570949999999997,0.56145,1.28565,1.471225,2.800625,4.77885,6.1353,7.781175,10.79995,0.589100000000002,0.497175,0.894125,1.50665,1.927375,5.0451,6.6789,8.728275,11.1339,0.995825,1.007675,1.46725,2.0344,3.26475,3.986425,6.383625,8.059225,10.361925,0.846975000000001,0.635675000000001,1.536025,2.048125,1.935,4.694275,6.159875,8.09675,10.668275,0.381875,2.768075,2.3455,-3.99975,5.39637365874958,6.24089818408701,6.25575152315235,5.99643553065891,6.35025111211033,439.937054237545,443.998609996759,443.49442791331,445.912685882661,444.351633425532,445.066155484436,445.191275341178,443.833496358909,438.441674387138
1,4.25,10.5574425870347,4.16903407602975,0.832700210052647,0.785363210407148,0.468237767745444,0.853014798656437,3.95625713838227,2.21633708258006,0.558003487857899,7.10394370847181,7.31119707776017,1.41429291669438,10.06,7.48900000000001,3.64,3.575585,3.37025,3.4182,2.95295,2.3357375,87.2955125,94.839,4.27008,1.62925,2.114,1.62825,2.5275,-0.22525,4.1275,1.1665,302.83,331.89,310.4225,320.755,0.283,0.12,0.18275,0.18,0.223,0.2,0.14275,-0.03,0.467150000000001,0.16185,1.265075,2.112925,3.075,6.3103,7.51825,9.096925,11.0322,0.4866,0.549025,1.284625,1.4692,2.800625,4.7762,6.131975,7.78165,10.79795,0.4882,0.4312,0.896125,1.505475,1.926175,5.045475,6.6798,8.725275,11.1329,0.960125000000001,1.002675,1.443225,2.034675,3.264025,3.980425,6.38035,8.056225,10.359925,0.54805,0.560675000000001,1.499025,2.00145,1.933,4.6941,6.1576,8.094475,10.66655,0.299499999999995,2.7284,2.295,-4.91125,5.35834021740951,5.99578877427662,6.1131516483656,5.96609605799894,6.18058779175431,444.52527718227,445.265424605179,444.979839425873,446.296727077253,448.312676321199,445.712568241426,439.624698358519,444.37638656276,448.206148486321
1,4.75,10.277394875686,4.48215472449883,0.888753156324704,0.845149976132092,0.58928504740609,0.845269757622289,6.63752588095721,2.33463287192087,0.570918231870223,6.52755537111338,7.07093712300305,1.20782966124141,10.002,7.79599999999999,3.646,3.70065,3.36925,3.26189,2.745845,2.13045,87.28696525,94.926,4.284995,1.53125,1.92325,1.43525000000001,2.6,-0.21,4.255,0.931250000000001,304.665,333.165,311.965,318.4225,0.29,0.12,0.19,0.18,0.22,0.2,0.14275,-0.02,0.326300000000001,0.0943250000000001,1.2626,2.111375,3.0747,6.3087,7.515975,9.09465,11.0302,0.485225,0.536949999999999,1.28395,1.4692,2.800625,4.773875,6.128975,7.782125,10.79595,0.4677,0.367725,0.8974,1.50675,1.924975,5.0452,6.6772,8.723275,11.1309,0.960925000000001,0.99595,1.44095,2.03395,3.2633,3.9737,6.37735,8.05395,10.357925,0.2574,0.481525000000001,1.45325,1.970825,1.958,4.6932,6.1546,8.09175,10.66455,0.223849999999997,2.19705,1.66525,-3.9615,5.36233106504959,6.00301077519851,5.99593744866571,5.79668493670952,5.95510452722898,443.9926804421,442.922428918837,443.860566424699,445.042454580947,434.720619638052,446.79421428321,446.66474930957,444.229047734392,447.146073712102
