DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
1,14.75,-0.66280325,-186.200125,-132.72502,-41.33236,0.8807625,0.23256225,-13.15246,409.322525,2.3900265,0.66216775,0.452557875,0.28067075,0.1191067,35.818138,30.113244,-13.3569,52.5445
1,15.25,-0.776071125,-187.408875,-77.9316,-40.24876,1.09567625,0.181381625,-12.6132125,410.3232,2.501124,0.620696625,0.523205625,0.289414125,0.119222,28.837882,24.252506,-12.825125,60.81186
1,15.75,-0.5709417,-173.4423,-120.515615,-31.911085,1.08291925,0.1899254,-12.6236375,410.972725,2.5163885,0.5391999,0.4509177,0.2543664,0.104397375,25.086446,21.093176,-12.8324,61.28538
1,16.25,-0.604744,-202.9664,-78.725745,-48.10382,0.977305275,0.1906812,-12.750505,411.46935,2.47987275,0.5011805,0.3794981,0.2779773,0.106259975,14.469566,12.206404,-12.962325,50.318705
1,16.75,-0.548769375,-141.6378,-68.01564,-31.1712,0.88211085,0.1701189,-13.2074375,412.4801,2.47855,0.4255044,0.3595794,0.2640169,0.0824,6.223829,5.2895776,-13.41665,62.0659
1,17.25,-0.679967375,-98.4687375,-94.3827525,-49.28045,1.0747763,0.1554335,-13.65048,410.413925,2.53701325,0.43526925,0.279560125,0.239014125,0.083025,0.78564074,0.73560254,-13.8601,58.2429975
1,17.75,-0.525804125,-98.5511125,-75.939355,-36.4415375,0.995626,0.129027375,-14.03206,411.85105,2.5390905,0.42247975,0.34564775,0.237469375,0.0797625,-3.9093162,-3.2702842,-14.2404,64.79882
1,18.25,-0.8483602,-128.0338,-114.7917675,-72.48723,0.89221055,0.104122875,-14.5250875,409.302,2.5037975,0.357010375,0.329515625,0.2157795,0.0771,-4.417981,-3.6377776,-14.732325,66.798735
1,18.75,-0.60216525,-119.791,-112.1768,-45.68752,0.6572727,0.09913425,-15.00373,412.508975,2.454115,0.2923582,0.272546,0.164116875,0.0695,-4.2951162,-3.5344438,-15.2087,60.0424825
1,19.25,-0.890597,-147.6847,-232.3355,-41.298885,0.7597388,0.07015,-15.18427,407.96725,2.43268375,0.2520696,0.2484318,0.171035,0.08295,-4.0479802,-3.3837132,-15.3955,59.90737
1,19.75,-0.66531755,-66.6869375,-74.445855,-19.6468325,0.542246625,0.134179625,-15.326175,397.20375,2.4643675,0.306761375,0.28336125,0.180785625,0.0763625,-4.240018,-3.4973784,-15.537,63.6604125
1,20.25,-0.8247797,-105.7095,-87.5814275,-24.291325,0.63366475,0.133654875,-15.7037875,362.61875,2.40970975,0.34867025,0.28614225,0.190502125,0.0665625,-4.1634144,-3.423345,-15.899875,57.61012
1,20.75,-0.72161795,-100.46742,-117.9681325,-39.23045,0.812641875,0.142028875,-16.164975,371.8195,2.39761675,0.398350625,0.305198125,0.2148535,0.070375,-4.18414,-3.4393098,-16.360125,50.66942
1,21.25,-0.76275335,-89.353345,-85.2924975,-31.2432,0.8907549,0.1351845,-16.4783,372.616825,2.38087,0.355590375,0.297234,0.20734575,0.0688375,-3.9486296,-3.2655852,-16.6724,50.0065125
1,21.75,-0.60821315,-48.02547,-81.35262,-25.579725,0.7755672,0.156545875,-16.9336425,394.90745,2.2504,0.30095375,0.2976877,0.202649375,0.071505,-3.8644512,-3.2073878,-17.133525,50.701515
1,22.25,-0.6398904,-49.0236075,-99.0396425,-15.0052475,0.9169558,0.12771785,-17.002905,351.34085,1.33397175,0.38227725,0.302231325,0.1598709,0.0774475,-4.0183736,-3.37222,-17.2029,36.718
1,22.75,-0.6798134,-59.138065,-55.60654,-22.8404325,0.75065815,0.124958925,-16.70485,288.834575,1.788495,0.359854875,0.290145225,0.18592265,0.07299,-4.05829,-3.392425,-16.90085,37.386675
1,23.25,-0.63604695,-93.38842,-93.08754,-40.25725,0.901206,0.12239365,-16.54362,334.1039,2.413464,0.3242287,0.28365285,0.19928295,0.06619,-3.8816086,-3.2445384,-16.73955,39.18468
1,23.75,-0.858935775,-88.901565,-35.83156,-19.51645,0.86246995,0.13237845,-16.455915,410.64375,2.41120225,0.37163195,0.289090175,0.2005109,0.071155,-4.0861756,-3.373562,-16.6518,49.32173
2,0.25,-0.755129,-78.089,-26.00902,-24.4505,0.885467,0.108172,-12.9891,407.105375,2.798338,0.392464,0.290567,0.188784,0.0682,-4.17360405,-3.44030155,-13.222,61.936775
2,0.75,-0.7026409,-59.239845,-28.26036,-23.224065,0.97641865,0.11686895,-13.027725,400.0273,2.71033925,0.3735617,0.31203205,0.204737075,0.0851,-4.2137117,-3.53260445,-13.7242,60.73322
2,1.25,-0.63973525,-47.5294125,-138.30715,-16.915165,0.9407199,0.13981115,-13.586815,407.977625,2.717328,0.3726959,0.3149871,0.2348325,0.0713825,-4.11567585,-3.4522726,-13.823475,46.7304575
2,1.75,-0.66483695,-39.76454,-35.72528,-17.15416,0.971693,0.1473591,-13.1658725,374.8355,2.84752475,0.36640225,0.314362,0.19532805,0.0734,-4.26990985,-3.5208574,-13.39525,62.50428
2,2.25,-0.702962025,-69.41038,-27.616925,-17.352065,0.987246625,0.115186625,-13.1861,349.371,2.79927625,0.43090275,0.26774575,0.1907764,0.0765725,-4.42249215,-3.64827905,-13.421,60.9012875
2,2.75,-0.7894967,-151.7736,-69.771435,-20.4728125,0.8693034,0.11284595,-13.1493,409.82175,2.4927425,0.430827625,0.26410495,0.18703585,0.078945,-4.3164645,-3.61968285,-13.399,60.01174
2,3.25,-0.85022555,-121.9912,-57.47554,-30.2206625,1.02554705,0.1217349,-13.24833,410.1552,2.772465,0.38254755,0.29350945,0.2433053,0.06666,-4.28638335,-3.5945281,-13.585125,68.80466
2,3.75,-0.65740705,-105.7212775,-61.2651625,-14.889475,0.8584124,0.1323132,-13.2983,410.50275,2.7942575,0.419830975,0.30842245,0.20949815,0.0762,-4.3082162,-3.5696105,-13.532,70.693175
2,4.25,-0.73852735,-137.838,-27.992025,-23.40152,0.828470325,0.1605622,-13.3716425,408.876375,2.77312275,0.41307325,0.289093025,0.24388295,0.0767625,-4.2443127,-3.5049636,-13.615375,73.2715225
2,4.75,-0.874072,-83.6472,-33.1831475,-25.95964,0.901830525,0.143848825,-13.48838,406.764375,2.74459275,0.375282475,0.358515375,0.25564725,0.076215,-4.1877624,-3.45647915,-13.7287,67.78917
2,5.25,-0.727049375,-119.693625,-20.152635,-26.87832,1.14276,0.151196,-13.28682,397.863375,2.77965175,0.358857,0.25855,0.225584,0.0709,-4.1806826,-3.48790215,-13.516775,64.89131
2,5.75,-0.78028155,-112.65294,-55.2420675,-29.167645,0.826951225,0.123049475,-13.400925,410.8622,2.772756,0.375241925,0.26542335,0.2033333,0.069665,-4.2353139,-3.49591895,-13.6478,65.08904
2,6.25,-0.6799519,-188.515,-63.4871625,-30.83252,0.78334465,0.1248642,-13.6168875,411.5633,2.7453135,0.31266615,0.26529005,0.20154665,0.0783,-4.26443815,-3.532006,-13.85565,70.1925475
2,6.75,-0.6013419,-113.40465,-55.0101025,-31.48433,0.82094315,0.110812975,-14.0712875,411.441625,2.552164,0.357542,0.279156625,0.190001875,0.081,-4.1051313,-3.44175595,-17.20365,68.1595
2,7.25,-0.681802,-101.605,-58.43482,-36.6619125,0.87287325,0.095040875,-14.1381425,327.53025,2.5093835,0.31655865,0.222754,0.1709141,0.0722,-3.8411819,-3.18578035,-14.374625,61.46636
2,7.75,-0.682464,-126.562425,-54.3381975,-42.336385,0.78117305,0.1325908,-14.072555,395.17325,2.503379,0.4481603,0.278356425,0.189082025,0.07741,-1.49733019,-1.185896395,-14.3082,63.37561
2,8.25,-0.971141625,-155.223775,-85.99444,-33.3647925,0.8133806,0.1635939,-13.741185,361.73025,2.4728275,0.49928215,0.393996425,0.242552875,0.1053952,4.84959205,4.13925825,-13.97705,63.064515
2,8.75,-0.884768,-161.170575,-43.910695,-26.5568425,0.60022995,0.16348215,-13.79396,404.04845,2.657578,0.36910065,0.3304759,0.22671005,0.11354615,13.6283075,11.4929045,-14.0265,66.5430625
2,9.25,-0.841823675,-140.051725,-80.97508,-38.847845,0.8064475,0.1703196,-13.663705,406.945375,2.735389,0.38932495,0.311159725,0.2322108,0.11767275,22.1729,18.657252,-13.89255,60.86758
2,9.75,-0.8372122,-220.5062,-71.21,-48.7698775,0.7615942,0.1715447,-12.921,408.3094,2.699319,0.3788326,0.3933748,0.2505068,0.1452024,31.929405,26.772053,-13.152,62.587975
2,10.25,-0.80338655,-174.923225,-176.7439,-47.3006625,0.8327623,0.16416555,-12.60651,384.0241,2.6007465,0.552202825,0.361222825,0.262171325,0.159438525,33.107237,27.759668,-12.8396,55.914
2,10.75,-0.887936,-234.5116,-107.0901325,-38.50716,0.9245194,0.1892897,-13.44063,376.7675,2.6903355,0.7332854,0.446338425,0.304322725,0.1957351,42.874847,36.012339,-13.6623,41.85584
