DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
1,22.25,0.254,-0.727,-7.667,0,23.44,87.125,0.06,378.68025,384.04,387.225,395.3575,402.1875,410.3805,99.324,-0.2395,406.55675,438.988,-40.1745,0,1.23
1,22.75,0.1935,-0.488,-7.41,0,23.345,87.6175,0.057,380.593,386.9,390.56,399.025,403.924,410.5805,99.34,-0.237,406.576,438.3845,-38.94,0,1.25875
1,23.25,0.37,-0.6985,-7.708,0,23.27,88.16,0.06,381.275,388.303,391.93975,401.729,406.275,414.975,99.339,-0.234,407.366,438.05,-37.8945,0,1.2235
1,23.75,0.408,-0.856,-8.44725,0,23.2075,88.7475,0.06,383.252,389.469,394.857,403.2,408.525,417.227,99.346,-0.26,407.13375,437.353,-38.414,0,1.208
2,0.25,0.1765,-1.6495,-6.48025,0,23,91.1,0.06175,384.19575,390.9,395.475,404.13625,410.57275,416.369,99.4,-0.23,412.224,436.92275,-35.519,0,1.254
2,0.75,0.3785,-1.582,-7.386,0,22.9,91.57,0.061,386.275,391.4625,397.175,406.875,411.6315,418.65025,99.3925,-0.25,411.2845,435.912,-33.52,0,1.231
2,1.25,0.2995,-1.97775,-9.0285,0,22.83,92.6,0.057,386.6655,393.05,398.98775,407.99025,412.88325,421.0685,99.3715,-0.27,412.22625,435.537,-34.58,0,1.151
2,1.75,0.245,-1.4495,-7.607,0,22.78,92.8675,0.058,387.6035,395.65,400.5,409.435,414.59325,422.41325,99.3585,-0.28,411.703,435.19975,-33.57175,0,1.135
2,2.25,0.6255,-1.2935,-8.34275,0,22.70125,93.35,0.0565,389.8,396.97275,403.6,411.7605,416.77025,423.65325,99.3405,-0.2585,411.7705,434.983,-32.73425,0,1.134
2,2.75,0.5795,-1.3025,-7.472,0,22.63,94,0.05675,391.05,397.7,403.89325,413,418.4355,424.3725,99.32,-0.2465,412.67475,434.6545,-32.453,0,1.08
2,3.25,0.371,-1.2,-8.16,0,22.6,94.3,0.05775,392.87375,400.35175,405.8345,414.22775,418.88075,424.92425,99.314,-0.22,411.96975,434.456,-32.206,0,1.0975
2,3.75,0.72,-0.958,-8.044,0,22.63,94.5,0.06075,393.1265,401.37225,405.899,413.96325,419.32025,425.194,99.3175,-0.2,413.6895,434.38,-31.2725,0,1.16
2,4.25,0.95475,-1.16525,-8.453,0,22.55,94.725,0.0565,395.331,402.5065,406.8,414.175,419.54475,425.4,99.321,-0.19625,412.2215,433.881,-31.00775,0,1.122
2,4.75,0.765,-0.98275,-8.18425,0,22.52,95.055,0.06,395.539,403.16875,408.325,416.086,421.105,425.879,99.321,-0.16975,413.7975,433.617,-30.077,0,1.173
2,5.25,0.7375,-1.09775,-9.068,0,22.5075,95.2,0.058,395.841,403.709,409,416.071,419.7,427.542,99.33,-0.158,414.0745,433.411,-30.623,0,1.191
2,5.75,1.069,-1.0395,-10.866,0,22.47,95.2335,0.065,396.104,403.582,409.375,416.1965,420.03625,426.4905,99.347,-0.14,414.0025,433.1925,-29.371,0,1.147
2,6.25,0.937,-1.807,-11.7025,3.605,22.4775,95.3,0.063,396.6765,402.9205,408.906,415.797,421.52275,428.175,99.368,0.41175,414.679,433.223,-21.69,9.289,1.17
2,6.75,1.69125,-1.244,-10.429,26.2325,22.5175,95.1,0.07,395.646,400.2535,404.54075,409.67125,417.3,424.32325,99.402,3.3,415.2825,433.734,3.26475,56.5475,1.1265
2,7.25,1.943,1.214,-8.378,61.6525,22.658,94.305,0.105,395.7605,397.342,399.279,404.3,416.745,425.38825,99.44,7.80825,416.115,435.85575,33.75275,143.389,1.026
2,7.75,0.407,15.7375,-4.155,112.1,22.9,93,0.165,391.45575,392.287,393.2,397.79475,411.538,423.9285,99.475,13.85,418.6455,438.775,76.7,246.7,1.051
2,8.25,-7.12125,37.988,4.793,155.275,23.32,90.2,0.20775,388.328,387.185,385.60875,389.299,399.23425,422.55,99.507,19.375,421.042,442.352,119.72,358.731,1.242
