DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
1,0.25,-41.1645,93.22175,0,98.688875,0,0,-40.05575,-3.4111875,0,147.89625,161.1725,1.642525e-06,-41.241375,-19.05075,-18.792,-18.3845,-17.666875,-24.12075,-1.942625
1,0.75,-41.05445,94.18835,0.146615,98.6696,0,0,-45.2674,-3.74118,0,145.1035,160.8405,5.8316575e-06,-41.3647,-19.0615,-18.78255,-18.39655,-17.66,-24.174,-1.90842
1,1.25,-41.28435,94.3828,0.056175,98.6816,0,0,-48.80935,-3.74836,0,146.3035,160.035,5.33824e-06,-41.6853,-19.09655,-18.7815,-18.41005,-17.66405,-24.2962,-1.5639
1,1.75,-40.99935,94.6021,0.0665035,98.6726,0,0,-46.6935,-3.74857,-0.04255875,147.661,161.235,5.77018e-06,-41.1767,-19.1339,-18.7811,-18.41655,-17.6695,-24.19715,-1.546785
1,2.25,-40.8794,94.7888,0,98.6757,0,0,-44.92985,-3.74911,0,149.7245,162.1365,5.2215625e-06,-40.8864,-19.157,-18.78145,-18.43045,-17.68195,-24.13605,-1.588255
1,2.75,-40.53885,94.01615,0.063322,98.7041,0,0,-43.2072,-3.74948,-0.0565994,147.6625,162.905,9.00124e-06,-40.58705,-19.18105,-18.78495,-18.44255,-17.69545,-24.1881,-1.512555
1,3.25,-40.3859,94.42435,0.0626535,98.7357,0,0,-41.8652,-3.750795,-0.4873685,147.906,162.6425,0.00014384725,-40.76995,-19.21495,-18.77195,-18.44305,-17.7056,-24.315,-1.75448
1,3.75,-40.5332,95.0686,0.042378,98.7621,0,0,-42.61575,-3.750145,0,147.621,163.515,4.906298e-05,-40.35455,-19.2555,-18.7586,-18.4315,-17.7265,-24.53455,-1.59562
1,4.25,-39.836925,95.67635,0.024895975,98.7751,0,0,-47.1569,-3.7511825,-0.0147285,145.82525,165.25125,0.00032150785,-39.832525,-19.2915,-18.743,-18.424975,-17.736025,-24.789025,-1.32191
1,4.75,-39.859575,95.297775,0,98.789275,0,0,-50.261425,-3.7514,-0.1469021,149.19625,163.65575,0.00012575125,-40.45195,-19.3145,-18.74325,-18.418475,-17.742775,-25.039625,-1.4514625
1,5.25,-40.39915,95.3081,0.026081575,98.81285,0,0,-48.554275,-3.7546525,-0.405297925,151.22725,163.2285,0.00010636475,-40.54435,-19.353025,-18.762775,-18.418775,-17.756025,-25.260025,-1.73128
