DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,PA_1_1_2,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,FCH4,SCH4,NEE
3,14.75,-0.159895,405.47,-0.028,65.915,11.490748,1.7286,3.373189,0.260107,-1.149,-2.2181,-1.3305,-3.091,3.0237,0.380736,0.794617,0.457851,98.22105,97.854555,45.575,51.124,2.0287,-5.4745,2.3077,-7.223421,-5.2516,-8.421373,-3.97325,-3.5142145,-2.23865,-2.091557,-1.76025,-1.06135,-0.999235,-0.573575,-0.253215,-0.3359285,-3.474,-2.96395,-2.53105,-2.02535,-1.73315,-0.518142,-1.1444,-0.5690735,394.94,119.3068,233.36,279.7,686.7,216.3,6.48,-0.158,-0.208576
3,15.25,-0.0658285,405.5,-0.0484,55.229,10.779,1.7794,2.685926,0.12815,-1.1461,-2.2174,-1.3293,-3.0872,3.05425,0.389815,0.782489,0.4534975,98.200449845,97.893355,44.67,49.341,2.131529063,-5.288,2.4152,-6.5616745,-4.857132,-7.6737685,-4.02535,-3.4610715,-2.2473,-2.0780715,-1.74895,-1.0777,-0.9747845,-0.5527145,-0.2448595,-0.3255005,-3.45875,-2.9634285,-2.5272285,-1.9874,-1.7246645,-0.5267165,-1.130714,-0.566857,361.34,103.1473,237.52,280.12,622.4,191.3,4.945,-0.218,-0.12921
3,15.75,-0.03317,405.44,-0.00666,48.9694335,9.9539,1.8053,2.143343,0.17412,-1.14205,-2.20705,-1.32595,-3.063586,3.0863,0.380345,0.746398,0.44764,98.18403,97.92815,43.45,48.486,2.2366,-4.794,2.1969,-6.17674,-4.7684,-7.196148,-4.040943,-3.45755,-2.21165,-2.08175,-1.7102145,-1.0574,-0.958355,-0.543215,-0.239288,-0.3195,-3.4482,-2.95415,-2.537857,-2.00805,-1.6868,-0.5429285,-1.11,-0.546643,317.49725,94.07035,234.37348445,279.9174888,547.85,168,4.72,-0.258,-0.07996
3,16.25,0.0515,405.5,-0.0111,38.9805,9.1574,1.7975685,1.5767,0.24658,-1.1429,-2.206,-1.3276,-3.0799,3.0678,0.37133,0.730463,0.41254,98.18307787,97.95909,43.44,48.446,2.259,-4.763,2.2282215,-6.038528,-4.8201315,-7.175,-4.038786,-3.4517,-2.1084,-2.0562285,-1.6928715,-1.0604785,-0.950145,-0.554572,-0.2339265,-0.3125715,-3.42735,-2.9509285,-2.51125,-1.98925,-1.6363575,-0.5267855,-1.109429,-0.5274295,278.6284,78.956,236.1280103,279.566,472.15,137.2,6.27,-0.2775,0.033171
3,16.75,0.0756695,405.565,-0.05295,29.787,6.94847,1.82665,0.17143,0.3541655,-1.147044,-2.21745,-1.3346,-3.1436,2.902,0.370532,0.68638,0.401663,98.166,97.94614,43.63,49.787,2.2157,-4.772,2.7029,-6.492283,-5.286916,-7.095,-3.994857,-3.4731,-2.0227,-2.0184855,-1.6974,-1.040157,-0.938,-0.528571,-0.2319285,-0.3002165,-3.4196,-2.954357,-2.49385,-1.9836645,-1.6102355,-0.531857,-1.0816215,-0.5040705,215.72875,63.6865,237.6011,278.72175,360,109.1,6.6,-0.249,-0.00018
3,17.25,0.088413,405.06,-0.01505,21.862,6.58588,1.8512935,-0.146632,0.2919765,-1.1624405,-2.21635,-1.3377,-3.1392,2.9834,0.35552,0.663246,0.377894,98.15622666,97.98853,44.5,51.22063,2.1463,-4.796,3.385396,-6.175681,-5.27732,-7.0438455,-3.9326,-3.3886,-1.9927,-2.0042,-1.708193,-1.05705,-0.91071,-0.517857,-0.216143,-0.2869305,-3.41035,-2.908,-2.46665,-1.96485,-1.6275,-0.478857,-1.0869355,-0.493427,164.615,48.860025,237.03369825,277.475,285.75,77.5,5.53,-0.147,0.085322
3,17.75,0.11,404.855,-0.021,9.0829,4.33765,1.926813,-1.7606,0.280305,-1.146035,-2.1993,-1.3333,-3.0733,2.8599,0.34064,0.580524,0.3626095,98.13967155,98.02021,45.19,53.066255,2.025892716,-4.959,2.1969,-5.97963,-5.4778115,-6.95,-3.7934,-3.3894,-2.03935,-2.00085,-1.6716285,-0.989645,-0.93514,-0.522,-0.214643,-0.285286,-3.40075,-2.9317145,-2.49175,-1.9625,-1.6472,-0.4759265,-1.082643,-0.4885715,110.1462,34.238,237.7276,275.8889,192.75,50.45,4.77,-0.06255,0.075999
3,18.25,0.097,405.28,-0.0377,0.795191,2.5803,2.000194,-2.8709,0.320687,-1.155975,-2.2157,-1.343342,-3.13025,2.744195154,0.28878,0.530375,0.322545,98.14542468,98.00078,46.8,53.63,1.9709,-5.389,2.339726,-6.279304,-6.0214,-6.89,-3.7977,-3.3206,-2.0717,-2.00875,-1.6532215,-1.0126,-0.935571,-0.51443,-0.2099995,-0.2705,-3.393,-2.9461,-2.4795645,-1.96695,-1.6539285,-0.4936415,-1.10195,-0.487,64.899415,22.5385,234.33289165,273.402,114.4,30.03,5.04,-0.03575,0.063756
3,18.75,0.09625,404.44,-0.0638,-2.338424,1.1606,1.951924,-4.35075,0.02085,-1.148228,-2.2165,-1.34635,-3.13165,2.6989,0.24773,0.480817,0.287924,98.140668615,97.96564,48.85,57.2103,1.8239,-5.829,2.7029,-8.180891,-6.8981,-7.505223,-3.7796,-3.352,-2.0794,-2.0388645,-1.6651,-0.995485,-0.93043,-0.53786,-0.20343,-0.272143,-3.3863,-2.955293,-2.5161,-1.98825,-1.6672215,-0.505214,-1.1161,-0.484,29.453921265,11.02340997,233.29378975,271.0021097,50.845,14.29,3.495,0.00402,0.021842
3,19.25,0.0736,404.345,-0.0791,-5.2197005,0.276721,1.9359075,-6.1227745,-0.230248,-1.1433195,-2.216,-1.34545,-3.13555,2.54105,0.179805,0.3881,0.230217,98.12447,97.95277,50.98,59.883,1.587749185,-5.909,2.4152,-9.392869,-7.9742,-8.085,-3.7936,-3.3563,-2.1123,-2.0408715,-1.6773,-0.978643,-0.929,-0.551571,-0.2037835,-0.266357,-3.4049,-2.95515,-2.532,-1.98425,-1.6872215,-0.507142,-1.1112145,-0.509143,4.856357218,3.3711,232.8819256,268.63866415,11.497604175,3.597,1.825,-0.035,0.04811
