DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
8,18.75,388.623,14.62885,0.793532,0.53987,4.322,5.083,16.5275,4.527405,25.47845,2.90795,0.4382055,22.54395,92.8076,62.2525,17.6392,23.380725,0.2275465,17.56,15.81,13.77,-9.6945,170.325,11.13,78.2675,14.4225,349.89425,421.6,1.9773825
8,19.25,390.46125,14.9627,1.1336925,0.852875,2.0265,3.5555,7.001,-1.781665,16.89975,2.6864925,0.37911025,21.8766,92.819275,65.1025,16.194825,22.69965,0.276531,17.1025,15.82,13.76,-32.53375,77.69,4.9365,33.375,7.72775,348.315,415.2925,3.0976
8,19.75,393.15525,15.1562,1.57341,1.6297375,-0.3835,1.68975,-1.511,-2.6326975,11.1683,2.7033375,0.336499,20.8771,92.82805,68.1925,14.2219,22.0717,0.3480405,16.6725,15.7775,13.7625,-39.7595,21.7291,0.737,8.87,2.66475,345.802,408.21025,3.8985575
8,20.25,397.2205,15.56,1.8900425,2.80961,-2.4745,-0.20075,-10.5125,-3.44609,8.087135,2.75109,0.33500325,19.8592,92.842475,72.21,12.247775,21.0166,0.40829775,16.1925,15.7525,13.76,-39.26175,1.669415,0,0.5895,1.6775,343.59875,401.30525,4.090375
8,20.75,400.91375,15.880775,2.172005,3.7332525,-4.15,-1.5665,-15.8975,-3.7677575,7.224685,2.6467075,0.32879925,18.6349,92.850425,75.685,10.678125,20.177075,0.4519825,15.73,15.7225,13.7625,-36.5865,0.294513,0,0,1.57475,342.762,397.112,4.125185
8,21.25,406.532,15.832675,2.42779,3.1105125,-4.9175,-2.65475,-19.2575,-3.3652,6.72772,2.5392275,0.31709525,17.6605,92.8661,77.695,9.1985525,19.244375,0.4017425,15.4425,15.6825,13.77,-37.44125,0.38214,0,0,1.607,338.771,391.7525,4.04921
8,21.75,410.162,15.95545,2.4111875,2.476525,-6.0285,-3.48325,-21.7475,-3.016855,7.24084,2.4832425,0.294645,16.9062,92.89385,79.71,8.3029925,18.39255,0.3990865,15.19,15.6275,13.77,-37.7045,0,0,0,1.697,337.58875,387.992,4.021915
8,22.25,412.9495,15.903,2.1283775,2.0915025,-6.4395,-3.98875,-24.78,-3.1572,5.564,2.45347,0.28473425,16.255,92.9007,80.6,7.65922,17.8314,0.3906495,14.869025,15.575,13.77,-32.696,0,0,0,1.807,340.788,384.12675,3.918655
8,22.75,416.3385,15.7667,2.3196575,1.9710775,-6.8045,-4.32075,-26.7975,-2.75234,4.9688,2.355175,0.27364525,15.79,92.9043,81.7,6.86091,17.3554,0.41289625,14.6425,15.5125,13.77,-30.03725,0,0,0,1.76625,340.5095,381.3205,3.86218
8,23.25,418.15325,15.619675,2.3516825,2.1629925,-7.4655,-4.87225,-28.805,-2.77597,3.93296,2.274095,0.26338725,15.30205,92.9158,83.225,6.2148125,16.894775,0.41833725,14.4175,15.445,13.78,-32.816,0,0,0,1.835,341.0045,378.67875,3.85516
8,23.75,420.619,15.5469,2.182345,2.19126,-7.8275,-5.54725,-29.705,-2.28522,4.41232,2.336945,0.26134325,14.91,92.9238,84.425,5.763525,16.4936,0.401587,14.155,15.4125,13.77,-32.338,0,0,0,1.843,338.509,376.7105,3.782455
9,0.25,419.298,13.4823,2.52486,1.4388875,-6.91775,-4.6885,-23.7,-1.90185,5.80607,2.55054,0.2676595,10.2783,93.0045,91.85,3.03458,11.753,0.392957,10.4225,11.78,11.4225,-17.9505,0.496369,0,0.103,1.791,334.442,357.3385,2.91899
9,0.75,419.05675,13.3343,2.294685,1.3744675,-6.9025,-4.76075,-24.585,-1.273175,4.699005,2.742735,0.264337,10.055,93.0071,92.4,2.83069,11.5191,0.4004725,10.275,11.7225,11.4125,-15.97275,0.590068,0,0.04,1.746,334.82675,356.37225,2.9263875
9,1.25,420.6825,13.4098,2.46005,1.4206725,-7.3505,-4.76225,-25.2175,-2.9263,7.81087,2.6302975,0.267003,9.8325,93.0015,93.175,2.6220775,11.373775,0.4179165,10.18,11.7,11.4125,-15.887,0.520179,0,0.01625,1.6865,334.676,355.544,2.855265
9,1.75,422.01625,13.3498,2.70876,1.489305,-7.30525,-4.92675,-26.54375,-2.3727925,8.7170025,2.6781625,0.2845585,9.695,93,93.4,2.4315475,11.007725,0.405264,10.0725,11.63,11.41,-14.743,0.394149,0,0.0445,1.677,334.53775,354.19125,2.8296425
9,2.25,422.2955,13.14895,2.48459,1.32833,-7.441,-5.15625,-26.78875,-2.142205,5.9585875,2.677325,0.2783395,9.45028,93.0043,94.325,2.27336,10.7902,0.408161,10.02,11.61,11.3925,-11.732,0.342728,0,0.108,1.674,334.192,354.008,2.799495
9,2.75,422.125,13.19935,2.54819,1.04598,-7.47225,-5.43075,-27.1425,-1.66077,7.40141,2.6487825,0.297878,9.2175,92.9975,95.025,2.15406,10.592925,0.40233475,9.9425,11.53,11.4025,-9.564,0.45738,0,0.0564,1.69775,334.093,352.88975,2.78708
9,3.25,421.5345,12.95435,3.0802,1.0917725,-7.56525,-5.53925,-27.3075,-1.55299,7.743645,2.7046125,0.29338,9.02088,93.0007,95.125,2.1259675,10.391225,0.42254425,9.84,11.48,11.4,-11.58805,0.569052,0,0.085137475,1.63275,335.30475,352.02375,2.8023175
9,3.75,424.92175,12.9613,3.03247,1.4950125,-8.1,-5.63125,-27.60375,-1.992305,8.700245,2.7409125,0.3014805,8.97986,93.0104,95.5,2.1099925,10.11625,0.4053705,9.7425,11.441375,11.41,-14.521,0.668078,0,0.0976875,1.553,332.34925,351.39225,2.7602775
9,4.25,426.47475,12.9259,3.11329,1.0839025,-7.909,-5.73625,-28.275,-1.6921675,6.61867,2.763165,0.2967915,8.72988,93.0187,96.125,1.998625,9.900275,0.399506,9.69,11.3994,11.38,-13.773,0.939364,0,0.212667,1.567,331.8785,351.43,2.7467475
9,4.75,426.587,13.05625,3.34894,0.9652685,-8.3325,-5.67,-28.765,-2.3761825,7.847335,2.88799,0.314645,8.476905,93.021225,96.5,1.95429,9.73623,0.391559,9.6325,11.35,11.3725,-9.95167,1.33256,0,0.2835,1.59625,333.91525,351.45825,2.6929775
9,5.25,426.69175,13.0609,2.75665,0.9430225,-8.2525,-5.90525,-28.315,-2.037515,10.011,2.82451,0.32143,8.275,93.0217,96.1,1.897335,9.66925,0.428212,9.5425,11.28,11.38,-8.97525,3.05535,0,1.1415,1.7015,334.0365,351.02625,2.65043
9,5.75,425.8725,13.157725,3.21749,0.875507,-8.255,-5.8245,-28.75625,-1.2428,8.46589,2.92175,0.3161695,8.30645,93.0402,96.3,1.85749,9.6612,0.425988,9.51,11.23,11.38,-4.0325,21.2425,1.01675,8.37,2.341,334.852,351.46025,2.430065
