DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,NETRAD,RH,SW_IN,SW_OUT,T_CANOPY,G,TS_1_4_1,VPD,WS,LW_IN,LW_OUT,PPFD_IN,PA
1,0.25,0.17884025,-0.022513,-0.02462925,-0.001984,-4.672692,-0.0666285,0.606868,-0.023553,411.5399855,2.5302075,-7.8600735,-0.4818349,-0.3871097,-0.3355319,-15.38052,83.54581,0,0.1364386,-9.817017,-6.020599229,-0.22296425,0.399102677,1.472974,256.1525,277.6476,0,98.60361
1,0.75,0.173604,-0.076326,-0.0880375,0.00227525,-4.7852255,-0.18447325,0.541663,-0.0248875,411.7755795,2.409427,-7.9305325,-0.4849884,-0.3913624,-0.34345425,-14.03062,83.21337,0,0.1250959,-9.768454,-6.0787255,-0.22284475,0.411678374,1.485204,253.5814,277.0523,0,98.59119
1,1.25,0.1693025,-0.066575,-0.05803625,0.000296,-5.421598,-0.19115425,0.5631895,-0.034651,411.504547,2.4074935,-7.801451,-0.5133,-0.39887405,-0.339257,-14.3954,83.46608,0,0.1229326,-10.10113,-6.098167,-0.21718155,0.379448718,1.437173,249.1425,276.83295,0,98.5973575
1,1.75,0.166239,-0.056205,-0.078204,0.012953,-5.452193,-0.11323,0.491896,-0.041953,411.404373,2.3492365,-7.7028755,-0.5177178,-0.4022536,-0.33594415,-14.079095,82.96344,0,0.1324227,-10.05972,-6.164601,-0.21802905,0.359765799,1.450855,248.3346,273.73315,0,98.6154895
1,2.25,0.16522875,-0.06793025,-0.0786895,0.010234,-5.546363,-0.1875685,0.60122675,-0.0226475,412.242516,2.382658,-7.886401,-0.5000889,-0.3986414,-0.33084455,-13.424205,82.91638,0,-0.4511358,-10.66385714,-6.145871,-0.22902455,0.370450763,1.386891,251.1084,273.8874,0,98.6307255
1,2.75,0.164881,-0.072595,-0.084359,0.002128,-6.349863,-0.106954,0.7252255,-0.021513,412.23035475,2.513743,-7.9564765,-0.5173861,-0.40367295,-0.32865015,-12.97245,82.96104,0,-0.5628812,-10.28768,-6.183054,-0.22865685,0.37306655,1.3408005,250.6975,274.6599,0,98.64243525
1,3.25,0.1703915,-0.06248725,-0.0739875,0.00722,-6.144029,-0.184996,0.459599,-0.027275,412.29050025,2.4417255,-8.1421695,-0.5338396,-0.42756455,-0.3246098,-12.555435,83.27809,0,-0.5524948,-10.36146,-6.2119355,-0.23097475,0.363165383,1.372297,254.9225,274.51945,0,98.6311385
1,3.75,0.1735475,-0.023859,-0.0355475,0.00488,-6.23242325,-0.157049,0.348195,-0.028383,412.406195,2.2886715,-8.06262,-0.5395996,-0.43183915,-0.320508,-11.472625,83.45592,0,-0.5084139,-10.44175,-6.206637429,-0.23198015,0.370750261,1.476144,249.2271,273.32365,0,98.64128625
1,4.25,0.16763475,-0.0337755,-0.05962,0.0074105,-6.5357365,-0.144958,0.4164025,-0.027549,412.16918625,2.4344905,-8.0755855,-0.5396068,-0.44292165,-0.3183056,-12.29679,83.4412,0,-0.4854789,-10.17088,-6.1891995,-0.22612315,0.366546949,1.413762,255.0081,273.12465,0,98.63263
1,4.75,0.1722815,-0.008057,-0.046897,0.007878,-5.680633,-0.138636,0.4195995,-0.02096625,412.974271,2.394225,-8.0504885,-0.5451562,-0.45875695,-0.3196879,-12.40227,84.07361,0,-0.5053835,-10.41703871,-6.209229341,-0.21870935,0.358524025,1.4666695,254.8253,274.3812,0,98.651665
1,5.25,0.173122,-0.069132,-0.055346,0.010088,-6.264901,-0.0777815,0.439564,-0.009044,413.13730375,2.487353,-7.972378,-0.5499881,-0.4578001,-0.31934955,-12.09128,83.38198,0,-0.50400005,-10.24569,-6.233257142,-0.21874695,0.3592313515,1.399884,255.5443,274.93335,0,98.667049
1,5.75,0.170661,-0.051768,-0.050317,0.010114,-5.324731,-0.124061,0.674438,-0.0286255,413.21498475,2.537198,-8.103497,-0.549374,-0.4517795,-0.31901185,-10.643005,83.73755,0,-0.4480668,-10.27917,-6.2461035,-0.21912635,0.3666791395,1.3733415,253.2965,273.6544,0,98.69075
1,6.25,0.1698065,-0.0206565,-0.0411385,0.0190275,-4.886379,-0.130106,0.8035725,-0.034326,413.175358,2.4495305,-8.08941,-0.5696627,-0.4855428,-0.32153275,-11.21337,83.80322,0,-0.48426745,-10.50618,-6.305099892,-0.21948655,0.3639332335,1.33861,254.3368,274.7731,0,98.68354
1,6.75,0.171498,-0.0484285,-0.0515115,0.0154255,-3.8687215,-0.0723915,0.713399,-0.0181125,413.754981,2.393227,-8.213902,-0.6008083,-0.51417555,-0.31843125,-11.279745,84.022895,0,-0.5150629,-10.33133369,-6.300532113,-0.22007405,0.366154745,1.360669,254.5451,273.02645,0,98.675208
1,7.25,0.173792,-0.083079,-0.094268,0.011289,-4.009585,-0.075363,0.66394,-0.022791,413.443162,2.5040495,-8.304667,-0.5788215,-0.5079837,-0.3103217,-11.58131,84.02925,0,0.36716755,-10.31889,-6.282026151,-0.2002029,0.3403215375,1.4015385,253.8218,272.7638,0.2032542,98.663074
1,7.75,0.171659,-0.087199,-0.125154,0.01865825,-4.458434,0.002491,0.758729,-0.002615,413.417075,2.36593,-8.629564,-0.5921625,-0.5337965,-0.31163135,-9.3849065,84.40406,3.264161,3.152557,-10.89783,-6.3775235,-0.1978784,0.331940666,1.374108,253.7563,271.8995,8.810174,98.67511
1,8.25,0.178772,-0.095791,-0.09673625,0.007083,-2.046907,0.476666,1.357451,0.1139115,413.509872,2.52445,-8.473034,-0.6007593,-0.56438655,-0.3043897,-2.7938135,83.728715,24.87036,15.62637,-10.53532,-6.416292,-0.1984271,0.3438396615,1.482479,255.64,273.17875,51.28094,98.681
1,8.75,0.221353,-0.137157,-0.133892,-0.0020165,2.664395,0.670837,3.1748455,0.139381,414.504602,2.38473,-8.038027,-0.5959914,-0.581557,-0.3118374,4.132731,82.469795,64.38162,37.01743,-10.11553528,-6.443994,-0.19341235,0.4211732225,1.522967,255.103,276.7541,130.1653,98.65673
1,9.25,0.250006,-0.252839,-0.254553,-0.009571,9.7166755,0.590812,4.950352,0.1241565,413.436223,2.652187,-7.498862,-0.582697,-0.5634631,-0.30474105,13.04683,80.17726,106.6549,63.053965,-8.939516425,-6.529664,-0.1881927,0.4866939305,1.7988885,257.3711,281.88305,227.5689,98.69003
1,9.75,0.275896,-0.330258,-0.29961575,-0.0163505,18.644637,0.833613,6.919882,0.110215,413.417199,2.71667725,-6.994143,-0.5784782,-0.54763755,-0.293294,27.02553,77.927485,154.9956,87.12137,-7.738316,-6.500339617,-0.18878855,0.5457047305,2.025409,259.2712,284.42475,316.002,98.70493
1,10.25,0.28972825,-0.4536345,-0.417899,-0.013165,25.5564535,0.720242,8.4687815,0.0918195,413.34474925,2.8658095,-6.719195,-0.5682132,-0.50856225,-0.28378595,36.279825,75.567655,193.248,108.3929,-7.025972,-6.4605725,-0.18618935,0.594777944,2.126048,261.3949,287.89645,386.803,98.72248
1,10.75,0.299198,-0.3723375,-0.3506455,-0.013952,35.295899,0.71162125,9.986079,0.1020745,411.725563,2.882059,-6.366487,-0.5567022,-0.4911143,-0.28768495,45.309445,74.55071,229.4011,128.0126,-5.991741,-6.4189295,-0.18589685,0.6913241045,2.276787,259.448,289.95195,475.9077,98.730455
1,11.25,0.306261,-0.435241,-0.388982,-0.012447,42.29803,0.69782,10.299804,0.0950725,411.866236,2.791679,-6.056207,-0.5248496,-0.48778295,-0.2784074,55.66131,72.558815,267.1364,144.2591,-5.2550641665,-6.3230705,-0.1767961,0.7641602395,2.3866565,257.437,292.924,534.8994,98.721263
1,11.75,0.307009,-0.45407125,-0.4293895,-0.013016,48.5539235,0.726848,11.020511,0.1152215,411.088952,2.84869,-5.706402,-0.5144044,-0.48074595,-0.2667118,60.42008,71.17992,289.9946,153.85625,-5.04071687,-6.206955717,-0.1809039,0.8132277235,2.4254415,259.2346,295.7779,573.0268,98.70342
1,12.25,0.33037575,-0.48188375,-0.4390635,-0.007067,48.639005,0.5474635,11.436614,0.098473,410.9996765,2.879692,-5.506238,-0.4928896,-0.47965695,-0.27053985,63.486555,70.02048,317.0522,158.24835,-4.7170478425,-6.153320604,-0.17231525,0.893577807,2.483498,258.0366,296.8957,613.6697,98.66174
1,12.75,0.322423,-0.439885,-0.426346,-0.005833,45.285921,0.467495,11.2476825,0.097118,411.002455,2.8949885,-5.1205,-0.4141957,-0.4205115,-0.2690252,70.035885,68.50739,346.8755,159.6372,-4.331464105,-6.135698275,-0.16514,0.9560583735,2.607553,255.8176,296.416,636.3621,98.59179
1,13.25,0.3278325,-0.444064,-0.4487845,-0.008607,44.528172,0.40531825,11.209024,0.077551,411.246642,2.926294,-4.939619,-0.38866685,-0.4196596,-0.26502585,63.92886,67.697665,322.6246,152.2063,-4.253006886,-6.093664218,-0.15956025,0.986971282,2.5787075,258.1955,297.4917,586.48205,98.563355
