DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
1,9.25,-0.22384975,-6.989745,8.0489725,-0.426077,1.155215,0.2103105,-4.667435,404.129,3.6238425,0.5429225,0.4470505,0.2771885,0.1400665,-6.39579,97.91435,8.71172,-9.4884,-13.1743,1.02635,1.0868675,59.208425,165.60525
1,9.75,-0.2218725,0.973348,10.9334,-0.4471725,1.217855,0.21885425,-4.2284775,402.0625,3.580315,0.56353,0.538039,0.2918535,0.1645755,-5.20084,97.9313,13.01625,-9.45611,-13.24415,1.02085,1.06836,90.59515,243.0925
1,10.25,-0.24677125,4.210965,9.66075,-0.359862,1.283815,0.26589475,-4.328905,401.619,3.50751,0.63894825,0.5305695,0.33599175,0.17486,-4.818575,97.9146,21.384025,-9.19742,-13.6612,1.005074,1.067975,151.7505,396.959
1,10.75,-0.309508,15.2347,15.10585,-0.2464705,1.398765,0.2857805,-4.152785,402.108,3.694295,0.7327865,0.6753485,0.378553,0.1785425,-4.4643125,97.885075,32.7876,-9.01543,-13.9186,1.00826475,1.0731425,169.98925,324.264
1,11.25,-0.29416425,13.021325,12.6881,-0.4250705,1.37893,0.280366,-4.065855,400.874,3.698175,0.71931925,0.69849825,0.3956775,0.17135275,-4.26624,97.8735,33.3396,-9.05968,-13.7978,1.00269,1.06839,208.752,423.4445
1,11.75,-0.2615475,18.39415,15.2032,-0.651052,1.355725,0.275642,-4.158025,401.9915,3.66412,0.7229345,0.73168075,0.3733125,0.18398625,-4.47996,97.9002,40.4837,-8.79566,-14.1371,0.996497,1.05586,198.57,521.9075
1,12.25,-0.259313,19.696875,15.677775,-0.14936375,1.2985775,0.290483,-4.02306,402.228,3.648645,0.737496,0.67414675,0.38318675,0.2223995,-4.410945,97.927525,34.6665,-8.732695,-13.8797,0.997179,1.06361,195.371,418.6985
1,12.75,-0.2967135,21.8903,14.0125,-0.212732,1.49494,0.3036315,-3.94904,402.878,3.673145,0.7773535,0.7453225,0.4531675,0.210155,-4.29752,97.886,33.5703,-8.57784,-13.745,1.00179,1.0874175,182.60175,390.5345
1,13.25,-0.2946955,16.9189,15.68235,-0.220495,1.54261,0.3149755,-4.016815,402.311,3.7375275,0.806434,0.7979905,0.447251,0.1732795,-3.98724,97.8544,36.4393,-8.55264,-13.4237,1.00292,1.0887925,198.19175,348.835
1,13.75,-0.31995125,20.894275,15.7508,-0.42542775,1.5275225,0.30079725,-3.982545,402.97925,3.7453225,0.7487465,0.76219275,0.40094825,0.164502,-4.293345,97.840275,31.195875,-8.455955,-13.848625,1.0170575,1.17408,211.382,260.1305
1,14.25,-0.267894,17.11245,12.1419,-0.347534,1.5873475,0.33549875,-3.715505,401.46725,3.773435,0.79555525,0.75482825,0.42315025,0.15112575,-4.3655175,97.84405,26.0165,-8.4017325,-13.827825,1.0468025,1.177325,161.0465,244.0545
