DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
1,0.25,-0.0668,-14.1495,2.68203,0.288715,1.42103,0.314813,-1.69961,406.859,4.089875,0.847176,0.734518,0.436745,0.213695,-3.79061,98.59125,-9.323185,-7.280555,-9.462055,1.220625,1.33191,-0.0545,-0.001995
1,0.75,-0.0793,-12.0831,1.1333725,0.367821,1.60941,0.250308,-1.68416,407.338,4.090655,0.727369,0.619621,0.387149,0.20383,-3.884835,98.56265,-9.270455,-7.270195,-9.47794,1.214725,1.31769,-0.0619,-0.016305
1,1.25,-0.100918,-11.0845,1.50251,0.384354,1.432425,0.2977225,-2.66392,407.017,4.10255,0.7961655,0.602829,0.423227,0.211338,-3.98337,98.5229,-8.2642,-7.27306,-9.91085,1.20457,1.30346,-0.0612,-0.02155
1,1.75,-0.112913,-12.3161,0.6122,0.322731,1.43902,0.30441,-2.816255,406.68,4.092305,0.7518075,0.6182525,0.4010415,0.1796895,-3.956395,98.54295,-7.723975,-7.357085,-10.10732,1.20483,1.29558,-0.0453,-0.01775
1,2.25,-0.1148845,-13.04075,4.67667,0.311509,1.659495,0.316309,-2.86074,407.317,4.036295,0.8045525,0.655497,0.455078,0.1882065,-4.063045,98.5562,-8.430085,-7.34188,-9.85121,1.20466,1.2935,-0.0639,-0.01866
1,2.75,-0.115436,-14.85475,3.09275,0.346616,1.37749,0.304439,-2.87268,407.1785,3.94744,0.8056045,0.629545,0.4384895,0.189025,-4.31563,98.57715,-8.219205,-7.342505,-9.960505,1.202675,1.29638,-0.0651,-0.02446
1,3.25,-0.1069715,-14.50095,2.79877,0.167399,1.360285,0.3144345,-2.443565,407.4185,4.002015,0.728112,0.6373435,0.4188185,0.190784,-4.28235,98.5996,-8.455345,-7.35921,-10.37465,1.199465,1.2993,-0.054,-0.01728
1,3.75,-0.1072175,-14.95405,2.65958,0.413502,1.38175,0.290086,-2.705575,407.034,3.8419,0.739056,0.6434915,0.4332825,0.1702405,-4.302935,98.58945,-8.908605,-7.375615,-10.6124,1.20254,1.30227,-0.0517,-0.0456
1,4.25,-0.130087,-10.8448,2.73844,0.264133,1.39553,0.318614,-3.17733,406.956,3.95186,0.782019,0.656772,0.465436,0.174656,-4.17329,98.609,-7.94192,-7.42686,-10.669,1.205945,1.30511,-0.054,-0.0426
1,4.75,-0.111618,-8.40625,2.269865,0.326312,1.53477,0.309949,-3.0478,406.942,3.89348,0.73152,0.683985,0.468321,0.170721,-4.09473,98.62265,-7.173525,-7.42358,-10.68865,1.232275,1.30788,-0.0578,-0.0409
1,5.25,-0.132578,-15.2421,2.835545,0.401817,1.54443,0.324686,-3.27782,406.949,3.938435,0.776003,0.686701,0.445826,0.195375,-3.98229,98.64775,-8.32222,-7.34319,-10.68895,1.22664,1.31078,-0.055,-0.0382
1,5.75,-0.125552,-12.4189,3.014755,0.409762,1.57044,0.327192,-3.04995,408.027,3.98935,0.851345,0.631247,0.449838,0.166944,-4.145185,98.6668,-7.799025,-7.35365,-10.6767,1.22177,1.31348,-0.063,-0.0417
1,6.25,-0.128841,-12.6378,3.68807,0.191072,1.567435,0.3371405,-2.905365,407.559,3.773145,0.8008235,0.614746,0.4684245,0.174938,-4.14584,98.67865,-6.451945,-7.375805,-10.6408,1.217285,1.30871,-0.0556,-0.0285
1,6.75,-0.115967,-11.48864,2.692835,0.362798,1.461705,0.3128985,-2.830805,407.6855,3.879575,0.8129875,0.6123955,0.451698,0.1792765,-4.17347,98.67725,-7.670975,-7.356785,-10.50085,1.20756,1.30223,-0.0525,-0.0131
1,7.25,-0.112554,-12.92605,2.25326,0.275976,1.45295,0.3274355,-2.714045,407.634,4.00609,0.7654645,0.5809645,0.4314455,0.1978495,-4.142045,98.666,-7.562735,-7.34581,-10.2615,1.201075,1.32148,0.0633,0.994482
1,7.75,-0.107451,-8.357485,4.039235,0.260741,1.56217,0.310869,-2.838465,406.851,3.950555,0.7504875,0.6620395,0.4383785,0.175106,-4.04516,98.66955,-5.900205,-7.34369,-10.03936,1.214625,1.32406,5.99,21.50905
1,8.25,-0.0892,-6.364195,6.42036,0.294561,1.46132,0.30828,-2.853435,407.317,4.15502,0.7857565,0.606869,0.4083595,0.1371645,-3.8838,98.6906,-0.9331855,-7.347695,-9.814865,1.213405,1.29617,38.0424,89.549
1,8.75,-0.1303,-2.285055,8.817315,0.145431,1.578805,0.331797,-2.59934,408.362,4.25358,0.8234035,0.666889,0.451527,0.1835275,-3.59786,98.7013,8.06496,-7.38742,-9.74925,1.22201,1.291175,80.83215,226.6285
1,9.25,-0.118732,7.38309,13.93665,0.126098,1.63433,0.327409,-2.40608,407.607,4.17197,0.844274,0.710841,0.473531,0.250219,-3.33938,98.6956,16.0475,-7.66195,-9.85791,1.22557,1.31066,126.481,319.987
1,9.75,-0.129004,16.78875,16.1403,0.0802,1.66095,0.3391515,-1.970885,407.688,4.14661,0.844548,0.715259,0.4790945,0.2311585,-2.8716,98.7011,27.7122,-7.63867,-9.91906,1.20137,1.30995,208.1225,448.033
1,10.25,-0.1389115,23.81965,20.5694,0.103256,1.673765,0.330772,-1.267025,408.222,4.11762,0.8534175,0.801159,0.473799,0.234116,-1.729465,98.70655,55.23115,-7.703145,-9.51557,1.219125,1.32197,302.436,635.044
1,10.75,-0.204763,39.1624,21.4446,0.131885,1.91177,0.406286,-0.477353,407.4565,4.28547,0.95656,0.845592,0.539426,0.27661,-1.320225,98.6719,60.8865,-7.299105,-9.767,1.234485,1.32825,343.09,730.409
1,11.25,-0.206905,41.1932,22.834,0.044,1.88247,0.404916,-0.1568175,407.088,4.30723,0.980883,0.8709145,0.5464815,0.2692975,-0.805668,98.6595,56.7668,-7.33413,-9.80183,1.23978,1.33565,367.621,756.914
1,11.75,-0.171725,39.8637,24.1575,-0.05545,1.88469,0.3745795,0.147254,406.746,4.39429,0.9593,0.8848125,0.50792,0.303782,-0.21391,98.6235,60.4859,-7.33547,-9.76419,1.24265,1.33733,396.493,757.536
1,12.25,-0.1764115,63.01025,25.3122,0.3327295,1.88112,0.370796,0.081481,406.252,4.400725,0.950702,0.900879,0.5246045,0.3232405,-0.2120585,98.6043,68.2227,-7.26287,-10.01365,1.270655,1.33896,450.179,742.235
1,12.75,-0.213479,58.2662,25.1805,0.146418,1.91512,0.419975,0.521117,408.8415,4.36298,1.07026,1.01618,0.569855,0.342471,-0.423889,98.578,70.1323,-7.19722,-9.69665,1.28314,1.34511,446.4185,714.125
1,13.25,-0.179736,52.5344,23.47595,0.0816,2.00418,0.387162,0.531213,407.31,4.341275,1.02979,0.925197,0.560248,0.318638,-0.494672,98.5707,84.7377,-7.17312,-9.47787,1.29133,1.35651,407.435,689.922
1,13.75,-0.1897995,48.3101,21.0262,0.1281255,1.96104,0.3886265,0.3215685,407.689,4.344465,0.9938775,0.9505895,0.514185,0.2935805,-0.305894,98.50645,71.8589,-7.13586,-9.236645,1.28072,1.37361,436.862,806.669
1,14.25,-0.1954905,35.18815,18.8433,0.01195,1.91993,0.3975965,0.250282,407.574,4.450055,1.021605,0.93702,0.5506745,0.2178755,-0.01445,98.497,62.51245,-7.143135,-8.86531,1.30873,1.38347,405.902,672.544
1,14.75,-0.182705,29.554,18.1204,0.1691615,1.94854,0.385549,0.113693,407.6585,4.370495,0.9214875,0.8862925,0.5013125,0.2168285,-0.121715,98.3969,46.8571,-6.90216,-9.19336,1.31639,1.38302,308.952,625.899
1,15.25,-0.160972,20.8413,17.0289,0.1858255,1.86247,0.367181,0.370197,407.0685,4.46421,0.919089,0.884425,0.495741,0.18975,0.0491545,98.4163,20.63885,-7.07722,-9.52725,1.31295,1.38255,257.83,422.869
1,15.75,-0.144783,10.7411,12.08255,0.181545,1.71283,0.340137,0.255305,406.802,4.28315,0.847731,0.761215,0.439997,0.145402,-0.220584,98.51505,16.9034,-7.11155,-9.47499,1.29501,1.36743,154.672,397.082
1,16.25,-0.11853,2.059225,9.448325,0.334899,1.558105,0.3085795,-0.029928,406.883,4.337385,0.739498,0.702247,0.4346215,0.1315325,-0.261308,98.5319,6.689275,-7.02767,-9.138035,1.296555,1.36554,92.6765,192.171
1,16.75,-0.132672,-8.72538,7.77506,0.2730275,1.60301,0.325208,-0.140463,405.613,4.4133,0.844814,0.68355,0.435998,0.148559,-0.748881,98.5304,0.0825,-7.15963,-9.10928,1.29039,1.36691,44.8351,74.686
1,17.25,-0.108749,-12.404,4.71986,0.3233525,1.44809,0.303106,-0.425447,405.846,4.4765,0.782002,0.621755,0.42234,0.214385,-1.30298,98.5462,-7.5073,-7.25316,-9.16257,1.29712,1.37193,8.47431,30.3211
1,17.75,-0.094212,-12.1635,4.616595,0.268755,1.3148,0.2737455,-0.519116,405.808,4.48003,0.676733,0.6508215,0.3871615,0.1974485,-1.48645,98.53,-9.83436,-7.189975,-9.625555,1.301235,1.37622,0.453617,4.60851
1,18.25,-0.1072965,-14.1059,5.08514,0.2856015,1.512165,0.3026325,-0.6942735,406.0825,4.471755,0.7355465,0.600764,0.3885065,0.2005005,-1.68307,98.54915,-10.160645,-7.273245,-9.79155,1.29986,1.3628,0.00067,-0.0697
