DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_5_1,CH4_1_6_1
1,0.25,5.09141408408396,4.14334452986867,0.207683853247003,0.93277391318764,0.320939807103345,0.911397912750354,4.06163487662778,1.63292745786501,0.612019488448318,-4.41931655007935,0.863246462681994,1.01592211645172,4.0375,3.38,1.565,1.11,0.44,3.462575,3.076,3.1716,3.05575,3.0531,2.730275,1.8037,98.7597175,86.21,2.94995,2.0025,1.8875,2.07,1.97,2.01,1.9,0.375,3.4,0.52,297.825,323.425,316,320.45,0.23,0.2975,0.44,0.16,0.22,0.23,0.26,0.09,-0.08,0,2.71925,3.20175,4.467,5.00975,5.26675,6.0395,6.951,7.829,8.525,3.31425,3.079,4.8555,5.40475,6.6765,7.3005,7.7445,9.109,3.4015,4.01275,4.76225,5.2445,5.60725,6.34075,6.653,7.12875,2.7715,3.37975,3.80925,5.146,4.79525,6.47475,6.95975,9.31475,10.8965,2.364,2.8815,3.7755,4.361,4.77925,6.029,7.92075,8.6715,10.19625,-4.587,-6.52925,-12.4825,5.31381964640948,5.09977965423569,5.10205165342698,5.11370635104691,5.02294237054789,5.1155334171471,5.1549427668702,425.292137608452,427.12555135265,427.185750615261,427.436424412722,425.899055474398,427.398938831807,426.600854847736,427.01133543708,428.073324910806,427.919136917507,427.236881107874,429.09043499966,429.950598360321,2088.73901680638,2092.87673716056,2083.62191483003,2081.01555000869,2087.5538783635,2097.02713490765
1,0.75,5.23003788865725,4.07585104640555,0.224001331132721,1.01560126543578,0.431382199279257,1.05178314312474,4.56586270147959,1.78486397547996,0.574561961480926,-4.52436055076724,1.14702300012696,1.0094737758781,3.99,3.3525,1.5375,1.09,0.42,3.6083,2.9255,2.9811,2.83865,2.617725,2.491,1.7598,98.7506225,84.9925,2.8001,1.95,1.9425,2.01,1.98,1.96,1.9,0.375,3.4,0.51,297.225,322.9,316.375,320.1,0.23,0.2975,0.44,0.16,0.22,0.22,0.26,0.09,-0.0725,0,2.61475,3.213,4.41175,4.99925,5.276,6.041,6.959,7.827,8.524,3.30075,3.06425,4.8155,5.404,6.675,7.301,7.742,9.169,3.30875,3.95225,4.7575,5.2415,5.598,6.33625,6.65325,7.13125,2.73975,3.29375,3.8085,5.16075,4.7935,6.456,6.956,9.3135,10.8955,2.3625,2.84425,3.76875,4.354,4.77725,6.0265,7.91625,8.6705,10.19425,-5.1095,-6.4975,-11.7625,5.30050386398519,5.08441943479416,5.0982837645596,5.10816291794599,4.98782905310435,5.10857504941252,5.11081124128899,424.801916957757,428.043227995489,426.589785298376,427.896819883423,426.065586565521,427.600823518777,428.408100345531,426.809926244519,428.160016423704,428.385504057374,426.091987148791,429.369082915288,428.126160769317,2080.4127300802,2101.28119352808,2093.01983067912,2098.36644935832,2089.24471853672,2091.28022934091
1,1.25,5.24449170373839,3.62416141979153,0.229420752130469,1.1262617246679,0.417008188933317,1.20325835085925,4.56469636736257,1.37747915807098,0.575484450113041,-4.54926213316755,1.51917783675774,1.00613590655105,3.8,3.19,1.4775,1.07,0.42,3.281775,2.694,3.0504,2.7206,2.4564,2.4407,1.6882,98.74559,86.4125,2.56195,1.97,1.8675,2.005,1.9,1.9575,1.8,0.375,3.325,0.465,298.2,322.8,315.925,319.825,0.23,0.2975,0.4375,0.16,0.2275,0.22,0.26,0.09,-0.08,0,2.52225,3.19025,4.3785,4.988,5.27925,6.04325,6.967,7.81675,8.523,3.25725,2.969,4.77,5.4035,6.6715,7.30175,7.7385,9.166,3.22775,3.85275,4.73325,5.2375,5.6035,6.3325,6.6505,7.134,2.71325,3.23225,3.8065,5.16975,4.792,6.45475,6.952,9.3115,10.8945,2.30075,2.8375,3.76575,4.346,4.77375,6.026,7.929,8.66925,10.19325,-6.251,-6.7165,-10.8375,5.17363909011303,5.07689439514119,5.10146051282818,5.10688169324767,4.98107691712522,5.13511717142928,5.11859114732747,425.334479515615,427.625295381195,427.14074964344,427.863418218916,425.542923544267,428.254140011337,426.528661226308,426.921515998727,427.234775495558,428.28319722999,428.420917219141,429.732199099011,429.232060389614,2103.02835513502,2102.50221175499,2088.46945365457,2088.1552092291,2101.53977208086,2111.41765527177
1,1.75,4.88814004474221,3.81375574076499,0.241034112242638,0.853750274150722,0.345578857219364,0.760761292586426,3.53017199549098,0.917004912638741,0.547508510020575,-4.86389911838215,1.19861036928175,0.975743279885711,3.915,3.195,1.5125,1.05,0.43,3.373925,2.552,3.0034,2.762125,2.359725,2.3052,1.6504,98.752405,85.37,2.5202,1.925,1.83,1.94,1.78,1.93,1.9,0.375,3.325,0.475,298.5,321.6,316,319.625,0.23,0.3,0.43,0.16,0.22,0.22,0.26,0.09,-0.08,0,2.4795,3.097,4.35575,4.9815,5.2785,6.0455,6.974,7.815,8.523,3.269,2.8575,4.7545,5.404,6.673,7.302,7.7665,9.164,3.22475,3.817,4.71625,5.23375,5.6025,6.32875,6.64675,7.136,2.6605,3.2165,3.80175,5.16175,4.78975,6.4535,6.94825,9.30975,10.89325,2.29475,2.82825,3.7625,4.3305,4.76775,6.026,7.924,8.66825,10.19125,-6.33075,-7.172,-10.5425,5.24074801514949,5.0634004543562,5.05499510344653,5.07698116638896,5.03918359854231,5.11255802484244,5.0614084450864,425.245034378263,427.119189443881,427.082243120302,427.580923415018,427.919344008705,427.493936154566,429.399407540993,427.03288627257,427.881883241015,428.434517424666,427.592069197484,429.757465825099,428.616614831625,2082.4592454364,2098.85786390557,2105.71877710341,2092.716996604,2101.30177004895,2092.95246718628
1,2.25,4.89756737959688,3.6423393723636,0.234322505798326,1.00579505789152,0.378549491435385,1.03258162258737,6.7549735100639,1.06534650689007,0.591304220308933,-3.01736897764484,0.686127800652926,0.983348113913891,4.0375,3.33,1.62,1.0875,0.44,2.946,2.18,2.582125,2.4672,2.0215,2.05045,1.0827,98.7716875,85.28,2.27855,1.88,1.7375,1.9375,1.76,1.93,1.9,0.375,3.325,0.535,301.45,321,315.925,318.925,0.23,0.2975,0.43,0.16,0.22,0.23,0.265,0.09,-0.08,0,2.447,3.084,4.35275,4.9755,5.278,6.04775,6.96575,7.8125,8.522,3.208,2.78575,4.75075,5.392,6.675,7.242,7.733,9.073,3.22325,3.79325,4.7055,5.23125,5.60075,6.313,6.643,7.13375,2.58,3.2265,3.763,5.15475,4.774,6.476,6.9445,9.308,10.904,2.2915,2.818,3.759,4.312,4.7625,6.0255,7.9455,8.66725,10.19025,-7.195,-7.591,-9.66,5.21651730444752,4.97345718481978,5.00936714583941,5.00920198145073,4.85433662250879,4.92482319796905,5.03937384255143,425.328409227852,428.472509774458,427.176228750089,428.413970459582,426.047258802333,428.712292783491,427.658024658015,426.933943418099,429.034674839622,429.034798625062,428.156659380787,430.553875317764,429.344434695311,2085.71807577428,2087.69482412001,2086.07228162967,2087.17392766982,2102.63403774871,2101.26165061941
1,2.75,4.99613796940958,3.41314884346079,0.234589615557737,0.708127102525326,0.339950003068065,0.892342855756056,3.305059854623,0.778856463541625,0.559303512450263,-4.10015624880912,0.770758340333736,0.946457610226273,4.1075,3.3725,1.55,1.1,0.41,2.911925,2.1995,2.321,2.2039,1.7188,1.62095,1.05785,98.75866,87.2175,2.2132,1.76,1.79,1.87,1.6875,1.8,1.85,0.375,3.4,0.525,298.15,318.7,314.2,318.8,0.23,0.3,0.43,0.16,0.23,0.22,0.26,0.09,-0.08,0,2.438,3.073,4.347,4.9525,5.269,6.03775,6.919,7.8265,8.527,3.186,2.777,4.7585,5.38025,6.67775,7.2665,7.73775,9.10975,3.186,3.7455,4.6345,5.225,5.597,6.313,6.639,7.117,2.56575,3.2035,3.768,5.172,4.77975,6.48225,6.982,9.32825,10.913,2.206,2.804,3.744,4.31425,4.74675,6.02625,7.941,8.67525,10.206,-7.54925,-7.757,-9.96,5.22872100186014,4.98074207139396,4.98692712729986,4.98493180023074,4.88738863941895,5.03079465284472,5.01194028368127,425.931722299933,427.531449987628,427.229316742372,427.499764039544,426.812176054162,427.934814835633,428.815766472638,427.311112257033,428.695376430894,428.921827818169,427.113628519559,429.940298999172,430.109766905415,2088.95854135378,2103.67799805594,2085.53197986204,2083.80002441482,2092.42631039102,2091.86802365462
1,3.25,4.78437847491962,3.14898810151608,0.242144237851822,0.816492042143542,0.381516168411402,0.810290579577901,4.39310388018804,1.09980811436164,0.536310058302519,-5.39519217327264,1.19132563856581,1.00220404383285,3.84,3.25,1.4625,1.035,0.385,2.66825,2.166,2.548725,2.1816,1.7061,1.4759,0.725175,98.7402475,87.08,2.06025,1.71,1.5775,1.82,1.57,1.7175,1.8,0.375,3.275,0.585,298.1,318.225,315.1,318.675,0.23,0.2925,0.43,0.16,0.2225,0.225,0.26,0.09,-0.08,0,2.37825,3.05125,4.33225,4.93975,5.27425,6.03525,6.9335,7.82525,8.52625,3.162,2.739,4.77025,5.37,6.681,7.2665,7.746,9.1255,3.14675,3.73375,4.61475,5.22175,5.59325,6.311,6.63625,7.126,2.5215,3.17,3.77675,5.177,4.78225,6.48175,6.978,9.327,10.91175,2.18775,2.777,3.7165,4.31275,4.738,6.024,7.964,8.6735,10.2215,-7.595,-7.904,-9.3175,5.23141574299937,4.99876049246814,4.97963238077924,4.99416292116107,4.92050862465636,4.98938556718874,4.99642087416852,426.107906036855,427.697345294021,427.554869564859,428.301172850257,426.13072454478,428.37850564239,427.958981106511,427.946450203391,429.283486409071,429.363744324504,428.683544826301,430.116285578946,429.833070926415,2082.94248032679,2099.33506692502,2098.11158801043,2093.65619419943,2102.90331292563,2095.77782381612
1,3.75,4.8132866530147,3.04729394658552,0.238297461351341,0.97458737411861,0.233767565934856,0.999309181862899,4.04711982966716,1.14653499649849,0.544813134343547,-3.85766030071665,1.48815429036857,0.98583879327371,3.9025,3.275,1.4975,1.05,0.375,2.3774,1.863,2.26585,2.1396,1.76515,1.322675,0.72575,98.698225,86.675,2.0008,1.67,1.585,1.7775,1.53,1.775,1.8,0.375,3.2,0.5675,298.975,316.975,315.925,318.15,0.23,0.3,0.43,0.1525,0.22,0.225,0.26,0.09,-0.07,0,2.28075,3.031,4.31175,4.9415,5.27625,6.042,6.96075,7.8405,8.53375,3.11175,2.72,4.77475,5.37675,6.69,7.2995,7.762,9.15375,3.0665,3.697,4.67625,5.2225,5.5895,6.3065,6.634,7.125,2.46775,3.124,3.7575,5.19925,4.808,6.47525,7.02025,9.34525,10.8785,2.18325,2.763,3.721,4.31,4.7435,6.02625,7.98725,8.68125,10.15825,-7.876,-7.821,-9.5,5.23165980899362,4.86547224919521,4.92681960416031,4.90687473437742,4.80104730631766,4.91114214668643,4.88260300275126,426.204332044725,427.998971670204,427.172603201808,427.929328749415,426.526530680499,427.85180090452,427.998879227067,427.632738490256,428.065100149595,428.387609793442,429.106135042945,429.763898775354,429.840377344032,2092.93661029874,2091.31827366505,2100.15358003835,2084.40589986993,2101.52846972317,2100.51369491024
1,4.25,4.88822704175599,2.68052340815795,0.230045343037061,0.998387999006099,0.322908013082979,0.897017747204096,5.73364722536988,1.30421783408229,0.55319807147999,-5.15771824734418,0.960916656476106,0.961946419562861,4.1375,3.3325,1.505,1.1375,0.4175,2.06235,1.22025,1.9742,1.616675,1.3369,1,0.0745,98.703015,86.43,1.9282,1.625,1.565,1.68,1.5375,1.73,1.7,0.375,3.2,0.49,298.5,316.8,315.8,317.7,0.23,0.29,0.43,0.16,0.22,0.22,0.26,0.09,-0.07,0,2.2755,3.0175,4.3105,4.932,5.28425,6.039,6.942,7.83,8.529,3.0585,2.69525,4.7445,5.367,6.697,7.293,7.747,9.124,3.024,3.666,4.61,5.216,5.5855,6.3075,6.6315,7.125,2.459,3.081,3.751,5.195,4.797,6.4695,7.01675,9.336,10.846,2.1385,2.6825,3.70825,4.30475,4.733,6.0255,7.9555,8.674,10.152,-8.2025,-7.9185,-11.64,5.10052572427544,4.80376015256184,4.82049799261415,4.82499887006977,4.79214888454159,4.83017586062802,4.87265709854348,426.153851623415,427.975978456676,427.779300417127,427.954081999128,425.738647731828,427.974061937879,425.486645027827,427.700234915094,427.618682955615,428.327446977533,429.088710150106,429.527917823992,428.924675778563,2098.76426808547,2100.40059622862,2074.32125159669,2091.07758928169,2105.90558469803,2102.8757837787
1,4.75,4.89938494129565,2.48791827185201,0.242560607935369,1.05053436635572,0.48691352055994,1.18753577930432,3.39027282272805,1.61610777034594,0.532463052135018,-5.48810915148618,0.89084829113947,1.00592117927621,4.0025,3.1925,1.4,1.0375,0.4,1.9374,0.95025,1.505,1.38445,0.2453,0.87595,-0.0335,98.721485,87.28,1.8358,1.65,1.65,1.7,1.555,1.73,1.7,0.375,3.2,0.52,294.4,316.1,317.15,317.75,0.23,0.29,0.43,0.16,0.23,0.2275,0.255,0.09,-0.08,0,2.241,2.977,4.288,4.922,5.288,6.036,6.951,7.8285,8.528,3.038,2.631,4.7305,5.365,6.703,7.294,7.736,9.122,2.975,3.6445,4.5925,5.212,5.5815,6.3145,6.6285,7.1245,2.458,3.079,3.746,5.198,4.798,6.468,7.0135,9.335,10.8445,2.108,2.673,3.694,4.2965,4.7295,6.0265,7.9515,8.6715,10.15,-8.245,-7.7465,-10.61,5.16639690885921,4.9705873582673,4.95013925547065,4.98192331082041,4.83474482059714,4.93182573798195,4.96974789750795,426.722366048834,428.528597638272,427.728320873304,428.703652221115,428.032857434534,428.877760462865,429.025629250032,428.237488057948,427.818583575751,429.537530517544,427.55637076827,429.952503092656,429.522776574843,2095.01351359726,2134.42160927985,2119.27874294594,2104.62225836421,2110.75134385103,2110.47395773683
