DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1
1,21.25,0.19275,-7.4925,-1.16,0.071,0.4665,-34.74,0,0,-2.2125,76.625,0.46,89.82575,-2.26875,1.45275,0.80975
1,21.75,0.12975,-2.915,-0.68,0.0815,0.555,-43.985,0,0,-2.325,77.825,0.44,89.82575,-2.26625,1.47425,0.80375
1,22.25,0.143375,-4.7175,-0.04,0.0835,0.4495,-46.4,0,0,-2.3275,77.825,0.44,89.82575,-2.27075,1.47325,0.80175
1,22.75,0.157,-6.64,-1.85,0.073,0.47125,-44.625,0,0,-2.4025,77.975,0.33,89.9,-2.26625,1.48675,0.801
1,23.25,0.207,-3.97,-0.72,0.078,0.46075,-40.8075,0,0,-2.3175,79.25,0.3125,89.9,-2.2555,1.4645,0.79975
1,23.75,0.207,-0.685,-1.84,0.0655,0.45225,-39.9675,0,0,-2.4075,80.125,0.275,89.9,-2.257,1.41675,0.80025
2,0.25,0.2635,-10.155,-0.7525,0.071,0.42375,-36.35,0,0,-2.24525,81.25,0.265,89.9,-4.463,0.74925,0.65625
2,0.75,0.0335,-3.07,-0.235,0.05775,0.35025,-29.71,0,0,-2.30375,82.25,0.26,89.9,-4.3185,0.75175,0.652
2,1.25,0.2,-2.6125,-0.14,0.07675,0.44775,-28.84,0,0,-2.475,82.425,0.19,89.9,-4.1385,0.74675,0.65575
2,1.75,0.179,-8.06,-1.0625,0.0545,0.44725,-31.88,0,0,-2.465,82.025,0.225,89.9,-4.311,0.73825,0.64275
2,2.25,0.158,-3.7525,-0.625,0.0835,0.462,-29.11,0,0,-2.625,82.35,0.2425,89.82575,-4.1705,0.74025,0.64225
2,2.75,0.225375,-18.51,-0.3725,0.08825,0.447,-27.84,0,0,-2.8375,83.125,0.205,89.9,-4.1265,0.731,0.65275
2,3.25,0.29275,-12.2,-1.405,0.089,0.4975,-26.56,0,0,-2.9,82.9,0.19,89.82575,-4.10075,0.729,0.66275
2,3.75,0.199,-10.97,0.37,0.107,0.44925,-26.82,0,0,-3.0525,81.875,0.2,89.82575,-4.262,0.73225,0.668
2,4.25,0.29325,-29.23,-0.53,0.091,0.47225,-24.95,0,0,-3.1825,81.2,0.2,89.9,-4.081,0.73675,0.671
2,4.75,0.3875,-1.7225,-2.95,0.097,0.44925,-26.17,0,0,-3.1875,81.125,0.19,89.925,-4.05375,0.70475,0.66525
2,5.25,0.2525,-1.32,0.49,0.092,0.457,-24.26,0,0,-3.3745,80.225,0.18,89.925,-4.0235,0.7135,0.65525
2,5.75,0.57875,4.0675,5.5,0.075,0.45,-23.61,0,0,-3.57925,80.075,0.18,89.925,-4.013,0.72225,0.66225
2,6.25,0.20675,8.82,11.22,0.0735,0.3465,-21.57,0,0,-3.709,79.625,0.19,89.925,-3.95875,0.70325,0.638
2,6.75,-1.90075,14.245,3.74,0.0725,0.43825,-19.05,0,0,-3.919,81.625,0.19,90,-3.89975,0.72975,0.62625
2,7.25,-2.358,3.435,8.455,0.0935,0.44775,-13.68,3.45875,0.93825,-4.0375,81.1,0.18,90,-3.7485,0.75475,0.638
2,7.75,-1.65375,12.26,15.825,0.087,0.447,-2.075,24.9075,9.66,-4.1425,80.125,0.1675,90,-2.99325,0.7535,0.62725
2,8.25,-2.5925,10.72,6.6875,0.108,0.46,4.902,62.15,17.1,-3.825,79.7,0.19,90,-2.3545,0.63825,0.5585
2,8.75,-2.96725,15.29,9.7175,0.0975,0.4245,23.345,96.225,26.51,-3.2325,77.2,0.2375,90,-2.08,0.62425,0.48475
2,9.25,-2.131,11.8725,14.2775,0.1475,0.4485,51.7325,177,70.89,-2.325,74.15,0.34,90,-2.0735,0.516,0.38775
2,9.75,-3.6555,11.785,17.925,0.191,0.447,66.66,235.2,86.05,-1.20225,70.925,0.5775,90,-2.07575,0.55075,0.3665
2,10.25,-3.6455,13.92,9.0775,0.1525,0.46275,80.125,280.025,112.7,-0.48525,67.5025,0.6825,90.02525,-2.0665,0.55425,0.4615
2,10.75,-4.48025,-1.015,14.7225,0.15875,0.48575,102.625,317.4,134.4,-0.0435,63.5675,0.8625,90.02525,-2.049,0.5615,0.38725
2,11.25,-3.95575,5.345,18.605,0.177,0.63775,111.475,330.85,127.35,0.2855,60.355,0.72,90.02525,-2.0425,0.603,0.30675
2,11.75,-5.7955,-1.79,20.36,0.1785,0.66825,120.425,379.975,138.95,0.47025,58.0575,0.92,90,-2.03625,0.75975,0.3225
2,12.25,-5.021,3.6325,10.33,0.173,0.81625,130.475,383.35,171.175,1.1125,55.84,1.05,89.925,-2.0345,0.83975,0.34025
2,12.75,-4.404,-2.745,3.97,0.207,0.86525,134.725,398.525,155.825,1.31275,54.82,1.33,89.925,-2.0285,0.859,0.3715
2,13.25,-5.878,2.375,4.83,0.25675,1.07025,124.8,390.1,125.725,1.66825,51.1825,1.545,89.9,-2.031,0.862,0.42275
2,13.75,-4.948,-5.44,0.56,0.25675,1.19475,122.325,387.9,131.2,1.685,50.76,1.465,89.82575,-2.036,0.89575,0.453
2,14.25,-5.264,-18.01,-1.06,0.259,1.21125,101.975,322.45,131.45,1.89,49.5175,1.53,89.801,-2.045,0.9045,0.50025
2,14.75,-5.5705,-16.24,-4.07,0.271,1.2395,89.125,296.8,91.425,1.93,50.9525,1.34,89.801,-2.0545,0.92275,0.53
2,15.25,-4.59025,-19.145,-1.32,0.269,1.17075,61.2825,202.075,76.65,2.2075,52.02,1.39,89.801,-2.05275,0.9725,0.5725
2,15.75,-4.313,-13.255,-0.26,0.238,1.1225,36.5875,142.425,47.495,1.794,54.8575,1.285,89.801,-2.07375,1.015,0.6205
2,16.25,-3.00225,-17.955,-4.67,0.2235,1.17,18.6525,97.175,27.86,1.5275,56.5175,1.16,89.801,-2.09425,1.03925,0.69075
2,16.75,-2.6085,-17.3,0.11,0.2275,1.15075,-1.3035,40.105,14.5125,1.035,57.9425,0.96,89.72525,-2.76675,1.06575,0.71
2,17.25,-1.9745,-7.18,-0.89,0.17175,1.08925,-34.6125,8.66,4.24875,0.9025,61.5275,0.88,89.72525,-3.99025,1.06475,0.73625
2,17.75,-1.231,-15.08,-2.45,0.1085,0.947,-43.96,0,0,0.115,65.7925,0.8,89.72525,-4.65925,1.01225,0.7705
2,18.25,-0.332875,-9.525,-1.18,0.1505,0.9455,-49.695,0,0,0.03,69.1975,0.68,89.801,-5.13975,0.99875,0.74725
2,18.75,0.56525,-9.93,-0.31,0.124,0.8865,-48.49,0,0,-0.0675,71.75,0.655,89.801,-5.1775,0.98625,0.744
2,19.25,0.055,-13.65,-1.44,0.09475,0.6425,-46.095,0,0,-0.19,74.025,0.555,89.801,-5.29825,0.93275,0.71025
2,19.75,0.04525,-20.695,-0.3,0.10825,0.6535,-40.85,0,0,-0.415,75.425,0.605,89.801,-4.797,0.8935,0.725
2,20.25,0.2745,-19.58,-0.25,0.08425,0.4145,-38.49,0,0,-0.643,76.725,0.43,89.801,-4.7385,0.865,0.71175
2,20.75,0.50375,-27.575,-1.49,0.074,0.51475,-39.6325,0,0,-0.9725,78.425,0.35,89.801,-4.82225,0.82025,0.69275
2,21.25,0.46075,-7.4925,-1.16,0.063,0.4425,-35.87,0,0,-1.3035,79.125,0.3,89.82575,-4.9315,0.796,0.67075
2,21.75,0.073,-2.915,-0.68,0.06275,0.41775,-40.84,0,0,-1.54125,81.15,0.315,89.82575,-4.801,0.7675,0.657
2,22.25,0.120625,-4.7175,-0.04,0.07775,0.5435,-37.1,0,0,-1.5425,82.225,0.38,89.82575,-4.94925,0.75825,0.642
2,22.75,0.16825,-6.64,-1.85,0.081,0.52725,-35.2,0,0,-1.7475,80.125,0.3225,89.9,-4.84125,0.75425,0.627
2,23.25,0.10275,-3.97,-0.72,0.075,0.50875,-34,0,0,-1.7825,80.575,0.325,89.9,-4.7185,0.7525,0.633
2,23.75,0.28975,-0.685,-1.84,0.089,0.4905,-34.0325,0,0,-1.9665,82.15,0.2975,89.9,-4.59675,0.7495,0.61425
3,0.25,0.42275,-1.63,-1.625,0.07875,0.5255,-53.935,0,0,-1.01,71.375,0.7525,90.5,-6.884,1.7525,0.50425
3,0.75,0.11,0.35,-0.6775,0.067,0.62875,-52.3125,0,0,-1.2225,71.7,0.655,90.5,-7.21525,1.6075,0.52425
3,1.25,0.398,-5.815,-1.9,0.0705,0.62,-49.3975,0,0,-1.3425,72.75,0.63,90.5,-7.2825,1.34025,0.52175
3,1.75,0.343,-1.04,-1.28,0.05575,0.56275,-47.1375,0,0,-1.4975,73.35,0.5825,90.5,-7.3975,1.079,0.54375
3,2.25,0.1855,-4.95,-0.86,0.0655,0.552,-47.4375,0,0,-1.59,73.625,0.5475,90.5,-7.459,0.78275,0.5155
3,2.75,0.24225,-2.87,-0.54,0.05975,0.65975,-45.21,0,0,-1.75,73.575,0.41,90.425,-7.6915,0.55175,0.5105
3,3.25,0.313,-1.13,-1.58,0.06425,0.66525,-47.545,0,0,-2.0205,74.6,0.4275,90.5,-7.849,0.3855,0.52125
3,3.75,0.3225,-8.445,0.06,0.0635,0.66775,-48.5675,0,0,-2.195,75.225,0.3375,90.5,-7.48675,0.31275,0.5165
3,4.25,0.121,-7.0875,0.155,0.059,0.72975,-42.075,0,0,-2.37175,75.025,0.39,90.5,-7.04725,0.3185,0.48925
3,4.75,0.3465,-3.05,1.665,0.061,0.5855,-43.095,0,0,-2.425,75.225,0.3275,90.5,-6.75425,0.31475,0.5075
3,5.25,0.2605,8.8425,6.7,0.056,0.63075,-39.77,0,0,-2.515,75.4,0.3375,90.5,-6.592,0.36775,0.47425
3,5.75,-0.543,19.19,9.8875,0.05375,0.67125,-39.8025,0,0,-2.625,75.2825,0.315,90.5,-6.61,0.37825,0.475
3,6.25,-1.37,30.6875,9.345,0.066,0.56575,-32.92,1.53875,0.72175,-2.545,75.325,0.32,90.425,-6.70725,0.3445,0.456
3,6.75,-0.92,35.9975,14.41,0.064,0.68175,-15.515,22.6775,9.585,-2.765,76.325,0.23,90.425,-6.88975,0.33425,0.4475
3,7.25,-1.60375,58.66,23.725,0.058,0.5805,-0.31825,64.9275,18.855,-2.67025,74.475,0.3225,90.5,-6.0385,0.28175,0.441
3,7.75,-1.99825,37.34,17.36,0.059,0.43075,9.4975,101.7625,39.9025,-2.15925,74.1,0.32,90.5,-5.6835,0.25775,0.4315
3,8.25,-3.2535,58.29,18.4075,0.07075,0.4365,55.795,214,103.5,-1.365,69.9025,0.62,90.52525,-5.3125,0.3115,0.381
3,8.75,-3.88075,59.18,29.73,0.11425,0.2905,103.4,332.625,183.3,0.0025,64.26,1.1275,90.52525,-4.60525,0.76725,0.29125
3,9.25,-4.4475,55.2825,24.9,0.1335,0.207,138.7,403.7,259.35,0.50025,58.9375,1.53,90.52525,-3.382,1.00875,0.116
3,9.75,-5.362,74.59,29.99,0.147,0.29725,144.925,424.675,231.475,1.20925,53.7675,1.9575,90.52525,-2.37575,1.43275,0.076
3,10.25,-6.51,80.82,31.585,0.1755,0.5355,169.925,496.475,287,1.81,50.35,2.24,90.52525,-1.734,1.618,-0.06675
3,10.75,-7.334,35.71,19.82,0.218,0.84425,215.55,606.425,332.55,2.3725,46.5825,2.74,90.601,0.9505,1.78275,-0.2695
3,11.25,-7.302,42.29,22.75,0.227,1.00525,242.775,654.5,335.1,3.1275,43.095,3.03,90.601,5.03875,2.09725,-0.28075
3,11.75,-7.7345,17.4075,26.2725,0.218,1.12925,265.725,762,389.8,4.059,41.835,3.24,90.52525,7.44375,2.14275,-0.19225
3,12.25,-6.8005,7.03,16.05,0.26375,1.3795,260.925,730,336.225,4.0625,39.9225,3.3475,90.52525,9.462,2.31525,-0.12175
3,12.75,-6.97925,13.08,6.575,0.3065,1.50875,255.525,721.25,361.55,4.3575,38.905,3.17,90.52525,7.43825,2.328,-0.1125
3,13.25,-7.38825,2.78,3.985,0.3355,1.55975,243.1,664.075,336.675,4.4475,37.0375,3.155,90.45025,7.0705,2.307,-0.073
3,13.75,-7.01575,-6.64,6.19,0.296,1.52825,215.6,603.025,223.275,4.65525,34.4225,3.2,90.45025,6.686,2.31425,0.00175
3,14.25,-6.9185,-7.96,1.825,0.29,1.62025,194.375,551.45,212.95,4.5795,34.74,3.1825,90.45025,7.054,2.381,0.03075
3,14.75,-6.8165,-6.925,-1.22,0.267,1.64725,158.55,458.275,174.175,4.74,34.9725,3.585,90.376,4.23525,2.42225,0.152
3,15.25,-6.3225,-13.075,-0.01,0.371,1.82225,125.875,380.025,171.5,4.2375,35.5825,3.225,90.376,3.29725,2.615,0.24775
3,15.75,-6.177,-8.455,-2.07,0.365,1.8645,103.725,323.675,134.975,4.411,36.215,3.1775,90.376,2.87925,2.68725,0.38875
3,16.25,-5.157,-10.22,-1.1925,0.31,1.65625,67.87,239.75,94,3.9325,36.8125,2.9675,90.376,0.2785,2.768,0.4515
3,16.75,-5.108,-16.16,-2.1075,0.341,1.46825,36.105,148.8,64.1325,3.5395,38.6425,2.5825,90.376,-0.797,2.8175,0.49925
3,17.25,-3.7635,-10.03,-1.3725,0.29975,1.22525,4.5375,79.975,34.14,3.2955,41.6275,2.33,90.376,-2.10725,2.72175,0.6055
3,17.75,-2.923,-5,-0.675,0.23125,1.067,-26.4225,24.9475,14.095,2.64,46.7225,2.2025,90.425,-3.91825,2.65525,0.78225
3,18.25,-1.778,-5.01,-2.6375,0.14025,0.795,-55.3475,2.014,0.86125,2.32,51.175,1.8525,90.425,-4.07925,2.724,0.8875
3,18.75,-1.322,-7.82,-1.295,0.10575,0.8285,-62.2375,0,0,2.25125,53.2225,1.5875,90.425,-4.391,2.49725,0.92475
3,19.25,0.206,-7.8,-0.19,0.107,0.706,-62.6075,0,0,1.885,56.115,1.545,90.425,-4.53325,2.425,0.886
3,19.75,0.166,-5.805,-2.2175,0.10975,0.625,-61.1825,0,0,1.5,59.365,1.5125,90.425,-4.596,2.33825,0.81575
3,20.25,0.13775,-3.335,-1.1,0.0885,0.50825,-60.705,0,0,0.823,61.315,1.41,90.425,-4.91875,2.19725,0.75375
3,20.75,0.1695,-7.095,-1.9975,0.083,0.516,-60.73,0,0,0.73325,62.125,1.41,90.425,-5.6545,2.15,0.7
3,21.25,0.059,-5.09,-0.2675,0.075,0.4315,-59.6275,0,0,0.5875,64.0375,1.25,90.425,-6.128,2.1065,0.565
3,21.75,0.145,-2.38,-0.8325,0.07575,0.35225,-57.945,0,0,0.4325,66.5325,1.29,90.5,-6.58675,2.0775,0.57175
3,22.25,0.3455,-5.535,-1.9025,0.065,0.5075,-57.645,0,0,0.30575,67.72,1.15,90.5,-6.61625,2.0825,0.5095
3,22.75,0.34775,-2.545,-0.62,0.07475,0.55125,-57.78,0,0,-0.02525,68.425,1.0125,90.5,-6.9255,2.00525,0.52825
3,23.25,0.321,-0.37,-0.615,0.061,0.44175,-57.96,0,0,-0.398,69.7375,0.97,90.5,-7.02375,2.051,0.518
