DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1
7,16.25,0.1865396,18.37375,1.212549,-3.56165901415,-3.534972,-0.0701555554,18.7950176688,4.42006825,-1.107509767825,-118.3470950125,23.87575,22.94275,23.3135,9.86196487305,85.22026,383.953195392,36.64683725,272.04,120.793825,16.49221925,284.4975,435.66903,5.27998645928,-0.3247397,0.86039792899,0.77560446976,0.28848497799,19.406975,0.4046728874575,21.5,17.7225,17.2675,16.7225,15.41125,12.2,25.46125,21,18.50125,17.2225,15,12.5225
7,16.75,0.1284454,18.203,0.938965725,-3.25939311085,-3.26689675,-0.0451,18.11903,-4.65547675,-1.26795047975,-93.0752868225,23.216,22.46975,22.909,9.57697902934,85.1905,384.030452274,26.8915,243.815,135.930415,19.1426235,286.615,433.358585,5.1792612863375,-0.30046225,0.8282998860475,0.729349369175,0.265701622225,19.044575,0.37190784496,21.9,17.96125,17.2675,16.7,15.4,12.2,25,21.4,18.5125,17.2225,15,12.5225
7,17.25,0.1702057,19.32125,0.997292125,-2.932409222,-2.922171,-0.05586250025,19.21558,-3.233834,-1.3378773222,-95.24561568675,23.08275,22.0085,22.5095,10.011534921815,85.19034,384.311144709,27.0940665,324.9825,151.844795,20.9148565,286.35,430.989615,5.2233355911,-0.30385645,0.7544502197175,0.6411207213325,0.23250644734,19.3434,0.33792345936,22.28375,18.1225,17.2675,16.7,15.45,12.1,24.53375,21.5225,18.6125,17.2225,15,12.5225
7,17.75,0.13024915,18.87575,0.7385712,-2.282414167,-2.31887525,-0.04273680575,9.13074375,-4.0526505,-1.5669087656,-108.00764827,22.41425,21.37075,22.3545,9.8359087060375,85.16316,384.0783068175,-4.49290179999999,209.765,98.908,12.91216125,285.46,433.769085,5.06214944982,-0.2778951,0.73580579303,0.68901208811,0.24460463261,19.115,0.229854658865,22.445,18.4225,17.29,16.71125,15.4,12.1,24.08375,21.645,18.7675,17.2225,15,12.5225
7,18.25,0.177987,18.523,1.13555275,-1.6142263609,-1.630413,-0.03166111125,4.1373975,-2.3284,-1.46956518835,-104.6263495725,21.855,21.035,21.442,10.4947434795,85.14416,384.371013775,-30.66324725,146.7975,64.3345,9.45872775,285.45,434.0175,5.2082154739,-0.2795515,0.6584206323525,0.5818971935725,0.2361546953775,18.855925,0.23173887452,22.545,18.7,17.3125,16.71125,15.4,12.1,23.6225,21.745,18.7125,17.2225,15,12.6
7,18.75,0.1295732,18.199,0.743566325,-1.10016548645,-1.1373525,-0.0291156947,-11.11902,-3.9123355,-2.0973132958,-118.1507513025,21.09725,20.60975,20.7725,10.636314241275,85.127385,384.64037372125,-70.93126975,86.24,37.46,5.527275,284.525,429.3578475,5.11192724525,-0.2856862,0.5018594995725,0.46636540065,0.18750899229,18.3575,0.15214257978,22.32875,18.86125,17.39,16.71125,15.4,12.1225,23.195,21.745,18.89,17.2225,15,12.445
7,19.25,0.08408149,17.66725,0.564758,-0.688249877925,-0.72901155,-0.0272877777,-19.1553775,-6.077397,-1.4536089586,-122.3320691675,20.3465,20.3535,20.287,10.937506896625,85.140285,384.7693224035,-96.854723775,53.55225,18.88675,4.1167,278.89,420.7025,5.0539165316625,-0.24855575,0.34121316757,0.333743069875,0.11793919512,17.59205,0.1530066015325,22.05625,19.1,17.39,16.71125,15.4,12.1225,22.7675,21.6125,18.95125,17.2225,15,12.445
7,19.75,0.07462526,16.73875,0.5098036,-0.23161119425,-0.245135025,-0.00821138875,-36.9526,-5.381321,-1.937097721875,-126.797296895,19.7435,19.92225,19.54675,12.239907803725,85.163865,385.675780566,-111.99601525,24.9405,9.13815,1.66545,278.3475,406.39,5.323124363795,-0.208695525,0.30188471677,0.29510380001,0.11169262808,17.1615,0.175145609505,21.7675,19.2225,17.39,16.645,15.4,12.2,22.38375,21.6125,19.0675,17.2675,15,12.445
7,20.25,0.0611256,16.1415,0.634076375,0.011495244275,-0.086151645,0.0197170139125,-44.463325,-8.23687,-2.3754575606,-123.757584685,18.86825,19.47125,19.0375,13.429999154275,85.18941,386.93525244,-130.768225,4.6504,0,0,274.715,391.7175,4.92304248734,-0.2244417,0.30347930357,0.255842629685,0.09312694022,16.177975,0.247673955635,21.4675,19.4,17.39,16.5675,15.41125,12.1225,22.05,21.59,19.0125,17.245,15,12.5225
7,20.75,0.0615743,14.09975,0.977511425,0.4327508111,0.2963943,-0.0201127774,-47.8313125,-10.3229,-1.76569882375,-114.8733896175,18.30325,18.91,18.5085,14.7790272731,85.193705,386.99001451275,-130.049425,0,0,0,274.7575,383.75,5.00271312877,-0.21759245,0.249146607195,0.24580917949,0.107861217055,14.46985,0.19535979065,21.1225,19.5,17.59,16.55625,15.4,12.1,21.61625,21.435,19.035,17.2225,15,12.5225
