DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,TA,PA,RH,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
1,0.25,-0.12781,-18.128,-0.0654,0.154744,-0.920498,-0.2129215,-0.0876,0.60236825,0.103663,-7.6349125,-8.0018725,97.606375,66.729475,389.888,2.8236,0.322291,0.31313975,0.072,0.1212295,-8.0018725,66.729475,-6.678585,-3.16945,0.25462775,276.15475,276.616,-0.00462475,-1.501805,-13.0036,-18.880625,-10.11
1,0.75,-0.11876,-16.667475,-0.126325,0.147213,-0.86982775,-0.17286875,-0.0526,0.620062,0.086825,-7.8064175,-8.2749825,97.617875,66.67835,389.88625,2.814375,0.346707,0.31829475,0.0798,0.12367525,-8.2749825,66.67835,-6.61059,-2.8509125,0.250065,274.6485,276.22925,0.002155,-1.54249,-13.67755,-19.845375,-9.72
1,1.25,-0.141762,-15.834225,0.1743675,0.31289525,-0.74802625,-0.16312725,-0.038775,0.56941,0.09465,-7.9042775,-8.1903475,97.6123,67.346675,390.08375,2.83007,0.32043975,0.33509125,0.0874,0.114155,-8.1903475,67.346675,-6.673535,-3.150105,0.29371875,275.29325,276.3005,0.000739,-1.49035,-13.5989,-20.6682,-9.7875
1,1.75,-0.14480025,-23.447225,-0.234754,0.161807,-0.914173,-0.293118,-0.11284,0.45920125,0.1028285,-7.9336125,-8.2634725,97.61965,67.569425,389.37925,2.81076,0.320238,0.342742,0.076975,0.108724,-8.2634725,67.569425,-6.3036575,-2.8196075,0.29301625,274.1205,276.17875,0.0022825,-1.467375,-13.449575,-20.47565,-9.555
1,2.25,-0.142783,-18.1892,0.11532,0.226684,-0.852533,-0.355706,-0.057025,0.415038,0.0965,-8.46295,-8.72658,97.6615,67.8152,389.063,2.78137,0.28556,0.298169,0.0688,0.0895,-8.581615,67.896025,-6.3925,-2.80762,0.268762,275.10525,275.6395,0.00024025,-1.4401225,-13.302475,-20.51185,-9.3375
1,2.75,-0.119655,-13.7164,-0.1446675,0.151105,-0.657094,-0.18214375,-0.12974925,0.580254,0.0852,-8.05339,-8.4994,97.6877,68.0505,389.1895,2.750245,0.343067,0.328047,0.0756,0.108893,-8.41058,68.221025,-6.5426725,-2.7876175,0.2804085,272.987,274.043,0.0010475,-1.396595,-13.745825,-20.742075,-9.5025
1,3.25,-0.149646,-14.1997,-0.261315,-0.220499,-0.491148,-0.243957,-0.063525,0.492959,0.0876,-8.23227,-8.75388,97.6968,68.4176,389.175,2.75998,0.292662,0.319719,0.0766,0.0953,-8.6110425,68.552375,-6.4339425,-2.7209,0.2775375,272.62925,273.35575,0.00061625,-1.386385,-14.335525,-21.266675,-9.305
1,3.75,-0.171,-15.0662,-0.000399999999999999,0.3832525,-0.587467,-0.223248,-0.05855,0.487158,0.0813,-8.07429,-8.4052,97.6904,69.2517,389.123,2.779115,0.340114,0.287033,0.077,0.0943,-8.34942,69.341775,-6.2653225,-2.462955,0.21613825,272.86975,273.613,-0.00017225,-1.4014425,-14.999225,-21.643975,-9.32
1,4.25,-0.12954,-14.3651,-0.286061,0.283076,-0.536338,-0.1686785,-0.10932075,0.503981,0.0974,-8.36596,-8.71663,97.6752,69.7436,389.21475,2.8116775,0.310474,0.337323,0.0831,0.0939,-8.6482275,69.75375,-6.1240425,-2.6814475,0.1945645,272.62775,274.08875,0.00348,-1.4173625,-15.779475,-21.607375,-9.28
1,4.75,-0.133608,-13.865,0.906628,0.14634,-0.605312,-0.279916,-0.07645,0.593587,0.0951,-8.00789,-8.52276,97.6718,69.8416,388.93,2.76931,0.328687,0.35602,0.0938,0.0873,-8.5197625,69.842,-6.827995,-2.6176725,0.21882625,272.206,275.19,0.0029175,-1.454245,-16.173325,-21.5901,-9.63
