DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,TS_1,TS_2,TS_3,G_1,G_2,WS
1,0.25,2.2683405676,7.41985499999999,10.578605,0.35087425,0.625611,1.3702,-0.51825,0,0,2.07333,91.78615,99.955,0.2139745,-0.31105,-1.392175,-1.683125,-2.701275,-2.5215375,2.2421
1,0.75,2.554268954125,9.59789999999999,11.284685,0.3294895,0.969071749999999,1.151475,0.472,0.0024595875,0,2.00766,93.864875,99.955,-0.0950925000000029,-0.296675,-1.384025,-1.671225,-2.7072875,-2.5064625,1.892175
1,1.25,1.468183929,5.39201999999999,13.8053,0.28580475,0.253596249999999,1.1013,-0.403125,0,0,2.0492725,94.604625,99.955,0.0736749999999981,-0.29975,-1.3898,-1.665675,-2.6495,-2.5865625,1.669005
1,1.75,2.3920935588,4.05312,15.8559,0.3404155,0.608633749999998,1.064175,-0.33275,0.0009385125,0,1.78685,92.10385,99.955,-0.657475,-0.29865,-1.3885,-1.6592,-2.6357625,-2.5935,2.0670775
1,2.25,2.3632923907,10.435075,9.8063125,0.29788125,0.720323499999999,1.0812,6.395625,0.0005316,0,2.6473325,94.799625,99.955,0.941049999999996,-0.294,-1.38955,-1.651375,-2.6373125,-2.58865,2.0928075
1,2.75,1.2817100036,5.87065000000002,10.2341425,0.27339975,0.603817249999999,1.049225,5.966875,0.002001225,0.00647294999999997,2.64707,95.5445,99.955,1.2294,-0.2892,-1.408125,-1.641925,-2.6376375,-2.5813,2.003105
1,3.25,2.076065529375,3.55311,8.8325375,0.28261275,0.999589999999998,0.99375,3.55559999999999,0.00313659999999999,0,2.64769,95.54415,99.8825,1.34885,-0.284175,-1.39485,-1.6324,-2.6444125,-2.579175,2.107945
1,3.75,4.88347698454999,6.67982,8.96248,0.285554,0.241843999999999,0.97375,-0.868000000000001,0.00143491999999999,0,2.34808,95.025,99.8825,0.641775,-0.2815,-1.37195,-1.62695,-2.6531,-2.5734125,1.60689
1,4.25,2.2370993827,4.92997,7.05007,0.2680895,0.521702,0.9272,-0.334800000000004,0.000767599999999997,0.00982849999999995,2.4181775,96.156725,99.8825,0.230774999999999,-0.27015,-1.33735,-1.616325,-2.6656375,-2.5681625,1.5115
1,4.75,2.44132302825,7.48542000000001,5.35103,0.3039275,0.32762925,0.902275,2.00859999999999,0,0.0133358525,2.5787,95.7253,99.855,0.352549999999997,-0.286875,-1.3306,-1.6145,-2.680775,-2.566675,1.751495
1,5.25,1.557560701425,8.08014000000001,7.0234325,0.3369215,0.43071,0.9312,0.401399999999988,0,0,2.3489425,94.0454,99.855,-0.140050000000002,-0.28195,-1.327025,-1.61395,-2.7024875,-2.566,1.756645
1,5.75,1.438323681675,4.05078000000001,12.0495,0.3268885,0.579125,0.82205,5.22979999999999,0,0,2.256755,94.2,99.855,-0.203125000000003,-0.28845,-1.3253,-1.61595,-2.7235,-2.562325,1.857385
1,6.25,2.057131685875,5.62811,7.67698499999999,0.29785,0.775024999999999,0.852225,12.63,0,0,2.5102775,93.0363,99.855,0.0585249999999973,-0.29935,-1.3306,-1.618025,-2.747,-2.5578375,1.857965
