DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,387.36025,0.43873375,1.10497,0.04118384,-0.3762525,-0.695419325,-7.14091925,1.60037475,0.0775802525,-0.038658125,0.340843,0.3588529,0.0685513925,87.06544,-3.1763285,17.03012,-2.373003,15.85861,-3.237294,69.99135,3.8146485,-2.122645,0.11019945,-2.0979415,-90.14979,2.295972,0.1956111,209.48425,297.22805
1,0.75,388.0537,0.563184425,1.167594,0.0478363175,-0.2760873,-2.28741075,-7.1025475,1.44358475,0.066213165,-0.0337365525,0.4195556,0.3367497,0.071907935,87.08698,-3.1863965,18.578965,-2.0170015,17.3952875,-3.507794,72.64539,3.807926,-2.127923,0.11718495,-2.226371,-89.30505,2.295972,0.2522222,210.1957,296.83415
1,1.25,389.044475,0.519448975,0.93298955,0.03928897,-0.186481175,-0.764588975,-5.380641,1.55430475,0.0711329975,-0.0344310825,0.35534525,0.342354425,0.067575485,87.0999025,-3.4990805,17.5834825,-2.1287895,16.32161,-4.0848,72.60963,3.624037,-2.50255625,0.1266684,-2.34911475,-87.76619,2.295972,0.2461666,208.98925,296.8059
1,1.75,388.9343,0.5862856,1.104832,0.0430282225,-0.31162975,-0.95823155,-5.2589405,1.57107375,0.0713852125,-0.04689105,0.34286575,0.3149299,0.070977495,87.11597,-3.614135,16.72882,-2.3337095,15.31214,-4.286056,70.54344,3.6602765,-2.4530225,0.1070704,-2.53893175,-90.157635,2.295972,0.2964444,208.36245,295.86725
1,2.25,385.684275,0.524559625,1.146956,0.04795055,-0.1518205,-1.375062,-6.150476,1.47116175,0.07055489,-0.0324047425,0.3623161,0.353844125,0.06884964,87.1553225,-3.442906,17.70308,-2.001747,16.36848,-4.226822,69.52243,3.82620425,-2.16425625,0.11448275,-2.7184765,-87.722625,2.295972,0.44830555,211.5826,295.1589
1,2.75,386.15285,0.500088,0.987302925,0.045629465,-0.33759485,-0.962981,-5.3471445,1.485777,0.07575673,-0.052703255,0.3439376,0.34761855,0.05783152,87.17791,-3.7579015,14.6834975,-2.59779125,13.511595,-4.429761,66.45736,3.72308225,-2.70837675,0.1529996,-2.88176325,-87.708525,2.295972,0.28941665,208.8098,294.3468
1,3.25,386.599975,0.4525919,0.911135625,0.0416500575,-0.2631662,-0.9281308,-5.2944765,1.22016775,0.074893605,-0.03654619,0.3612648,0.399400625,0.0529927725,87.181335,-3.86989975,15.3127575,-2.55021375,14.1336,-4.496822,66.65337,3.8542535,-2.66549325,0.1402883,-3.01904225,-85.122525,2.295972,0.3325833,213.8462,293.43315
1,3.75,388.68395,0.51433435,0.941196975,0.04449259,-0.3651015,-0.33206215,-4.508622,1.495969,0.07394188,-0.02956126,0.3389751,0.3254666,0.06414764,87.1658,-4.106509,15.6191325,-2.35582925,14.4881875,-4.84428625,66.9556875,3.669075,-3.05093,0.1215951,-3.208915,-82.704245,2.295972,0.1968958,217.41615,292.97105
1,4.25,385.1882,0.5304335,0.8528838,0.03653804,-0.43005735,-0.48905765,-3.766136,1.436091,0.07330729,-0.04417226,0.3923789,0.4375519,0.04787872,87.18771,-4.167913,14.77874,-2.61880525,13.7227,-4.675694,69.7164,3.626027,-2.990905,0.102419525,-3.332572,-83.69844,2.295972,0.32611115,211.763,292.3451
1,4.75,386.62415,0.4282404,0.8917021,0.038609535,-0.445804875,-0.7205266,-8.864854,1.20820575,0.0734209125,-0.0445133825,0.361144525,0.34401975,0.051382485,87.21717,-4.52354275,15.764545,-3.5049275,14.572415,-4.9438035,70.335865,3.665849,-3.32422975,0.120493275,-3.43459875,-84.8739925,2.295972,0.445805525,214.3605,290.947825
1,5.25,387.885,0.4093745,0.706922,0.03376867,-0.2743886,-1.09676955,-10.2256605,1.08504375,0.05788765,-0.0481444075,0.38820115,0.3495563,0.064584675,87.2270575,-4.471545,14.22756,-3.081334,13.206105,-4.9284735,70.9538325,3.7299545,-2.8744435,0.10037788,-3.461385,-85.3771525,2.295972,0.3941666,213.012875,291.157375
1,5.75,386.7561,0.4542738,0.629483325,0.03424786,-0.4895042,-0.9039844,-6.80739375,1.1944855,0.0711637475,-0.05187549,0.38666535,0.314508825,0.0468016725,87.2116125,-4.6257415,13.71024,-3.34883425,12.7271575,-5.301258,69.352755,3.70158025,-3.3920945,0.11186025,-3.501899,-82.80534,2.295972,0.43493745,212.4572,289.5656
1,6.25,386.65465,0.48781845,0.9283578,0.04164039,-0.3530183,-0.792146025,-9.05573775,1.2949525,0.068499725,-0.0684033075,0.339492175,0.31536335,0.0524229,87.2148475,-4.68911,15.48948,-3.444615,14.65144,-5.202226,70.45983,3.77283625,-3.5404475,0.14867015,-3.6119205,-82.60887,2.295972,0.5840277,210.891325,289.2404
1,6.75,387.7305,0.4950739,0.809363375,0.0428560375,-0.299083525,-0.6597897,-4.17235,1.31132125,0.0551987,-0.03361309,0.3650911,0.355990125,0.0551848225,87.216835,-4.98485175,14.417835,-3.251622,13.4325225,-5.4664155,69.8871125,3.70656,-3.59426025,0.133809,-3.634194,-84.910785,2.295972,0.301458375,206.8598,290.02245
1,7.25,388.3655,0.4220477,0.903934,0.0408760625,-0.305954325,-0.9097571,-4.222686,1.410993,0.071201245,-0.0313265575,0.395409075,0.37557695,0.0594053575,87.194505,-4.99138025,13.75869,-3.47064075,12.75949,-5.29807825,70.9224825,3.586134,-3.77789725,0.10434695,-3.54616,-85.165345,2.295972,0.3706111,206.80125,290.1486
1,7.75,388.8871,0.45064855,0.7682146,0.04458586,-0.2788394,-0.946542725,-5.8247175,1.42569075,0.055742585,-0.03591504,0.3479603,0.315236525,0.05200046,87.2087875,-5.27240975,13.01106,-3.289895,11.9852175,-5.47902675,69.7092725,3.6667175,-4.1964875,0.118707475,-3.540758,-82.131415,1.0379165,0.5006944,207.70805,289.978
