DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
1,0.25,0.4003144,63.8413125,24.1011925,26.96295,4.357301,0.758663375,10.4612115,477.056,8.75712599999999,2.309806,1.82161775,1.07207,0.3259208,1.0007,4.96999,100
1,0.75,0.35461445,63.3444124999999,19.8235725,38.21762,4.788841,0.967556875,10.02017675,640.048625,5.67272325,2.32802375,1.8442405,1.333074,0.3007297,1.0456,5.213474,79.8627849999999
1,1.25,0.308435475,47.781395,22.8536225,50.21863,4.64485525,1.01379135,10.26904375,576.817875,5.417135,2.313203,1.7912365,1.37910275,0.30610825,1.02925,5.147798,69.298425
1,1.75,0.519967999999999,61.7399999999999,36.8125899999999,17.4335,4.311202,0.958069799999999,10.09344,604.65525,5.422034,2.13332,1.747274,1.2920208,0.288764,0.971449999999998,5.019968,72.5496849999999
1,2.25,0.539923749999999,55.7211324999999,64.5390299999999,30.26999,3.9559895,0.978371874999999,10.12548875,539.21875,7.89806349999999,1.871315,1.775536,1.304367875,0.401288,0.980799999999999,4.638636,96.8771425
1,2.75,0.572959749999998,104.125295,23.2493,52.9706675,3.783904,0.909665824999999,7.18841799999999,505.0946,5.30756075,2.15481675,1.6260495,1.204426525,0.378728,0.94025,4.294972,63.50205
1,3.25,0.207796525,42.38828,18.66448,22.13142,3.8775095,0.929017849999999,7.135441,502.208,10.264757,1.72553325,1.61032725,1.19077105,0.31613995,0.846099999999998,3.834644,71.0596
1,3.75,0.19519255,47.39767,53.2432874999999,42.35618,3.64522525,0.893688174999999,7.53154875,519.688875,11.67333125,1.78129725,1.45269375,1.149032875,0.29563005,0.906599999999999,3.880542,62.3168
1,4.25,0.249703875,60.0153574999999,51.6238749999999,52.3752375,4.745286,0.902891975,6.82225599999999,482.0652,9.81060799999999,1.786195,1.59147225,1.06717785,0.33121315,0.771749999999998,3.740772,61.62875
1,4.75,0.20711945,34.880415,19.106105,43.9437049999999,4.038935,0.8196631,9.32290149999999,448.2025,5.3879135,1.821806,1.693512,1.1298943,0.3063576,0.676125,4.92104,81.4404624999999
