DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
4,19.25,414.425,0.103883107385176,10.37635,4.26597590206244,14.03745,0.896589,-2.3979,-5.03684,31.217425,5.339305,98.715,23.544,-0.100067,0.569959,1.27409183342489,1.00372805081855,0.734055856185345,5.53545,370.2965,410.471,10.266085,3.33272,-23.22135
4,19.75,415.0865,0.116856527323191,10.39315,3.843969302687,10.1233,1.383775,-2.32528,-5.63301,23.2795,6.48731,98.7281,23.315,-0.0421914,0.542636,1.24460837213961,0.920781190077208,0.658215010463906,5.36903,376.373,429.413,-1.184,1.5221,-35.69935
4,20.25,416.44425,0.134488697888328,10.210025,4.08064753877187,10.10175,2.175425,-2.22687,-3.30611,22.059,7.024525,98.7607,22.981,-0.0352458,0.513522,1.19872015082754,0.974914868078234,0.654748043143315,5.0524,373.8455,412.2815,-1.9279275,1.3088225,-42.6946
4,20.75,417.46875,0.121189933575359,10.434,3.42654773155589,10.4756,1.98576,-4.06755,-2.37841,19.57495,8.25538,98.7933,22.761,-0.0456091,0.477866,1.17629078037703,0.921994034687861,0.635765680105493,5.00482,361.55,404.27,-1.5899,1.218815,-27.56535
4,21.25,419.043,0.129353929775573,10.68665,3.79125309099775,10.683475,1.4157075,-5.21283,-2.933895,20.866175,4.30817,98.800925,22.563,-0.04372135,0.53911425,1.2064213328281,0.964896085643339,0.660385277017286,5.173875,363.61825,414.10775,-1.502685,1.120885,-36.3998
4,21.75,419.262,0.112050928577398,10.85795,4.31974751143807,9.42246,1.4825075,-5.583815,-4.52527,17.74075,4.7744075,98.8323,21.9640000000001,-0.0556606,0.52701,1.21276955766543,0.947799029330586,0.634665266104897,5.16055,360.82,414.183,-1.24823,1.04627,-28.4227
4,22.25,419.91025,0.106890099765569,10.712625,3.37948204987326,9.15912,1.45742,-4.6835475,-3.12603,18.6153,4.5102525,98.8288,21.699,-0.0440531,0.513648,1.23025200670432,0.968912792773426,0.67521922365999,5.03665,352.043,400.37,-1.7413,1.17677,-44.7277
4,22.75,419.297,0.10079683339567,10.3902,3.6151043257618,7.39732,1.3801,-5.784905,-3.06417,15.4753,4.21777,98.8271,21.287,-0.0485519,0.501795,1.19198154348127,0.954276165478317,0.655074804888724,4.93342,359.3015,399.6115,-1.26352,1.065985,-20.0858
4,23.25,421.51275,0.110431521485779,10.3936,3.69486914363582,8.01509,1.10108,-4.703865,-2.28732,14.514075,3.832145,98.8253,21.104,-0.0306017,0.48116,1.09153103483135,0.898582773037632,0.637714669738748,5.02548,352.756,389.395,-1.947765,1.060485,-38.398675
4,23.75,421.18325,0.125323980147456,10.273425,3.798073117326,7.8651,1.38049,-6.82633,-1.8036175,16.171,4.5163275,98.8185,20.87725,-0.0325690749999999,0.49189975,1.14270613299102,0.907124034267144,0.648851457984347,5.0971275,364.9715,399.9215,-1.4933,1.17632,-22.599
5,0.25,425.195,0.153352749327269,17.5518,5.57638372118546,9.652055,2.38391,-2.69069,-3.3721625,18.6213,8.05676,98.7624,24.9855,-0.0177897,0.4107665,1.00183397943465,0.742904340464541,0.513868352408348,4.216895,377.9865,413.8845,-1.642865,1.3704425,-37.799825
5,0.75,427.993,0.192326025279992,16.9392,5.11620506974288,9.03565,2.322215,-2.4893475,-2.810215,15.249175,5.0125725,98.7496,24.7695,-0.0170687,0.420304,0.962025393907686,0.754394905097494,0.518256655783961,4.280155,371.54225,411.912,-1.7057425,1.3303,-40.31165
5,1.25,428.05325,0.158582607517018,17.001175,5.08071012398774,8.299915,2.53197,-1.89633,-1.69864,16.882225,5.4157375,98.74905,24.5005,-0.0146618,0.373112,0.875158956760216,0.727220649498047,0.48899957534526,4.23247,371.9025,410.558,-1.5742775,1.36023,-38.92555
5,1.75,429.8875,0.165437803777562,17.298275,5.08842809784041,8.073755,2.20836,-0.968531,-1.6391,15.265575,5.6687475,98.7349,24.169,-0.0120044499999999,0.3817075,0.965691032410151,0.689639298427049,0.476627508741422,4.195355,369.536,409.324,-1.631675,1.3706175,-40.219025
5,2.25,431.3,0.216688476951824,17.0845,5.48050806030496,8.45897,3.01512,-1.05676,-1.88834,15.6537,5.3661825,98.7181,24.2645,-0.0115427499999999,0.3670995,0.883537516150011,0.753953683136963,0.476410936560421,3.939495,376.6365,408.68175,-1.5307825,1.1714475,-35.5067
5,2.75,433.6405,0.235445955322618,17.12325,6.00042518693529,8.4582,2.77264,-1.09485825,-1.745665,14.58935,4.924815,98.73285,24.1275,-0.01736205,0.3927445,0.93369749739126,0.709175264647579,0.508801781455212,4.02453,379.233,408.287,-1.75093,1.3948,-33.1713
5,3.25,435.76475,0.243036949615913,17.144175,6.65242061207798,9.3927875,2.8837275,-0.921189,-0.47406625,15.0964,5.452405,98.735875,23.8225,-0.01307125,0.36673175,0.924705641766526,0.765635718085631,0.448831537590832,3.9688875,370.41175,407.18,-1.47181,1.3012975,-34.960925
5,3.75,433.79825,0.276421959024026,17.0101,6.45489280881328,11.264025,2.87875,-0.8744515,0.028527525,18.44665,4.766235,98.759675,23.617,-0.014177875,0.3588185,0.855695987335705,0.767971472395669,0.494583932536358,3.88182,374.53675,406.4545,-1.235935,1.406415,-30.6015
5,4.25,436.24175,0.335681396565255,16.913975,5.386077702011,13.0381,3.780585,-1.53597,0.693275,20.280875,4.730465,98.76305,23.52025,-0.017337275,0.38477125,0.885372974212005,0.771787302012822,0.484509308780436,4.1496675,372.2675,406.3425,-1.28669,1.504745,-28.95435
5,4.75,438.25575,0.360931348274276,17.1498,5.38637964087525,13.2671,4.5693525,-0.46836975,-0.1613835,15.4886,5.89184,98.7683,23.3995,-0.013673075,0.38271075,0.901540815827605,0.764048955684629,0.506410675908465,4.0657225,381.57075,406.66975,-1.1732975,1.314865,-23.50455
5,5.25,442.4345,0.422009943098422,16.792025,6.32731380603175,19.7606,4.6761475,-1.04852075,0.25766525,15.9365,4.6895675,98.761225,23.23925,-0.016149575,0.37352675,0.970608386580753,0.788507799625656,0.500558438131699,4.018995,380.806,406.576,0.62528325,1.7441675,-25.38585
5,5.75,446.1055,0.488338019450274,15.96275,6.02804364601294,20.14735,5.2044375,-0.0866493999999999,2.151325,17.01525,5.207105,98.792,22.98075,-0.016482975,0.40964175,0.944822745641711,0.745415488156899,0.504485968135308,4.0544,385.545,406.8145,18.2382,5.678605,-16.485275
5,6.25,456.89875,0.576550084554672,16.387625,6.90912071758269,34.235975,7.30409,-0.2310455,6.5244425,26.870675,8.12751,98.813275,22.78075,-0.0288254999999999,0.41069925,0.956728876658239,0.762209684113783,0.529432145837226,3.9490475,388.4005,407.52225,58.001575,12.73045,6.6991525
5,6.75,459.242,0.515497129559918,16.3203,7.67155025784023,48.076475,5.76846,7.31389,11.923825,41.782,10.09405,98.83615,22.884,-0.051307375,0.4576875,1.00965459681975,0.811427704877192,0.559634623687961,3.944955,389.79,410.17,124.988,27.8237,36.983
5,7.25,455.568,0.338098449333805,16.6914,7.76450963926092,40.3322,0.01286633,25.7496,19.62615,53.545,11.64755,98.8691,22.919,-0.068076225,0.4499605,1.01851231108676,0.829370963855196,0.600457931922871,3.8649825,393.233,417.024,277.35,49.2593,155.266
5,7.75,450.09225,0.332665020412514,17.25185,8.87551561278029,35.768175,-1.049298,38.9676,21.094875,74.305,8.0069475,98.87105,23.29075,-0.0844157249999999,0.48753925,1.08803493064738,0.877456129044741,0.62205723752953,4.29671,388.937,419.09,374.643,61.3217,225.753
5,8.25,440.913,0.221355243264532,17.31115,9.83279332537071,25.7438,-1.0105185,68.7787,25.408775,96.12435,9.60643,98.8876,23.5935,-0.10180575,0.527632,1.13561577162255,0.931094432183905,0.657708304386908,4.21737,388.10025,428.1145,470.2135,74.731275,301.53025
5,8.75,431.23,0.182980305192805,17.8143,9.98954707070559,25.005975,-1.16609,77.49345,28.3356,113.502,8.122355,98.88705,24.237,-0.12393275,0.57848225,1.26931822722226,1.01990317679885,0.725037998718571,4.551455,390.87675,438.32325,570.6025,88.16865,382.1515
